id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,263.899,"Penguin_iDOL",R,0,69,122,0.641,-0.104,0.258,1.769,0.272,1.525,-36.495,12.82,0,0,-0.285,0,0,0,0,0,0,5,R,"crani",165,80,0.299,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123,-37.376,0,"Slaris",-0.017,-17.28,0,"ByeolBam",-21.708,-50.086,0,"_앰프_",-16.658,-61.592,0,"DoYaGee",19.58,-45.405,0,"k@ster",5.74,-66.703,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,264.822,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,277.605,"Penguin_iDOL",R,1,61,115,1.527,-1.221,0.2,1.753,0.002,1.467,-36.495,13.888,1,0,-0.481,2.25,0,0.469,-18.851,0,0,5,R,"crani",165,80,0.299,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,-37.378,0,"Slaris",0.091,-17.781,0,"ByeolBam",-22.273,-50.326,0,"_앰프_",-15.753,-62.284,0,"DoYaGee",20.057,-46.197,0,"k@ster",5.487,-66.54,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,280.969,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,293.691,"Penguin_iDOL",R,0,76,126,-0.495,-0.169,0.153,1.759,-0.22,1.491,-36.495,12.916,0,0,0,0,0,0,0,0,0,5,R,"crani",165,80,0.299,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,-37.525,0,"Slaris",-0.142,-17.611,0,"ByeolBam",-21.631,-49.576,0,"_앰프_",-15.157,-62.541,0,"DoYaGee",20.505,-46.937,0,"k@ster",4.697,-66.565,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,294.609,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,307.569,"Penguin_iDOL",R,1,53,95,-0.08,-0.264,0.255,1.8,0.172,1.647,-36.495,21.874,2,0,-4.825,2.852,0,0,0,1,0,5,R,"crani",165,80,0.299,3,47,W,Y,308.693,124,137,95,132,69,138,109,26.108,14.117,0.2,0.381,0.272,340.195,323.028,282.1,0.114,-37.005,0,"Slaris",-0.187,-17.741,0,"ByeolBam",-21.717,-49.626,0,"_앰프_",-15.032,-62.735,0,"DoYaGee",22.265,-49.353,0,"k@ster",5.699,-67.06,84,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,313.116,-30.907,-109.872,315.996,8,"AI",-36.436,-123.475,1,0,,318.475,,,3,2
5,1,1,0,0,0,0,0,0,1,0,255,5,255,4,359.42,"Penguin_iDOL",R,28,89,140,2.002,-0.27,0.408,1.857,0.811,1.351,-36.495,24.59,1,0,41.357,-88.007,0,0,0,0,1,4,R,"CoalCat",174.8,86.186,0.503,0,46,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-37.577,0,"Slaris",-0.006,-17.435,0,"ByeolBam",-21.485,-48.566,0,"_앰프_",-14.984,-60.496,0,"DoYaGee",20.831,-45.671,0,"k@ster",2.694,-62.242,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,360.249,361.065,,,0,0
6,1,1,0,0,1,0,0,0,1,0,255,5,255,5,376.369,"Penguin_iDOL",R,6,68,97,-1.068,0.825,-0.108,2.183,-1.316,2.273,-36.495,35.682,0,0,395.269,114.953,0,0,0,0,1,4,R,"CoalCat",174.8,86.186,0.503,0,46,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-37.71,0,"Slaris",-0.053,-17.375,0,"ByeolBam",-21.274,-48.28,0,"_앰프_",-14.706,-60.422,0,"DoYaGee",20.492,-44.591,0,"k@ster",2.327,-64.897,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,377.436,378.646,,,0,0
7,1,1,0,0,1,1,0,0,1,0,255,5,255,6,390.553,"Penguin_iDOL",R,3,65,98,-0.934,0.575,0.364,1.983,0.245,1.947,-36.495,31.893,0,0,-310.92,0,0,0,0,1,1,4,R,"CoalCat",174.8,86.186,0.503,0,46,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.73,0,"Slaris",-0.14,-17.44,0,"ByeolBam",-21.121,-47.528,0,"_앰프_",-14.694,-60.467,0,"DoYaGee",20.156,-44.088,0,"k@ster",3.284,-64.295,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,391.636,392.424,,,0,0
8,1,1,0,0,1,2,0,0,1,0,255,5,255,7,408.012,"Penguin_iDOL",R,28,78,129,-2.044,2.255,0.346,2.062,0.437,2.187,-36.495,35.447,2,0,24.419,-99.186,0,0,0,1,1,4,R,"CoalCat",174.8,86.186,0.503,0,45,W,Y,409.029,216,47,33,28,5,107,69,-11.308,-23.56,-1,0,0.348,149.73,-471.799,166.568,-0.065,-37.158,0,"Slaris",0,-17.408,0,"ByeolBam",-21.01,-47.263,0,"_앰프_",-14.495,-60.588,88,"DoYaGee",20.499,-43.899,0,"k@ster",5.644,-66.278,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,408.849,2.562,-25.355,414.076,6,"AI",22.459,-71.245,1,0,,,414.29,,9,2
9,1,1,0,0,0,0,0,1,0,1,4,255,5,8,440.61,"Penguin_iDOL",R,28,91,140,-0.753,-0.027,0.122,1.903,-0.347,1.501,-36.495,19.647,0,0,13.126,-92.115,0,0,0,0,2,1,R,"Pugeuk",190,86.173,0.396,0,45,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184,-38.073,0,"Slaris",-0.045,-17.328,0,"ByeolBam",-20.532,-44.583,0,"_앰프_",-13.37,-59.133,0,"DoYaGee",19.119,-45.101,0,"k@ster",8.851,-65.718,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,441.583,,442.61,,0,0
10,1,1,0,0,0,1,0,1,0,1,4,255,5,9,458.344,"Penguin_iDOL",R,10,86,128,-0.378,-1.053,0.164,1.813,-0.169,1.361,-36.495,16.906,1,0,0,400,0,0,0,0,2,1,R,"Pugeuk",190,86.173,0.396,0,45,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108,-37.506,0,"Slaris",-0.036,-17.395,0,"ByeolBam",-20.235,-43.824,0,"_앰프_",-14.687,-61.811,0,"DoYaGee",19.946,-43.79,0,"k@ster",8.186,-65.227,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,459.316,,460.764,,0,0
