id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,243.484,"mungjungh",R,13,85,123,-5.64,-2.415,0.384,1.352,-1.937,0.575,-36.388,13.021,4,0,-390.434,312.348,0,-1.145,-19.558,1,0,3,R,"Cospra",169.8,89.459,0.355,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,-37.016,0,"Pring__",-0.593,-17.57,0,"-라후이-",-17.844,-41.764,0,"Megarafa",-13.375,-56.595,0,"schmoneymikey",20.802,-49.692,0,"_앰프_",10.778,-63.553,0,"AI",40.9,-90.65,0,"하루（Haru）",-4.116,-110.792,0,"NABIMan",-48.752,-88.399,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,260.251,"mungjungh",R,3,84,123,-2.672,-0.738,0.694,1.602,-0.494,1.482,-36.388,27.931,4,0,-437.004,242.956,0,-1.676,-18.083,1,0,3,R,"Cospra",169.8,89.459,0.355,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378,-37.017,0,"Pring__",-0.56,-17.522,0,"-라후이-",-19.024,-44.517,0,"Megarafa",-13.545,-54.917,0,"schmoneymikey",20.843,-49.652,0,"_앰프_",11.229,-63.539,0,"AI",40.9,-90.65,0,"하루（Haru）",-3.773,-112.053,0,"NABIMan",-48.714,-88.811,0,0,0,0,0,0,"",0,0,0,0,263.452,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,274.744,"mungjungh",R,32,95,140,-0.008,-0.293,0.734,1.554,-0.306,1.307,-36.388,38.229,0,0,208.996,-136.818,0,0,0,0,0,3,R,"Cospra",169.8,89.459,0.355,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,-36.883,0,"Pring__",-0.132,-17.315,0,"-라후이-",-19.1,-44.473,0,"Megarafa",-13.357,-55.258,0,"schmoneymikey",19.951,-49.649,0,"_앰프_",10.845,-63.34,0,"AI",40.902,-90.652,0,"하루（Haru）",-6.572,-110.269,0,"NABIMan",-48.833,-88.633,0,0,0,0,0,0,"",0,0,0,0,276.43,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,325.768,"mungjungh",R,13,84,123,-0.872,-0.47,0.825,1.651,0.115,1.656,-36.388,44.423,2,0,-361.786,345.125,0,0,0,1,1,2,L,"Kr_Luna",190,95.417,0.501,3,58,W,Y,326.644,255,69,74,47,21,139,130,-18.546,-27.354,0.39,0,0.067,1.877,-7.704,4.72,0.443,-36.692,0,"Pring__",-0.105,-17.221,0,"-라후이-",-21.342,-48.079,86,"Megarafa",-13.347,-55.256,0,"schmoneymikey",20.388,-49.945,98,"_앰프_",12.79,-62.949,0,"AI",40.903,-90.653,0,"하루（Haru）",1.409,-115.366,0,"NABIMan",-48.911,-90.642,0,326.63,0.822,-21.648,328.33,4,"schmoneymikey",15.866,-50.83,0,0,,,,,21,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,349.722,"mungjungh",R,10,66,97,-1.338,0.393,0.751,1.992,-0.34,2.402,-36.388,44.286,2,0,-145.301,400,0,0,0,1,2,1,R,"YukihiroD",174,87.01,0.349,3,90,W,Y,350.942,255,112,54,117,46,137,77,95.871,-84.743,1,0,0.364,191.785,170.054,535.945,0.522,-37.217,0,"Pring__",-0.077,-17.311,0,"-라후이-",-20.27,-43.887,0,"Megarafa",-12.94,-54.462,0,"schmoneymikey",20.195,-49.813,0,"_앰프_",10.951,-64.141,0,"AI",40.903,-90.653,0,"하루（Haru）",-7.292,-112.987,0,"NABIMan",-46.503,-85.681,0,0,0,0,0,0,"",0,0,0,0,,,,,4,3
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,364.136,"mungjungh",R,13,65,95,-3.216,-1.277,0.584,1.555,-0.671,1.429,-36.388,33.807,4,0,-337.193,312.348,0,-1.531,-17.157,1,2,1,R,"YukihiroD",174,87.01,0.349,0,83,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198,-36.683,0,"Pring__",-0.804,-17.838,0,"-라후이-",-19.221,-40.898,0,"Megarafa",-13.915,-54.101,0,"schmoneymikey",20.736,-50.78,0,"_앰프_",10.753,-63.569,0,"AI",40.9,-90.65,0,"하루（Haru）",-8.051,-117.745,0,"NABIMan",-47.807,-86.177,0,0,0,0,0,0,"",0,0,0,0,367.396,,,,0,0
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,378.055,"mungjungh",R,26,89,140,-1.665,-0.354,0.59,1.526,-0.975,1.214,-36.388,30.301,1,0,172.425,-200,0,0,0,0,2,1,R,"YukihiroD",174,87.01,0.349,0,83,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,-36.931,0,"Pring__",-0.483,-17.433,0,"-라후이-",-18.662,-42.511,0,"Megarafa",-13.933,-54.101,0,"schmoneymikey",20.651,-50.857,0,"_앰프_",11.155,-64.055,0,"AI",40.902,-90.652,0,"하루（Haru）",-9.048,-118.813,0,"NABIMan",-47.65,-85.928,0,0,0,0,0,0,"",0,0,0,0,379.374,,,,0,0
8,1,1,0,0,1,2,2,0,0,0,255,255,255,7,392.125,"mungjungh",R,4,72,118,0.012,-0.396,0.877,1.571,0.36,1.375,-36.388,45.749,2,0,-230.053,0,0,0,0,1,2,1,R,"YukihiroD",174,87.01,0.349,3,83,W,Y,393.202,221,82,85,59,25,145,126,-30,-14.111,0.32,0,0.303,-21.554,40.998,-24.635,0.452,-37.5,0,"Pring__",-0.096,-17.3,0,"-라후이-",-18.534,-42.512,101,"Megarafa",-14.161,-53.794,0,"schmoneymikey",21.225,-51.154,0,"_앰프_",11.658,-63.827,95,"AI",40.903,-90.653,0,"하루（Haru）",-11.456,-119.94,0,"NABIMan",-47.811,-86.676,0,393.041,0.337,-21.828,394.963,5,"_앰프_",10.552,-62.522,0,0,415.752,,,,148,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,499.013,"3Ducks",R,32,90,140,0.813,0.208,0.246,1.948,0.082,1.544,-36.542,43.287,0,0,197.705,-140.055,15.859,0,0,1,0,7,L,"하루（Haru）",160,90,0.503,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054,-37.017,0,"YukihiroD",-0.032,-18.431,0,"Kr_Luna",-22.142,-50.955,0,"Cospra",-9.294,-56.545,0,"소솨소솨",19.871,-45.743,0,"Amellaid",17.73,-59.807,0,"눈꽃",39.761,-88.295,0,"AI",0,-109.84,0,"Rite_",-42.679,-89.658,0,0,0,0,0,0,"",0,0,0,0,500.252,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,511.176,"3Ducks",R,1,55,110,2.893,-2.97,0.156,2.196,1.165,-1.633,-36.542,69.37,4,0,-1.299,6.385,12.658,0.41,-24.052,1,0,7,L,"하루（Haru）",160,90,0.503,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,-37.176,0,"YukihiroD",0.088,-18.535,0,"Kr_Luna",-22.352,-50.93,0,"Cospra",-9.346,-56.604,0,"소솨소솨",19.998,-45.621,0,"Amellaid",16.557,-60.483,0,"눈꽃",39.778,-88.31,0,"AI",0,-109.84,0,"Rite_",-43.618,-90.314,0,0,0,0,0,0,"",0,0,0,0,512.53,,,,0,0
