id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,213.461,"Sabo_10",L,33,85,138,-0.011,0.563,-0.56,1.697,0.186,1.886,-36.292,46.368,2,0,-148.337,-89.311,-11.449,0,0,1,0,1,R,"ke ro",190,84,0.366,3,74,W,Y,214.366,195,88,94,69,0,145,128,32.681,43.929,0.28,0,0.646,149.086,501.411,113.791,-0.202,-36.816,0,"Kr_Luna",0.035,-17.485,0,"schmoneymikey",-19.828,-48.051,0,"Rite_",-12.636,-64.267,0,"Pring__",21.913,-48.964,0,"CoalCat",10.515,-60.649,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-41.304,-90.784,0,218.976,-87.609,-90.125,0,0,"",0,0,0,0,,,,,1,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,228.248,"Sabo_10",L,5,79,125,-1.664,0.398,-0.587,1.648,-0.917,1.856,-36.292,51.815,2,0,137.089,0,-2.729,0,0,1,0,1,R,"ke ro",190,84,0.366,3,74,W,Y,229.338,210,123,72,80,60,145,87,-30,50.756,1,0,0.812,-220.436,196.225,-134.095,-0.135,-36.975,0,"Kr_Luna",0.022,-17.494,0,"schmoneymikey",-19.845,-47.388,0,"Rite_",-13.403,-63.364,0,"Pring__",22.42,-48.221,0,"CoalCat",9.965,-61.314,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-51.707,-93.137,0,229.117,-2.709,-23.187,0,0,"",0,0,0,0,,,,,1,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,250.528,"Sabo_10",L,10,78,106,1.102,-1.282,-0.502,1.702,0.439,1.364,-36.292,41.786,4,0,27.768,400,-28.36,0,0,1,0,1,R,"ke ro",190,84,0.366,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-37.182,0,"Kr_Luna",0.415,-18.683,0,"schmoneymikey",-20.096,-44.189,0,"Rite_",-15.499,-63.239,0,"Pring__",21.039,-45.587,0,"CoalCat",10.106,-62.264,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-55.299,-89.019,0,0,0,0,0,0,"",0,0,0,0,251.409,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,270.377,"Sabo_10",L,26,84,136,3.675,0.043,-0.293,1.662,1.349,1.497,-36.292,29.638,4,0,40.48,-200,-34.201,-0.449,-20.03,1,1,3,R,"うよすま",174.8,92.834,0.601,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.274,-37.08,0,"Kr_Luna",-0.543,-19.182,0,"schmoneymikey",-19.797,-46.55,0,"Rite_",-15.44,-63.169,0,"Pring__",20.333,-45.235,0,"CoalCat",11.15,-63.071,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-55.307,-89.025,0,0,0,0,0,0,"",0,0,0,0,273.351,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,285.289,"Sabo_10",L,33,75,126,-2.845,0.905,-0.59,1.735,-1.012,2.026,-36.292,48.579,1,0,-135.634,-90.396,-8.109,0,0,0,1,3,R,"うよすま",174.8,92.834,0.601,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132,-37.302,0,"Kr_Luna",-0.013,-17.406,0,"schmoneymikey",-19.74,-46.569,0,"Rite_",-15.347,-63.622,0,"Pring__",21.261,-47.056,0,"CoalCat",11.483,-62.144,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-55.271,-89.093,0,0,0,0,0,0,"",0,0,0,0,286.151,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,297.521,"Sabo_10",L,3,86,127,-0.348,0.687,-0.59,1.758,-0.772,2.092,-36.292,43.881,2,0,417.471,84.253,-10.246,0,0,1,1,3,R,"うよすま",174.8,92.834,0.601,3,70,W,Y,298.473,168,84,92,83,5,145,81,113.771,-48.156,-1,0.048,0.449,28.492,-277.312,-105.55,-0.099,-37.216,0,"Kr_Luna",0.037,-17.378,0,"schmoneymikey",-19.72,-46.569,0,"Rite_",-15.366,-63.574,0,"Pring__",20.87,-46.851,0,"CoalCat",11.413,-62.03,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-54.394,-89.803,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
7,1,1,0,0,1,2,1,0,0,0,255,255,255,6,313.116,"Sabo_10",L,14,83,109,0.299,-1.61,-0.421,1.625,0.504,1.25,-36.292,36.642,4,0,-194.104,400,-19.907,0,0,1,1,3,R,"うよすま",174.8,92.834,0.601,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09,-37.193,0,"Kr_Luna",0.026,-17.386,0,"schmoneymikey",-20.304,-44.763,0,"Rite_",-15.417,-63.406,0,"Pring__",21.236,-46.981,0,"CoalCat",9.62,-62.734,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-54.368,-89.37,0,0,0,0,0,0,"",0,0,0,0,314.059,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,334.644,"Sabo_10",L,33,79,129,0.579,0.492,-0.62,1.725,0.442,1.828,-36.292,57.896,0,0,-129.132,-46.619,-4.688,0,0,1,2,5,R,"紅さかな",172.8,86,0.399,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.281,-37.224,0,"Kr_Luna",0.003,-17.363,0,"schmoneymikey",-20.244,-46.703,0,"Rite_",-15.63,-63.74,0,"Pring__",21.391,-47.148,0,"CoalCat",10.094,-62.999,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-54.384,-89.377,0,0,0,0,0,0,"",0,0,0,0,335.534,,,,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,348.735,"Sabo_10",L,33,79,129,-1.115,0.862,-0.611,1.68,-0.271,2.064,-36.292,59.218,0,0,-128.941,-26.794,-4.74,0,0,1,2,5,R,"紅さかな",172.8,86,0.399,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178,-37.374,0,"Kr_Luna",0.018,-17.36,0,"schmoneymikey",-19.915,-47.129,0,"Rite_",-15.576,-63.542,0,"Pring__",21.402,-47.158,0,"CoalCat",10.076,-62.943,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-54.384,-89.384,0,0,0,0,0,0,"",0,0,0,0,349.726,,,,0,0
10,1,1,0,0,0,2,2,0,0,0,255,255,255,9,363.184,"Sabo_10",L,26,83,135,2.039,0.366,-0.383,1.687,0.93,1.61,-36.292,39.902,4,0,-20.871,-200,-26.157,0,0,1,2,5,R,"紅さかな",172.8,86,0.399,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152,-38.046,0,"Kr_Luna",0.005,-17.36,0,"schmoneymikey",-20.146,-45.969,0,"Rite_",-15.679,-63.523,0,"Pring__",21.368,-47.14,0,"CoalCat",10.077,-62.921,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"_앰프_",-54.377,-89.381,0,0,0,0,0,0,"",0,0,0,0,364.142,,,,0,0
