id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,336.064,"kotatu_yowai",R,26,88,140,0.115,0.639,0.206,1.697,0.027,1.756,-36.399,25.876,0,0,12.309,-200,13.237,0,0,0,0,5,R,"Yaksok~",166.8,86.073,0.453,0,83,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,-37.579,0,"濃いめのラー油",-0.061,-17.736,0,"아침땅_",-22.128,-48.246,0,"mochi_2929",-12.511,-60.261,0,"Kr_Luna",19.042,-49.884,0,"うよすま",13.518,-59.135,0,"AI",40.9,-90.65,0,"Gonyong",-3.48,-101.452,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,337.365,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,350.403,"kotatu_yowai",R,13,69,98,-2.415,-1.583,0.111,1.532,-0.275,1.317,-36.399,11.921,2,0,-347.842,312.348,-38.458,0,0,1,0,5,R,"Yaksok~",166.8,86.073,0.453,2,81,W,Y,351.724,249,119,147,114,15,145,79,-12.141,13.623,1,0,0.364,-232.251,507.649,-190.684,-0.03,-37.237,0,"濃いめのラー油",-0.163,-17.818,0,"아침땅_",-21.83,-47.965,87,"mochi_2929",-12.733,-61.09,97,"Kr_Luna",18.272,-50.65,0,"うよすま",13.274,-60.073,0,"AI",40.9,-90.65,0,"Gonyong",-3.484,-101.478,0,"AI",-40.8,-90.55,0,351.723,-0.816,-22.837,354.198,3,"mochi_2929",-6.463,-57.153,0,0,,,,,25,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,372.681,"kotatu_yowai",R,27,86,139,0.544,0.687,0.24,1.756,0.185,1.935,-36.399,20.525,2,0,36.083,-116.31,9.601,0,0,1,1,2,R,"SUGUN",190,81.662,0.502,0,81,W,Y,373.846,247,48,63,50,7,137,87,106.455,-45.157,1,0,0.19,-324.645,322.61,-33.395,0.017,-37.26,0,"濃いめのラー油",0.049,-17.837,0,"아침땅_",-22.171,-48.362,0,"mochi_2929",-12.769,-60.677,0,"Kr_Luna",18.319,-47.755,0,"うよすま",13.638,-59.221,0,"AI",40.9,-90.65,0,"Gonyong",-9.19,-119.815,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,391.062,"kotatu_yowai",R,6,79,107,-0.205,-0.491,-0.088,1.513,-0.892,1.317,-36.399,6.694,2,0,394.801,0,35.331,0,0,1,1,2,R,"SUGUN",190,81.662,0.502,5,55,W,Y,392.334,160,212,84,140,80,145,93,5.087,-4.286,0.97,0,0.413,237.115,-8.973,211.368,0.01,-37.021,0,"濃いめのラー油",-0.29,-17.955,0,"아침땅_",-21.962,-48.3,0,"mochi_2929",-12.29,-62.013,66,"Kr_Luna",18.292,-47.821,0,"うよすま",13.49,-61.086,0,"AI",40.9,-90.65,0,"Gonyong",-8.529,-118.654,93,"AI",-40.8,-90.55,0,393.773,2.564,-56.277,397.948,7,"Gonyong",3.33,-99.995,1,0,,,,,13,2
5,1,1,0,0,0,0,1,1,0,0,2,255,255,4,420.09,"kotatu_yowai",R,27,92,140,-2.622,-0.889,-0.064,1.448,-1.229,0.936,-36.399,7.098,1,0,76.567,-137.274,18.847,0,0,0,2,4,R,"-라후이-",190,87,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296,-37.302,0,"濃いめのラー油",-0.229,-17.8,0,"아침땅_",-20.185,-42.486,0,"mochi_2929",-10.774,-60.549,0,"Kr_Luna",18.812,-51.575,0,"うよすま",5.315,-60.404,0,"AI",40.9,-90.65,0,"Gonyong",-30.396,-121.529,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,421.14,,,,0,0
6,1,1,0,0,1,0,1,1,0,0,2,255,255,5,440.666,"kotatu_yowai",R,13,58,89,-2.047,-1.275,0.207,1.52,-0.099,1.399,-36.399,5.952,4,0,-315.897,312.348,-35.2,-0.622,-18.147,1,2,4,R,"-라후이-",190,87,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,-37.991,0,"濃いめのラー油",-0.211,-17.767,0,"아침땅_",-20.386,-42.387,0,"mochi_2929",-11.177,-61.041,0,"Kr_Luna",19.009,-51.464,0,"うよすま",5.795,-62.114,0,"AI",40.9,-90.65,0,"Gonyong",-30.782,-121.41,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,442.098,,,,0,0
7,1,1,0,0,1,1,1,1,0,0,2,255,255,6,462.925,"kotatu_yowai",R,26,91,140,0.232,0.134,0.21,1.639,0.047,1.556,-36.399,16.352,0,0,35.471,-162.525,15.501,0,0,1,2,4,R,"-라후이-",190,87,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359,-37.021,0,"濃いめのラー油",-0.18,-17.789,0,"아침땅_",-19.812,-42.27,0,"mochi_2929",-11.088,-60.456,0,"Kr_Luna",18.964,-51.366,0,"うよすま",4.011,-61.777,0,"AI",40.9,-90.65,0,"Gonyong",-30.784,-121.41,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,463.965,,,,0,0
8,1,1,0,0,1,2,1,1,0,0,2,255,255,7,480.012,"kotatu_yowai",R,13,66,95,-3.103,-1.246,0.122,1.558,-0.603,1.376,-36.399,10.565,1,0,-328.685,324.28,-26.274,-0.695,-18.468,0,2,4,R,"-라후이-",190,87,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,-37.799,0,"濃いめのラー油",-0.547,-17.807,0,"아침땅_",-19.704,-42.063,0,"mochi_2929",-12.474,-59.874,0,"Kr_Luna",18.989,-51.359,0,"うよすま",4.045,-61.395,0,"AI",40.9,-90.65,0,"Gonyong",-31.227,-120.764,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,483.782,,,,0,0
9,1,1,0,0,2,2,1,1,0,0,2,255,255,8,499.856,"kotatu_yowai",R,11,70,105,-2.055,-0.161,-0.014,1.802,-0.895,1.776,-36.399,34.733,1,0,0,190.606,15.507,0,0,0,2,4,R,"-라후이-",190,87,0.498,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.902,-37.374,0,"濃いめのラー油",-0.696,-18.108,0,"아침땅_",-20.544,-44.595,0,"mochi_2929",-10.37,-62.053,0,"Kr_Luna",18.818,-51.433,0,"うよすま",-0.181,-59.211,0,"AI",40.9,-90.65,0,"Gonyong",-31.217,-120.812,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,501.09,502.529,,,0,0
10,1,1,0,0,3,2,1,0,1,0,255,2,255,9,521.166,"kotatu_yowai",R,26,87,140,-1.195,-0.526,0.074,1.51,-0.588,1.138,-36.399,14.234,2,0,48.194,-168.73,15.639,0,0,1,2,4,R,"-라후이-",190,87,0.498,3,87,W,Y,522.006,161,87,151,79,45,145,130,19.589,35.658,0.43,0,0.185,-22.291,389.844,29.555,-0.362,-36.885,0,"濃いめのラー油",-0.165,-18.092,0,"아침땅_",-21.68,-47.609,0,"mochi_2929",-12.485,-60.642,0,"Kr_Luna",18.952,-45.034,0,"うよすま",0.357,-59.439,69,"AI",40.9,-90.65,0,"Gonyong",-30.413,-119.343,0,"AI",-40.8,-90.55,0,526.215,-66.719,-99.495,527.407,8,"AI",-61.438,-96.073,1,0,,532.196,527.735,532.65,65,2
