id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,186.07,"Yaksok~",R,14,67,108,1.218,-0.475,0.185,1.784,-0.057,1.779,-36.445,14.489,0,0,366.001,333.22,11.729,0,0,1,0,7,R,"coder_",163.7,89.736,0.276,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-37.075,0,"shuwaYNZ",-0.108,-17.919,0,"にゃんこ3K",-23.382,-49.741,0,"3Ducks",-12.151,-63.042,0,"schmoneymikey",19.731,-48.37,0,"Rite_",14.719,-63.128,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,187.237,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,201.78,"Yaksok~",R,3,85,127,-1.344,-0.488,0.207,1.563,0.031,1.328,-36.445,20.266,0,0,-411.511,0,4.154,0,0,1,0,7,R,"coder_",163.7,89.736,0.276,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141,-37.714,0,"shuwaYNZ",0.022,-17.869,0,"にゃんこ3K",-23.042,-49.283,0,"3Ducks",-12.104,-63.216,0,"schmoneymikey",19.718,-48.359,0,"Rite_",14.222,-63.222,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,202.92,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,217.954,"Yaksok~",R,11,84,130,-0.416,-1.735,0.16,1.446,-0.186,0.891,-36.445,22.486,1,0,0,196.9,15.063,0,0,0,0,7,R,"coder_",163.7,89.736,0.276,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288,-37.11,0,"shuwaYNZ",-0.182,-17.939,0,"にゃんこ3K",-22.26,-48.142,0,"3Ducks",-12.234,-63.251,0,"schmoneymikey",18.977,-47.201,0,"Rite_",13.796,-63.725,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,218.995,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,231.592,"Yaksok~",R,3,86,112,-3.994,-0.679,-0.122,1.485,-0.999,1.242,-36.445,11.368,1,0,-414.208,0,1.705,0,0,0,0,7,R,"coder_",163.7,89.736,0.276,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153,-37.817,0,"shuwaYNZ",0.145,-18.187,0,"にゃんこ3K",-22.563,-48.934,0,"3Ducks",-12.222,-63.287,0,"schmoneymikey",18.997,-47.209,0,"Rite_",13.814,-63.862,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,232.72,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,247.202,"Yaksok~",R,14,65,95,1.684,-0.857,0.246,1.737,0.142,1.874,-36.445,11.122,2,0,263.749,395.897,7.47,0,0,1,0,7,R,"coder_",163.7,89.736,0.276,2,62,W,Y,248.352,169,60,146,83,34,145,123,-30,-13.399,0.69,0,0.255,-397.881,-21.367,-242.368,0.053,-38.147,0,"shuwaYNZ",0.233,-17.958,0,"にゃんこ3K",-23.902,-49.805,0,"3Ducks",-12.182,-63.264,115,"schmoneymikey",18.969,-47.191,85,"Rite_",13.839,-63.916,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,248.104,0.529,-21.18,255.579,7,"AI",29.19,-127.482,0,0,,257.369,,,7,2
6,1,1,0,0,0,0,0,0,0,0,255,255,255,5,280.312,"Yaksok~",R,14,64,95,1.174,0.365,0.284,2.065,0.187,2.413,-36.445,27.343,0,0,158.74,400,-4.095,0,0,0,1,2,R,"SUGUN",190,81.662,0.502,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,-37.668,0,"shuwaYNZ",-0.226,-17.695,0,"にゃんこ3K",-19.445,-44.976,0,"3Ducks",-11.785,-61.987,0,"schmoneymikey",18.695,-44.213,0,"Rite_",6.407,-63.996,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,281.82,283.39,,,0,0
7,1,1,0,0,0,1,0,0,1,0,255,7,255,6,298.462,"Yaksok~",R,33,82,133,0.718,0.683,0.222,1.757,0.101,2.002,-36.445,14.113,0,0,137.815,-34.766,4.595,0,0,1,1,2,R,"SUGUN",190,81.662,0.502,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.068,-37.956,0,"shuwaYNZ",-0.24,-17.689,0,"にゃんこ3K",-19.776,-43.708,0,"3Ducks",-12.429,-61.491,0,"schmoneymikey",18.236,-43.969,0,"Rite_",2.967,-64.145,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,299.77,301.353,,,0,0
8,1,1,0,0,0,2,0,0,1,0,255,7,255,7,314.389,"Yaksok~",R,3,78,105,-3.705,-0.594,-0.033,1.466,-0.721,1.258,-36.445,14.623,4,0,-439.919,0,3.08,0,0,1,1,2,R,"SUGUN",190,81.662,0.502,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.905,-37.904,0,"shuwaYNZ",1.338,-18.667,0,"にゃんこ3K",-20.156,-44.511,0,"3Ducks",-11.926,-61.209,0,"schmoneymikey",18.264,-43.753,0,"Rite_",6.791,-63.234,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,315.887,318.11,,,0,0
9,1,1,0,0,0,0,1,0,1,0,255,7,255,8,337.915,"Yaksok~",R,10,59,105,-0.895,2.062,0.204,2.098,-0.396,3.297,-36.445,36.415,1,0,0,400,-1.47,0,0,0,2,3,R,"YukihiroD",173.6,87.01,0.349,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.754,0,"shuwaYNZ",-0.198,-17.743,0,"にゃんこ3K",-20.685,-45.063,0,"3Ducks",-12.084,-61.444,0,"schmoneymikey",19.185,-43.315,0,"Rite_",4.092,-65.623,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,339.245,341.164,,,0,0
10,1,1,0,0,1,0,1,0,1,0,255,7,255,9,351.543,"Yaksok~",R,32,82,133,0.695,0.768,0.213,1.747,0.062,2.001,-36.445,18.606,2,0,165.007,-38.145,6.936,0,0,1,2,3,R,"YukihiroD",173.6,87.01,0.349,3,79,W,Y,352.691,160,60,114,33,11,145,88,-30,58.256,0.97,0,0.295,-262.395,530.884,-69.703,-0.182,-36.901,0,"shuwaYNZ",0.007,-17.965,0,"にゃんこ3K",-19.848,-45.902,0,"3Ducks",-12.11,-61.648,0,"schmoneymikey",18.171,-45.608,0,"Rite_",7.81,-64.861,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,352.495,-2.683,-20.706,0,0,"",0,0,0,0,,357.412,,,2,3
11,1,1,0,0,1,1,1,0,1,0,255,7,255,10,367.223,"Yaksok~",R,3,81,119,-2.064,-0.051,0.268,1.624,-0.109,1.572,-36.445,34.601,4,0,-488.611,0,4.447,0,0,1,2,3,R,"YukihiroD",173.6,87.01,0.349,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-37.538,0,"shuwaYNZ",-0.455,-17.65,0,"にゃんこ3K",-20.011,-44.375,0,"3Ducks",-12.34,-61.66,0,"schmoneymikey",19.989,-43.239,0,"Rite_",2.677,-64.117,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,368.395,370.29,,,0,0
12,1,1,0,0,1,2,1,0,1,0,255,7,255,11,384.812,"Yaksok~",R,3,77,117,0.373,0.43,0.438,1.75,0.828,1.847,-36.445,53.367,2,0,-406.17,0,-1.786,0,0,1,2,3,R,"YukihiroD",173.6,87.01,0.349,3,79,W,Y,385.957,221,88,67,90,42,142,126,25.418,30.477,0.43,0,0.333,174.439,-136.455,65.41,-0.027,-37.237,0,"shuwaYNZ",0.027,-17.958,0,"にゃんこ3K",-19.296,-44.707,0,"3Ducks",-12.508,-61.705,0,"schmoneymikey",17.787,-45.672,0,"Rite_",5.277,-62.76,73,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,390.487,-54.083,-117.26,391.662,8,"AI",-51.696,-112.485,1,0,,396.169,390.855,395.543,10,2
13,1,1,1,0,0,0,1,0,1,0,255,3,255,12,431.838,"Yaksok~",R,33,87,140,0.135,0.541,0.174,1.71,-0.122,1.871,-36.445,9.811,0,0,149.338,-38.549,2.646,0,0,0,3,5,R,"HANA_ARASHI",172.6,85.679,0.252,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193,-36.999,0,"shuwaYNZ",-0.179,-17.856,0,"にゃんこ3K",-20.431,-44.136,0,"3Ducks",-11.95,-61.576,0,"schmoneymikey",18.351,-44.312,0,"Rite_",7.573,-64.437,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,432.862,434.249,,,0,0
14,1,1,1,0,0,1,1,0,1,0,255,3,255,13,447.065,"Yaksok~",R,33,77,128,0.871,0.901,0.237,1.769,0.17,2.079,-36.445,17.344,2,0,133.468,-28.743,2.161,0,0,1,3,5,R,"HANA_ARASHI",172.6,85.679,0.252,3,64,W,Y,448.091,135,69,95,71,40,140,82,91.046,76.407,-0.78,0,0.599,163.1,260.411,-104.244,-0.028,-36.625,0,"shuwaYNZ",-0.045,-18.011,110,"にゃんこ3K",-20.18,-45.419,0,"3Ducks",-11.726,-61.579,0,"schmoneymikey",18.616,-46.397,0,"Rite_",9.041,-64.772,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,454.012,8.36,-16.812,454.162,1,"shuwaYNZ",8.181,-16.848,0,0,454.162,453.11,,,34,1
15,1,1,1,0,0,0,2,0,1,0,255,3,255,14,479.48,"Yaksok~",R,3,78,117,-0.239,0.027,0.407,1.655,0.551,1.627,-36.445,40.407,2,0,-439.85,0,-0.788,0,0,0,4,1,L,"Kr_Luna",190,95.417,0.5,3,65,W,Y,480.422,138,100,146,72,42,143,117,113.473,60.953,0.18,0,0.127,163.1,260.411,-104.244,-0.275,-36.761,0,"shuwaYNZ",-0.042,-18.023,0,"にゃんこ3K",-21.616,-49.898,0,"3Ducks",-11.501,-61.719,0,"schmoneymikey",19.318,-47.008,0,"Rite_",14.89,-61.907,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,484.296,,,2,3
16,1,1,1,0,0,1,2,0,1,0,255,3,255,15,498.431,"Yaksok~",R,14,65,107,3.825,0.144,0.448,1.837,1.155,2.262,-36.445,25.204,1,0,253.345,400,5.119,1.022,-14.47,0,4,1,L,"Kr_Luna",190,95.417,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,-37.468,0,"shuwaYNZ",0.606,-18.162,0,"にゃんこ3K",-21.553,-49.733,0,"3Ducks",-11.368,-62.027,0,"schmoneymikey",18.827,-47.272,0,"Rite_",17.001,-63.17,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,500.187,501.23,,,0,0
17,1,1,1,0,1,1,2,0,1,0,255,3,255,16,513.793,"Yaksok~",R,33,90,140,-4.631,0.118,-0.264,1.657,-2.16,1.677,-36.445,12.836,1,0,107.877,-6.244,2.491,0,0,0,4,1,L,"Kr_Luna",190,95.417,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.314,-38.028,0,"shuwaYNZ",0.497,-18.221,0,"にゃんこ3K",-22.144,-49.34,0,"3Ducks",-11.482,-61.966,0,"schmoneymikey",18.637,-47.418,0,"Rite_",17.417,-63.081,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,514.67,516.29,,,0,0
18,1,1,1,0,2,1,2,0,1,0,255,3,255,17,531.313,"Yaksok~",R,33,74,125,-2.374,0.359,-0.06,1.7,-1.211,1.817,-36.445,3.927,1,0,111.029,-11.841,-2.111,0,0,0,4,1,L,"Kr_Luna",190,95.417,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-37.465,0,"shuwaYNZ",-0.225,-17.646,0,"にゃんこ3K",-21.984,-49.828,0,"3Ducks",-11.738,-61.958,0,"schmoneymikey",18.635,-47.41,0,"Rite_",18.522,-62.724,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,532.262,534.419,,,0,0
19,1,1,1,0,3,1,2,0,1,0,255,3,255,18,546.379,"Yaksok~",R,14,60,103,-0.11,-1.341,0.042,1.54,-0.733,1.299,-36.445,14.881,4,0,331.051,353.558,10.596,0,0,0,4,1,L,"Kr_Luna",190,95.417,0.5,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.349,-37.143,0,"shuwaYNZ",-0.133,-17.732,0,"にゃんこ3K",-21.992,-49.832,0,"3Ducks",-11.687,-62.026,0,"schmoneymikey",19.819,-47.08,0,"Rite_",18.157,-61.871,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,547.445,550.071,,,0,0
20,1,1,1,0,3,2,2,0,1,0,255,3,255,19,561.923,"Yaksok~",R,14,62,92,1.244,0.202,0.14,1.962,-0.186,2.328,-36.445,25.265,2,0,304.627,342.546,0.636,0,0,0,4,1,L,"Kr_Luna",190,95.417,0.5,3,69,W,Y,562.955,133,98,100,85,43,140,118,-0.448,2.867,0.82,0,0.091,266.225,-525.206,-42.795,-0.134,-36.754,0,"shuwaYNZ",-0.014,-17.943,120,"にゃんこ3K",-21.782,-49.369,0,"3Ducks",-11.726,-61.995,0,"schmoneymikey",19.339,-46.996,112,"Rite_",18.372,-61.691,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,563.112,-0.158,-37.542,566.295,7,"AI",-0.98,-101.705,1,0,572.245,,567.751,572.366,35,2
21,1,1,2,0,0,0,2,1,0,0,1,255,255,20,593.748,"Yaksok~",R,3,79,118,1.85,-0.139,0.544,1.62,1.423,1.592,-36.445,44.512,2,0,-432.652,0,4.712,0,0,1,5,4,R,"Penguin_iDOL",190,80,0.398,3,70,W,Y,594.66,255,200,152,101,57,145,90,103.399,65.274,-0.83,0,0.323,526.342,-16.389,28.628,-0.268,-36.821,0,"shuwaYNZ",0.054,-17.882,0,"にゃんこ3K",-20.252,-45.52,0,"3Ducks",-10.569,-62.056,0,"schmoneymikey",18.075,-46.314,0,"Rite_",5.905,-66.957,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
22,1,1,2,0,0,1,2,1,0,0,1,255,255,21,611.489,"Yaksok~",R,8,88,138,-2.4,-0.332,-0.042,1.571,-1.127,1.4,-36.445,7.108,1,0,60.862,0,1.671,0,0,0,5,4,R,"Penguin_iDOL",190,80,0.398,0,71,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.508,-37.363,0,"shuwaYNZ",-0.155,-17.92,0,"にゃんこ3K",-20.677,-42.718,0,"3Ducks",-10.784,-62.401,0,"schmoneymikey",19.641,-47.997,0,"Rite_",3.632,-65.722,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,612.479,,,,0,0
