id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,326.536,"Penguin_iDOL",R,27,74,113,-0.304,0.313,0.163,1.894,-0.114,1.639,-36.493,17.491,0,0,-15.857,-137.698,8.017,0,0,1,0,3,R,"Ѕeyeon",181.5,95,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108,-37.714,0,"jungh0828 2d06",-0.039,-17.273,0,"SUGUN",-19.706,-44.615,0,"Yaksok~",-16.722,-62.748,0,"si_ho",20.481,-48.278,0,"k@ster",13.017,-61.518,0,"Po_cari",42.547,-86.14,0,"아침땅_",-9.616,-106.228,0,"ʚEveɞ",-50.708,-93.261,0,0,0,0,0,0,"",0,0,0,0,327.904,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,343.198,"Penguin_iDOL",R,27,62,103,-0.307,-0.234,0.163,1.752,-0.114,1.317,-36.493,11.301,2,0,-12.998,-133.525,7.85,0,0,1,0,3,R,"Ѕeyeon",181.5,95,0.5,3,55,W,Y,344.49,69,65,71,70,36,105,72,-74.876,-39.746,-0.27,0,0.199,-197.591,-14.796,3.866,-0.046,-37.336,0,"jungh0828 2d06",-0.053,-17.313,0,"SUGUN",-19.604,-44.522,87,"Yaksok~",-15.659,-63.102,0,"si_ho",21.15,-48.431,120,"k@ster",12.941,-61.341,0,"Po_cari",40.205,-82.224,0,"아침땅_",-9.631,-107.535,0,"ʚEveɞ",-50.673,-93.285,0,344.237,0.114,-20.215,348.587,4,"si_ho",11.621,-36.196,1,0,,,,,13,2
3,1,1,0,0,0,0,0,1,0,0,3,255,255,2,370.911,"Penguin_iDOL",R,10,84,125,1.796,-0.414,0.379,1.98,0.771,1.731,-36.493,29.664,1,0,0,400,8.915,0.324,-17.902,0,1,2,R,"레이나2",179.5,85.118,0.353,0,54,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,-37.625,0,"jungh0828 2d06",0.16,-17.391,0,"SUGUN",-20.163,-44.711,0,"Yaksok~",-11.877,-58.824,0,"si_ho",20.714,-48.842,0,"k@ster",12.358,-63.591,0,"Po_cari",41.273,-79.729,0,"아침땅_",-10.5,-107.946,0,"ʚEveɞ",-48.174,-94.517,0,0,0,0,0,0,"",0,0,0,0,373.571,,,,0,0
4,1,1,0,0,1,0,0,1,0,0,3,255,255,3,389.179,"Penguin_iDOL",R,10,76,117,0.36,-0.958,0.246,1.925,0.15,1.522,-36.493,29.2,2,0,0,400,3.754,0,0,1,1,2,R,"레이나2",179.5,85.118,0.353,3,54,W,Y,390.19,170,76,108,97,53,145,123,-22.691,-29.837,0.21,0,0.188,-466.642,-123.083,-108.16,-0.43,-37.36,0,"jungh0828 2d06",-0.03,-17.478,0,"SUGUN",-20.083,-44.648,85,"Yaksok~",-11.784,-58.631,101,"si_ho",21.171,-49.342,88,"k@ster",12.355,-63.452,0,"Po_cari",37.224,-78.033,0,"아침땅_",-10.334,-108.073,0,"ʚEveɞ",-47.906,-94.772,0,389.737,0.878,-21.957,391.221,4,"si_ho",16.654,-49.384,1,0,,397.551,,,77,2
5,1,1,0,0,0,0,1,1,0,0,2,255,255,4,416.267,"Penguin_iDOL",R,26,82,134,2.752,0.901,0.444,1.993,1.134,1.968,-36.493,30.939,1,0,43.241,-169.285,20.55,0.885,-18.921,0,2,5,R,"CoalCat",179.8,84.875,0.5,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-37.613,0,"jungh0828 2d06",0.121,-17.253,0,"SUGUN",-19.568,-45.039,0,"Yaksok~",-11.674,-58.523,0,"si_ho",20.772,-48.611,0,"k@ster",11.781,-62.928,0,"Po_cari",37.625,-84.782,0,"아침땅_",-7.882,-107.36,0,"ʚEveɞ",-43.713,-93.443,0,0,0,0,0,0,"",0,0,0,4,419.004,,,,0,0
6,1,1,0,0,1,0,1,1,0,0,2,255,255,5,433.225,"Penguin_iDOL",R,27,88,140,4.324,1.986,0.292,2.007,0.426,2.019,-36.493,25.814,2,0,4.464,-129.806,18.108,0,0,1,2,5,R,"CoalCat",179.8,84.875,0.5,0,53,W,Y,434.263,160,41,77,49,23,139,85,-7.875,17.758,-0.99,0,0.198,73.691,-311.972,18.264,-0.386,-37.025,0,"jungh0828 2d06",0.065,-17.407,0,"SUGUN",-19.809,-44.421,0,"Yaksok~",-11.146,-58.337,85,"si_ho",20.771,-48.643,0,"k@ster",12.279,-62.738,0,"Po_cari",33.398,-79.993,0,"아침땅_",-8.048,-107.528,0,"ʚEveɞ",-44.015,-93.342,0,433.987,-2.042,-27.286,435.854,3,"Yaksok~",-9.559,-51.232,0,2,481.254,439.517,,,327,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,583.123,"Floră",R,10,29,77,-0.224,0.01,0.356,2.118,-0.107,2.242,-36.34,34.82,2,0,0,348.165,2.084,0,0,1,0,6,R,"Po_cari",174.1,95,0.5,3,51,W,Y,584.543,127,93,62,60,42,137,95,-30,2.839,0,0,0.544,-345.67,215.109,-358.046,0.014,-37.978,0,"DoYaGee",-0.049,-17.578,0,"레이나2",-21.051,-46.535,0,"Ѕeyeon",-10.93,-60.518,0,"ʚmingɞ",18.628,-46.428,0,"CoalCat",10.638,-62.477,0,"-KYU-",47.791,-96.82,0,"HANA_ARASHI",-0.563,-111.859,91,"NABIMan",-46.048,-87.278,0,584.021,-0.116,-21.193,588.837,7,"HANA_ARASHI",-1.031,-89.293,1,0,,,,,384,2
8,1,0,0,0,0,0,0,1,0,0,16,255,255,1,640.133,"Floră",R,3,60,104,1.018,1.118,0.607,1.809,1.08,2.506,-36.34,36.557,2,0,-394.771,204.279,9.669,0,0,1,1,3,R,"Yaksok~",167.4,83.168,0.455,3,51,W,Y,641.345,168,121,61,145,41,137,82,110.002,-38.887,-0.6,0,0.699,253.02,144.656,165.748,0.113,-37.564,0,"DoYaGee",0.04,-17.411,0,"레이나2",-20.746,-45.984,0,"Ѕeyeon",-9.684,-57.208,0,"ʚmingɞ",18.829,-45.397,0,"CoalCat",10.234,-61.453,0,"-KYU-",49.98,-99.229,0,"HANA_ARASHI",-7.347,-112.666,0,"NABIMan",-45.275,-86.508,0,0,0,0,0,0,"",0,0,0,0,,,,,256,3
9,1,0,0,0,0,1,0,1,0,0,16,255,255,2,657.752,"Floră",R,10,61,106,-0.072,-1.589,0.29,1.883,-0.039,1.33,-36.34,35.492,2,0,0,400,3.023,0,0,1,1,3,R,"Yaksok~",167.4,83.168,0.455,3,50,W,Y,659.405,255,152,128,34,0,145,110,-30,-43.75,0.07,0,0.794,-190.345,459.566,-273.016,0.016,-37.531,0,"DoYaGee",-0.021,-17.675,120,"레이나2",-20.851,-46.27,0,"Ѕeyeon",-10.775,-58.458,0,"ʚmingɞ",18.685,-45.362,0,"CoalCat",9.785,-61.57,0,"-KYU-",50.257,-95.48,119,"HANA_ARASHI",-5.211,-111.769,0,"NABIMan",-46.982,-86.743,0,658.904,0.643,-21.812,663.804,6,"-KYU-",58.357,-80.499,1,0,667.887,664.981,,,328,2
10,1,0,0,0,0,0,0,1,1,0,13,16,255,3,690.575,"Floră",R,13,50,84,0.643,0.346,0.662,1.985,0.776,2.42,-36.34,36.82,2,0,-248.999,379.05,14.301,0,0,1,2,8,L,"ʚEveɞ",179.6,94.704,0.452,3,50,W,Y,691.696,205,112,93,55,14,145,121,-30,14.877,0.78,0,0.367,-538.858,-238.634,-21.23,0.159,-37.42,120,"DoYaGee",-0.051,-17.549,0,"레이나2",-21.573,-46.573,0,"Ѕeyeon",-8.394,-55.716,0,"ʚmingɞ",19.401,-45.32,0,"CoalCat",10.677,-59.981,92,"-KYU-",47.359,-91.151,0,"HANA_ARASHI",1.933,-104.419,113,"NABIMan",-43.02,-89.755,0,691.237,-0.335,-22.532,700.304,7,"HANA_ARASHI",-27.591,-129.423,1,0,712.854,696.39,698.217,703.035,452,2
