id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,241.774,"うよすま",R,3,71,100,-1.291,-0.647,0.35,1.228,0.348,1.277,-36.728,54.554,0,0,-421.072,0,-17.538,0,0,1,0,3,R,"Chunsik03",169.8,89.8,0.311,0,35,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275,-37.936,0,"Kr_Luna",0.02,-17.514,0,"SUGUN",-19.451,-44.204,0,"Fresh825",-15.143,-63.306,0,"ʚEveɞ",23.076,-49.533,0,"Floră",10.927,-65.51,0,"NABIMan",44.506,-100.133,0,"AI",0,-109.84,0,"ddil_ddil69",-44.371,-93.514,0,0,0,0,0,0,"",0,0,0,0,243.059,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,256.993,"うよすま",R,33,75,126,-0.244,-0.303,0.21,1.264,-0.335,1.379,-36.728,33.785,2,0,137.79,-53.995,-3.816,0,0,1,0,3,R,"Chunsik03",169.8,89.8,0.311,2,35,W,Y,258.112,173,99,75,78,70,145,119,101.768,-67.779,0.25,0,0.166,373.615,295.462,362.789,-0.341,-38.07,0,"Kr_Luna",0.021,-17.483,0,"SUGUN",-19.373,-44.224,0,"Fresh825",-14.98,-63.219,0,"ʚEveɞ",23.148,-49.239,0,"Floră",10.658,-66.165,0,"NABIMan",44.121,-100.117,0,"AI",0,-109.84,0,"ddil_ddil69",-45.041,-94.352,0,0,0,0,0,0,"",0,0,0,0,,,,,128,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,273.496,"うよすま",R,3,69,99,-2.539,-1.004,0.217,1.133,-0.293,1.079,-36.728,41.27,4,0,-369.84,0,-18.165,0,0,1,0,3,R,"Chunsik03",169.8,89.8,0.311,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,-38.024,0,"Kr_Luna",0.045,-17.481,0,"SUGUN",-19.613,-43.976,0,"Fresh825",-15.481,-63.972,0,"ʚEveɞ",24.135,-50.328,0,"Floră",10.317,-66.181,0,"NABIMan",40.845,-97.585,0,"AI",0,-109.84,0,"ddil_ddil69",-46.333,-95.315,0,0,0,0,0,0,"",0,0,0,0,274.699,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,299.596,"うよすま",R,34,72,123,3.931,1.113,0.445,1.414,1.544,2.318,-36.728,66.002,3,0,90.957,-12.475,-0.613,0.591,-21.732,0,1,6,R,"Pugeuk",179.8,86.01,0.397,0,35,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,-35.155,0,"Kr_Luna",0.108,-17.549,0,"SUGUN",-19.594,-44.026,0,"Fresh825",-15.208,-63.764,0,"ʚEveɞ",24.144,-50.426,0,"Floră",11.37,-65.661,0,"NABIMan",41.492,-96.778,0,"AI",0,-109.84,0,"ddil_ddil69",-46.215,-95.169,0,0,0,0,0,0,"",0,0,0,0,,,,,0,6
5,1,1,0,0,2,0,1,0,0,0,255,255,255,4,320.649,"うよすま",R,32,76,126,0.664,-0.386,0.313,1.17,-0.012,1.399,-36.728,44.377,0,0,189.973,8.59,-24.183,0,0,0,1,6,R,"Pugeuk",179.8,86.01,0.397,0,35,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.549,-38.096,0,"Kr_Luna",-0.025,-17.481,0,"SUGUN",-19.666,-44,0,"Fresh825",-15.483,-63.748,0,"ʚEveɞ",24.113,-50.431,0,"Floră",11.346,-65.453,0,"NABIMan",40.158,-97.389,0,"AI",0,-109.84,0,"ddil_ddil69",-44.717,-92.792,0,0,0,0,0,0,"",0,0,0,0,321.552,,,,0,0
6,1,1,0,0,2,1,1,0,0,0,255,255,255,5,336.978,"うよすま",R,3,77,104,-1.975,-0.379,0.286,1.138,-0.023,1.419,-36.728,44.11,4,0,-419.679,0,-24.223,0,0,1,1,6,R,"Pugeuk",179.8,86.01,0.397,0,35,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236,-38.039,0,"Kr_Luna",-0.025,-17.465,0,"SUGUN",-19.702,-43.924,0,"Fresh825",-15.348,-63.772,0,"ʚEveɞ",24.139,-50.406,0,"Floră",11.215,-65.278,0,"NABIMan",37.845,-97.74,0,"AI",0,-109.84,0,"ddil_ddil69",-47.509,-93.927,0,0,0,0,0,0,"",0,0,0,0,338.006,,,,0,0
7,1,1,0,0,2,2,1,0,0,0,255,255,255,6,350.042,"うよすま",R,32,77,115,-0.677,-0.767,0.135,1.029,-0.607,1.163,-36.728,35.02,2,0,175.941,-11.348,-27.041,0,0,1,1,6,R,"Pugeuk",179.8,86.01,0.397,3,35,W,Y,351.145,201,124,147,72,20,145,127,25.177,8.856,0.48,0,0.657,364.268,182.596,85.689,-0.281,-37.997,0,"Kr_Luna",-0.044,-17.464,0,"SUGUN",-19.559,-43.853,0,"Fresh825",-15.532,-63.708,0,"ʚEveɞ",24.036,-50.561,0,"Floră",11.098,-65.064,85,"NABIMan",42.263,-96.334,0,"AI",0,-109.84,0,"ddil_ddil69",-47.585,-94.136,0,356.099,-21.763,-132.209,357.206,7,"AI",-19.448,-128.14,1,0,,360.983,,,160,2
8,1,1,0,0,0,0,1,0,1,0,255,6,255,7,385.1,"うよすま",R,33,71,123,3.121,0.545,0.419,1.301,1.135,1.822,-36.728,57.76,3,0,133.656,-3.944,-3.549,-0.236,-20.95,0,2,7,R,"ke ro",165.1,82.225,0.386,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.403,-37.495,0,"Kr_Luna",-0.086,-17.789,0,"SUGUN",-19.338,-44.029,0,"Fresh825",-15.555,-63.574,0,"ʚEveɞ",23.298,-49.179,0,"Floră",8.507,-63.925,0,"NABIMan",44.672,-104.867,0,"Yaksok~",18.985,-19.032,0,"ddil_ddil69",-45.249,-92.376,0,0,0,0,0,0,"",0,0,0,0,389.406,387.82,,,0,6
9,1,1,0,0,2,0,1,0,1,0,255,6,255,8,405.896,"うよすま",R,3,62,94,-0.372,-0.594,0.453,1.155,0.653,1.324,-36.728,59.591,0,0,-373.302,0,-17.225,0,0,1,2,7,R,"ke ro",165.1,82.225,0.386,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.431,-38.152,0,"Kr_Luna",0.021,-17.489,0,"SUGUN",-19.42,-43.998,0,"Fresh825",-15.443,-63.853,0,"ʚEveɞ",23.325,-49.19,0,"Floră",5.388,-62.417,0,"NABIMan",40.482,-101.864,0,"Yaksok~",-3.061,-110.116,0,"ddil_ddil69",-45.11,-92.173,0,0,0,0,0,0,"",0,0,0,0,406.899,408.869,,,0,0
10,1,1,0,0,2,1,1,0,1,0,255,6,255,9,426.165,"うよすま",R,32,84,136,0.841,-0.485,0.38,1.168,0.128,1.322,-36.728,39.911,2,0,164.497,-27.977,-3.879,0,0,0,2,7,R,"ke ro",165.1,82.225,0.386,3,34,W,Y,427.057,97,19,26,7,0,24,44,-70.052,-24.566,0.11,0,0.329,208.922,-414.83,248.825,-0.183,-37.969,0,"Kr_Luna",0.01,-17.461,119,"SUGUN",-19.119,-43.6,76,"Fresh825",-15.57,-63.633,0,"ʚEveɞ",23.178,-49.063,0,"Floră",9.428,-63.329,0,"NABIMan",41.442,-102.93,0,"Yaksok~",1.88,-111.178,0,"ddil_ddil69",-46.373,-92.273,0,426.606,0.259,-19.859,429.166,1,"Kr_Luna",-1.566,-23.71,0,0,429.166,,431.457,,137,2
11,1,1,0,0,0,0,2,0,0,1,255,255,6,10,453.469,"うよすま",R,3,70,100,1.166,-0.328,0.547,1.205,1.186,1.459,-36.728,59.849,0,0,-399.825,0,-6.911,0,0,0,3,5,R,"아침땅_",167.1,95.405,0.5,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239,-38.056,0,"Kr_Luna",0.052,-17.671,0,"SUGUN",-19.29,-43.516,0,"Fresh825",-14.342,-63.552,0,"ʚEveɞ",21.31,-43.938,0,"Floră",13.43,-64.732,0,"NABIMan",40.532,-105.728,0,"Yaksok~",-3.23,-109.165,0,"ddil_ddil69",-45.602,-90.277,0,0,0,0,0,0,"",0,0,0,0,454.326,,455.708,,0,0
12,1,1,0,0,0,1,2,0,0,1,255,255,6,11,467.991,"うよすま",R,33,69,121,4.72,1.444,0.471,1.421,1.868,2.476,-36.728,72.689,3,0,114.068,-5.986,0.56,1.702,-21.306,0,3,5,R,"아침땅_",167.1,95.405,0.5,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-37.707,0,"Kr_Luna",0.126,-17.673,0,"SUGUN",-19.328,-43.523,0,"Fresh825",-13.976,-63.803,0,"ʚEveɞ",21.41,-45.956,0,"Floră",13.187,-64.612,0,"NABIMan",43.655,-108.417,0,"Yaksok~",-3.996,-108.333,0,"ddil_ddil69",-45.959,-91.216,0,0,0,0,0,0,"",0,0,0,0,,,470.504,,0,6
13,1,1,0,0,2,1,2,0,0,1,255,255,6,12,493.357,"うよすま",R,3,69,101,-0.862,-0.651,0.538,1.126,0.238,1.283,-36.728,50.348,0,0,-310.224,0,-16.262,0,0,1,3,5,R,"아침땅_",167.1,95.405,0.5,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078,-37.953,0,"Kr_Luna",0.006,-17.654,0,"SUGUN",-19.293,-43.045,0,"Fresh825",-14.192,-63.734,0,"ʚEveɞ",21.365,-46.855,0,"Floră",13.283,-64.998,0,"NABIMan",40.839,-94.59,0,"Yaksok~",-2.936,-103.44,0,"ddil_ddil69",-45.954,-91.191,0,0,0,0,0,0,"",0,0,0,0,494.259,,495.918,,0,0
14,1,1,0,0,2,2,2,0,0,1,255,255,6,13,510.612,"うよすま",R,33,75,126,2.602,0.513,0.551,1.312,0.929,1.884,-36.728,58.146,2,1,124.084,-8.261,-1.596,0,0,1,3,5,R,"아침땅_",167.1,95.405,0.5,2,34,W,Y,511.522,139,55,61,29,0,131,72,-25.863,-41.586,-1,0,0.306,-353.475,-9.841,207.221,-0.145,-37.707,0,"Kr_Luna",0.104,-17.617,0,"SUGUN",-19.301,-43.875,0,"Fresh825",-14.147,-63.777,0,"ʚEveɞ",20.937,-46.55,106,"Floră",13.168,-64.902,0,"NABIMan",40.274,-93.617,0,"Yaksok~",-3.364,-107.3,0,"ddil_ddil69",-48.32,-90.224,0,511.099,2.176,-20.983,513.126,4,"ʚEveɞ",19.791,-41.453,0,0,543.752,,,515.804,421,2
15,1,0,0,0,0,0,0,0,0,0,255,255,255,0,577.409,"소솨소솨",R,28,84,136,2.037,1.239,0.369,1.743,0.786,2.327,-36.569,16.368,4,0,61.87,-66.824,0.18,1.753,-17.667,1,0,2,R,"SUGUN",190,81.662,0.502,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,-38.025,0,"Pring__",-0.036,-17.015,0,"encounter v",-19.834,-45.653,0,"Chunsik03",-13.195,-61.995,0,"인생최패망자",19.008,-48.408,0,"아침땅_",11.306,-65.738,0,"Pugeuk",37.969,-97.467,0,"ke ro",-1.022,-109.241,0,"하루（Haru）",-49.116,-94.463,0,0,0,0,0,0,"",0,0,0,0,581.192,,,,0,0
16,1,0,0,0,0,1,0,0,0,0,255,255,255,1,594.538,"소솨소솨",R,1,18,83,-1.78,-0.981,0.13,1.673,-0.483,2.068,-36.569,10.236,4,0,3.538,0.894,0.183,0,0,1,0,2,R,"SUGUN",190,81.662,0.502,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.751,0,"Pring__",-0.164,-17.245,0,"encounter v",-19.428,-44.466,0,"Chunsik03",-11.093,-59.632,0,"인생최패망자",19.028,-48.36,0,"아침땅_",11.299,-65.719,0,"Pugeuk",38.147,-98.502,0,"ke ro",-1.051,-109.271,0,"하루（Haru）",-49.528,-94.962,0,0,0,0,0,0,"",0,0,0,0,596.046,,,,0,0
17,1,0,0,0,0,2,0,0,0,0,255,255,255,2,611.11,"소솨소솨",R,32,86,139,0.356,0.03,0.186,1.503,-0.065,1.548,-36.569,7.766,0,0,151.62,-94.976,-1.807,0.28,-6.999,1,0,2,R,"SUGUN",190,81.662,0.502,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,-38.045,0,"Pring__",-0.1,-17.504,0,"encounter v",-20.029,-43.844,0,"Chunsik03",-12.222,-62.759,0,"인생최패망자",20.974,-50.751,0,"아침땅_",11.303,-65.709,0,"Pugeuk",37.656,-98.555,0,"ke ro",-1.047,-109.283,0,"하루（Haru）",-48.364,-95.766,0,0,0,0,0,0,"",0,0,0,0,613.152,,,,0,0
