id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,272.511,"白霜らいふ",R,26,84,136,0.516,0.033,0.395,1.698,0.154,1.418,-36.637,38.976,2,0,42.554,-200,11.383,0,0,1,0,5,R,"장덕춘_",170.3,95.314,0.322,3,74,W,Y,273.456,228,92,121,73,46,145,95,29.493,8.472,0.93,0,0.232,139.36,-176.266,-4.532,0.271,-36.885,0,"bdg06213",0.067,-17.959,0,"레이나2",-20.953,-46.274,0,"ゆっち一",-16.148,-65.072,0,"schmoneymikey",20.502,-49.486,0,"Muna_328",10.767,-64.969,102,"「론구」",45.375,-97.073,0,"Oort__Cloud",-4.439,-95.843,83,"SUGUN",-48.869,-94.837,0,0,0,0,278.176,7,"Oort__Cloud",-8.443,-93.625,0,0,,,,,388,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,298.1,"白霜らいふ",R,26,91,140,0.479,-0.329,0.141,1.394,0.251,1.248,-36.637,8.582,0,0,-70.8,-200,43.473,0,0,0,1,6,R,"-KYU-",180.1,80,0.403,0,71,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.075,0,"bdg06213",0.099,-17.745,0,"레이나2",-20.87,-46.151,0,"ゆっち一",-16.706,-66.352,0,"schmoneymikey",20.408,-49.42,0,"Muna_328",8.19,-66.673,0,"「론구」",39.053,-92.366,0,"Oort__Cloud",-3.772,-99.797,0,"SUGUN",-49.91,-95.128,0,0,0,0,0,0,"",0,0,0,0,299.221,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,313.005,"白霜らいふ",R,3,79,110,-2.162,-0.169,0.315,1.532,-0.521,1.519,-36.637,37.249,1,0,-253.867,0,-13.733,0,0,0,1,6,R,"-KYU-",180.1,80,0.403,0,71,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,-36.917,0,"bdg06213",-0.257,-17.691,0,"레이나2",-20.835,-45.705,0,"ゆっち一",-18.923,-64.482,0,"schmoneymikey",20.417,-49.417,0,"Muna_328",8.128,-66.676,0,"「론구」",39.05,-92.364,0,"Oort__Cloud",-3.931,-99.777,0,"SUGUN",-49.809,-95.224,0,0,0,0,0,0,"",0,0,0,0,314.287,,,,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,329.454,"白霜らいふ",R,5,81,115,-2.947,-1.044,0.281,1.614,-1.063,1.027,-36.637,33.415,1,0,-143.954,37.96,-15.903,-1.132,-17.898,0,1,6,R,"-KYU-",180.1,80,0.403,0,71,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-36.9,0,"bdg06213",-1.154,-17.676,0,"레이나2",-20.844,-45.303,0,"ゆっち一",-18.947,-65.759,0,"schmoneymikey",20.246,-49.469,0,"Muna_328",8.107,-66.699,0,"「론구」",39.069,-92.385,0,"Oort__Cloud",-3.828,-99.778,0,"SUGUN",-50.023,-95.025,0,0,0,0,0,0,"",0,0,0,0,332.187,,,,0,0
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,356.606,"白霜らいふ",R,10,82,109,-1.695,-0.747,-0.004,1.663,-0.789,1.523,-36.637,22.78,1,0,38.599,400,31.507,-0.806,-18.115,0,2,4,R,"si_ho",190,88.027,0.599,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436,-37.204,0,"bdg06213",-0.956,-17.972,0,"레이나2",-20.764,-45.933,0,"ゆっち一",-16.366,-62.218,0,"schmoneymikey",20.322,-49.473,0,"Muna_328",7.891,-66.907,0,"「론구」",41.425,-95.758,0,"Oort__Cloud",-3.97,-99.835,0,"SUGUN",-50.003,-95.076,0,0,0,0,0,0,"",0,0,0,0,359.476,,,,0,0
6,1,1,0,0,1,0,2,0,0,0,255,255,255,5,373.589,"白霜らいふ",R,26,91,140,0.779,-0.863,0.323,1.392,0.281,0.903,-36.637,17.919,2,0,37.314,-199.36,24.49,0,0,1,2,4,R,"si_ho",190,88.027,0.599,3,69,W,Y,374.68,255,221,94,44,0,145,102,-22.319,42.282,-0.23,0,0.719,46.527,526.555,214.725,0.279,-36.912,0,"bdg06213",0.035,-17.873,0,"레이나2",-20.811,-45.826,0,"ゆっち一",-17.243,-64.215,0,"schmoneymikey",20.321,-49.495,0,"Muna_328",7.842,-66.93,0,"「론구」",44.381,-98.938,0,"Oort__Cloud",-3.986,-99.812,0,"SUGUN",-48.941,-96.689,0,374.487,-1.269,-20.493,376.021,2,"레이나2",-20.129,-41.064,0,0,417.121,,,,137,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,549.3,"ʚEveɞ",R,26,93,140,-1.016,0.348,0.088,1.69,-0.519,1.632,-36.338,18.351,0,0,63.926,-200,18.678,0,0,0,0,2,R,"레이나2",179.9,85.17,0.353,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.045,0,"Pring__",-0.079,-17.029,0,"_앰프_",-21.465,-47.221,0,"YukihiroD",-11.849,-63.522,0,"si_ho",20.337,-50.187,0,"장덕춘_",13.727,-63.865,0,"-KYU-",52.163,-96.638,0,"AI",0,-109.84,0,"crani",-46.141,-97.656,0,0,0,0,0,0,"",0,0,0,0,550.387,,,,0,0
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,560.083,"ʚEveɞ",R,14,75,114,2.995,-0.699,0.347,1.693,0.682,1.644,-36.338,24.369,4,0,353.908,353.199,13.954,0,0,1,0,2,R,"레이나2",179.9,85.17,0.353,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,-37.06,0,"Pring__",-0.034,-17.076,0,"_앰프_",-21.376,-47.319,0,"YukihiroD",-12.151,-63.565,0,"si_ho",20.297,-50.15,0,"장덕춘_",13.606,-64.177,0,"-KYU-",52.809,-96.582,0,"AI",0,-109.84,0,"crani",-46.289,-97.663,0,0,0,0,0,0,"",0,0,0,0,561.154,,,,0,0
9,1,0,0,0,0,2,0,0,0,0,255,255,255,2,580.719,"ʚEveɞ",R,12,72,122,1.453,-0.731,0.388,1.546,0.876,1.141,-36.338,27.613,2,0,0,81.097,11.751,0,0,1,0,2,R,"레이나2",179.9,85.17,0.353,3,67,W,Y,582.116,255,123,94,90,44,145,87,-86.279,-85.965,-0.81,0,0.197,-383.776,-353.787,-174.668,0.142,-36.978,0,"Pring__",-0.001,-17.215,0,"_앰프_",-20.829,-46.375,0,"YukihiroD",-12.244,-63.761,0,"si_ho",20.299,-50.126,0,"장덕춘_",12.81,-64.857,0,"-KYU-",52.848,-96.489,0,"AI",0,-109.84,0,"crani",-46.16,-97.696,0,581.787,0.959,-20.556,0,0,"",0,0,0,0,,,,,128,3
10,1,0,0,0,0,2,0,0,0,0,255,255,255,3,595.449,"ʚEveɞ",R,14,56,88,-0.345,0.428,-0.112,2.153,-0.923,2.403,-36.338,25.895,0,0,322.702,295.443,22.261,0,0,0,0,2,R,"레이나2",179.9,85.17,0.353,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,-37.475,0,"Pring__",-0.017,-17.148,0,"_앰프_",-20.947,-43.88,0,"YukihiroD",-11.697,-61.796,0,"si_ho",19.803,-49.065,0,"장덕춘_",11.744,-65.146,0,"-KYU-",53.23,-98.977,0,"AI",0,-109.84,0,"crani",-46.585,-98.165,0,0,0,0,0,0,"",0,0,0,0,597.109,,,,0,0
