id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,239.027,"encounter v",R,13,95,126,1.191,-0.011,0.599,2.312,1.01,1.883,-36.618,67.09,2,0,-390.434,312.348,-2.551,0,0,0,0,7,R,"ke ro",167,80.225,0.386,3,58,W,Y,240.042,229,109,92,57,33,145,120,28.188,-9.047,0.5,0,0.645,344.375,409.588,189.282,0.311,-37.533,0,"Pring__",-0.028,-17.028,0,"Pugeuk",-20.5,-50.635,0,"_앰프_",-15.004,-62.62,65,"mungjungh",23.806,-49.344,0,"CoalCat",13.212,-63.321,0,"AI",40.9,-90.65,0,"아침땅_",-7.999,-110.5,94,"CVPileMaki",-34.883,-88.454,0,244.923,6.25,-128.103,246.43,7,"아침땅_",5.97,-131.909,1,0,,249.694,,,146,2
2,1,1,0,0,0,0,0,0,1,0,255,7,255,1,271.295,"encounter v",R,13,72,111,-25.631,-2.664,0.283,1.883,-10.998,-5.488,-36.618,111.719,1,0,-278.705,400,-22.565,-1.701,-30.26,0,1,8,R,"ByeolBam",179.7,90,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,-37.609,0,"Pring__",-1.108,-17.384,0,"Pugeuk",-19.497,-47.733,0,"_앰프_",-13.414,-60.197,0,"mungjungh",19.802,-42.909,0,"CoalCat",10.039,-61.924,0,"AI",40.9,-90.65,0,"아침땅_",-9.189,-113.259,0,"CVPileMaki",-43.055,-99.926,0,0,0,0,0,0,"",0,0,0,0,276.257,,278.071,,0,0
3,1,1,0,0,1,0,0,0,0,1,255,255,7,2,292.228,"encounter v",R,32,79,129,1.442,0.38,0.63,2.234,0.227,1.598,-36.618,86.779,0,0,250,-200,-20.76,0,0,0,1,8,R,"ByeolBam",179.7,90,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,-37.507,0,"Pring__",-0.042,-16.879,0,"Pugeuk",-19.078,-46.661,0,"_앰프_",-13.153,-60.211,0,"mungjungh",20.256,-43.597,0,"CoalCat",11.913,-62.988,0,"AI",40.9,-90.65,0,"아침땅_",-8.612,-113.08,0,"CVPileMaki",-42.333,-95.583,0,0,0,0,0,0,"",0,0,0,0,293.283,,,,0,0
4,1,1,0,0,1,1,0,0,0,1,255,255,7,3,305.84,"encounter v",R,13,73,112,-0.668,-1.012,0.67,2.181,0.41,1.417,-36.618,90.584,0,0,-390.434,312.348,-14.905,0,0,1,1,8,R,"ByeolBam",179.7,90,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,-37.559,0,"Pring__",-0.109,-16.982,0,"Pugeuk",-19.041,-46.858,0,"_앰프_",-14.053,-60.636,0,"mungjungh",18.853,-42.271,0,"CoalCat",12.744,-62.932,0,"AI",40.9,-90.65,0,"아침땅_",-9.477,-112.408,0,"CVPileMaki",-45.374,-96.181,0,0,0,0,0,0,"",0,0,0,0,306.95,,,,0,0
5,1,1,0,0,1,2,0,0,0,1,255,255,7,4,318.373,"encounter v",R,13,91,126,-3.787,-2.147,0.531,2.227,-0.235,1.575,-36.618,61.093,4,0,-363.5,343.318,-24.814,-0.828,-20.475,1,1,8,R,"ByeolBam",179.7,90,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,-37.438,0,"Pring__",-1.052,-17.657,0,"Pugeuk",-19.533,-45.091,0,"_앰프_",-11.724,-59.583,0,"mungjungh",20.883,-41.573,0,"CoalCat",11.365,-62.875,0,"AI",40.9,-90.65,0,"아침땅_",-9.453,-112.393,0,"CVPileMaki",-47.044,-98.764,0,0,0,0,0,0,"",0,0,0,0,,,323.961,,0,0
6,1,1,0,0,1,2,0,0,0,1,255,255,7,5,344.534,"encounter v",R,13,89,126,-1.468,-1.466,0.56,2.094,-0.099,1.118,-36.618,51.335,4,0,-354.509,352.595,-28.118,0,0,1,1,8,R,"ByeolBam",179.7,90,0.5,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227,-37.542,0,"Pring__",-0.226,-17.421,0,"Pugeuk",-19.875,-45.524,0,"_앰프_",-14.134,-58.884,0,"mungjungh",19.702,-42.3,0,"CoalCat",13.631,-62.349,0,"AI",40.9,-90.65,0,"아침땅_",-9.806,-112.122,0,"CVPileMaki",-47.556,-99.257,0,0,0,0,0,0,"",0,0,0,0,345.603,,348.744,,0,0
7,1,1,0,0,0,0,1,0,0,1,255,255,7,6,363.288,"encounter v",R,13,88,126,-0.527,-0.639,0.456,2.206,0.345,1.51,-36.618,50.254,0,0,-390.434,312.348,-9.59,-0.864,-17.993,1,2,2,R,"Floră",190,85,0.403,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-37.586,0,"Pring__",-0.36,-17.507,0,"Pugeuk",-20.316,-47.801,0,"_앰프_",-14.613,-58.746,0,"mungjungh",21.471,-45.846,0,"CoalCat",11.04,-61.515,0,"AI",40.9,-90.65,0,"아침땅_",-10.503,-111.823,0,"CVPileMaki",-48.281,-96.443,0,0,0,0,0,0,"",0,0,0,0,366.39,,,,0,0
8,1,1,0,0,0,1,1,0,0,1,255,255,7,7,379.446,"encounter v",R,13,85,124,1.508,0.521,0.647,2.234,1.237,2.249,-36.618,68.288,2,0,-390.434,312.348,-13.437,0,0,1,2,2,R,"Floră",190,85,0.403,2,89,W,Y,380.698,96,118,70,89,41,132,79,-44.711,30.857,-1,0,0.337,181.504,-464.801,-208.541,0.412,-37.409,0,"Pring__",-0.017,-17.23,120,"Pugeuk",-20.134,-46.73,110,"_앰프_",-15.025,-60.015,0,"mungjungh",19.1,-40.379,0,"CoalCat",10.698,-60.371,0,"Yaksok~",37.624,-84.115,0,"아침땅_",-10.66,-111.824,0,"CVPileMaki",-46.151,-98.622,0,380.177,-0.411,-21.48,382.35,2,"Pugeuk",-13.731,-43.969,0,0,385.723,,,384.986,14,2
9,1,1,1,0,0,0,2,0,0,0,255,255,255,8,404.625,"encounter v",R,10,59,104,-1.701,-0.189,0.459,2.318,-0.57,1.875,-36.618,69.69,2,0,0,400,-58.695,0,0,1,3,4,L,"schmoneymikey",190,80,0.345,3,49,W,Y,405.89,171,100,65,88,44,139,90,-43.124,43.425,-0.66,0,0.367,-533.503,194.324,-133.649,0.346,-37.494,0,"Pring__",-0.155,-17.219,0,"Pugeuk",-18.298,-48.607,0,"_앰프_",-10.358,-61.533,0,"mungjungh",25.788,-49.236,0,"CoalCat",13.917,-63.155,0,"Yaksok~",35.996,-84.977,0,"아침땅_",4.378,-113.716,0,"CVPileMaki",-45.043,-97.622,0,405.43,-1.206,-21.344,407.363,2,"Pugeuk",-20.886,-41.963,0,0,433.843,,,,168,2
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,525.965,"하루（Haru）",R,28,89,140,-0.202,1.094,0.157,1.906,-0.199,2.175,-36.489,32.159,2,0,78.325,-80.758,5.386,0,0,1,0,2,R,"Pugeuk",179.8,86.01,0.397,5,46,W,Y,526.939,135,112,83,24,15,136,112,113.805,48.576,0.17,0,0.624,455.811,201.53,-51.193,0.024,-37.056,0,"가앤슬_",-0.077,-17.725,0,"Floră",-21.648,-49.663,0,"Oort__Cloud",-12.778,-64.938,0,"schmoneymikey",19.684,-48.211,0,"_송글_",9.669,-65.215,0,"AI",40.9,-90.65,0,"ke ro",-0.67,-116.467,0,"ByeolBam",-45.572,-95.657,0,0,0,0,0,0,"",0,0,0,0,,,,,128,3
