id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,235.071,"Pugeuk",R,26,87,140,0.851,1.003,0.302,1.662,0.475,2.046,-36.592,18.68,2,0,-102.485,-151.9,21.464,0,0,0,0,2,R,"Ѕeyeon",175,95,0.5,3,78,W,Y,236.184,53,23,33,32,4,45,49,-87.481,79.084,0.38,0,0.247,-469.635,356.902,98.335,0.175,-37.161,0,"아침땅_",-0.019,-17.678,120,"ByeolBam",-20.796,-48.828,0,"_앰프_",-14.571,-61.977,0,"-Alta-",19.734,-50.085,0,"yumi2012",14.623,-64.281,0,"Kr_Luna",40.901,-92.42,0,"AI",0,-109.84,0,"낑깡__",-35.888,-87.438,0,236.201,-0.121,-19.051,240.192,1,"아침땅_",-8.807,-22.168,0,0,240.192,,,,192,2
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,255.866,"Pugeuk",R,3,71,100,1.23,1.18,0.631,1.828,1.338,2.305,-36.592,42.373,2,0,-395.179,0,48.024,0,0,0,0,2,R,"Ѕeyeon",175,95,0.5,3,78,W,Y,257.162,31,43,42,35,53,29,32,101.232,46.692,0.68,0,0.127,556.297,145.112,-71.23,-0.338,-37.126,0,"아침땅_",0.037,-17.881,0,"ByeolBam",-20.135,-47.212,0,"_앰프_",-13.82,-62.381,0,"-Alta-",21.679,-50.622,0,"yumi2012",15.257,-63.309,0,"Kr_Luna",41.28,-91.68,0,"AI",0,-109.84,0,"낑깡__",-35.894,-83.711,0,260.876,5.547,-13.864,0,0,"",0,0,0,0,,,,,128,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,288.597,"Pugeuk",R,27,75,113,0.189,0.828,0.205,1.57,0.017,1.7,-36.592,16.781,2,0,9.339,-103.555,1.307,0,0,1,0,2,R,"Ѕeyeon",175,95,0.5,3,78,W,Y,289.79,97,64,62,55,18,130,77,-50.168,7.8,-0.77,0,0.262,-73.844,-44.255,32.029,0.183,-36.836,0,"아침땅_",-0.003,-17.749,0,"ByeolBam",-20.737,-48.645,72,"_앰프_",-14.856,-63,0,"-Alta-",21.549,-51.782,0,"yumi2012",14.585,-64.028,0,"Kr_Luna",36.347,-91.709,0,"AI",0,-109.84,0,"낑깡__",-36.198,-85.272,0,289.743,-0.096,-21.136,291.351,0,"Pugeuk",-2.143,-36.149,1,0,,,,,136,2
4,1,1,0,0,0,0,0,1,0,0,2,255,255,3,317.869,"Pugeuk",R,30,90,140,0.197,0.476,0.246,1.59,0.213,1.79,-36.592,17.375,2,0,-128.365,-120.298,12.575,0,0,0,1,6,R,"-KYU-",180.1,80,0.403,3,73,W,Y,318.903,178,20,0,0,0,9,47,-45.738,36.043,-0.73,0,0.473,-233.649,267.286,30.478,0.132,-37.574,0,"아침땅_",0.012,-17.742,0,"ByeolBam",-18.894,-45.643,111,"_앰프_",-12.647,-61.094,0,"-Alta-",20.739,-51.452,0,"yumi2012",12.06,-64.287,0,"Kr_Luna",31.814,-93.12,85,"AI",0,-109.84,0,"낑깡__",-35.537,-83.108,0,318.876,-0.713,-20.115,322.059,2,"ByeolBam",-13.081,-38.809,1,0,,326.124,,,152,2
5,1,1,0,0,0,0,0,1,1,0,6,2,255,4,351.64,"Pugeuk",R,3,79,105,1.111,1.028,0.601,1.774,1.245,2.194,-36.592,29.515,2,0,-477.273,0,20.117,0,0,1,2,1,R,"Po_cari",170,90,0.45,3,71,W,Y,352.862,188,66,94,67,20,145,91,8.745,18.735,-0.4,0,0.487,136.818,106.025,-62.716,0.113,-36.962,0,"아침땅_",-0.007,-17.785,0,"ByeolBam",-19.625,-47.419,0,"_앰프_",-13.423,-59.057,95,"-Alta-",19.971,-49.927,0,"yumi2012",13.147,-65.269,0,"Kr_Luna",32.964,-89.443,0,"AI",0,-109.84,0,"낑깡__",-36.467,-86.003,0,0,0,0,354.818,3,"_앰프_",-12.285,-55.739,0,0,410.401,,358.712,,172,1
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,519.909,"Pring__",R,32,82,133,-0.636,0.559,0.627,1.464,-0.557,1.87,-36.138,49.496,0,0,182.853,-65.583,10.589,0,0,0,0,5,R,"yumi2012",175,85.003,0.5,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168,-37.706,0,"Po_cari",-0.042,-18.004,0,"Ѕeyeon",-21.357,-43.101,0,"장덕춘_",-12.644,-65.077,0,"Roscosmos",21.483,-46.889,0,"muyang_",9.875,-65.983,0,"-KYU-",50.855,-94.559,0,"AI",0,-109.84,0,"TaeGeuk_",-51.655,-99.252,0,0,0,0,0,0,"",0,0,0,0,521.326,,,,0,0
7,1,0,0,0,0,1,0,0,0,0,255,255,255,1,533.433,"Pring__",R,33,67,120,-1.3,0.245,0.576,1.4,-0.79,1.643,-36.138,57.767,2,0,126.554,-102.036,4.595,0,0,0,0,5,R,"yumi2012",175,85.003,0.5,3,64,W,Y,534.634,145,193,111,96,89,145,109,-30,50.926,0.91,0,0.426,-21.181,-91.63,-44.61,0.155,-36.846,0,"Po_cari",-0.027,-18.099,0,"Ѕeyeon",-21.348,-43.106,0,"장덕춘_",-12.545,-65.053,0,"Roscosmos",21.389,-47.111,0,"muyang_",12.301,-65.203,0,"-KYU-",50.581,-94.871,0,"AI",0,-109.84,0,"TaeGeuk_",-50.588,-99.937,0,534.601,-2.247,-21.991,0,0,"",0,0,0,0,,,,,128,3
8,1,0,0,0,0,2,0,0,0,0,255,255,255,2,549.277,"Pring__",R,32,74,112,1.38,-0.006,0.714,1.441,-0.101,1.743,-36.138,57.878,2,0,213.817,-98.571,7.757,0,0,1,0,5,R,"yumi2012",175,85.003,0.5,3,50,W,Y,550.495,192,156,55,84,41,137,83,47.097,27.949,-0.67,0,0.338,498.446,322.244,19.062,0.233,-37.005,0,"Po_cari",-0.039,-18.079,0,"Ѕeyeon",-21.71,-43.962,0,"장덕춘_",-14.427,-63.138,103,"Roscosmos",21.951,-48.319,0,"muyang_",8.863,-66.769,0,"-KYU-",48.885,-93.187,0,"AI",0,-109.84,0,"TaeGeuk_",-50.936,-98.285,0,555.701,-32.765,-69.857,555.851,3,"장덕춘_",-31.754,-68.459,0,0,,,,,192,1
9,1,0,0,0,0,0,1,0,0,0,255,255,255,3,603.707,"Pring__",R,13,70,98,-1.17,-0.534,0.761,1.448,0.045,1.751,-36.138,56.118,2,0,-318.279,349.816,2.028,0,0,1,1,4,L,"-Alta-",190,84.283,0.478,1,63,W,Y,604.997,216,132,90,131,88,145,92,26.194,-53.005,1,0,0.654,181.886,436.403,87.296,0.083,-36.868,0,"Po_cari",-0.002,-18.293,0,"Ѕeyeon",-21.126,-43.262,0,"장덕춘_",-12.446,-65.239,0,"Roscosmos",21.967,-49.124,0,"muyang_",13.655,-64.79,0,"-KYU-",49.471,-95.025,0,"AI",0,-109.84,0,"TaeGeuk_",-49.712,-94.238,0,608.418,50.231,-65.173,0,0,"",0,0,0,0,,,,,128,3
10,1,0,0,0,0,1,1,0,0,0,255,255,255,4,623.61,"Pring__",R,32,83,134,-0.639,0.057,0.62,1.383,-0.589,1.59,-36.138,47.635,0,0,205.903,-71.255,4.487,0,0,1,1,4,L,"-Alta-",190,84.283,0.478,0,63,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.779,0,"Po_cari",-0.008,-18.22,0,"Ѕeyeon",-21.886,-43.515,0,"장덕춘_",-12.744,-65.189,0,"Roscosmos",22.752,-48.692,0,"muyang_",14.38,-65.148,0,"-KYU-",52.298,-94.487,0,"AI",0,-109.84,0,"TaeGeuk_",-49.398,-95.262,0,0,0,0,0,0,"",0,0,0,0,625.051,,,,0,0
