id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,369.064,"まととまと",R,27,85,138,2.63,0.316,0.299,1.875,0.458,1.742,-36.391,34.436,2,0,-30.933,-137.137,16.386,0,0,1,0,7,R,"ByeolBam",180.1,90,0.5,3,80,W,Y,370.037,193,110,118,84,47,145,95,17.861,22.87,-0.4,0,0.238,53.497,556.406,5.54,-0.262,-36.734,0,"kneesohime",0.049,-17.197,0,"Parottey",-22.226,-45.215,0,"Ainy4／あいにゃ",-14.126,-62.859,81,"MODECO",21.399,-48.798,0,"kotatu_yowai",15.151,-63.64,0,"-つる３-",47.792,-85.985,0,"うよすま",-5.688,-112.236,0,"Tedonsama",-54.647,-94.665,107,373.604,-33.35,-80.535,374.737,8,"Tedonsama",-38.459,-87.522,1,0,,,,,260,2
2,1,1,0,0,0,0,0,1,0,0,7,255,255,1,395.645,"まととまと",R,6,76,103,-1.032,-0.235,-0.121,1.87,-0.995,1.699,-36.391,28.42,0,0,409.372,242.614,46.142,0,0,0,1,1,L,"encounter v",190,83,0.527,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.631,0,"kneesohime",-0.077,-17.583,0,"Parottey",-21.043,-42.428,0,"Ainy4／あいにゃ",-8.939,-60.844,0,"MODECO",22.596,-49.009,0,"kotatu_yowai",15.779,-63.206,0,"-つる３-",49.979,-92.406,0,"うよすま",-0.247,-117.03,0,"Tedonsama",-49.737,-96.461,0,0,0,0,0,0,"",0,0,0,0,397.262,,,,0,0
3,1,1,0,0,0,1,0,1,0,0,7,255,255,2,411.343,"まととまと",R,4,79,111,-0.599,-0.588,0.334,1.701,0.176,1.243,-36.391,36.347,2,0,-242.272,0,-3.846,0,0,1,1,1,L,"encounter v",190,83,0.527,3,41,W,Y,412.338,255,171,107,139,0,145,130,-12.487,37.95,0.55,0,0.593,63.701,9.299,498.696,-0.254,-36.886,0,"kneesohime",0.002,-17.312,0,"Parottey",-18.507,-41.164,101,"Ainy4／あいにゃ",-10.651,-61.277,0,"MODECO",22.445,-49.215,0,"kotatu_yowai",16.039,-63.42,94,"-つる３-",49.757,-92.236,0,"うよすま",-0.329,-117.292,0,"Tedonsama",-50.95,-96.932,0,412.562,-2.995,-23.622,413.571,2,"Parottey",-16.82,-41.375,1,0,,417.034,,,18,2
4,1,1,0,0,0,0,1,1,0,0,1,255,255,3,438.187,"まととまと",R,26,93,140,0.208,0.231,0.224,1.834,0.112,1.602,-36.391,31.184,2,0,-25.56,-170.531,20.925,0,0,0,2,9,R,"-라후이-",190,87.311,0.496,3,68,W,Y,439.082,214,106,148,52,46,145,130,31.296,7.339,0.62,0,0.159,-65.677,239.58,-53.48,-0.617,-36.708,0,"kneesohime",0.01,-17.367,0,"Parottey",-20.174,-42.149,85,"Ainy4／あいにゃ",-11.758,-60.554,0,"MODECO",21.461,-47.889,0,"kotatu_yowai",10.869,-62.263,86,"-つる３-",45.89,-88.077,0,"うよすま",-6.529,-117.256,0,"Tedonsama",-54.416,-98.486,0,0,0,0,444.712,7,"うよすま",-20.288,-128.233,0,0,,445.038,,,82,1
5,1,1,0,0,0,0,2,1,0,0,1,255,255,4,476.866,"まととまと",R,3,75,102,-2.544,0.433,0.085,1.959,-0.357,1.89,-36.391,38.617,4,0,-463.636,0,-23.999,0,0,1,3,8,R,"なおｐ--",190,90.37,0.405,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.364,-37.41,0,"kneesohime",-1.506,-17.666,0,"Parottey",-20.083,-43.212,0,"Ainy4／あいにゃ",-13.822,-62.441,0,"MODECO",21.307,-48.701,0,"kotatu_yowai",10.656,-64.246,0,"-つる３-",50.353,-85.325,0,"うよすま",-5.957,-123.507,0,"Tedonsama",-54.392,-100.611,0,0,0,0,0,0,"",0,0,0,0,478.571,,,,0,0
6,1,1,0,0,0,1,2,1,0,0,1,255,255,5,491.393,"まととまと",R,3,88,126,1.895,-0.038,0.538,1.824,1.57,1.572,-36.391,50.532,1,0,-500,0,-11.055,0,0,0,3,8,R,"なおｐ--",190,90.37,0.405,0,68,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056,-36.798,0,"kneesohime",-0.128,-17.434,0,"Parottey",-20.254,-42.413,0,"Ainy4／あいにゃ",-13.208,-61.427,0,"MODECO",21.291,-48.663,0,"kotatu_yowai",10.814,-63.886,0,"-つる３-",50.364,-85.396,0,"うよすま",-0.011,-121.433,0,"Tedonsama",-54.745,-100.336,0,0,0,0,0,0,"",0,0,0,0,493.154,,,,0,0
7,1,1,0,0,1,1,2,1,0,0,1,255,255,6,503.456,"まととまと",R,13,79,105,-1.887,-1.345,0.175,1.649,-0.077,1.22,-36.391,40.53,2,0,-372.687,312.348,-33.959,0,0,1,3,8,R,"なおｐ--",190,90.37,0.405,3,68,W,Y,504.703,157,131,83,139,64,145,130,-27.839,40.645,0.58,0,0.364,-211.836,273.953,127.063,-0.188,-37.231,0,"kneesohime",-0.642,-17.489,0,"Parottey",-19.466,-41.216,84,"Ainy4／あいにゃ",-13.549,-61.306,0,"MODECO",21.233,-48.595,0,"kotatu_yowai",12.68,-62.903,0,"-つる３-",50.678,-85.311,0,"うよすま",-1.531,-119.279,0,"Tedonsama",-54.718,-100.446,0,504.804,-1.071,-19.842,506.104,2,"Parottey",-16.055,-41.337,0,0,535.346,509.921,,,18,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,625.188,"인생최패망자",R,32,82,134,1.662,0.543,1.107,1.576,0.496,1.904,-36.738,66.689,1,0,162.301,-56.835,1.723,0,0,0,0,4,R,"MODECO",190,85,0.451,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631,-37.711,0,"encounter v",-0.049,-17.445,0,"ke ro",-22.486,-47.165,0,"_앰프_",-16.025,-62.101,0,"mochi_2929",20.008,-49.621,0,"Kr_Luna",13.908,-59.771,0,"「론구」",45.619,-96.872,0,"ByeolBam",-0.382,-113.928,0,"なおｐ--",-47.81,-86.355,0,0,0,0,0,0,"",0,0,0,0,626.812,,,,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,638.298,"인생최패망자",R,33,91,140,-1.29,0.099,0.842,1.479,-0.737,1.589,-36.738,35.963,0,0,112.003,-104.896,6.33,0,0,0,0,4,R,"MODECO",190,85,0.451,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,-37.383,0,"encounter v",-0.171,-17.444,0,"ke ro",-22.547,-47.189,0,"_앰프_",-16.016,-62.071,0,"mochi_2929",20.226,-49.145,0,"Kr_Luna",13.927,-59.841,0,"「론구」",45.629,-96.882,0,"ByeolBam",-0.478,-113.887,0,"なおｐ--",-47.815,-86.361,0,0,0,0,0,0,"",0,0,0,0,639.912,,,,0,0
10,1,0,0,0,1,1,0,0,0,0,255,255,255,2,650.729,"인생최패망자",R,3,76,103,-2.994,0.352,0.856,1.593,-0.446,1.856,-36.738,57.783,4,0,-449.478,0,14.808,0,0,1,0,4,R,"MODECO",190,85,0.451,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,-37.567,0,"encounter v",-0.556,-17.41,0,"ke ro",-22.507,-47.183,0,"_앰프_",-16.551,-61.415,0,"mochi_2929",20.357,-49.215,0,"Kr_Luna",13.949,-59.853,0,"「론구」",45.629,-96.881,0,"ByeolBam",-4.741,-113.568,0,"なおｐ--",-46.29,-84.401,0,0,0,0,0,0,"",0,0,0,0,652.479,,,,0,0
