id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,264.011,"ke ro",R,26,71,123,-1.381,0.601,0.078,1.689,-0.565,1.783,-36.719,28.888,2,0,-27.03,-200,2.567,0,0,0,0,1,L,"Kr_Luna",190,95.417,0.5,3,76,W,Y,264.83,190,85,116,64,36,145,108,109.294,69.309,0.05,0,0.057,0,0,0,-0.518,-37.237,0,"kneesohime",-0.025,-17.373,0,"Sabo_10",-20.819,-47.82,0,"ゆっち一",-12.83,-65.077,0,"encounter v",20.625,-46.118,0,"うよすま",13.546,-61.448,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,277.108,"ke ro",R,26,78,129,-1.503,-1.021,-0.026,1.474,-0.949,0.775,-36.719,18.027,1,0,191.048,-200,19.199,-0.432,-17.428,0,0,1,L,"Kr_Luna",190,95.417,0.5,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212,-37.993,0,"kneesohime",-0.257,-17.421,0,"Sabo_10",-21.54,-46.716,0,"ゆっち一",-13.315,-65.146,0,"encounter v",20.364,-45.126,0,"うよすま",14.122,-62.306,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,279.455,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,288.219,"ke ro",R,29,68,121,-2.616,0.241,0.045,1.633,-0.719,1.601,-36.719,17.174,2,0,-242.206,-140.928,33.803,0,0,0,0,1,L,"Kr_Luna",190,95.417,0.5,3,76,W,Y,288.988,114,120,128,89,43,137,85,3.978,-40.391,-0.85,0,0.036,129.778,-302.998,42.4,-0.273,-37.319,0,"kneesohime",-0.017,-17.414,0,"Sabo_10",-21.433,-48.896,104,"ゆっち一",-13.297,-65.114,0,"encounter v",18.936,-44.014,120,"うよすま",14.107,-62.338,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,290.055,14.817,-37.416,290.93,4,"encounter v",19.048,-42.356,0,0,,,,,56,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,310.493,"ke ro",R,0,59,113,-0.806,1.035,0.173,1.923,-0.356,2.259,-36.719,40.88,1,0,0,0,10.867,0,0,0,1,4,R,"인생최패망자",190,80,0.299,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.071,-38.096,0,"kneesohime",-0.224,-17.507,0,"Sabo_10",-20.712,-45.967,0,"ゆっち一",-18.252,-64.425,0,"encounter v",19.766,-44.927,0,"うよすま",12.831,-62.575,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,312.072,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,323.291,"ke ro",R,13,71,110,-4.045,-1.408,-0.021,1.495,-1.028,1.154,-36.719,8.816,1,0,-388.807,314.371,12.429,-1.005,-17.569,0,1,4,R,"인생최패망자",190,80,0.299,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115,-38.164,0,"kneesohime",-0.903,-17.41,0,"Sabo_10",-20.638,-46.191,0,"ゆっち一",-17.471,-64.597,0,"encounter v",19.508,-45.209,0,"うよすま",12.683,-62.609,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,324.889,,,,0,0
6,1,1,0,0,2,0,1,0,0,0,255,255,255,5,334.775,"ke ro",R,26,70,123,0.76,0.578,0.206,1.782,0.176,1.765,-36.719,34.194,2,0,91.236,-200,-8.774,0,0,1,1,4,R,"인생최패망자",190,80,0.299,3,76,W,Y,335.792,255,84,149,90,79,145,102,64.313,-64.114,-0.23,0,0.319,-281.375,358.733,312.783,-0.079,-37.647,0,"kneesohime",-0.141,-17.571,0,"Sabo_10",-21.041,-47.649,0,"ゆっち一",-15.509,-64.505,0,"encounter v",19.4,-45.086,0,"うよすま",12.646,-62.57,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,341.605,66.848,-64.644,0,0,"",0,0,0,0,,,,,32,3
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,347.392,"ke ro",R,0,48,105,1.213,0.721,0.329,1.851,0.518,2.073,-36.719,65.32,2,0,0,0,5.178,0,0,1,1,4,R,"인생최패망자",190,80,0.299,3,85,W,Y,348.489,183,125,111,98,48,145,89,29.331,-37.466,-0.87,0,0.388,475.573,-198.74,305.178,-0.287,-38.034,0,"kneesohime",-0.078,-17.627,0,"Sabo_10",-20.762,-47.456,0,"ゆっち一",-15.126,-64.905,0,"encounter v",19.453,-44.356,0,"うよすま",11.58,-61.634,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,353.789,51.63,-81.957,358.28,3,"ゆっち一",2.451,-60.192,0,0,404.43,,,,63,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,472.26,"encounter v",R,32,91,140,-0.647,0.162,0.278,2.242,-0.481,1.627,-36.618,44.133,2,0,210.082,-200,-13.521,0,0,1,2,2,L,"눈꽃",190,90,0.6,3,76,W,Y,473.218,217,97,146,66,30,145,130,12.951,15.622,0.38,0,0.288,306.493,-277.451,106.688,0.255,-37.138,0,"kneesohime",-0.37,-17.366,0,"Sabo_10",-19.725,-46.998,0,"ゆっち一",-9.728,-65.788,0,"ByeolBam",20.835,-49.439,0,"うよすま",14.958,-61.182,73,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,477.472,-24.26,-126.186,479.48,7,"AI",-20.499,-125.466,1,0,,483.542,,,33,2
9,1,1,0,0,0,0,2,0,1,0,255,255,255,8,503.873,"encounter v",R,26,83,135,-0.3,0.921,0.507,2.306,-0.345,1.863,-36.618,66.52,0,0,181.323,-200,-28.991,0,0,0,3,3,L,"うるの。",166.2,91.171,0.504,0,76,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,-37.159,0,"kneesohime",-0.469,-17.501,0,"Sabo_10",-20.187,-43.893,0,"ゆっち一",-6.938,-61.834,0,"ByeolBam",20.808,-46.108,0,"うよすま",14.986,-57.031,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,505.464,506.8,,,0,0
10,1,1,0,0,0,1,2,0,1,0,255,255,255,9,526.614,"encounter v",R,26,83,135,-0.471,0.905,0.478,2.304,-0.482,1.853,-36.618,60.654,0,0,179.902,-200,-13.212,0,0,1,3,3,L,"うるの。",166.2,91.171,0.504,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,-37.31,0,"kneesohime",-0.183,-17.534,0,"Sabo_10",-18.909,-44.254,0,"ゆっち一",-8.272,-63.755,0,"ByeolBam",19.46,-45.758,0,"うよすま",14.056,-57.689,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,528.172,529.981,,,0,0
