id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,318.19,"Chunsik03",R,28,88,140,1.257,-0.021,0.3,1.609,0.465,1.503,-36.437,16.024,0,0,63.964,-89.466,-2.428,0,0,0,0,5,R,"Yaksok~",170,85.866,0.453,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,-37.443,0,"_Chun",-0.027,-17.288,0,"Ѕeyeon",-21.041,-46.135,0,"Oort__Cloud",-12.989,-64.83,0,"_이누_",19.936,-48.531,0,"_송글_",9.618,-66.038,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-5.955,-115.969,0,"ke ro",-36.312,-94.514,0,0,0,0,0,0,"",0,0,0,0,318.86,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,338.069,"Chunsik03",R,13,76,104,1.936,-0.454,0.581,1.782,1.18,1.972,-36.437,32.389,2,0,-181.552,400,-18.15,0,0,1,0,5,R,"Yaksok~",170,85.866,0.453,3,33,W,Y,339.386,255,76,95,26,0,140,104,20.178,-38.595,0.88,0,0.853,-250.44,354.715,-11.209,0.044,-37.036,0,"_Chun",0.083,-17.579,0,"Ѕeyeon",-21.393,-45.832,0,"Oort__Cloud",-12.936,-64.8,61,"_이누_",21.061,-49.858,0,"_송글_",9.556,-65.887,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-7.007,-114.757,0,"ke ro",-36.598,-94.388,0,341.686,40.226,-78.514,342.246,6,"AI",41.52,-80.632,1,0,,,,,160,2
3,1,1,0,0,0,0,0,1,0,0,5,255,255,2,365.322,"Chunsik03",R,26,89,124,1.118,1.629,0.282,2.008,0.255,2.427,-36.437,29.164,4,0,163.873,-200,-4.757,0,0,1,1,4,R,"Slaris",190,85.69,0.452,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,-37.736,0,"_Chun",0.044,-17.199,0,"Ѕeyeon",-19.789,-40.334,0,"Oort__Cloud",-12.85,-64.643,0,"_이누_",20.682,-49.8,0,"_송글_",4.304,-63.533,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-0.836,-109.909,0,"ke ro",-36.196,-94.928,0,0,0,0,0,0,"",0,0,0,0,365.953,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,5,255,255,3,382.197,"Chunsik03",R,26,92,140,2.496,0.308,0.396,1.644,0.911,1.633,-36.437,26.587,1,0,120.899,-197.999,-13.556,0,0,0,1,4,R,"Slaris",190,85.69,0.452,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-37.491,0,"_Chun",-0.034,-17.404,0,"Ѕeyeon",-19.535,-39.936,0,"Oort__Cloud",-12.816,-64.911,0,"_이누_",21.772,-50.651,0,"_송글_",5.503,-64.277,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-5.737,-111.381,0,"ke ro",-36.197,-94.971,0,0,0,0,0,0,"",0,0,0,0,382.62,386.304,,,0,0
5,1,1,0,0,1,1,0,0,1,0,255,5,255,4,408.73,"Chunsik03",R,27,86,139,0.531,-1.052,0.236,1.4,0.167,0.843,-36.437,18.704,1,0,41.662,-124.761,-4.169,0,0,0,1,4,R,"Slaris",190,85.69,0.452,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011,-37.546,0,"_Chun",-0.206,-18.338,0,"Ѕeyeon",-21.4,-46.936,0,"Oort__Cloud",-12.885,-64.923,0,"_이누_",20.771,-47.453,0,"_송글_",5.708,-65.912,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-6.051,-114.128,0,"ke ro",-36.252,-94.962,0,0,0,0,0,0,"",0,0,0,0,409.273,411.556,,,0,0
6,1,1,0,0,2,1,0,0,1,0,255,5,255,5,431.073,"Chunsik03",R,13,74,102,1.151,-0.765,0.48,1.676,0.869,1.709,-36.437,26.848,0,0,-187.38,392.199,-9.12,0,0,1,1,4,R,"Slaris",190,85.69,0.452,0,33,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.638,0,"_Chun",-0.24,-18.127,0,"Ѕeyeon",-21.794,-47.108,0,"Oort__Cloud",-12.958,-64.921,0,"_이누_",18.624,-46.91,0,"_송글_",3.043,-61.796,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-5.98,-115.115,0,"ke ro",-36.29,-94.993,0,0,0,0,0,0,"",0,0,0,0,431.74,433.945,,,0,0
7,1,1,0,0,2,2,0,0,1,0,255,5,255,6,454.207,"Chunsik03",R,27,81,131,-0.79,1.285,0.114,1.847,-0.398,2.289,-36.437,12.714,2,0,33.968,-133.113,2.496,0,0,1,1,4,R,"Slaris",190,85.69,0.452,3,33,W,Y,455.218,242,70,147,62,21,145,103,4.783,19.287,-0.21,0,0.136,-306.606,423.428,-149.087,-0.183,-37.163,0,"_Chun",-0.171,-17.812,0,"Ѕeyeon",-21.629,-46.839,85,"Oort__Cloud",-12.978,-64.904,95,"_이누_",20.986,-50.204,0,"_송글_",7.415,-63.905,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-6.519,-114.296,0,"ke ro",-36.282,-94.989,0,455.58,-12.257,-50.459,456.393,3,"Oort__Cloud",-15.884,-58.904,1,0,,,459.642,,162,2
8,1,1,0,0,0,0,0,1,0,1,4,255,5,7,496.922,"Chunsik03",R,26,95,140,3.166,0.294,0.468,1.64,1.247,1.621,-36.437,25.197,2,0,98.906,-200,-6.419,0,0,1,2,2,L,"encounter v",190,82.544,0.529,3,32,W,Y,497.97,255,131,90,65,54,145,120,-30,-1.873,0.16,0,0.341,-66.18,-46.768,411.947,0.031,-37.263,0,"_Chun",0.35,-17.575,0,"Ѕeyeon",-21.157,-44.147,0,"Oort__Cloud",-8.685,-65.45,66,"_이누_",21.798,-46.768,0,"_송글_",8.694,-65.42,0,"AI",40.9,-90.65,0,"HANA_ARASHI",0.894,-111.694,111,"ke ro",-37.53,-95.079,0,497.206,0.702,-21.749,500.78,7,"HANA_ARASHI",1.978,-93.368,1,0,,502.528,,503.296,224,2
9,1,1,1,0,0,0,0,1,1,0,2,4,255,8,532.362,"Chunsik03",R,27,76,126,0.189,-0.288,0.201,1.558,0.005,1.328,-36.437,6.717,2,0,55.179,-102.27,4.815,0,0,1,3,8,R,"si_ho",175,88.027,0.418,3,32,A,Y,533.584,162,89,13,87,16,38,41,16.179,-23.031,-0.87,0,0.563,435.568,-398.014,38.814,0.13,-37.13,0,"_Chun",0.013,-17.594,0,"Ѕeyeon",-19.662,-40.351,87,"Oort__Cloud",-12.879,-64.942,95,"_이누_",17.995,-46.119,120,"_송글_",7.6,-65.224,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-0.004,-115.126,0,"ke ro",-35.874,-95.975,0,534.553,7.426,-35.594,535.686,4,"_이누_",10.29,-40.966,1,2,,539.876,541.754,,178,2
10,1,1,1,0,0,0,2,1,0,0,8,255,255,9,563.818,"Chunsik03",R,35,94,140,0.879,-0.784,0.279,1.537,0.369,1.242,-36.437,10.401,0,0,7.873,151.429,49.304,0,0,0,4,3,R,"ddil_ddil69",169.5,80,0.353,0,32,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,-37.088,0,"_Chun",0.007,-17.497,0,"Ѕeyeon",-21.404,-44.844,0,"Oort__Cloud",-12.889,-64.749,0,"_이누_",19.891,-47.471,0,"_송글_",4.402,-64.595,0,"AI",40.9,-90.65,0,"HANA_ARASHI",-10.136,-114.095,0,"ke ro",-36.064,-93.877,0,0,0,0,0,0,"",0,0,0,0,564.42,,,,0,0
