id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,299.163,"하루（Haru）",R,27,82,133,2.189,1.919,0.375,1.989,0.814,2.526,-36.489,59.588,2,0,67.607,-100.834,3.986,0,0,1,0,5,R,"CoalCat",165.4,84.053,0.503,3,72,W,Y,300.604,210,78,41,41,22,130,42,11.208,44.204,-0.87,0,0.375,-145.756,526.138,-186.389,-0.029,-37.14,0,"DoYaGee",-0.072,-17.607,0,"Penguin_iDOL",-20.798,-49.287,69,"Ѕeyeon",-13.83,-64.807,0,"Rite_",24.288,-53.853,0,"muyang_",12.326,-65.326,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,302.02,-9.35,-28.792,304.476,2,"Penguin_iDOL",-18.114,-38.864,0,0,,,,,3,2
2,1,1,0,0,0,0,0,0,0,0,255,255,255,1,330.684,"하루（Haru）",R,1,46,104,2.244,-0.211,0.288,1.809,0.287,1.68,-36.489,55.292,2,0,-3.564,-1.927,5.64,0,0,1,1,2,R,"SUGUN",190,82,0.502,3,71,W,Y,331.682,250,141,128,107,48,145,89,92.14,87.543,-0.86,0,0.368,266.772,-483.32,-30.592,0.154,-37.138,0,"DoYaGee",-0.092,-17.632,0,"Penguin_iDOL",-20.156,-47.574,0,"Ѕeyeon",-14.177,-64.447,0,"Rite_",23.742,-53.794,0,"muyang_",12.359,-63.746,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
3,1,1,0,0,0,1,0,0,0,0,255,255,255,2,349.21,"하루（Haru）",R,1,43,101,-0.743,-0.689,0.198,1.718,-0.177,1.39,-36.489,47.935,2,0,-3.782,-2.834,7.166,0,0,1,1,2,R,"SUGUN",190,82,0.502,3,70,W,Y,350.346,194,196,91,126,68,145,121,29.383,47.859,0.77,0,0.431,-128.459,-400.478,87.351,-0.559,-37.316,0,"DoYaGee",-0.255,-17.733,0,"Penguin_iDOL",-19.681,-48.038,0,"Ѕeyeon",-13.907,-64.473,75,"Rite_",22.617,-52.958,0,"muyang_",12.624,-64.716,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,355.043,-70.706,-97.782,356.554,8,"AI",-64.979,-95.573,1,0,,,,,17,2
4,1,1,0,0,0,0,1,1,0,0,2,255,255,3,383.365,"하루（Haru）",R,41,37,97,4.413,3.145,0.427,2.046,1.832,3.276,-36.489,116.899,1,0,41.634,-78.706,2.615,0,0,0,2,3,L,"-Alta-",169.5,84.283,0.478,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324,-37.183,0,"DoYaGee",0.02,-17.543,0,"Penguin_iDOL",-19.465,-42.747,0,"Ѕeyeon",-13.807,-64.561,0,"Rite_",25.101,-51.148,0,"muyang_",7.513,-61.534,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,384.987,,,,0,0
5,1,1,0,0,1,0,1,1,0,0,2,255,255,4,401.673,"하루（Haru）",R,28,66,119,3.058,2.178,0.392,2.017,1.221,2.726,-36.489,90.906,1,0,59.906,-75.344,2.199,0,0,0,2,3,L,"-Alta-",169.5,84.283,0.478,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118,-36.674,0,"DoYaGee",0.049,-17.629,0,"Penguin_iDOL",-19.299,-42.965,0,"Ѕeyeon",-13.812,-64.573,0,"Rite_",25.154,-51.159,0,"muyang_",8.918,-60.692,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,403.176,,,,0,0
6,1,1,0,0,2,0,1,1,0,0,2,255,255,5,418.844,"하루（Haru）",R,3,67,110,-0.399,0.097,0.334,1.814,0.582,1.657,-36.489,45.477,2,0,-415.728,0,13.664,0,0,1,2,3,L,"-Alta-",169.5,84.283,0.478,3,69,W,Y,419.925,255,171,113,114,69,145,86,113.179,59.064,-0.69,0,0.558,205.017,231.966,-85.982,-0.173,-37.022,0,"DoYaGee",-0.092,-17.926,0,"Penguin_iDOL",-18.64,-44.445,0,"Ѕeyeon",-13.808,-64.562,0,"Rite_",25.073,-51.034,0,"muyang_",9.441,-60.062,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
7,1,1,0,0,2,1,1,1,0,0,2,255,255,6,435.854,"하루（Haru）",R,0,35,95,0.182,0.148,0.216,1.768,0.073,1.704,-36.489,21.352,2,0,0,0,3.408,0,0,1,2,3,L,"-Alta-",169.5,84.283,0.478,3,69,W,Y,437.016,255,100,115,86,49,145,105,27.939,-18.092,0.09,0,0.496,219.817,79.665,-44.407,-0.06,-36.962,0,"DoYaGee",-0.096,-17.789,0,"Penguin_iDOL",-18.176,-43.823,0,"Ѕeyeon",-14.233,-64.09,0,"Rite_",24.062,-51.465,0,"muyang_",10.346,-60.284,95,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,441.965,26.859,-105.232,445.687,6,"AI",33.302,-126.942,1,0,,441.262,447.069,,9,2
8,1,1,0,0,0,0,1,0,1,1,255,3,2,7,474.809,"하루（Haru）",R,26,90,140,-0.011,0.862,0.181,1.861,-0.087,2,-36.489,30.617,2,0,64.539,-169.58,13.67,0,0,0,3,4,R,"Slaris",190,85.69,0.452,3,71,W,Y,475.701,255,102,180,82,40,145,112,27.59,-11.217,0.1,0,0.232,219.817,79.665,-44.407,-0.231,-36.791,0,"DoYaGee",-0.07,-17.429,0,"Penguin_iDOL",-19.534,-46.962,0,"Ѕeyeon",-14.005,-64.497,0,"Rite_",22.776,-48.774,85,"muyang_",10.512,-60.595,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,480.998,14.386,-119.673,486.954,4,"Rite_",19.391,-44.794,0,0,,481.918,482.484,,5,1
9,1,1,0,0,0,0,2,0,1,1,255,3,2,8,509.636,"하루（Haru）",R,10,92,128,-0.681,-0.401,0.135,1.773,-0.3,1.716,-36.489,27.729,0,0,0,400,9.667,0,0,1,4,1,R,"Pugeuk",190,80,0.347,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,-37.157,0,"DoYaGee",0.003,-17.279,0,"Penguin_iDOL",-20.171,-46.809,0,"Ѕeyeon",-14.024,-64.069,0,"Rite_",22.982,-50.428,0,"muyang_",11.454,-63.065,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,511.109,,512.319,,0,0
10,1,1,0,0,0,1,2,0,1,1,255,3,2,9,526.648,"하루（Haru）",R,0,58,113,-1.693,0.005,0.024,1.866,-0.739,1.609,-36.489,27.018,2,0,0,0,6.517,0,0,1,4,1,R,"Pugeuk",190,80,0.347,3,72,W,Y,527.792,255,180,102,76,23,145,130,-15.004,28.908,0.66,0,0.716,-492.514,-203.505,-232.063,0.026,-37.288,0,"DoYaGee",-0.171,-17.562,0,"Penguin_iDOL",-19.895,-47.01,0,"Ѕeyeon",-14.054,-64.081,0,"Rite_",22.887,-49.847,0,"muyang_",12.225,-61.846,77,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,527.898,-2.221,-23.902,530.698,8,"AI",-34.128,-84.05,0,0,,,533.628,533.261,9,2
