id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,273.952,"SUGUN",R,27,87,140,-0.139,0.133,0.157,1.782,-0.202,1.582,-36.842,36.262,0,0,97.464,-101.068,-2.378,0,0,0,0,2,R,"레이나2",179.9,85.17,0.353,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095,-37.509,0,"crani",0.042,-17.235,0,"Floră",-21.154,-48.511,0,"_앰프_",-16.453,-61.373,0,"Penguin_iDOL",20.476,-47.894,0,"CoalCat",8.84,-62.906,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,274.916,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,291.319,"SUGUN",R,32,83,134,0.525,1.565,0.163,1.955,-0.048,2.361,-36.842,75.797,2,0,183.454,-170.779,1.861,0,0,1,0,2,R,"레이나2",179.9,85.17,0.353,3,52,W,Y,292.399,165,88,90,67,26,145,88,36.209,-25.412,-0.78,0,0.184,0,0,0,-0.051,-37.403,0,"crani",-0.021,-17.366,0,"Floră",-20.527,-47.699,0,"_앰프_",-16.459,-61.415,0,"Penguin_iDOL",20.438,-48.452,0,"CoalCat",8.836,-62.769,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,296.7,29.634,-81.877,301.4,0,"SUGUN",1.086,-39.389,0,0,,,,,8,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,313.702,"SUGUN",R,26,92,140,-2.136,-1.291,-0.017,1.531,-1.01,0.671,-36.842,22.702,1,0,64.611,-200,4.456,0,0,0,1,3,R,"Ѕeyeon",170.1,95,0.5,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-37.888,0,"crani",-0.242,-17.334,0,"Floră",-20.358,-47.569,0,"_앰프_",-16.56,-62.322,0,"Penguin_iDOL",19.27,-48.611,0,"CoalCat",9.294,-61.201,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,314.666,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,327.505,"SUGUN",R,26,92,140,-4.343,-2.804,-0.045,1.422,-1.998,-0.756,-36.842,12.762,1,0,86.724,-171.904,8.987,-0.689,-23.035,0,1,3,R,"Ѕeyeon",170.1,95,0.5,0,52,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.806,0,"crani",-0.293,-17.309,0,"Floră",-20.456,-47.901,0,"_앰프_",-16.571,-62.632,0,"Penguin_iDOL",19.152,-48.723,0,"CoalCat",9.29,-61.111,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,328.466,,,,0,0
5,1,1,0,0,2,0,1,0,0,0,255,255,255,4,341.54,"SUGUN",R,27,95,140,-0.399,-0.375,0.131,1.691,-0.321,1.249,-36.842,34.442,2,0,102.489,-134.606,1.619,0,0,1,1,3,R,"Ѕeyeon",170.1,95,0.5,3,52,W,Y,342.566,111,38,55,38,18,129,94,-30,-6.749,0.93,0,0.357,0,0,0,-0.108,-37.315,120,"crani",-0.11,-17.376,0,"Floră",-20.626,-48.247,85,"_앰프_",-16.583,-62.628,0,"Penguin_iDOL",19.166,-48.8,0,"CoalCat",9.331,-61.017,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,342.283,0.046,-20.009,343.566,0,"SUGUN",2.108,-37.425,0,0,,,,,9,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,365.873,"SUGUN",R,27,89,140,-1.109,-0.925,0.076,1.57,-0.579,0.901,-36.842,22.464,0,0,76.203,-139.117,6.438,0,0,0,2,4,R,"ddil_ddil69",190,80,0.353,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066,-37.977,0,"crani",-0.108,-17.309,0,"Floră",-20.639,-47.875,0,"_앰프_",-17.455,-62.191,0,"Penguin_iDOL",18.689,-53.469,0,"CoalCat",8.132,-65.016,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,367.05,,,,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,383.351,"SUGUN",R,33,92,140,-0.096,-1.046,0.156,1.562,-0.202,0.874,-36.842,24.92,2,0,111.267,-85.248,8.54,0,0,1,2,4,R,"ddil_ddil69",190,80,0.353,3,39,W,Y,384.479,252,242,152,123,67,145,124,11.398,-10.229,0.24,0,0.432,0,0,0,0.097,-37.46,0,"crani",-0.129,-17.366,0,"Floră",-20.417,-47.729,0,"_앰프_",-17.418,-62.101,85,"Penguin_iDOL",18.539,-53.759,0,"CoalCat",8.198,-64.869,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,387.183,14.516,-101.498,391.3,7,"AI",16.299,-131.062,1,0,,395.156,,,24,2
8,1,1,0,0,0,0,2,0,1,0,255,4,255,7,420.295,"SUGUN",R,27,88,140,-1.28,-0.768,0.064,1.621,-0.631,1.012,-36.842,22.755,2,0,57.735,-147.185,3.116,0,0,1,3,5,R,"TaeGeuk_",174.2,85.656,0.644,3,52,W,Y,421.125,255,120,139,82,0,145,126,37.163,40.838,0.43,0,0.229,0,0,0,-0.259,-37.654,0,"crani",-0.136,-17.284,0,"Floră",-19.866,-47.585,0,"_앰프_",-16.026,-62.676,0,"Penguin_iDOL",19.992,-48.818,0,"CoalCat",7.364,-62.361,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,426,-72.909,-102.991,0,0,"",0,0,0,0,,422.374,431.972,437.266,8,4
9,1,1,2,0,0,0,2,0,0,0,255,255,255,8,460.752,"SUGUN",R,0,82,132,1.447,1.101,0.371,2.087,0.619,2.306,-36.842,47.94,2,0,0,22.747,-0.036,0,0,1,4,1,R,"아침땅_",190,94.936,0.502,3,52,W,Y,461.72,199,55,34,28,0,108,67,23.99,29.109,-0.85,0.048,0.236,0,0,0,0.05,-37.627,0,"crani",0.027,-17.229,0,"Floră",-20.187,-47.598,0,"_앰프_",-16.227,-62.156,0,"Penguin_iDOL",18.919,-43.608,0,"CoalCat",5.791,-64.662,0,"AI",22.362,-95.936,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,464.2,2,"Floră",-18.526,-52.897,0,0,477.066,,,,49,1
10,1,0,2,0,0,0,0,0,0,0,255,255,255,0,525.514,"coder_",R,10,56,90,1.107,1.389,0.32,2.372,0.473,3.048,-36.492,41.899,1,0,0,400,-0.206,0,0,0,0,1,R,"crani",190,80,0.397,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.522,-37.867,0,"아침땅_",0.095,-17.645,0,"레이나2",-21.206,-46.295,0,"Ѕeyeon",-17.888,-61.437,0,"ddil_ddil69",20.687,-45.689,0,"TaeGeuk_",11.805,-62.435,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,526.466,,,,0,0
11,1,0,2,0,1,0,0,0,0,0,255,255,255,1,536.547,"coder_",R,10,60,93,-1.575,0.242,-0.014,2.249,-0.685,2.407,-36.492,30.541,2,0,0,400,5.748,0,0,1,0,1,R,"crani",190,80,0.397,3,51,W,Y,537.817,126,190,91,73,15,138,124,0.844,-27.259,0.72,0,1.174,0,0,0,-0.404,-37.156,0,"아침땅_",-0.029,-17.651,0,"레이나2",-21.068,-46.263,0,"Ѕeyeon",-17.891,-61.434,85,"ddil_ddil69",21.074,-45.972,0,"TaeGeuk_",11.196,-64.073,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,537.983,11.871,-44.796,540.2,6,"AI",32.397,-84.635,1,0,,,,,34,2
12,1,0,2,0,0,0,0,1,0,0,11,255,255,2,563.862,"coder_",R,26,82,133,-11.367,-2.888,0.129,1.539,-4.955,-4.594,-36.492,11.908,1,0,-11.925,-200,23.642,-0.795,-29.843,0,1,5,R,"CoalCat",164.8,85.053,0.533,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.533,-37.469,0,"아침땅_",-0.814,-17.409,0,"레이나2",-21.287,-44.748,0,"Ѕeyeon",-16.975,-61.649,0,"ddil_ddil69",21.615,-47.5,0,"TaeGeuk_",13.427,-61.177,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,567.666,571.991,,,0,0
13,1,0,2,0,1,0,0,0,1,0,255,11,255,3,588.019,"coder_",R,26,72,124,1.006,2.66,0.281,1.973,0.378,2.854,-36.492,41.165,1,0,33.205,-164.182,0.818,0.157,-6.116,0,1,5,R,"CoalCat",164.8,85.053,0.533,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.199,-37.918,0,"아침땅_",0.516,-16.877,0,"레이나2",-20.861,-44.717,0,"Ѕeyeon",-19.003,-59.512,0,"ddil_ddil69",22.929,-48.641,0,"TaeGeuk_",15.198,-59.074,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,591.366,,601.028,,0,2
14,1,0,2,0,2,0,0,0,0,1,255,255,11,4,636.904,"coder_",R,26,84,136,-2.144,-0.175,0.001,1.556,-0.926,1.298,-36.492,21.02,1,0,-6.395,-200,25.896,0,0,0,1,5,R,"CoalCat",164.8,85.053,0.533,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325,-38.182,0,"아침땅_",0.054,-17.914,0,"레이나2",-20.884,-44.633,0,"Ѕeyeon",-17.225,-60.919,0,"ddil_ddil69",21.335,-45.862,0,"TaeGeuk_",12.449,-61.226,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,637.55,,,,0,0
