id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,289.899,"Rite_",R,13,73,113,-0.441,-0.68,0.494,2.07,0.126,1.592,-36.441,47.667,0,0,-222.492,400,0,0,0,1,0,2,R,"Floră",190,85,0.403,0,45,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,-37.674,0,"muyang_",-0.084,-17.467,0,"",0,0,0,"ddil_ddil69",-14.546,-63.515,0,"ʚEveɞ",22.658,-49.479,0,"coder_",11.019,-65.992,0,"「론구」",43.557,-100.908,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,284.908,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,306.529,"Rite_",R,13,80,119,-2.395,-0.438,0.309,2.151,-0.787,1.774,-36.441,39.969,2,0,-160.948,400,0,0,0,1,0,2,R,"Floră",190,85,0.403,3,45,W,Y,307.842,122,126,94,106,54,138,109,13.836,37.323,0.88,0,0.474,-78.939,-92.111,-10.432,-0.351,-37.847,0,"muyang_",-0.246,-17.423,0,"",0,0,0,"ddil_ddil69",-14.545,-63.53,0,"ʚEveɞ",22.616,-49.4,0,"coder_",11.318,-65.678,89,"「론구」",43.561,-100.915,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,303.727,-38.377,-70.393,308.29,8,"AI",-62.156,-106.133,1,0,,318.106,,,66,2
3,1,1,0,0,0,0,0,0,1,0,255,2,255,2,343.414,"Rite_",R,26,83,135,-2.047,-0.842,0.306,1.908,-1.074,0.883,-36.441,22.129,1,0,142.425,-200,0,0,0,0,1,4,R,"Penguin_iDOL",190,80,0.398,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.716,-40.566,0,"muyang_",-0.258,-18.934,0,"",0,0,0,"ddil_ddil69",-15.657,-62.203,0,"ʚEveɞ",22.405,-49.221,0,"coder_",3.163,-62.04,0,"「론구」",45.871,-97.773,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,337.969,345.866,,,0,0
4,1,1,0,0,1,0,0,0,1,0,255,2,255,3,374.737,"Rite_",R,26,84,136,-0.219,-0.521,0.474,1.97,-0.244,1.112,-36.441,24.797,2,0,96.711,-170.328,0,0,0,1,1,4,R,"Penguin_iDOL",190,80,0.398,3,69,W,Y,375.854,255,93,58,90,39,137,130,27.814,40.143,0.52,0,0.529,160.73,-50.6,72.543,0.515,-37.158,0,"muyang_",-0.166,-17.227,0,"",0,0,0,"ddil_ddil69",-14.887,-62.935,0,"ʚEveɞ",22.41,-49.185,0,"coder_",8.357,-62.816,0,"「론구」",41.839,-94.769,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,373.987,-73.654,-107.227,0,0,"",0,0,0,0,,386.168,381.371,386.592,2,4
5,1,1,2,0,0,0,0,0,0,0,255,255,255,4,414.921,"Rite_",R,27,76,127,-0.876,1.589,0.394,2.241,-0.502,2.34,-36.441,45.877,4,0,83.142,-120.662,0,0,0,1,2,3,R,"Ѕeyeon",170.1,95,0.5,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-39.145,0,"muyang_",-0.25,-18.74,0,"",0,0,0,"ddil_ddil69",-15.68,-61.826,0,"ʚEveɞ",23.226,-50.79,0,"coder_",10,-62.957,0,"「론구」",36.167,-93.265,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,409.672,,,,0,0
6,1,1,2,0,0,1,0,0,0,0,255,255,255,5,430.912,"Rite_",R,26,67,120,-0.613,-0.729,0.397,1.981,-0.304,0.943,-36.441,25.852,0,0,14.241,-200,0,0,0,1,2,3,R,"Ѕeyeon",170.1,95,0.5,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-39.384,0,"muyang_",-0.237,-17.748,0,"",0,0,0,"ddil_ddil69",-15.855,-61.725,0,"ʚEveɞ",23.15,-50.766,0,"coder_",10.115,-64.708,0,"「론구」",36.169,-93.249,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,425.684,,,,0,0
7,1,1,2,0,0,2,0,0,0,0,255,255,255,6,445.912,"Rite_",R,32,82,134,0.153,-0.121,0.437,2,-0.212,1.397,-36.441,40.027,2,0,187.631,-114.15,0,0,0,1,2,3,R,"Ѕeyeon",170.1,95,0.5,3,44,W,Y,446.945,92,36,32,29,14,70,63,-31.403,33.541,-0.1,0,0.302,-144.814,253.297,-22.906,-0.105,-37.59,0,"muyang_",-0.017,-17.891,0,"",0,0,113,"ddil_ddil69",-15.82,-61.676,0,"ʚEveɞ",23.187,-50.696,0,"coder_",10.625,-64.19,0,"「론구」",36.157,-93.248,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,440.424,-0.783,-20.992,442.593,-1,"encounter v",-13.131,-40.125,0,0,,,,,2,2
8,1,1,2,0,0,0,1,0,0,0,255,255,255,7,471.633,"Rite_",R,32,78,128,1.324,0.089,0.56,2.021,0.336,1.525,-36.441,44.409,2,0,174.157,-129.747,0,0,0,1,3,1,R,"_이누_",190,89.841,0.451,3,44,W,Y,472.71,255,192,152,140,49,145,104,26.769,-31.331,0.92,0,0.278,6.799,105.954,565.437,0.087,-37.713,0,"muyang_",0.072,-17.71,0,"encounter v",-19.989,-44.214,0,"ddil_ddil69",-13.958,-63.59,85,"ʚEveɞ",22.457,-50.707,0,"coder_",10.114,-65.897,0,"「론구」",44.395,-101.551,82,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,470.896,44.573,-100.812,471.054,6,"「론구」",42.739,-97.484,0,0,,,,,38,1
9,1,1,2,0,0,0,2,0,0,0,255,255,255,8,504.963,"Rite_",R,26,76,126,-2.419,0.734,0.266,2.156,-1.18,1.823,-36.441,40.09,1,0,89.239,-152.605,0,0,0,0,4,6,R,"k@ster",170,80,0.347,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.275,-39.054,0,"muyang_",-0.553,-17.555,0,"encounter v",-19.772,-43.936,0,"ddil_ddil69",-13.72,-63.281,0,"ʚEveɞ",18.683,-48.952,0,"coder_",9.887,-66.061,0,"「론구」",35.844,-93.28,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,499.466,,,,0,0
10,1,1,2,0,1,0,2,0,0,0,255,255,255,9,518.154,"Rite_",R,33,83,135,-0.133,-0.112,0.477,1.999,-0.256,1.433,-36.441,30.734,2,0,130.83,-83.934,0,0,0,1,4,6,R,"k@ster",170,80,0.347,3,44,W,Y,519.066,213,114,82,68,39,145,88,-7.735,-14.762,-0.59,0,0.21,-406.871,422.593,-82.752,0.274,-37.336,0,"muyang_",-0.144,-17.56,0,"encounter v",-19.695,-43.81,86,"ddil_ddil69",-13.79,-63.123,0,"ʚEveɞ",22.799,-49.957,0,"coder_",9.876,-66.043,92,"「론구」",35.863,-93.291,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,512.539,0.917,-24.184,514.569,5,"coder_",9.044,-57.96,0,0,541.399,,,,201,2
