id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,306.568,"Rite_",R,32,79,129,0.471,1.041,0.501,2.106,-0.002,2.027,-36.441,46.345,2,0,150.994,-127.141,0,0,0,1,0,3,R,"coder_",169.2,80,0.3,3,71,W,Y,307.877,255,158,20,41,32,76,72,90.891,-88.358,0.73,0,0.266,218.917,268.848,427.32,0.183,-37.324,0,"가앤슬_",-0.012,-17.481,0,"encounter v",-19.257,-43.809,0,"Kr_Luna",-12.915,-58.927,0,"Pugeuk",19.259,-46.952,0,"Yaksok~",8.596,-61.972,0,"Sabo_10",41.817,-88.003,0,"mungjungh",-0.427,-104.16,0,"소솨소솨",-45.394,-87.103,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,322.35,"Rite_",R,13,79,116,-5.501,-1.754,0.196,1.931,-1.725,1.016,-36.441,24.596,1,0,-395.981,305.286,0,-1.236,-18.538,0,0,3,R,"coder_",169.2,80,0.3,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.284,-39.638,0,"가앤슬_",-1.636,-17.228,0,"encounter v",-19.246,-43.751,0,"Kr_Luna",-15.256,-59.081,0,"Pugeuk",17.453,-49.516,0,"Yaksok~",7.971,-62.489,0,"Sabo_10",41.109,-91.227,0,"mungjungh",-1.485,-104.847,0,"소솨소솨",-44.647,-88.147,0,0,0,0,0,0,"",0,0,0,0,327.222,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,345.267,"Rite_",R,3,74,115,0.5,0.11,0.65,2.006,0.891,1.648,-36.441,50.225,2,0,-405.083,0,0,0,0,1,0,3,R,"coder_",169.2,80,0.3,3,69,W,Y,346.391,255,145,51,68,35,136,75,46.907,48.509,-1,0,0.201,-17.621,-22.438,445.425,-0.06,-37.383,0,"가앤슬_",0.016,-17.662,0,"encounter v",-19.816,-43.775,0,"Kr_Luna",-15.245,-59.029,0,"Pugeuk",17.413,-48.284,0,"Yaksok~",8.288,-62.409,0,"Sabo_10",45.731,-93.505,0,"mungjungh",-1.724,-104.974,0,"소솨소솨",-47.879,-90.211,0,350.633,-43.784,-58.761,0,0,"",0,0,0,0,,,,,0,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,369.029,"Rite_",R,32,79,129,0.351,-0.337,0.396,1.897,-0.104,1.31,-36.441,50.914,2,0,165.668,-78.49,0,0,0,1,0,3,R,"coder_",169.2,80,0.3,3,68,W,Y,370.152,195,108,39,61,33,127,83,50.809,29.639,-0.25,0,0.245,426.948,338.067,84.965,0.114,-37.528,0,"가앤슬_",-0.07,-17.667,0,"encounter v",-19.325,-44.353,0,"Kr_Luna",-17.463,-60.13,85,"Pugeuk",16.684,-47.949,0,"Yaksok~",7.995,-61.493,0,"Sabo_10",45.51,-94.752,0,"mungjungh",-0.92,-103.786,0,"소솨소솨",-49.268,-88.745,0,375.177,-32.95,-65.905,375.311,3,"Kr_Luna",-31.838,-64.502,0,0,,,,,256,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,398.114,"Rite_",R,33,83,135,1.497,0.484,0.545,2.008,0.483,1.76,-36.441,53.132,2,0,126.794,-109.455,0,0,0,1,1,6,R,"_송글_",175.1,91.844,0.315,3,67,W,Y,399.055,171,37,36,30,10,107,68,-78.388,45.953,-0.44,0,0.227,-512.57,93.28,195.127,-0.197,-37.393,94,"가앤슬_",0.053,-17.551,0,"encounter v",-19.699,-44.022,86,"Kr_Luna",-17.093,-59.244,0,"Pugeuk",16.729,-47.141,0,"Yaksok~",10.431,-64.665,0,"Sabo_10",39.763,-92.232,0,"mungjungh",0.759,-104.114,0,"소솨소솨",-47.694,-93.557,0,398.744,0.062,-19.764,402.377,0,"Rite_",-9.895,-30.74,0,0,,,,,1,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,431.26,"Rite_",R,33,79,129,-0.099,-0.952,0.466,1.805,-0.191,0.909,-36.441,33.208,0,0,104.626,-91.883,0,0,0,0,2,2,R,"Floră",190,85,0.403,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095,-38.864,0,"가앤슬_",-0.098,-17.584,0,"encounter v",-19.019,-43.644,0,"Kr_Luna",-16.851,-55.298,0,"Pugeuk",17.345,-47.458,0,"Yaksok~",12.02,-65.047,0,"Sabo_10",41.006,-89.248,0,"mungjungh",4.329,-111.874,0,"소솨소솨",-45.837,-91.936,0,0,0,0,0,0,"",0,0,0,0,432.622,,,,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,447.155,"Rite_",R,13,74,113,-2.286,-0.646,0.441,2.069,-0.318,1.568,-36.441,37.687,1,0,-392.821,303.177,0,0,0,0,2,2,R,"Floră",190,85,0.403,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-38.027,0,"가앤슬_",-0.354,-17.961,0,"encounter v",-18.957,-43.643,0,"Kr_Luna",-16.916,-55.293,0,"Pugeuk",17.559,-47.971,0,"Yaksok~",11.853,-65.085,0,"Sabo_10",40.719,-90.929,0,"mungjungh",4.279,-111.91,0,"소솨소솨",-48.506,-93.104,0,0,0,0,0,0,"",0,0,0,0,448.488,,,,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,461.382,"Rite_",R,33,75,126,-0.253,0.22,0.424,2.01,-0.35,1.592,-36.441,44.241,0,0,148.215,-143.989,0,0,0,0,2,2,R,"Floră",190,85,0.403,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,-38.915,0,"가앤슬_",-0.056,-17.618,0,"encounter v",-18.968,-43.64,0,"Kr_Luna",-16.865,-55.288,0,"Pugeuk",17.544,-47.979,0,"Yaksok~",11.871,-65.105,0,"Sabo_10",40.528,-91.633,0,"mungjungh",1.901,-112.186,0,"소솨소솨",-48.508,-93.139,0,0,0,0,0,0,"",0,0,0,0,462.744,,,,0,0
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,479.313,"Rite_",R,27,76,127,0.733,1.05,0.488,2.127,0.137,2.132,-36.441,53.345,1,0,110.843,-125.005,0,0,0,0,2,2,R,"Floră",190,85,0.403,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,-39.023,0,"가앤슬_",0.018,-17.802,0,"encounter v",-19.009,-43.628,0,"Kr_Luna",-16.845,-55.302,0,"Pugeuk",17.466,-48.025,0,"Yaksok~",11.76,-65.13,0,"Sabo_10",39.706,-92.445,0,"mungjungh",2.006,-112.24,0,"소솨소솨",-45.039,-93.437,0,0,0,0,0,0,"",0,0,0,0,480.533,,,,0,0
10,1,1,0,0,2,2,2,0,0,0,255,255,255,9,495.419,"Rite_",R,13,75,118,-0.291,-0.777,0.532,2.014,0.144,1.415,-36.441,35.857,2,0,-172.672,266.737,0,0,0,1,2,2,R,"Floră",190,85,0.403,3,66,W,Y,496.505,223,149,128,120,64,145,100,13.791,35.41,-0.37,0,0.524,52.199,56.562,115.714,0.226,-37.068,89,"가앤슬_",-0.029,-17.95,0,"encounter v",-18.99,-43.611,64,"Kr_Luna",-16.825,-55.307,0,"Pugeuk",17.558,-47.888,0,"Yaksok~",11.757,-65.126,0,"Sabo_10",40.849,-92.851,0,"mungjungh",0.734,-112.261,0,"소솨소솨",-45.046,-93.446,104,498.611,-33.097,-65.915,500.1,8,"소솨소솨",-43.818,-80.266,1,0,,522.742,,,273,2
