id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,314.311,"Muna_328",R,8,84,135,-1.546,-0.225,0.038,2.186,-0.752,1.442,-36.636,38.73,2,0,53.955,0,7.859,0,0,1,0,6,L,"Sabo_10",185.3,87.575,0.449,3,54,W,Y,315.141,150,90,84,94,56,145,102,114.228,64.309,-0.18,0,0.458,319.696,-493.504,89.409,-0.077,-36.39,0,"하루（Haru）",-0.006,-17.799,0,"Floră",-20.601,-47.443,0,"Oort__Cloud",-7.696,-66.718,0,"encounter v",19.284,-43.444,0,"YukihiroD",16.67,-61.226,0,"Kr_Luna",46.495,-98.087,0,"ke ro",1.939,-113.473,0,"ddil_ddil69",-46.122,-91.415,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,327.597,"Muna_328",R,29,90,140,-2.656,0.646,0.002,2.309,-0.919,1.851,-36.636,47.44,2,0,-187.686,-152.827,28.959,0,0,1,0,6,L,"Sabo_10",185.3,87.575,0.449,3,54,W,Y,328.43,176,83,166,78,44,145,85,107.663,-58.041,-1,0,0.5,524.952,181.937,226.549,-0.089,-36.275,0,"하루（Haru）",0.077,-17.807,0,"Floră",-20.449,-47.016,0,"Oort__Cloud",-8.022,-66.551,0,"encounter v",19.3,-43.699,0,"YukihiroD",16.745,-61.67,0,"Kr_Luna",48.49,-95.639,0,"ke ro",1.303,-113.312,0,"ddil_ddil69",-44.959,-91.59,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,343.38,"Muna_328",R,10,74,103,1.444,-0.706,0.359,2.292,0.589,1.753,-36.636,57.12,0,0,14.467,400,17.859,-0.887,-19.22,1,0,6,L,"Sabo_10",185.3,87.575,0.449,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,-36.79,0,"하루（Haru）",0.19,-17.778,0,"Floră",-21.008,-47.568,0,"Oort__Cloud",-8.23,-66.456,0,"encounter v",19.842,-44.617,0,"YukihiroD",15.248,-62.51,0,"Kr_Luna",49.256,-100.402,0,"ke ro",-0.626,-112.037,0,"ddil_ddil69",-44.732,-91.483,0,0,0,0,0,0,"",0,0,0,0,346.559,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,366.787,"Muna_328",R,6,81,123,2.3,0.13,0.307,2.252,0.499,1.659,-36.636,47.758,2,0,355.626,0,12.943,0,0,1,1,2,L,"_Chun",190,80,0.445,3,52,W,Y,367.778,255,48,115,65,29,145,87,-17.859,-63.3,1,0,0.289,-14.865,-498.67,-104.568,0.12,-36.326,0,"하루（Haru）",0.051,-17.918,0,"Floră",-20.159,-46.693,0,"Oort__Cloud",-8.098,-66.419,0,"encounter v",19.734,-44.57,0,"YukihiroD",15.535,-62.175,0,"Kr_Luna",48.123,-104.692,0,"ke ro",1.162,-119.437,0,"ddil_ddil69",-44.869,-91.361,0,367.818,5.797,-23.202,0,0,"",0,0,0,0,,,,,0,3
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,382.179,"Muna_328",R,26,82,133,-6.302,-0.072,0.048,2.221,-0.705,1.561,-36.636,41.974,2,0,-134.738,-200,34.193,0,0,1,1,2,L,"_Chun",190,80,0.445,3,52,W,Y,383.172,131,53,82,52,32,138,93,18.571,-39.644,-0.48,0,0.153,131.151,-301.771,74.187,-0.122,-36.358,0,"하루（Haru）",-0.073,-18.022,0,"Floră",-20.692,-47.738,0,"Oort__Cloud",-7.445,-66.77,74,"encounter v",20.063,-44.295,0,"YukihiroD",15.613,-61.403,0,"Kr_Luna",50.596,-100.608,129,"ke ro",2.686,-115.65,0,"ddil_ddil69",-45.196,-92.154,0,386.184,42.659,-67.021,388.009,6,"Kr_Luna",57.753,-81.638,1,0,,,,,40,2
6,1,1,0,0,0,0,1,1,0,0,2,255,255,5,413.961,"Muna_328",R,26,79,129,-0.471,0.736,0.152,2.348,-0.043,1.899,-36.636,54.441,2,0,-127.716,-151.491,17.479,0,0,1,2,9,L,"눈꽃",190,90,0.6,3,52,W,Y,414.895,174,75,90,88,32,145,100,60.539,8.44,-0.33,0,0.424,449.667,-150.225,-78.366,-0.148,-36.555,0,"하루（Haru）",0.054,-18.009,0,"Floră",-19.637,-45.829,0,"Oort__Cloud",-7.579,-66.539,64,"encounter v",19.431,-43.665,0,"YukihiroD",15.6,-62.166,0,"Kr_Luna",42.242,-98.73,0,"ke ro",1.21,-117.428,0,"ddil_ddil69",-43.448,-89.932,0,421.493,-5.817,-74.026,421.684,3,"Oort__Cloud",-5.732,-72.905,0,0,,,,,32,1
7,1,1,0,0,0,0,2,1,0,0,2,255,255,6,442.881,"Muna_328",R,30,85,138,-1.581,-0.76,0.081,2.063,-0.554,1.05,-36.636,28.661,1,0,-113.442,-66.133,15.056,0,0,0,3,4,L,"vovopo 보보포",190,80,0.499,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009,-36.853,0,"하루（Haru）",0.028,-18.126,0,"Floră",-20.57,-44.403,0,"Oort__Cloud",-7.772,-67.001,0,"encounter v",20.48,-44.431,0,"YukihiroD",14.655,-62.236,0,"Kr_Luna",39.022,-94.362,0,"ke ro",-0.979,-110.776,0,"ddil_ddil69",-45.362,-90.665,0,0,0,0,0,0,"",0,0,0,0,444.151,,,,0,0
8,1,1,0,0,1,0,2,1,0,0,2,255,255,7,463.391,"Muna_328",R,14,81,106,2.831,-1.094,0.357,2.107,0.488,1.345,-36.636,39.093,4,0,376.237,312.348,11.913,0,0,1,3,4,L,"vovopo 보보포",190,80,0.499,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,-37.018,0,"하루（Haru）",0.157,-18.217,0,"Floră",-20.955,-45.771,0,"Oort__Cloud",-6.491,-66.758,0,"encounter v",20.322,-44.421,0,"YukihiroD",15.419,-62.034,0,"Kr_Luna",43.045,-96.079,0,"ke ro",3.275,-109.984,0,"ddil_ddil69",-44.726,-91.307,0,0,0,0,0,0,"",0,0,0,0,464.809,,,,0,0
9,1,1,0,0,1,1,2,1,0,0,2,255,255,8,483.588,"Muna_328",R,29,83,134,1.785,0.365,0.417,2.261,1.012,1.691,-36.636,48.415,1,0,-171.221,-132.823,13.122,0,0,0,3,4,L,"vovopo 보보포",190,80,0.499,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194,-36.994,0,"하루（Haru）",0.257,-18.128,0,"Floră",-20.798,-45.715,0,"Oort__Cloud",-6.574,-66.302,0,"encounter v",20.088,-44.613,0,"YukihiroD",15.494,-62.143,0,"Kr_Luna",43.199,-96.004,0,"ke ro",3.203,-109.997,0,"ddil_ddil69",-44.759,-91.218,0,0,0,0,0,0,"",0,0,0,0,484.926,,,,0,0
10,1,1,0,0,2,1,2,1,0,0,2,255,255,9,502.168,"Muna_328",R,29,84,136,0.195,0.224,0.289,2.217,0.415,1.546,-36.636,42.115,2,0,-250,-200,33.844,0,0,1,3,4,L,"vovopo 보보포",190,80,0.499,3,51,W,Y,503.268,255,102,79,11,17,133,130,-30,-34.633,0.52,0,0.442,-241.87,-324.258,176.204,0.169,-36.415,0,"하루（Haru）",0.208,-18.128,0,"Floră",-20.19,-47.069,96,"Oort__Cloud",-7.742,-66.645,0,"encounter v",19.902,-44.547,120,"YukihiroD",15.697,-61.457,0,"Kr_Luna",41.982,-95.616,0,"ke ro",3.205,-109.997,0,"ddil_ddil69",-44.803,-91.261,0,503.201,1.164,-21.405,504.534,4,"encounter v",16.521,-43.418,0,0,535.176,,,,267,2
