id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,441.994,"하루（Haru）",R,26,96,140,-2.179,-1.001,0.077,1.487,-1.058,0.809,-36.49,20.641,40,60,0,1,0,78.758,-200,19.451,0,0,0,0,2,L,"NABIMan",190,81.87,0.48,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142,-36.876,0,"Low1_jpn",-0.157,-17.877,0,"_Chun",-20.073,-45.318,0,"YukihiroD",-10.246,-63.967,0,"Yes_Man_",17.81,-46.877,0,"Fresh825",13.991,-64.027,0,"須磨-suma-",42.764,-95.829,0,"うよすま",7.24,-114.452,0,"CAT tourniquet",-38.674,-101.006,0,0,0,0,0,0,"",0,0,0,0,442.912,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,459.853,"하루（Haru）",R,34,78,129,1.817,1.244,0.446,1.95,0.656,2.308,-36.49,60.365,90,10,0,2,0,82.309,-79.297,3.478,0,0,1,0,2,L,"NABIMan",190,81.87,0.48,3,58,W,Y,460.87,255,97,39,100,77,127,106,26.344,-40.794,0.87,0,0.328,136.661,-162.797,44.019,-0.017,-36.735,0,"Low1_jpn",0.06,-18.016,0,"_Chun",-19.449,-45.136,0,"YukihiroD",-10.382,-63.795,74,"Yes_Man_",18.253,-48.193,0,"Fresh825",13.935,-64.082,0,"須磨-suma-",41.69,-94.803,85,"うよすま",4.476,-111.18,0,"CAT tourniquet",-38.534,-100.817,0,465.395,65.153,-88.781,467.587,6,"須磨-suma-",68.277,-93.226,1,0,,471.08,,,160,2
3,1,1,0,0,0,0,0,0,1,0,255,2,255,2,496.986,"하루（Haru）",R,3,58,105,2.912,0.667,0.515,1.777,1.81,2.042,-36.49,82.579,0,100,0,1,0,-337.96,0,12.354,0,0,0,1,9,L,"Kr_Luna",190,95.297,0.498,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.437,-37.431,0,"Low1_jpn",0.001,-17.699,0,"_Chun",-20.241,-45.279,0,"YukihiroD",-6.981,-64.948,0,"Yes_Man_",18.903,-44.814,0,"Fresh825",15.347,-63.68,0,"須磨-suma-",48.044,-92.083,0,"うよすま",9.277,-113.984,0,"CAT tourniquet",-34.178,-100.8,0,0,0,0,0,0,"",0,0,0,0,497.878,499.656,,,0,0
4,1,1,0,0,1,0,0,0,1,0,255,2,255,3,515.132,"하루（Haru）",R,27,72,123,-1.607,-0.081,0.143,1.678,-0.753,1.428,-36.49,30.065,44,56,0,1,0,30.796,-127.269,5.373,0,0,0,1,9,L,"Kr_Luna",190,95.297,0.498,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-37.258,0,"Low1_jpn",-0.25,-17.721,0,"_Chun",-19.929,-45.099,0,"YukihiroD",-5.374,-64.322,0,"Yes_Man_",18.951,-44.81,0,"Fresh825",15.487,-63.382,0,"須磨-suma-",48.044,-92.087,0,"うよすま",10.382,-117.642,0,"CAT tourniquet",-33.685,-104.452,0,0,0,0,0,0,"",0,0,0,0,516.012,517.91,,,0,0
5,1,1,0,0,2,0,0,0,1,0,255,2,255,4,530.902,"하루（Haru）",R,0,39,98,0.023,0.61,0.314,1.904,0,2.036,-36.49,58.551,100,0,0,2,0,0,19.301,-9.576,0,0,0,1,9,L,"Kr_Luna",190,95.297,0.498,3,58,W,Y,531.955,149,95,103,64,36,145,113,29.397,-38.291,0.12,0,0.062,151.591,-502.163,46.475,-0.051,-36.767,0,"Low1_jpn",-0.064,-17.76,0,"_Chun",-19.793,-45.401,0,"YukihiroD",-3.492,-62.587,0,"Yes_Man_",18.956,-44.736,0,"Fresh825",15.605,-63.311,78,"須磨-suma-",48.034,-92.093,88,"うよすま",11.593,-112.484,0,"CAT tourniquet",-33.745,-104.533,0,536.362,69.753,-89.601,541.537,0,"하루（Haru）",65.903,-88.784,0,0,,547.646,535.226,,384,2
6,1,1,0,0,2,1,0,0,1,0,255,2,255,5,562.32,"하루（Haru）",R,28,79,129,3.164,0.741,0.577,1.856,1.268,2.003,-36.49,54.48,89,11,0,1,0,62.558,-69.213,1.475,0,0,0,1,9,L,"Kr_Luna",190,95.297,0.498,0,60,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.395,-37.596,0,"Low1_jpn",0.065,-17.7,0,"_Chun",-20.098,-45.352,0,"YukihiroD",-7.471,-65.914,0,"Yes_Man_",18.848,-44.491,0,"Fresh825",16.921,-61.508,0,"須磨-suma-",50.332,-92.479,0,"うよすま",15.689,-123.833,0,"CAT tourniquet",-41.796,-97.271,0,0,0,0,0,0,"",0,0,0,0,563.228,566.638,,,0,0
7,1,1,0,0,3,1,0,0,1,0,255,2,255,6,575.317,"하루（Haru）",R,27,80,130,-0.29,0.398,0.251,1.777,-0.248,1.749,-36.49,36.147,39,61,0,2,0,77.199,-112.979,6.649,0,0,0,1,9,L,"Kr_Luna",190,95.297,0.498,3,60,W,Y,576.224,202,99,157,73,37,145,118,14.143,6.165,0.18,0,0.077,108.144,120.356,5.857,-0.358,-36.699,0,"Low1_jpn",-0.071,-17.837,0,"_Chun",-20.533,-45.711,0,"YukihiroD",-4.455,-64.792,87,"Yes_Man_",18.09,-43.867,0,"Fresh825",16.866,-62.512,67,"須磨-suma-",50.332,-92.478,0,"うよすま",14.768,-120.593,0,"CAT tourniquet",-41.094,-96.292,0,579.603,-11.945,-110.836,583.303,7,"うよすま",-16.756,-130.462,1,0,,586.903,581.443,586.536,292,2
8,1,1,1,0,0,0,0,0,1,0,255,9,255,7,611.593,"하루（Haru）",R,10,50,99,-0.751,-0.91,0.233,1.771,-0.333,1.734,-36.49,37.493,47,53,0,2,0,0,400,-11.365,0,0,1,2,6,R,"_송글_",175.1,91.844,0.315,3,61,W,Y,612.697,232,98,128,102,29,145,107,-5.766,-1.828,0.92,0,0.587,-137.901,340.699,-259.087,-0.064,-36.927,0,"Low1_jpn",-0.105,-17.934,0,"_Chun",-20.547,-44.741,109,"YukihiroD",-12.548,-64.503,0,"Yes_Man_",18.158,-46.842,0,"Fresh825",6.764,-64.258,94,"須磨-suma-",49.885,-94.28,0,"うよすま",-2.129,-109.651,0,"CAT tourniquet",-43.783,-97.395,0,612.545,0.038,-27.116,614.195,5,"Fresh825",2.827,-60.088,0,0,,,618.613,628.138,320,2
9,1,1,2,0,0,0,1,0,0,0,255,255,255,8,657.356,"하루（Haru）",R,28,83,134,2.035,1.029,0.47,1.907,0.771,2.168,-36.49,58.892,85,15,0,1,0,83.194,-89.097,4.167,0,0,0,3,4,R,"ByeolBam",190,92,0.5,0,61,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,-37.366,0,"Low1_jpn",0.298,-17.918,0,"_Chun",-20.246,-44.259,0,"YukihiroD",-13.487,-63.208,0,"Yes_Man_",18.957,-44.541,0,"Fresh825",15.777,-63.342,0,"須磨-suma-",48.522,-93.372,0,"うよすま",-4.989,-112.845,0,"CAT tourniquet",-39.223,-96.517,0,0,0,0,0,0,"",0,0,0,0,658.245,,,,0,0
10,1,1,2,0,0,1,1,0,0,0,255,255,255,9,673.459,"하루（Haru）",R,3,68,111,0.051,0.115,0.464,1.814,0.704,1.685,-36.49,67.407,80,20,0,2,0,-386.572,0,4.285,0,0,1,3,4,R,"ByeolBam",190,92,0.5,3,61,W,Y,674.569,212,109,63,70,36,139,130,109.094,-67.456,0.41,0,0.238,-162.712,-210.109,-46.846,-0.558,-37.241,0,"Low1_jpn",-0.092,-18.145,0,"_Chun",-20.354,-44.517,0,"YukihiroD",-13.381,-63.026,0,"Yes_Man_",18.978,-44.523,0,"Fresh825",13.661,-65.16,0,"須磨-suma-",48.608,-90.97,0,"うよすま",-6.508,-115.98,0,"CAT tourniquet",-45.191,-96.743,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
