id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,401.007,"まととまと",R,29,83,135,-0.07,0.032,0.226,2.018,0.195,1.465,-36.185,31.39,2,0,-175.165,-130.154,23.213,0,0,1,0,3,R,"낑깡__",165.4,80,0.402,3,75,W,Y,401.904,227,154,136,66,30,145,122,93.601,-82.249,0.38,0.048,0.316,170.542,572.817,52.881,-0.57,-36.244,0,"_Chun",-0.012,-17.357,0,"LaViel",-23.837,-49.794,0,"わかなで",-16.033,-64.28,0,"shuwaYNZ",19.319,-48.597,0,"Mr․D VRC",13.838,-64.944,0,"「론구」",39.319,-89.388,0,"TaeGeuk_",1.459,-112.776,0,"ゆっち一",-46.656,-88.987,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,419.57,"まととまと",R,6,87,126,2.264,-0.414,0.258,1.938,0.313,1.567,-36.185,37.064,1,0,463.569,187.361,36.68,0,0,0,0,3,R,"낑깡__",165.4,80,0.402,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,-36.873,0,"_Chun",0.136,-17.276,0,"LaViel",-23.456,-49.035,0,"わかなで",-17.738,-62.499,0,"shuwaYNZ",19.595,-47.883,0,"Mr․D VRC",14.397,-63.999,0,"「론구」",38.967,-89.62,0,"TaeGeuk_",0.27,-116.249,0,"ゆっち一",-47.583,-92.084,0,0,0,0,0,0,"",0,0,0,0,421.007,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,433.697,"まととまと",R,6,88,126,1.639,-0.687,0.214,1.86,0.012,1.214,-36.185,27.336,2,0,499.853,12.134,45.089,0,0,1,0,3,R,"낑깡__",165.4,80,0.402,3,81,W,Y,434.706,233,143,144,24,21,145,125,-5.932,30.799,0.43,0.095,0.353,-9.692,238.424,-25.175,0.208,-36.776,0,"_Chun",-0.004,-17.458,0,"LaViel",-25.071,-50.935,88,"わかなで",-17.213,-62.724,94,"shuwaYNZ",19.722,-47.898,0,"Mr․D VRC",14.382,-63.998,0,"「론구」",38.989,-89.607,0,"TaeGeuk_",1.349,-118.049,0,"ゆっち一",-43.864,-96.395,0,435.04,-2.177,-23.586,436.74,3,"わかなで",-22.354,-58.011,0,0,,,,,17,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,458.866,"まととまと",R,29,83,134,-1.083,0.665,0.168,2.122,-0.296,1.88,-36.185,46.701,2,0,-156.453,-149.297,12.975,0,0,0,1,4,R,"Slaris",190,85.704,0.452,3,77,W,Y,459.797,255,127,145,146,60,145,107,31.719,45.783,0,0,0.34,-46.7,-497.479,-260.177,-0.118,-36.47,0,"_Chun",0.014,-17.399,0,"LaViel",-23.704,-49.909,0,"わかなで",-17.361,-62.982,0,"shuwaYNZ",18.905,-46.891,0,"Mr․D VRC",13.887,-64.675,0,"「론구」",38.106,-89.124,0,"TaeGeuk_",0.415,-118.041,0,"ゆっち一",-45.718,-99.814,107,464.64,-58.398,-92.629,464.94,8,"ゆっち一",-56.545,-89.792,0,0,,,,,2,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,5,487.75,"まととまと",R,6,79,116,2.562,0.918,0.271,2.123,0.419,2.173,-36.185,54.605,1,0,500,0,19.684,0,0,0,2,2,R,"Floră",190,84.538,0.401,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,-36.803,0,"_Chun",0.17,-17.321,0,"LaViel",-24.333,-49.844,0,"わかなで",-18.641,-61.861,0,"shuwaYNZ",19.52,-47.449,0,"Mr․D VRC",14.376,-63.927,0,"「론구」",38.98,-90.11,0,"TaeGeuk_",-0.442,-117.989,0,"ゆっち一",-47.517,-91.346,0,0,0,0,0,0,"",0,0,0,0,489.162,,,,0,0
6,1,1,0,0,1,0,2,0,0,0,255,255,255,5,505.115,"まととまと",R,6,78,120,0.538,-1.054,0.144,1.772,-0.259,0.931,-36.185,15.26,1,0,313.88,0,22.136,0,0,0,2,2,R,"Floră",190,84.538,0.401,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,-36.833,0,"_Chun",-0.008,-17.189,0,"LaViel",-23.857,-49.466,0,"わかなで",-18.464,-61.848,0,"shuwaYNZ",19.277,-48.035,0,"Mr․D VRC",13.875,-64.829,0,"「론구」",39.054,-90.027,0,"TaeGeuk_",1.422,-113.099,0,"ゆっち一",-46.614,-93.601,0,0,0,0,0,0,"",0,0,0,0,506.429,,,,0,0
7,1,1,0,0,2,0,2,0,0,0,255,255,255,6,521.009,"まととまと",R,5,62,100,-1.989,-0.484,0.196,1.927,-0.613,1.311,-36.185,51.295,4,0,-131.117,0,-5.872,0,0,1,2,2,R,"Floră",190,84.538,0.401,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-37.025,0,"_Chun",-0.293,-17.29,0,"LaViel",-23.864,-49.65,0,"わかなで",-18.689,-61.761,0,"shuwaYNZ",19.451,-47.975,0,"Mr․D VRC",13.806,-64.892,0,"「론구」",39.042,-90.136,0,"TaeGeuk_",-0.086,-114.783,0,"ゆっち一",-46.661,-93.615,0,0,0,0,0,0,"",0,0,0,0,522.629,,,,0,0
8,1,1,0,0,2,1,2,0,0,0,255,255,255,7,538.456,"まととまと",R,26,82,133,0.666,0.835,0.346,2.116,0.361,1.973,-36.185,53.429,2,0,-59.348,-165.604,9.543,0,0,1,2,2,R,"Floră",190,84.538,0.401,3,77,W,Y,539.463,175,126,130,56,0,145,130,114.726,-3.069,0.5,0,0.663,360.355,161.135,-43.797,-0.363,-36.324,0,"_Chun",0.179,-17.124,0,"LaViel",-23.566,-49.351,0,"わかなで",-17.209,-62.632,0,"shuwaYNZ",19.092,-48.168,0,"Mr․D VRC",13.834,-64.814,0,"「론구」",38.985,-90.104,0,"TaeGeuk_",-0.483,-118.706,0,"ゆっち一",-47.12,-94,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
9,1,1,0,0,2,2,2,0,0,0,255,255,255,8,557.5,"まととまと",R,0,76,114,-0.14,-0.617,0.256,1.872,-0.069,1.213,-36.185,46.931,2,0,0,0,-1.436,0,0,1,2,2,R,"Floră",190,84.538,0.401,3,76,W,Y,558.663,197,150,127,123,77,145,102,28.763,26.561,0.93,0,0.67,228.489,59.231,230.964,0.066,-36.706,0,"_Chun",-0.286,-16.99,0,"LaViel",-23.352,-49.85,0,"わかなで",-19.689,-59.878,0,"shuwaYNZ",19.555,-47.435,0,"Mr․D VRC",13.794,-64.711,0,"「론구」",39.058,-89.807,0,"TaeGeuk_",-0.09,-117.125,0,"ゆっち一",-46.814,-92.939,92,0,0,0,563.507,8,"ゆっち一",-39.21,-93.738,0,0,612.307,,,,42,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,725.959,"-라후이-",R,26,92,140,-0.832,1.074,0.079,1.783,-0.331,1.987,-36.441,17.806,0,0,-25.474,-200,14.051,0,0,0,0,3,L,"わかなで",165.4,80,0.2,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-37.39,0,"Kenomo",-0.243,-17.514,0,"Floră",-19.353,-45.642,0,"낑깡__",-9.325,-68.157,0,"Slaris",21.091,-47.129,0,"즉석카레",14.316,-62.742,0,"メリニット",41.625,-91.35,0,"아침땅_",3.2,-103.891,0,"ディシジョン",-41.869,-93.018,0,0,0,0,0,0,"",0,0,0,0,727.251,,,,0,0
