id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,335.114,"encounter v",R,41,37,86,0.469,0.425,0.502,2.258,0.135,1.756,-36.681,55.018,100,0,0,0,0,24.92,-63.874,-5.986,0,0,0,0,8,L,"펜케이크",174.9,95,0.5,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072,-37.746,0,"「론구」",-0.029,-17.133,0,"Yaksok~",-18.949,-49.012,0,"Ѕeyeon",-11.268,-65.43,0,"Yes_Man_",21.421,-48.924,0,"shimenawa",13.644,-67.071,0,"AI",40.9,-90.65,0,"하랑님_",0.53,-111.422,0,"ByeolBam",-45.716,-95.581,0,0,0,0,0,0,"",0,0,0,0,336.396,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,345.379,"encounter v",R,39,39,87,1.225,1.044,0.514,2.315,0.449,1.959,-36.681,60.191,100,0,0,2,0,27.779,-166.99,-16.625,0,0,1,0,8,L,"펜케이크",174.9,95,0.5,3,37,W,Y,346.714,248,127,128,54,0,145,110,21.821,-21.022,0.13,0,0.71,66.399,-324.162,-203.273,0.056,-37.53,0,"「론구」",-0.01,-17.572,0,"Yaksok~",-18.543,-48.13,0,"Ѕeyeon",-11.255,-65.447,0,"Yes_Man_",21.315,-48.984,0,"shimenawa",12.135,-64.736,107,"AI",40.9,-90.65,0,"하랑님_",0.485,-111.63,0,"ByeolBam",-44.847,-95.222,0,350.929,41.481,-106.026,354.912,5,"shimenawa",13.461,-73.991,0,0,,,,,144,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,369.092,"encounter v",R,32,86,139,-4.175,-1.084,0.51,2.143,-0.087,1.27,-36.681,46.66,77,23,0,2,0,226.726,-200,-19.805,0,0,1,1,5,R,"muyang_",171,80,0.498,3,65,W,Y,370.032,255,173,202,30,15,145,84,7.583,25.398,-0.78,0,0.196,-93.43,261.555,46.976,0.425,-37.363,0,"「론구」",-0.046,-17.44,0,"Yaksok~",-17.886,-47.822,96,"Ѕeyeon",-14.804,-62.759,0,"Yes_Man_",18.942,-55.087,0,"shimenawa",11.559,-66.255,0,"AI",40.9,-90.65,0,"하랑님_",-0.483,-111.223,0,"ByeolBam",-45.853,-99.113,0,371.012,-13.23,-46.166,371.562,2,"Yaksok~",-12.821,-45.398,0,0,,,,,136,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,393.452,"encounter v",R,32,94,140,0.08,-0.31,0.468,2.125,-0.28,1.202,-36.681,48.466,72,28,0,2,0,250,-200,-0.107,0,0,1,2,3,R,"Rite_",169.7,80,0.453,3,55,W,Y,394.705,255,223,63,86,37,139,90,25.504,28.702,-0.24,0,0.472,457.567,240.804,44.062,0.152,-37.075,0,"「론구」",-0.15,-17.533,0,"Yaksok~",-17.899,-48.947,0,"Ѕeyeon",-14.625,-63.33,0,"Yes_Man_",19.084,-55.548,0,"shimenawa",9.049,-66.669,0,"AI",40.9,-90.65,0,"하랑님_",-4.705,-115.806,0,"ByeolBam",-45.109,-95.846,0,0,0,0,399.204,8,"ByeolBam",-40.215,-83.579,0,0,,,,,163,1
5,1,0,0,0,0,0,0,0,0,0,255,255,255,0,452.513,"Floră",R,1,33,85,0.652,0.032,0.398,1.619,0.07,1.682,-36.341,35.647,0,100,0,2,0,-4.838,0.834,-0.46,0,0,0,0,7,R,"하랑님_",163,95,0.5,3,66,W,Y,453.937,80,74,75,61,45,120,74,-51.971,-37.569,-0.32,0,0.19,-234.774,-10.139,35.941,0.055,-37.702,0,"Kr_Luna",0.041,-17.441,0,"Pring__",-18.91,-45.503,85,"Rite_",-12.916,-62.281,0,"_송글_",21.376,-50.765,87,"muyang_",14.756,-64,0,"TaeGeuk_",35.218,-91.712,0,"AI",0,-109.84,0,"펜케이크",-35.445,-83.57,0,453.579,0.505,-20.024,456.379,4,"_송글_",17.584,-42.811,1,0,,,,,168,2
6,1,0,0,0,0,0,0,1,0,0,17,255,255,1,481.885,"Floră",R,3,52,87,1.745,-0.407,0.845,1.486,1.388,1.407,-36.341,28.991,0,77,23,1,0,-328.347,0,12.668,0,0,0,1,5,L,"shimenawa",175.1,95.071,0.305,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.633,0,"Kr_Luna",0,-17.459,0,"Pring__",-19.915,-41.354,0,"Rite_",-5.563,-63.307,0,"_송글_",21.823,-48.967,0,"muyang_",9.387,-61.226,0,"TaeGeuk_",47.948,-93.294,0,"AI",0,-109.84,0,"펜케이크",-40.092,-88.937,0,0,0,0,0,0,"",0,0,0,0,482.929,,,,0,0
7,1,0,0,0,1,0,0,1,0,0,17,255,255,2,494.729,"Floră",R,33,82,134,1.192,-0.562,0.275,1.577,0.35,1.251,-36.341,28.988,0,100,0,0,0,115.913,-24.644,-1.37,0,0,1,1,5,L,"shimenawa",175.1,95.071,0.305,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37.453,0,"Kr_Luna",-0.006,-17.457,0,"Pring__",-19.82,-41.168,0,"Rite_",-7.916,-63.445,0,"_송글_",21.828,-48.949,0,"muyang_",11.159,-61.487,0,"TaeGeuk_",46.592,-95.597,0,"AI",0,-109.84,0,"펜케이크",-39.166,-89.102,0,0,0,0,0,0,"",0,0,0,0,495.504,,,,0,0
8,1,0,0,0,1,1,0,1,0,0,17,255,255,3,507.605,"Floră",R,3,55,89,-0.168,-0.74,0.546,1.485,0.674,1.211,-36.341,24.887,0,100,0,2,0,-329.521,0,11.358,0,0,1,1,5,L,"shimenawa",175.1,95.071,0.305,3,99,W,Y,508.911,120,46,78,63,6,137,90,-42.046,37.527,-0.32,0,0.28,-399.076,-64.39,73.144,-0.068,-37.309,0,"Kr_Luna",0.007,-17.458,0,"Pring__",-19.054,-42.876,96,"Rite_",-10.028,-64.822,0,"_송글_",21.451,-48.712,0,"muyang_",11.166,-61.431,0,"TaeGeuk_",47.678,-98.819,0,"AI",0,-109.84,0,"펜케이크",-38.948,-89.259,0,508.487,-0.561,-20.385,510.546,2,"Pring__",-16.542,-41.177,1,0,,514.253,,,140,2
9,1,0,0,0,0,0,1,1,0,0,15,255,255,4,539.193,"Floră",R,12,53,94,0.67,-0.683,0.411,1.63,0.279,1.341,-36.341,30.731,0,100,0,2,0,0,86.442,-5.9,0,0,1,2,8,R,"ByeolBam",180.1,88,0.5,3,68,W,Y,540.307,169,190,82,70,33,145,128,15.076,-4.194,0.58,0,0.246,186.176,355.434,12.322,0.143,-37.559,0,"Kr_Luna",0.023,-17.492,0,"Pring__",-18.611,-42.683,0,"Rite_",-12.982,-62.246,98,"_송글_",21.506,-48.731,86,"muyang_",10.143,-61.024,0,"TaeGeuk_",48.393,-97.23,0,"AI",0,-109.84,0,"펜케이크",-38.055,-85.445,0,544.421,0.017,-133.165,545.354,7,"AI",-0.478,-131.082,1,0,,546.806,551.599,,164,2
10,1,0,0,0,0,0,1,0,1,1,255,18,15,5,572.359,"Floră",R,13,78,115,-1.384,-1.953,0.185,1.522,-0.07,0.851,-36.341,25.567,0,100,0,1,0,-375.465,330.191,16.176,-0.356,-18.713,0,3,2,R,"Yaksok~",173.2,80,0.273,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-37.631,0,"Kr_Luna",0.008,-17.581,0,"Pring__",-20.019,-43.395,0,"Rite_",-15.695,-61.933,0,"_송글_",20.819,-46.271,0,"muyang_",5.755,-59.426,0,"TaeGeuk_",38.452,-111.063,0,"AI",0,-109.84,0,"펜케이크",-37.744,-87.537,0,0,0,0,0,0,"",0,0,0,0,573.087,575.443,574.421,,0,0
