id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,263.675,"Rite_",R,32,82,133,-1.302,0.246,0.295,1.613,-0.834,1.616,-36.441,25.76,0,100,0,2,0,210.639,-99.852,0,0,0,1,0,3,R,"うよすま",160,83,0.582,3,41,W,Y,264.89,255,114,67,109,41,141,108,26.56,20.446,0.77,0,0.459,143.821,-582.118,-21.318,0.488,-37.607,0,"Pugeuk",-0.277,-17.646,0,"HANA_ARASHI",-18.297,-45.067,0,"Pring__",-13.057,-64.033,0,"소솨소솨",18.76,-46.517,0,"mungjungh",15.696,-62.683,86,"AI",40.9,-90.65,0,"ひな_空",1.224,-105.476,92,"AI",-40.8,-90.55,0,268.813,-20.884,-109.893,273.773,8,"AI",-21.24,-132.294,1,0,,274.751,,,97,2
2,1,1,0,0,0,0,0,0,1,0,255,3,255,1,301.87,"Rite_",R,32,84,136,1.539,0.8,0.589,1.721,0.468,1.993,-36.441,33.205,25,75,0,2,0,155.512,-67.373,0,0,0,1,1,5,R,"Yaksok~",173.1,89.702,0.273,3,40,W,Y,302.774,255,92,143,70,0,145,83,-21.088,38.292,-0.89,0,0.892,359.961,-474.953,69.628,0.003,-37.5,0,"Pugeuk",-0.044,-17.76,0,"HANA_ARASHI",-20.894,-46.202,120,"Pring__",-13.253,-64.278,0,"소솨소솨",18.622,-46.014,85,"mungjungh",12.8,-65.316,0,"AI",40.9,-90.65,0,"ひな_空",0.294,-106.738,0,"AI",-40.8,-90.55,0,302.067,-1.824,-22.123,303.747,2,"HANA_ARASHI",-18.472,-39.688,0,1,,,307.711,,11,2
3,1,1,0,0,0,0,2,0,0,0,255,255,255,2,331.47,"Rite_",R,33,84,136,1.054,1.419,0.504,1.802,0.111,2.297,-36.441,32.071,81,19,0,2,0,139.904,-69.471,0,0,0,1,2,2,L,"눈꽃",190,85,0.6,3,39,W,Y,332.374,255,119,107,101,26,145,130,13.304,9.827,0.48,0,0.436,214.668,-554.259,81.94,0.257,-37.596,0,"Pugeuk",-0.162,-17.555,0,"HANA_ARASHI",-20.787,-45.728,0,"Pring__",-10.789,-65.805,0,"소솨소솨",19.794,-45.635,0,"mungjungh",16.408,-63.432,85,"AI",40.9,-90.65,0,"ひな_空",6.02,-108.008,95,"AI",-40.8,-90.55,0,335.653,-6.469,-129.47,338.533,7,"ひな_空",-9.517,-125.575,1,0,,342.338,,,97,2
4,1,1,0,0,0,0,2,0,1,0,255,2,255,3,368.479,"Rite_",R,32,86,139,-1.755,-0.139,0.331,1.582,-0.981,1.443,-36.441,18.669,0,100,0,1,0,176.449,-91.285,0,0,0,0,3,6,L,"Sabo_10",185.3,87.575,0.449,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.657,-39.476,0,"Pugeuk",-0.233,-17.565,0,"HANA_ARASHI",-20.274,-44.733,0,"Pring__",-5.911,-65.606,0,"소솨소솨",20.626,-44.395,0,"mungjungh",13.715,-64.319,0,"AI",40.9,-90.65,0,"ひな_空",0.948,-104.22,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,368.6,371.421,,,0,0
5,1,1,0,0,1,0,2,0,1,0,255,2,255,4,385.888,"Rite_",R,32,90,140,2.371,-0.035,0.618,1.57,0.754,1.537,-36.441,28.635,0,98,2,4,0,194.453,-58.887,0,0,0,1,3,6,L,"Sabo_10",185.3,87.575,0.449,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105,-38.065,0,"Pugeuk",0.127,-17.728,0,"HANA_ARASHI",-19.282,-44.033,0,"Pring__",-0.847,-59.985,0,"소솨소솨",20.296,-44.492,0,"mungjungh",13.94,-63.624,0,"AI",40.9,-90.65,0,"ひな_空",0.609,-102.756,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,386.053,388.691,,,0,0
6,1,1,0,0,1,1,2,0,1,0,255,2,255,5,405.435,"Rite_",R,32,93,140,-1.394,-0.363,0.308,1.5,-0.951,1.315,-36.441,9.958,0,100,0,0,0,250,-84.633,0,0,0,0,3,6,L,"Sabo_10",185.3,87.575,0.449,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056,-38.304,0,"Pugeuk",-0.119,-17.493,0,"HANA_ARASHI",-19.626,-44.052,0,"Pring__",-0.397,-59.134,0,"소솨소솨",20.345,-44.417,0,"mungjungh",15.448,-63.954,0,"AI",40.9,-90.65,0,"ひな_空",-0.124,-102.955,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,405.56,408.352,,,0,0
7,1,1,0,0,1,2,2,0,1,0,255,2,255,6,424.787,"Rite_",R,0,69,108,2.359,0.53,0.781,1.698,1.003,1.945,-36.441,50.072,0,96,4,2,0,0,0,0,0,0,1,3,6,L,"Sabo_10",185.3,87.575,0.449,3,39,W,Y,425.668,222,91,101,101,68,145,112,-8.229,-16.86,0.92,0,0.585,-508.971,-299.051,-107.319,0.254,-37.814,0,"Pugeuk",0.068,-17.814,0,"HANA_ARASHI",-18.334,-45.765,0,"Pring__",-0.419,-59.111,0,"소솨소솨",19.848,-45.204,0,"mungjungh",15.445,-64.033,103,"AI",40.9,-90.65,0,"ひな_空",1.873,-102.563,0,"AI",-40.8,-90.55,0,424.947,2.511,-27.384,426.52,5,"mungjungh",12.364,-59.403,0,0,465.173,,429.655,,120,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,514.884,"인생최패망자",R,0,84,136,5.098,0.176,1.223,1.488,2.132,1.689,-36.744,89.003,0,100,0,1,0,36.014,-20.99,-0.866,0,0,0,0,3,L,"Pring__",175,87.818,0.485,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,-37.546,0,"TaeGeuk_",0.271,-17.968,0,"눈꽃",-18.175,-44.499,0,"うよすま",-8.68,-65.441,0,"Roslynn",22.253,-48.369,0,"Yaksok~",16.821,-62.532,0,"Sabo_10",48.829,-98.784,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,515.08,,,,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,526.904,"인생최패망자",R,3,83,124,2.216,0.454,1.139,1.56,1.576,1.866,-36.744,68.991,0,100,0,2,0,-399.759,0,10.203,0,0,1,0,3,L,"Pring__",175,87.818,0.485,3,38,W,Y,527.768,255,121,94,85,55,145,127,13.021,-3.849,0.57,0,0.458,193.991,-567.662,-11.294,0.464,-36.928,0,"TaeGeuk_",0.343,-18.202,0,"눈꽃",-18.804,-46.547,0,"うよすま",-11.244,-65.873,75,"Roslynn",22.202,-47.967,0,"Yaksok~",16.808,-62.527,0,"Sabo_10",48.681,-98.795,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,530.853,19.234,-122.569,533.013,7,"AI",17.607,-128.829,1,0,,537.516,,,65,2
10,1,0,0,0,0,0,0,0,1,0,255,13,255,2,558.934,"인생최패망자",R,0,103,140,-1.45,0.564,0.652,1.593,-0.688,1.955,-36.744,27.986,0,100,0,0,0,29.458,-15.663,4.725,0,0,0,1,1,R,"Pugeuk",190,80,0.277,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,-37.497,0,"TaeGeuk_",-0.097,-18.239,0,"눈꽃",-20.565,-43.706,0,"うよすま",-14.613,-62.421,0,"Roslynn",20.061,-45.09,0,"Yaksok~",3.165,-60.499,0,"Sabo_10",44.658,-94.752,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,559.133,561.551,,,0,0
11,1,0,0,0,0,1,0,0,1,0,255,13,255,3,572.359,"인생최패망자",R,0,74,112,2.878,-0.197,0.91,1.51,1.226,1.497,-36.744,104.054,0,100,0,2,0,0,0,0.92,0,0,1,1,1,R,"Pugeuk",190,80,0.277,3,37,W,Y,573.363,255,149,92,113,45,145,107,25.988,-24.367,0.91,0,1.121,310.378,-453.59,240.67,0.245,-36.928,0,"TaeGeuk_",0.076,-18.344,0,"눈꽃",-19.625,-44.518,0,"うよすま",-14.693,-61.616,67,"Roslynn",20.579,-44.508,0,"Yaksok~",7.259,-59.945,0,"Sabo_10",45.84,-95.242,125,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,577.28,6,"Sabo_10",45.025,-100.371,0,0,,578.348,,,73,1
