id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,174.031,"coder_",R,26,78,128,0.816,0.457,0.664,1.549,0.296,1.648,-36.744,17.51,32,68,0,2,0,25.292,-164.475,12.85,0,0,0,0,5,R,"Oort__Cloud",160,80,0.2,3,95,W,Y,175.053,122,43,17,27,20,35,42,13.185,35.35,-0.33,0,0.345,414.984,409.436,-141.95,-0.155,-36.715,0,"Ainy4／あいにゃ",-0.04,-17.415,0,"인생최패망자",-16.86,-42.421,82,"Kr_Luna",-10.765,-59.609,0,"소솨소솨",19.38,-45.637,0,"펜케이크",12.873,-59.021,0,"Azuner",33.408,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,176.221,-8.943,-32.343,177.196,2,"인생최패망자",-12.28,-35.653,0,0,,,,,65,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,196.027,"coder_",R,10,67,111,-0.369,1.015,0.562,1.851,-0.177,2.678,-36.744,34.252,100,0,0,0,0,0.054,381.56,-7.033,0,0,0,1,8,L,"ゆっち一",180.9,84.105,0.397,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.177,-37.256,0,"Ainy4／あいにゃ",-0.144,-17.364,0,"인생최패망자",-18.192,-46.95,0,"Kr_Luna",-8.957,-60.89,0,"소솨소솨",19.989,-44.91,0,"펜케이크",12.007,-59.376,0,"Azuner",48.841,-103.464,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,197.238,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,212.727,"coder_",R,26,86,139,-0.049,-0.08,0.575,1.468,-0.116,1.377,-36.744,25.021,49,51,0,2,0,56.657,-200,25.842,0,0,1,1,8,L,"ゆっち一",180.9,84.105,0.397,3,73,W,Y,213.863,255,175,114,87,56,145,99,-6.848,-56.229,0.96,0,0.402,53.489,590.953,-88.958,0.65,-37.571,0,"Ainy4／あいにゃ",0.014,-17.502,0,"인생최패망자",-18.723,-47.754,0,"Kr_Luna",-7.234,-62.105,0,"소솨소솨",19.988,-44.76,0,"펜케이크",12.019,-59.465,0,"Azuner",48.31,-101.873,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,213.888,6.727,-23.087,0,0,"",0,0,0,0,,,,,64,3
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,228.955,"coder_",R,26,84,136,-1.401,1.748,0.464,1.787,-0.632,2.461,-36.744,26.474,55,45,0,1,0,4.9,-200,-0.759,0,0,0,1,8,L,"ゆっち一",180.9,84.105,0.397,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.37,-37.115,0,"Ainy4／あいにゃ",-0.117,-17.331,0,"인생최패망자",-18.373,-45.379,0,"Kr_Luna",-10.023,-61.045,0,"소솨소솨",21.237,-45.761,0,"펜케이크",12.335,-58.681,0,"Azuner",48.903,-101.601,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,230.029,,,,0,0
5,1,1,0,0,1,2,1,0,0,0,255,255,255,4,246.59,"coder_",R,14,72,111,5.025,-0.968,0.923,1.511,1.504,1.522,-36.744,35.525,70,30,0,1,0,353.61,353.497,8.108,0,0,0,1,8,L,"ゆっち一",180.9,84.105,0.397,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623,-37.098,0,"Ainy4／あいにゃ",0.086,-17.362,0,"인생최패망자",-17.826,-46.084,0,"Kr_Luna",-10.078,-61.036,0,"소솨소솨",20.671,-44.704,0,"펜케이크",12.452,-59.08,0,"Azuner",49.028,-101.459,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,247.804,,,,0,0
6,1,1,0,0,2,2,1,0,0,0,255,255,255,5,257.244,"coder_",R,14,74,101,1.951,-1.413,0.639,1.4,0.12,1.314,-36.744,23.557,51,49,0,2,0,337.274,339.22,8.255,0,0,1,1,8,L,"ゆっち一",180.9,84.105,0.397,3,73,W,Y,258.496,255,144,76,92,60,145,128,14.156,-45.075,0.67,0,0.556,78.062,593.843,35.458,0.006,-37.096,0,"Ainy4／あいにゃ",0.041,-17.419,0,"인생최패망자",-17,-45.297,0,"Kr_Luna",-9.972,-61.135,66,"소솨소솨",20.378,-45.805,0,"펜케이크",12.469,-59.127,0,"Azuner",48.95,-101.561,121,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,261.129,53.51,-84.406,262.013,6,"Azuner",59.009,-92.454,1,0,,,,,104,2
7,1,1,0,0,0,0,1,1,0,0,8,255,255,6,285.412,"coder_",R,26,84,136,-1.193,-0.219,0.475,1.45,-0.58,1.271,-36.744,20.762,51,49,0,2,0,35.554,-200,12.812,0,0,1,2,3,L,"須磨-suma-",160,80,0.58,3,88,W,Y,286.509,176,62,61,48,28,137,98,25.689,-25.646,0.89,0,0.324,-431.777,-408.979,-79.401,0.137,-37.726,0,"Ainy4／あいにゃ",-0.129,-17.46,0,"인생최패망자",-17.034,-41.919,0,"Kr_Luna",-7.71,-60.61,73,"소솨소솨",19.39,-45.332,0,"펜케이크",14.083,-59.541,0,"Azuner",49.231,-94.722,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,290.013,36.857,-83.163,290.396,6,"Azuner",36.821,-83.108,1,0,,292.942,,,104,2
8,1,1,0,0,0,0,1,1,1,0,3,8,255,7,312.605,"coder_",R,26,76,127,-0.574,0.652,0.542,1.607,-0.27,1.839,-36.744,12.966,52,48,0,2,0,2.378,-186.583,9.707,0,0,1,3,4,L,"encounter v",190,82.544,0.499,3,87,W,Y,313.736,214,107,122,74,53,145,92,106.728,27.334,-0.75,0,0.422,590.015,-53.358,-95.053,0.397,-36.823,0,"Ainy4／あいにゃ",0.025,-17.371,0,"인생최패망자",-17.312,-44.017,0,"Kr_Luna",-2.887,-61.454,0,"소솨소솨",19.161,-43.61,0,"펜케이크",12.494,-56.912,0,"Azuner",50.667,-101.256,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,316.728,,,64,3
9,1,1,0,0,0,1,1,1,1,0,3,8,255,8,328.081,"coder_",R,10,67,98,1.985,-1.281,0.871,1.456,0.839,1.45,-36.744,18.692,55,45,0,1,0,0,400,8.313,0,0,0,3,4,L,"encounter v",190,82.544,0.499,0,87,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,-37.465,0,"Ainy4／あいにゃ",0.012,-17.454,0,"인생최패망자",-18.993,-42.359,0,"Kr_Luna",-0.617,-60.152,0,"소솨소솨",21.093,-42.412,0,"펜케이크",13.82,-56.661,0,"Azuner",49.911,-100.758,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,329.329,331.195,,,0,0
10,1,1,0,0,1,1,1,1,1,0,3,8,255,9,342.443,"coder_",R,26,86,122,-1.249,-0.056,0.433,1.422,-0.519,1.377,-36.744,15.511,62,38,0,2,0,-23.801,-200,28.173,0,0,1,3,4,L,"encounter v",190,82.544,0.499,3,87,W,Y,343.494,255,127,104,109,96,145,130,26.093,1.321,0.42,0,0.487,172.43,-231.829,-525.855,0.075,-37.585,0,"Ainy4／あいにゃ",-0.147,-17.661,128,"인생최패망자",-17.383,-45.147,0,"Kr_Luna",-2.08,-62.672,0,"소솨소솨",20.049,-44.874,110,"펜케이크",13.762,-54.164,0,"Azuner",49.812,-100.19,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,349.038,7,"AI",5.956,-132.028,0,0,356.879,349.939,352.881,,70,2
