id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,182.278,"인생최패망자",R,26,88,140,-0.928,0.383,0.401,2.138,-0.459,1.613,-36.585,28.555,73,19,8,2,0,36.352,-200,21.138,0,0,1,0,3,R,"_송글_",174.9,91.844,0.315,3,58,W,Y,183.263,183,82,95,52,21,145,122,27.112,31.052,0.72,0,0.414,-261.971,-520.952,141.352,0.082,-36.572,0,"Kr_Luna",0.028,-17.61,0,"-라후이-",-19.897,-45.992,0,"Ѕeyeon",-15.216,-62.793,0,"-KYU-",24.075,-51.513,0,"「론구」",14.988,-64.227,84,"AI",40.9,-90.65,0,"AI",0,-109.845,0,"Yashei",-43.914,-93.763,116,187.257,-41.769,-110.741,190.14,8,"Yashei",-39.922,-115.967,1,0,,192.834,,,97,2
2,1,1,0,0,0,0,0,0,1,0,255,3,255,1,211.431,"인생최패망자",R,10,59,106,2.594,2.01,0.555,2.433,1.113,3.275,-36.585,89.026,69,29,2,1,0,0,351.152,0.959,0,0,0,1,2,R,"Floră",190,85,0.403,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,-37.279,0,"Kr_Luna",-0.17,-17.611,0,"-라후이-",-19.716,-44.636,0,"Ѕeyeon",-16.446,-62.068,0,"-KYU-",21.93,-47.667,0,"「론구」",4.322,-62.649,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-42.121,-93.546,0,0,0,0,0,0,"",0,0,0,0,212.407,213.315,,,0,0
3,1,1,0,0,1,0,0,0,1,0,255,3,255,2,227.58,"인생최패망자",R,26,86,139,1.085,0.833,0.579,2.236,0.367,1.937,-36.585,51.555,68,23,9,2,0,64.062,-200,17.047,0,0,1,1,2,R,"Floră",190,85,0.403,3,56,W,Y,228.608,185,105,94,82,10,145,90,95.761,2.174,-0.82,0,0.463,474.464,304.751,-204.965,0.152,-36.789,0,"Kr_Luna",-0.022,-17.566,0,"-라후이-",-18.915,-45.443,0,"Ѕeyeon",-15.575,-62.413,0,"-KYU-",22.505,-48.628,0,"「론구」",6.258,-62.685,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-42.725,-94.219,0,234.815,4.032,-2.97,0,0,"",0,0,0,0,,233.072,,,1,3
4,1,1,0,0,1,1,0,0,1,0,255,3,255,3,252.754,"인생최패망자",R,10,79,107,-0.811,-1.359,0.383,2.081,-0.363,1.288,-36.585,46.851,84,16,0,4,0,0,400,9.308,0,0,1,1,2,R,"Floră",190,85,0.403,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301,-37.196,0,"Kr_Luna",-0.029,-17.694,0,"-라후이-",-19.174,-44.625,0,"Ѕeyeon",-15.419,-63.03,0,"-KYU-",22.38,-47.089,0,"「론구」",2.606,-63.641,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-41.883,-90.129,0,0,0,0,0,0,"",0,0,0,0,253.715,256.572,,,0,0
5,1,1,0,0,1,2,0,0,1,0,255,3,255,4,267.864,"인생최패망자",R,13,89,113,-2.252,-2.173,0.294,1.826,-0.639,0.739,-36.585,27.648,39,61,0,4,0,-195.115,398.932,14.951,-0.463,-19.684,1,1,2,R,"Floră",190,85,0.403,0,56,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,-37.204,0,"Kr_Luna",0.194,-19.245,0,"-라후이-",-19.808,-44.791,0,"Ѕeyeon",-15.294,-63.173,0,"-KYU-",22.713,-49.055,0,"「론구」",2.501,-62.244,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-41.912,-90.05,0,0,0,0,0,0,"",0,0,0,0,268.89,270.613,,,0,0
6,1,1,0,0,0,0,1,0,1,0,255,3,255,5,292.248,"인생최패망자",R,26,92,140,-1.026,0.845,0.386,2.237,-0.529,1.946,-36.585,38.293,73,20,7,2,0,59.62,-200,20.447,0,0,1,2,4,L,"NABIMan",190,81.87,0.48,3,55,W,Y,293.188,130,99,76,54,0,138,98,57.033,16.318,-0.23,0,0.478,-492.124,-343.213,4.317,0.215,-37.086,0,"Kr_Luna",0.012,-17.479,0,"-라후이-",-19.909,-46.093,0,"Ѕeyeon",-15.285,-63.134,85,"-KYU-",23.031,-48.797,0,"「론구」",13.956,-64.206,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-36.153,-93.426,0,298.523,-11.003,-80.941,298.848,3,"Ѕeyeon",-10.863,-79.365,0,0,,297.048,,,5,1
7,1,1,0,0,0,0,2,0,1,0,255,3,255,6,320.712,"인생최패망자",R,10,83,110,-1.008,-1.936,0.355,1.854,-0.448,0.966,-36.585,36.013,84,16,0,4,0,0,400,1.675,-0.236,-18.97,1,3,6,R,"즉석카레",174.5,84.749,0.402,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,-37.515,0,"Kr_Luna",0.014,-17.437,0,"-라후이-",-18.91,-44.913,0,"Ѕeyeon",-15.552,-63.235,0,"-KYU-",22.191,-45.62,0,"「론구」",2.505,-62.413,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-40.225,-90.457,0,0,0,0,0,0,"",0,0,0,0,321.773,322.879,,,0,0
8,1,1,0,0,0,1,2,0,1,0,255,3,255,7,333.676,"인생최패망자",R,26,87,140,1.205,1.176,0.586,2.267,0.402,2.077,-36.585,48.894,70,24,5,1,0,77.415,-188.819,6.483,0,0,0,3,6,R,"즉석카레",174.5,84.749,0.402,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,-37.483,0,"Kr_Luna",0.007,-17.451,0,"-라후이-",-19.162,-44.557,0,"Ѕeyeon",-15.083,-62.724,0,"-KYU-",23.519,-46.924,0,"「론구」",3.996,-62.233,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-40.263,-90.464,0,0,0,0,0,0,"",0,0,0,0,334.582,336.424,,,0,0
9,1,1,0,0,1,1,2,0,1,0,255,3,255,8,346.21,"인생최패망자",R,0,77,128,2.513,1.757,0.779,2.286,1.034,2.566,-36.585,80.888,61,32,6,1,0,24.431,-22.734,-0.149,0,0,0,3,6,R,"즉석카레",174.5,84.749,0.402,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307,-37.495,0,"Kr_Luna",-0.025,-17.464,0,"-라후이-",-19.909,-45.318,0,"Ѕeyeon",-15.091,-63.021,0,"-KYU-",22.439,-47.857,0,"「론구」",3.901,-62.898,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-40.371,-90.381,0,0,0,0,0,0,"",0,0,0,0,347.198,348.516,,,0,0
10,1,1,0,0,2,1,2,0,1,0,255,3,255,9,358.477,"인생최패망자",R,13,76,102,-0.984,1.032,0.431,2.395,0.291,2.69,-36.585,62.179,91,8,1,0,0,-358.28,317.348,-4.068,0,0,0,3,6,R,"즉석카레",174.5,84.749,0.402,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402,-37.382,0,"Kr_Luna",0.012,-17.441,0,"-라후이-",-20.27,-45.804,0,"Ѕeyeon",-15.131,-62.777,0,"-KYU-",21.425,-45.405,0,"「론구」",4.723,-63.43,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Yashei",-40.16,-90.547,0,0,0,0,0,0,"",0,0,0,0,359.598,360.904,,,0,0
