id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,184.151,"mungjungh",R,32,80,130,1.846,0.02,0.851,1.459,0.551,1.575,-36.51,53.814,18,82,0,1,0,178.144,-41.267,12.112,0,0,0,0,3,L,"Fresh825",173.1,80,0.2,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305,-37.555,0,"Kr_Luna",-0.021,-17.491,0,"ゆっち一",-19.221,-48.499,0,"_앰프_",-12.558,-62.348,0,"ddil_ddil69",19.351,-44.674,0,"CoalCat",11.6,-62.676,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,185.25,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,194.657,"mungjungh",R,13,77,115,-1.569,-0.851,0.78,1.537,-0.093,1.594,-36.51,49.144,8,92,0,1,0,-353.711,353.396,6.364,0,0,0,0,3,L,"Fresh825",173.1,80,0.2,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275,-37.874,0,"Kr_Luna",0.009,-17.529,0,"ゆっち一",-19.226,-48.37,0,"_앰프_",-13.684,-64.107,0,"ddil_ddil69",20.496,-45.558,0,"CoalCat",11.665,-62.801,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,195.85,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,206.106,"mungjungh",R,26,85,138,0.921,0.396,0.832,1.558,0.149,1.666,-36.51,48.062,13,87,0,0,0,164.679,-174.535,0.714,0,0,0,0,3,L,"Fresh825",173.1,80,0.2,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297,-36.986,0,"Kr_Luna",-0.006,-17.522,0,"ゆっち一",-19.268,-48.316,0,"_앰프_",-13.428,-64.467,0,"ddil_ddil69",20.318,-45.697,0,"CoalCat",11.682,-62.856,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,207.225,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,217.665,"mungjungh",R,6,42,92,1.675,0.703,0.77,1.661,-0.138,2.034,-36.51,31.921,0,100,0,2,0,367.925,0,-7.391,0,0,1,0,3,L,"Fresh825",173.1,80,0.2,3,78,W,Y,218.965,255,208,106,123,62,145,108,27.202,-38.603,0.84,0,0.138,129.708,327.245,-67.19,0.396,-37.584,0,"Kr_Luna",0.021,-17.506,0,"ゆっち一",-19.237,-48.331,0,"_앰프_",-13.382,-64.31,86,"ddil_ddil69",20.336,-45.388,0,"CoalCat",11.761,-62.819,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,223.766,55.28,-99.478,228.883,3,"_앰프_",4.693,-62.519,0,0,,,,,3,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,244.252,"mungjungh",R,13,80,117,-0.885,-0.728,0.814,1.542,0.065,1.612,-36.51,34.946,2,98,0,0,0,-326.856,378.372,18.722,0,0,0,1,5,R,"Yaksok~",173.2,80,0.437,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,-37.68,0,"Kr_Luna",0,-17.534,0,"ゆっち一",-20.886,-47.595,0,"_앰프_",-16.151,-62.254,0,"ddil_ddil69",23.279,-46.462,0,"CoalCat",11.921,-63.113,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,245.325,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,261.328,"mungjungh",R,27,86,139,-2.219,-0.097,0.627,1.456,-0.804,1.305,-36.51,16.955,5,95,0,2,0,123.295,-136.957,25.626,0,0,1,1,5,R,"Yaksok~",173.2,80,0.437,3,73,W,Y,262.235,239,111,63,40,0,137,98,26.759,2.422,0.9,0,0.31,97.312,335.421,438.152,0.335,-38.019,0,"Kr_Luna",0.004,-17.514,0,"ゆっち一",-20.904,-47.543,0,"_앰프_",-16.212,-61.051,85,"ddil_ddil69",22.12,-47.199,0,"CoalCat",12.056,-63.009,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,266.9,-12.118,-101.619,271.1,3,"_앰프_",-0.456,-60.678,0,0,,,,,3,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,285.194,"mungjungh",R,10,67,110,0.003,-0.993,0.826,1.494,0.123,1.453,-36.51,36.538,0,100,0,2,0,-95.753,400,21.732,0,0,1,2,4,L,"Sabo_10",185.3,88,0.452,3,74,W,Y,286.088,175,143,83,99,43,145,129,25.057,-16.941,0.5,0,0.503,-264.781,-512.518,9.777,0.486,-37.701,0,"Kr_Luna",-0.005,-17.514,0,"ゆっち一",-22.156,-47.693,0,"_앰프_",-12.278,-64.657,73,"ddil_ddil69",21.071,-46.209,0,"CoalCat",13.198,-63.283,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,290.508,43.083,-119.549,292.266,6,"AI",42.059,-116.003,1,0,,296.144,,,3,2
8,1,1,0,0,0,0,2,0,1,0,255,4,255,7,320.555,"mungjungh",R,13,67,96,0.249,0.688,1.027,1.74,0.705,2.488,-36.51,54.42,60,40,0,0,0,-335.905,319.154,19.528,0,0,0,3,2,L,"Pring__",190,93.36,0.485,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204,-37.839,0,"Kr_Luna",-0.008,-17.509,0,"ゆっち一",-22.475,-49.198,0,"_앰프_",-7.905,-61.166,0,"ddil_ddil69",20.399,-45.489,0,"CoalCat",14.411,-63.152,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,321.733,323.973,,,0,0
9,1,1,0,0,0,1,2,0,1,0,255,4,255,8,334.751,"mungjungh",R,3,81,119,2.35,-0.445,1.042,1.261,1.793,1.343,-36.51,73.68,6,94,0,1,0,-485.277,0,8.846,0,0,0,3,2,L,"Pring__",190,93.36,0.485,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-37.939,0,"Kr_Luna",-0.091,-17.525,0,"ゆっち一",-22.538,-49.154,0,"_앰프_",-7.001,-61.466,0,"ddil_ddil69",19.884,-45.178,0,"CoalCat",14.412,-63.137,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,335.775,337.678,,,0,0
10,1,1,0,0,1,1,2,0,1,0,255,4,255,9,346.404,"mungjungh",R,32,92,140,-3.161,0.244,0.467,1.292,-1.55,1.451,-36.51,12.906,6,94,0,2,0,150.313,-138.917,20.888,0,0,0,3,2,L,"Pring__",190,93.36,0.485,3,70,W,Y,347.461,162,77,99,101,43,145,93,-51.156,3.255,-0.67,0,0.32,-284.052,-332.65,-313.379,0.627,-37.239,0,"Kr_Luna",0.008,-17.545,0,"ゆっち一",-22.067,-49.541,0,"_앰프_",-9.747,-61.514,101,"ddil_ddil69",19.525,-44.595,0,"CoalCat",14.508,-63.075,0,"AI",40.907,-90.657,0,"AI",0,-109.85,0,"AI",-40.807,-90.557,0,347.475,-0.604,-20.656,350.741,3,"_앰프_",-8.194,-49.752,0,0,423.666,,352.893,,57,2
11,1,0,0,0,0,0,0,0,0,0,255,255,255,0,483.992,"encounter v",L,33,79,129,0.492,0.976,-0.256,1.903,0.397,2.035,-36.678,47.679,91,9,0,0,0,-132.729,-105.383,7.06,0,0,0,0,3,R,"_앰프_",172.4,80,0.405,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117,-37.9,0,"Gonyong",-0.021,-17.197,0,"Pring__",-22.268,-47.962,0,"Fresh825",-14.608,-64.143,0,"Sabo_10",20.442,-50.2,0,"Yaksok~",14.583,-66.788,0,"AI",40.902,-90.652,0,"AI",0,-109.843,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,485.558,,,,0,0
