id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,251.231,"인생최패망자",R,13,59,90,0.264,-1.254,0.661,2.113,0.556,1.401,-36.585,58.328,71,29,0,4,0,-227.443,400,-5.621,0,0,1,0,0,L,"Retona",190,95,0.5,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,-37.395,0,"magimari",-0.034,-17.337,0,"Ѕeyeon",-21.32,-48.41,0,"낑깡__",-9.625,-66.53,0,"소솨소솨",20.744,-45.347,0,"즉석카레",17.203,-66.654,0,"bdg06213",41.532,-94.285,0,"아침땅_",6.822,-114.992,0,"Yes_Man_",-44.149,-102.45,0,0,0,0,0,0,"",0,0,0,0,252.896,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,266.2,"인생최패망자",R,26,88,140,0.07,0.809,0.491,2.235,-0.04,1.922,-36.585,48.872,75,19,6,0,0,40.443,-200,13.753,0,0,0,0,0,L,"Retona",190,95,0.5,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,-37.238,0,"magimari",-0.057,-17.319,0,"Ѕeyeon",-21.357,-48.432,0,"낑깡__",-9.93,-66.562,0,"소솨소솨",20.768,-45.321,0,"즉석카레",15.699,-66.094,0,"bdg06213",42.108,-95.361,0,"아침땅_",6.814,-114.988,0,"Yes_Man_",-46.405,-104.2,0,0,0,0,0,0,"",0,0,0,0,267.619,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,277.066,"인생최패망자",R,0,55,97,0.856,-0.384,0.59,2.115,0.355,1.409,-36.585,70.03,77,23,0,2,0,0,25.674,1.646,0,0,1,0,0,L,"Retona",190,95,0.5,3,62,W,Y,278.115,77,31,45,68,43,103,109,-22.841,2.98,0.46,0,0.295,-342.355,49.39,87.311,0.3,-37.268,0,"magimari",0.023,-17.48,0,"Ѕeyeon",-21.261,-48.392,87,"낑깡__",-9.853,-66.451,101,"소솨소솨",20.52,-45.339,0,"즉석카레",13.379,-64.386,0,"bdg06213",42.111,-95.372,0,"아침땅_",6.949,-114.863,0,"Yes_Man_",-41.386,-101.659,0,278.185,0.055,-22.579,280.585,3,"낑깡__",-2.562,-62.68,0,0,,,,,133,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,332.58,"인생최패망자",R,13,75,102,-3.221,-2.355,0.342,1.82,-0.801,0.662,-36.585,34.227,55,45,0,1,0,-348.349,329.957,-14.597,-0.649,-19.839,0,1,8,R,"TaeGeuk_",177.7,90.533,0.644,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.426,0,"magimari",-0.32,-17.37,0,"Ѕeyeon",-21.392,-44.847,0,"낑깡__",-13.807,-66.809,0,"소솨소솨",20.342,-46.019,0,"즉석카레",10.392,-65.921,0,"bdg06213",34.614,-89.535,0,"아침땅_",-4.788,-109.161,0,"Yes_Man_",-44.113,-97.003,0,0,0,0,0,0,"",0,0,0,0,333.985,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,347.217,"인생최패망자",R,26,85,137,-0.204,0.978,0.495,2.237,-0.025,1.97,-36.585,42.515,75,21,4,0,0,-57.366,-194.995,21.603,0,0,0,1,8,R,"TaeGeuk_",177.7,90.533,0.644,0,58,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303,-37.003,0,"magimari",-0.053,-17.207,0,"Ѕeyeon",-21.408,-44.862,0,"낑깡__",-14.202,-67.812,0,"소솨소솨",20.456,-45.744,0,"즉석카레",10.968,-65.573,0,"bdg06213",35.963,-86.028,0,"아침땅_",-4.836,-109.389,0,"Yes_Man_",-44.117,-97.021,0,0,0,0,0,0,"",0,0,0,0,348.485,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,361.008,"인생최패망자",R,10,76,105,-1.155,-1.738,0.458,2.041,-0.441,1.172,-36.585,52.725,88,12,0,2,0,-37.444,400,-2.693,0,0,1,1,8,R,"TaeGeuk_",177.7,90.533,0.644,3,58,W,Y,361.814,156,110,80,99,64,145,89,-30,-53.782,0.97,0,0.227,-506.592,257.83,-87.393,0.181,-36.948,0,"magimari",-0.079,-17.482,0,"Ѕeyeon",-21.398,-44.841,0,"낑깡__",-13.5,-65.85,73,"소솨소솨",19.449,-46.111,0,"즉석카레",10.924,-65.512,0,"bdg06213",31.551,-90.746,97,"아침땅_",-4.378,-109.329,0,"Yes_Man_",-45.46,-99.474,0,361.863,0.862,-21.89,363.141,-1,"muyang_",-0.933,-38.923,1,0,,,,,385,2
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,395.965,"인생최패망자",R,10,69,100,-0.026,0.622,0.437,2.53,-0.023,2.591,-36.585,64.666,69,29,2,2,0,0,400,9.542,0,0,1,1,8,R,"TaeGeuk_",177.7,90.533,0.644,3,58,W,Y,396.991,136,94,75,66,32,139,84,38.327,2.82,-0.76,0,0.243,352.4,403.129,62.628,0.194,-36.811,0,"magimari",-0.053,-17.505,0,"Ѕeyeon",-21.32,-45.203,0,"낑깡__",-14.118,-67.914,90,"소솨소솨",19.549,-45.027,0,"즉석카레",11.803,-67.567,0,"bdg06213",37.303,-94.598,0,"아침땅_",-3.5,-110.614,0,"Yes_Man_",-47.665,-101.654,0,0,0,0,402.119,3,"낑깡__",-8.714,-80.347,0,0,,,,,128,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,419.121,"인생최패망자",R,10,67,98,-1.35,0.063,0.354,2.482,-0.452,2.181,-36.585,56.29,74,24,2,0,0,-78.784,400,-0.027,0,0,0,2,2,R,"레이나2",180.3,85.17,0.353,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-37.738,0,"magimari",-0.232,-17.746,0,"Ѕeyeon",-20.991,-44.923,0,"낑깡__",-13.803,-67.124,0,"소솨소솨",20.909,-46.147,0,"즉석카레",12.285,-66.914,0,"bdg06213",31.322,-91.494,0,"아침땅_",-5.793,-112.339,0,"Yes_Man_",-46.208,-103.06,0,0,0,0,0,0,"",0,0,0,0,420.885,,,,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,433.084,"인생최패망자",R,26,90,140,-0.083,0.876,0.5,2.229,0,1.922,-36.585,37.483,75,22,3,2,0,-38.481,-200,21.044,0,0,1,2,2,R,"레이나2",180.3,85.17,0.353,3,57,W,Y,434.146,120,42,72,32,11,136,83,31.574,-19.24,-0.77,0,0.155,23.423,485.695,-342.486,0.196,-36.986,0,"magimari",-0.057,-17.84,0,"Ѕeyeon",-20.932,-44.912,0,"낑깡__",-13.601,-66.312,0,"소솨소솨",20.091,-47.051,0,"즉석카레",13.277,-66.247,0,"bdg06213",30.236,-94.283,93,"아침땅_",-6.223,-112.882,0,"Yes_Man_",-46.211,-103.071,0,438.863,16.022,-86.185,439.085,6,"bdg06213",15.77,-83.851,0,0,475.541,,,,385,1
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,602.655,"Retona",R,35,74,125,-0.161,-1.538,0.508,0.851,-0.266,0.846,-36.655,55.246,0,5,95,2,0,113.859,163.863,3.3,0,0,1,0,9,L,"Pring__",190,92.818,0.485,3,57,W,Y,603.653,212,141,83,113,61,145,130,-5.454,-22.528,0.5,0,0.472,-422.444,331.6,-237.416,0.695,-35.875,0,"Gonyong",-0.05,-17.418,0,"레이나2",-20.747,-46.482,83,"Rite_",-11.976,-63.584,0,"하루（Haru）",21.093,-46.87,0,"CoalCat",12.782,-62.922,102,"_Chun",44.589,-108.579,0,"_앰프_",3.35,-110.624,0,"TaeGeuk_",-50.916,-96.059,0,603.663,1.48,-24.231,605.374,5,"CoalCat",17.118,-59.818,0,0,,,,,13,2
