id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,201.867,"Pring__",R,32,83,135,1.237,0.708,0.455,1.559,0.24,1.922,-36.139,33.825,0,100,0,2,0,250,-104.127,11.687,0,0,1,0,6,R,"_송글_",174.9,91.844,0.315,3,95,W,Y,202.829,155,91,110,56,37,145,84,49.13,-5.688,-0.89,0,0.413,568.95,3.565,-190.483,0.016,-37.442,0,"_Chun",0.053,-17.318,0,"Yaksok~",-19.569,-50.25,0,"SUGUN",-14.425,-62.578,0,"Kr_Luna",19.228,-48.885,0,"CoalCat",11.973,-63.883,94,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,208.449,5,"CoalCat",7,-72.55,0,0,,,,,33,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,227.881,"Pring__",R,32,84,136,-0.086,0.332,0.334,1.497,-0.323,1.7,-36.139,26.859,0,100,0,2,0,250,-137.966,21.29,0,0,1,1,1,L,"Sabo_10",185.3,87.575,0.449,3,94,W,Y,228.701,255,90,119,107,48,145,129,90.082,89.811,0.4,0,0.633,541.598,-138.692,-217.798,0.072,-37.272,0,"_Chun",0.047,-17.301,0,"Yaksok~",-19.173,-48.666,0,"SUGUN",-14.022,-62.439,0,"Kr_Luna",19.466,-49.92,0,"CoalCat",12.477,-64.24,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,243.759,"Pring__",R,32,82,133,-0.779,0.544,0.256,1.538,-0.689,1.837,-36.139,19.844,0,100,0,0,0,250,-124.936,20.679,0,0,0,1,1,L,"Sabo_10",185.3,87.575,0.449,0,94,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-37.83,0,"_Chun",-0.003,-17.295,0,"Yaksok~",-19.613,-47.976,0,"SUGUN",-13.406,-62.56,0,"Kr_Luna",19.915,-50.492,0,"CoalCat",12.899,-63.838,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,244.716,,,,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,257.188,"Pring__",R,13,78,104,0.656,-0.48,0.628,1.519,0.928,1.79,-36.139,49.358,0,100,0,0,0,-351.921,333.84,4.263,-0.072,-18.287,1,1,1,L,"Sabo_10",185.3,87.575,0.449,0,94,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,-37.824,0,"_Chun",0.028,-17.956,0,"Yaksok~",-19.298,-47.441,0,"SUGUN",-13.567,-62.646,0,"Kr_Luna",19.817,-50.599,0,"CoalCat",12.872,-63.865,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,259.627,,,,0,0
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,281.594,"Pring__",R,32,90,140,-2.801,0.133,0.096,1.459,-1.43,1.577,-36.139,9.107,0,100,0,1,0,250,-151.315,34.253,0,0,0,2,4,R,"인생최패망자",190,80,0.346,0,93,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-37.944,0,"_Chun",-0.035,-17.575,0,"Yaksok~",-19.782,-49.966,0,"SUGUN",-13.443,-62.444,0,"Kr_Luna",22.677,-53.451,0,"CoalCat",12.502,-66.195,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,282.76,,,,0,0
6,1,1,0,0,1,0,2,0,0,0,255,255,255,5,297.742,"Pring__",R,32,85,137,-0.659,0.675,0.275,1.563,-0.6,1.912,-36.139,23.955,0,100,0,2,0,234.319,-152.685,23.701,0,0,1,2,4,R,"인생최패망자",190,80,0.346,3,93,W,Y,298.825,255,182,144,121,65,145,105,114.695,47.539,0.93,0,0.486,392.037,-168.3,421.879,0.056,-37.334,0,"_Chun",0.01,-17.513,0,"Yaksok~",-19.288,-48.941,0,"SUGUN",-13.421,-62.379,0,"Kr_Luna",22.769,-53.246,0,"CoalCat",12.934,-65.998,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
7,1,1,0,0,1,1,2,0,0,0,255,255,255,6,315.506,"Pring__",R,32,86,139,-1.383,-0.499,0.203,1.358,-0.933,1.247,-36.139,23.148,0,100,0,2,0,250,-69.229,17.613,0,0,1,2,4,R,"인생최패망자",190,80,0.346,3,86,W,Y,316.567,255,178,148,116,50,145,130,34.677,5.847,0.64,0,0.418,330.632,267.84,423.018,0.019,-37.252,0,"_Chun",0.009,-17.516,0,"Yaksok~",-20.142,-49.801,0,"SUGUN",-14.198,-62.242,81,"Kr_Luna",22.889,-52.518,0,"CoalCat",11.792,-67.004,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,322.849,-22.252,-130.804,323.605,7,"AI",-22.134,-129.369,1,0,,326.716,,,40,2
8,1,1,0,0,0,0,2,0,1,0,255,4,255,7,347.721,"Pring__",R,32,89,140,-4.649,-0.126,-0.057,1.401,-2.144,1.355,-36.139,8.543,0,100,0,1,0,250,-200,63.766,0,0,0,3,5,R,"Rite_",170,80,0.453,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.312,-37.708,0,"_Chun",-0.032,-17.483,0,"Yaksok~",-19.564,-46.659,0,"SUGUN",-13.945,-61.766,0,"Kr_Luna",18.832,-46.706,0,"CoalCat",1.227,-59.796,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,348.905,351.225,,,0,0
9,1,1,0,0,1,0,2,0,1,0,255,4,255,8,366.493,"Pring__",R,32,81,131,-0.505,0.491,0.292,1.52,-0.521,1.788,-36.139,35.594,0,100,0,2,0,209.768,-93.681,11.12,0,0,0,3,5,R,"Rite_",170,80,0.453,3,69,W,Y,367.792,109,136,77,65,38,136,103,-30,48.683,0.91,0,0.299,-168.203,569.422,86.411,-0.284,-37.382,0,"_Chun",0.013,-17.51,0,"Yaksok~",-19.076,-48.358,0,"SUGUN",-14.407,-61.494,0,"Kr_Luna",19.165,-45.688,0,"CoalCat",6.814,-61.957,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,367.805,-1.851,-20.15,0,0,"",0,0,0,0,,374.629,,,32,3
10,1,1,0,0,1,1,2,0,1,0,255,4,255,9,404.092,"Pring__",R,32,84,136,-2.281,0.21,0.122,1.451,-1.309,1.537,-36.139,22.899,0,100,0,4,0,250,-200,40.636,0,0,1,3,5,R,"Rite_",170,80,0.453,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234,-37.789,0,"_Chun",-0.004,-17.483,0,"Yaksok~",-19.144,-48.009,0,"SUGUN",-15.178,-62.424,0,"Kr_Luna",18.115,-48.467,0,"CoalCat",7.126,-62.346,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,405.338,407.496,,,0,0
