id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,326.105,"うよすま",R,3,75,103,1.032,0.113,0.571,1.384,1.199,1.71,-36.795,57.405,28,72,0,0,0,-429.818,0,-14.518,0,0,0,0,4,R,"소솨소솨",190,80,0.397,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123,-38.12,0,"눈꽃",-0.013,-17.82,0,"magimari",-19.946,-45.343,0,"_앰프_",-17.614,-61.332,0,"Roslynn",22.244,-48.53,0,"CoalCat",10.428,-64.928,0,"gamesome03",46.951,-95.125,0,"muyang_",-0.322,-112.132,0,"_Gosomi",-51.738,-99.957,0,0,0,0,0,0,"",0,0,0,0,327.39,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,342.689,"うよすま",R,33,78,128,1.146,0.246,0.412,1.438,0.324,1.739,-36.795,44.063,0,100,0,2,0,104.195,-32.467,0.876,0,0,1,0,4,R,"소솨소솨",190,80,0.397,3,50,W,Y,343.712,255,130,62,91,76,138,87,60.653,-32.825,-0.78,0,0.499,568.699,-190.746,14.078,-0.235,-37.887,0,"눈꽃",-0.033,-17.849,0,"magimari",-19.817,-45.427,0,"_앰프_",-16.984,-60.809,0,"Roslynn",22.133,-48.547,98,"CoalCat",10.381,-64.317,0,"gamesome03",46.941,-95.073,0,"muyang_",-1.295,-114.294,0,"_Gosomi",-51.57,-100.152,0,349.507,31.096,-59.191,350.032,4,"Roslynn",30.148,-57.975,0,0,,,,,8,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,370.324,"うよすま",R,33,77,127,5.071,2.159,0.511,1.429,1.434,2.409,-36.795,53.398,23,77,0,2,0,100.749,-28.284,0.163,0,0,1,1,2,R,"Yaksok~",173.3,90,0.328,3,63,W,Y,371.255,219,107,120,94,46,145,85,-7.354,8.87,-0.79,0,0.19,142.81,-582.609,13.11,-0.337,-37.534,0,"눈꽃",-0.058,-17.854,0,"magimari",-19.643,-45.927,0,"_앰프_",-17.647,-61.544,0,"Roslynn",22.307,-48.711,0,"CoalCat",11.273,-65.11,86,"gamesome03",48.966,-89.842,0,"muyang_",-3.378,-114.594,103,"_Gosomi",-50.604,-99.972,0,371.323,-0.494,-28.294,376.965,7,"muyang_",-9.836,-87.534,1,0,,,,,6,2
4,1,1,0,0,0,0,1,1,0,0,2,255,255,3,402.817,"うよすま",R,0,46,90,-0.235,-0.626,0.25,1.233,-0.11,1.259,-36.795,35.338,0,100,0,2,0,0,0,-0.268,0,0,0,2,9,L,"Kr_Luna",190,95.297,0.498,3,51,W,Y,403.856,126,115,95,92,40,138,125,-5.14,-22.051,0.71,0,0.121,-465.345,298.707,-232.87,-0.236,-37.565,0,"눈꽃",-0.074,-17.927,0,"magimari",-19.503,-40.253,0,"_앰프_",-4.394,-61.083,0,"Roslynn",22.057,-47.656,96,"CoalCat",8.958,-64.08,0,"gamesome03",52.295,-90.742,0,"muyang_",-1.167,-114.248,106,"_Gosomi",-41.774,-103.755,0,403.615,2.381,-26.162,411.84,7,"muyang_",41.178,-120.976,1,0,,405.128,410.158,414.987,10,2
5,1,1,1,0,0,0,1,0,1,0,255,9,255,4,435.567,"うよすま",R,3,73,100,-0.229,-0.323,0.47,1.274,0.637,1.442,-36.795,38.037,8,92,0,2,0,-454.546,0,-33.905,0,0,1,3,1,R,"mungjungh",190,89.812,0.403,3,50,W,Y,436.689,232,148,114,159,55,145,117,-2.849,40.101,0.87,0,0.527,452.917,-311.028,241.098,-0.345,-38.212,0,"눈꽃",-0.041,-17.964,0,"magimari",-19.766,-45.003,104,"_앰프_",-17.464,-60.331,0,"Roslynn",20.204,-47.028,92,"CoalCat",11.282,-58.874,0,"gamesome03",49.025,-97.031,0,"muyang_",-2.237,-112.294,0,"_Gosomi",-49.355,-97.693,0,436.798,-8.519,-30.564,437.915,2,"magimari",-18.771,-42.543,0,0,,440.359,,,72,2
6,1,1,1,0,0,0,2,0,1,0,255,9,255,5,461.799,"うよすま",R,33,78,129,1.525,0.325,0.387,1.382,0.51,1.723,-36.795,43.666,19,81,0,1,0,106.28,-59.092,-0.095,0,0,0,4,5,R,"아침땅_",167.2,94.936,0.502,0,50,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-38.276,0,"눈꽃",-0.071,-17.948,0,"magimari",-19.424,-44.527,0,"_앰프_",-18.169,-61.876,0,"Roslynn",21.355,-47.391,0,"CoalCat",8.241,-60.996,0,"gamesome03",51.118,-95.866,0,"muyang_",-0.507,-113.429,0,"_Gosomi",-47.088,-100.299,0,0,0,0,0,0,"",0,0,0,0,462.632,464.456,,,0,0
7,1,1,1,0,1,0,2,0,1,0,255,9,255,6,478.265,"うよすま",R,0,50,93,-0.387,-0.599,0.245,1.093,-0.176,1.32,-36.795,30.753,0,100,0,2,0,0,0,-25.546,0,0,0,4,5,R,"아침땅_",167.2,94.936,0.502,3,50,W,Y,479.303,101,110,117,106,68,136,123,17.02,11.271,0.37,0.143,0.335,-79.917,538.253,252.778,-0.32,-38.112,0,"눈꽃",-0.115,-17.993,0,"magimari",-19.384,-44.472,0,"_앰프_",-17.786,-61.485,0,"Roslynn",21.486,-47.187,0,"CoalCat",7.764,-61.085,80,"gamesome03",50.933,-95.974,0,"muyang_",-0.317,-112.32,109,"_Gosomi",-47.161,-100.296,0,482.798,-29.753,-112.562,485.965,7,"muyang_",-31.569,-120.199,1,0,,488.938,484.337,489.553,6,2
8,1,1,2,0,0,0,2,0,1,0,255,5,255,7,524.529,"うよすま",R,3,67,96,-0.551,-0.131,0.514,1.263,0.521,1.569,-36.795,40.199,0,100,0,0,0,-431.68,0,-31.1,-0.887,-20.764,0,5,8,R,"하랑님_",184.9,94.851,0.27,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,-38.209,0,"눈꽃",-0.246,-18.676,0,"magimari",-20.26,-45.067,0,"_앰프_",-16.99,-61.993,0,"Roslynn",20.476,-44.57,0,"CoalCat",6.069,-61.366,0,"gamesome03",44.573,-96.72,0,"muyang_",-0.192,-112.279,0,"_Gosomi",-47.751,-100.26,0,0,0,0,0,0,"",0,0,0,0,529.265,528.317,,,0,0
9,1,1,2,0,0,1,2,0,1,0,255,5,255,8,545.596,"うよすま",R,34,82,134,-1.802,-0.723,0.153,1.239,-0.911,1.125,-36.795,20.138,0,100,0,1,0,82.371,-54.275,-0.123,0,0,0,5,8,R,"하랑님_",184.9,94.851,0.27,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.458,-38.397,0,"눈꽃",0.732,-18.645,0,"magimari",-20.073,-43.793,0,"_앰프_",-14.9,-61.071,0,"Roslynn",19.587,-40.669,0,"CoalCat",2.961,-60.537,0,"gamesome03",44.669,-96.762,0,"muyang_",-0.435,-112.49,0,"_Gosomi",-48.3,-98.706,0,0,0,0,0,0,"",0,0,0,0,546.79,,548.67,,0,0
10,1,1,2,0,1,1,2,0,0,1,255,255,5,9,566.381,"うよすま",R,3,69,98,0.53,-0.332,0.624,1.242,1.175,1.444,-36.795,54.189,0,100,0,2,0,-435.608,0,-19.252,0,0,1,5,8,R,"하랑님_",184.9,94.851,0.27,3,51,W,Y,567.658,145,187,96,145,85,145,114,25.051,-28.479,0.83,0,0.395,448.131,165.15,363.186,-0.277,-38.19,0,"눈꽃",-0.072,-18.056,0,"magimari",-19.738,-45.035,0,"_앰프_",-17.79,-62.147,0,"Roslynn",19.205,-45.311,0,"CoalCat",7.275,-62.945,97,"gamesome03",44.719,-96.795,57,"muyang_",-0.658,-117.266,0,"_Gosomi",-47.29,-100.115,0,572.648,46.455,-114.98,577.731,6,"gamesome03",43.019,-113.381,1,0,,578.631,,572.188,132,2
