id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,289.045,"인생최패망자",R,47,57,99,-0.259,0.559,0.707,1.62,-0.289,1.921,-36.742,56.932,0,100,0,0,0,82.41,-42.375,2.237,0,0,0,0,6,R,"하랑님_",184.9,94.851,0.27,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-37.703,0,"쟈가리코",-0.079,-17.68,0,"Gonyong",-21.518,-47.026,0,"_Gosomi",-12.537,-59.483,0,"ByeolBam",20.463,-49.827,0,"CoalCat",10.242,-64.668,0,"AI",40.9,-90.65,0,"muyang_",-1.162,-116.047,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,289.924,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,300.041,"인생최패망자",R,47,49,92,-0.78,-0.48,0.631,1.353,-0.525,1.328,-36.742,56.534,0,100,0,0,0,70.284,-16.61,-0.537,0,0,0,0,6,R,"하랑님_",184.9,94.851,0.27,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.183,-37.684,0,"쟈가리코",-0.1,-17.711,0,"Gonyong",-21.295,-46.955,0,"_Gosomi",-12.659,-58.861,0,"ByeolBam",20.479,-49.87,0,"CoalCat",10.263,-64.702,0,"AI",40.9,-90.65,0,"muyang_",-1.369,-115.954,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,300.977,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,310.876,"인생최패망자",R,47,47,91,-0.567,0.171,0.678,1.505,-0.46,1.7,-36.742,62.669,0,100,0,2,0,80.177,-33.033,1.445,0,0,1,0,6,R,"하랑님_",184.9,94.851,0.27,3,44,W,Y,312.254,167,84,86,128,75,145,95,101.66,3.369,-0.49,0,0.27,544.352,40.54,249.073,0.184,-37.177,0,"쟈가리코",-0.121,-17.764,0,"Gonyong",-21.578,-48.753,0,"_Gosomi",-12.822,-58.79,0,"ByeolBam",20.43,-49.88,0,"CoalCat",10.245,-64.648,0,"AI",40.9,-90.65,0,"muyang_",-1.25,-116.129,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
4,1,1,0,0,0,2,0,0,0,0,255,255,255,3,324.057,"인생최패망자",R,47,56,98,-0.647,0.587,0.654,1.624,-0.453,1.929,-36.742,50.891,0,100,0,2,0,68.528,-49.669,4.54,0,0,1,0,6,R,"하랑님_",184.9,94.851,0.27,3,44,W,Y,325.377,210,68,52,137,38,137,83,54.574,-9.859,-0.83,0,0.271,585.209,-102.285,84.075,0.037,-36.891,0,"쟈가리코",-0.109,-17.755,0,"Gonyong",-21.394,-48.682,0,"_Gosomi",-13.623,-61.154,0,"ByeolBam",20.963,-49.763,0,"CoalCat",10.515,-63.477,102,"AI",40.9,-90.65,0,"muyang_",-1.888,-119.191,0,"AI",-40.8,-90.55,0,330.484,9.488,-67.867,330.644,5,"CoalCat",9.167,-66.403,0,0,,,,,3,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,348.067,"인생최패망자",R,47,51,94,1.723,0.702,1.068,1.64,0.52,1.974,-36.742,70.658,0,100,0,4,0,99.812,-56.8,4.025,0,0,1,1,5,L,"펜케이크",180,89.196,0.43,0,42,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,-37.493,0,"쟈가리코",0.104,-17.529,0,"Gonyong",-20.895,-49.644,0,"_Gosomi",-5.801,-62.572,0,"ByeolBam",21.333,-49.964,0,"CoalCat",11.458,-62.669,0,"AI",40.9,-90.65,0,"muyang_",-0.925,-115.371,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,348.937,,,,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,370.182,"인생최패망자",R,47,55,97,0.608,0.304,0.923,1.526,0.014,1.763,-36.742,74.205,0,100,0,0,0,99.898,-39.322,0.953,0,0,1,1,5,L,"펜케이크",180,89.196,0.43,0,42,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052,-37.639,0,"쟈가리코",-0.002,-17.824,0,"Gonyong",-21.28,-50.675,0,"_Gosomi",-7.327,-62.977,0,"ByeolBam",21.641,-51.122,0,"CoalCat",11.467,-62.685,0,"AI",40.9,-90.65,0,"muyang_",-0.41,-115.307,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,371.004,,,,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,383.013,"인생최패망자",R,45,59,100,1.803,0.226,1.029,1.489,0.433,1.704,-36.742,74.027,0,100,0,2,0,150.383,-48.365,2.11,0,0,1,1,5,L,"펜케이크",180,89.196,0.43,3,42,W,Y,384.252,255,70,108,59,42,145,128,26.259,-7.721,0.6,0,0.33,4.706,587.748,120.543,0.192,-37.021,0,"쟈가리코",0.025,-17.86,0,"Gonyong",-21.236,-50.617,0,"_Gosomi",-8.018,-62.714,0,"ByeolBam",21.468,-51.018,0,"CoalCat",11.502,-62.624,0,"AI",40.9,-90.65,0,"muyang_",0.455,-115.538,105,"AI",-40.8,-90.55,0,0,0,0,388.577,7,"muyang_",-0.618,-125.583,0,0,,,,,65,1
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,407.794,"인생최패망자",R,32,84,137,1.613,0.583,0.892,1.562,0.428,1.873,-36.742,57.073,0,93,7,4,0,198.731,-73.046,8.42,0,0,1,2,2,R,"WhiteMountain",175,90.031,0.581,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.091,-37.668,0,"쟈가리코",-0.045,-17.772,0,"Gonyong",-22.573,-49.95,0,"_Gosomi",-10.321,-61.654,0,"ByeolBam",21.772,-51.932,0,"CoalCat",11.102,-64.061,0,"AI",40.9,-90.65,0,"muyang_",-0.863,-119.76,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,408.284,,,,0,0
9,1,1,0,0,2,0,2,0,0,0,255,255,255,8,444.983,"인생최패망자",R,32,86,139,-0.297,0.352,0.718,1.506,-0.382,1.676,-36.742,44.501,0,100,0,2,0,164.63,-142.032,9.342,0,0,1,2,2,R,"WhiteMountain",175,90.031,0.581,3,41,W,Y,445.997,144,139,0,0,0,18,45,-87.188,79.472,0.5,0,0.447,-529.12,231.164,163.082,0.308,-36.877,0,"쟈가리코",-0.1,-17.865,0,"Gonyong",-22.3,-49.774,0,"_Gosomi",-12.343,-62.238,0,"ByeolBam",21.722,-51.706,0,"CoalCat",10.862,-62.707,0,"AI",40.9,-90.65,0,"muyang_",-3.168,-121.701,0,"AI",-40.807,-90.557,0,445.297,-0.353,-18.615,0,0,"",0,0,0,0,,,,,1,3
10,1,1,0,0,2,1,2,0,0,0,255,255,255,9,459.915,"인생최패망자",R,3,69,98,-1.632,-0.575,0.862,1.361,0.179,1.307,-36.742,78.649,0,100,0,4,0,-415.497,0,11.806,0,0,1,2,2,R,"WhiteMountain",175,90.031,0.581,0,42,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069,-37.543,0,"쟈가리코",-0.288,-17.796,0,"Gonyong",-21.871,-49.15,0,"_Gosomi",-12.607,-60.931,0,"ByeolBam",20.718,-51.075,0,"CoalCat",10.45,-64.087,0,"AI",40.9,-90.65,0,"muyang_",-2.017,-120.712,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,460.564,,,,0,0
