id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,159.794,"인생최패망자",R,32,89,140,1.451,0.467,0.883,1.533,0.388,1.773,-36.743,49.038,0,100,0,0,0,179.347,-110.357,0.904,0,0,0,0,3,R,"_송글_",174.9,90.478,0.316,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405,-36.891,0,"Slaris",-0.029,-17.284,0,"Pring__",-21.634,-47.266,0,"하랑님_",-15.157,-61.829,0,"소솨소솨",20.448,-45.695,0,"ByeolBam",13.918,-63.771,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,160.868,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,190.098,"인생최패망자",R,5,51,93,1.607,-0.417,0.847,1.406,0.831,1.399,-36.743,111.321,0,100,0,2,0,-67.068,0,4.118,0,0,1,0,3,R,"_송글_",174.9,90.478,0.316,3,75,W,Y,191.238,98,67,69,63,59,132,83,-8.313,-0.63,-0.52,0,0.165,-266.536,198.936,35.24,0.208,-36.888,89,"Slaris",-0.067,-17.478,0,"Pring__",-21.535,-47.157,92,"하랑님_",-13.444,-61.031,0,"소솨소솨",19.465,-44.969,0,"ByeolBam",12.623,-63.83,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,191.219,0.336,-24.933,192.16,0,"인생최패망자",0.399,-36.225,0,0,,,,,3,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,212.332,"인생최패망자",R,33,93,140,-2.692,-0.083,0.606,1.44,-1.369,1.469,-36.743,30.662,0,100,0,2,0,145.594,-108.259,15.136,0,0,0,1,4,L,"하루（Haru）",190,90.172,0.403,3,73,W,Y,213.401,159,78,93,67,28,145,91,28.295,-3.111,-0.77,0.048,0.25,-246.423,-405.911,37.793,0.259,-36.924,0,"Slaris",-0.124,-17.117,0,"Pring__",-22.859,-49.491,0,"하랑님_",-11.352,-61.628,85,"소솨소솨",20.334,-45.639,0,"ByeolBam",14.773,-63.009,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,217.918,10.44,-93.833,218.585,7,"AI",11.311,-97.298,1,0,,,,,34,2
4,1,1,0,0,0,0,1,1,0,0,4,255,255,3,238.682,"인생최패망자",R,32,87,140,-1.012,0.906,0.751,1.627,-0.692,2.075,-36.743,47.134,0,95,5,2,0,187.251,-123.952,10.218,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,3,73,W,Y,239.495,156,79,81,41,7,138,99,95.448,82.206,0.92,0,0.112,14.148,-430.446,413.059,0.135,-36.757,0,"Slaris",0.01,-17.205,0,"Pring__",-19.585,-39.879,0,"하랑님_",-10.107,-59.908,0,"소솨소솨",20.387,-45.82,0,"ByeolBam",14.813,-62.562,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
5,1,1,0,0,0,1,1,1,0,0,4,255,255,4,255.918,"인생최패망자",R,32,89,140,-0.487,1.591,0.792,1.666,-0.504,2.518,-36.743,48.249,0,94,6,1,0,192.172,-112.789,7.796,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,0,73,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,-37.611,0,"Slaris",-0.024,-17.156,0,"Pring__",-19.365,-41.701,0,"하랑님_",-13.103,-60.362,0,"소솨소솨",20.009,-45.327,0,"ByeolBam",13.591,-61.356,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,257.026,,,,0,0
6,1,1,0,0,1,1,1,1,0,0,4,255,255,5,266.992,"인생최패망자",R,13,85,124,-0.447,0.556,0.982,1.61,0.383,2.337,-36.743,60.682,0,100,0,2,0,-374.535,331.246,9.523,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,3,73,W,Y,267.861,124,108,119,63,34,138,124,92.477,86.061,0.27,0,0.057,152.973,115.527,-166.738,0.368,-36.697,0,"Slaris",0.012,-17.129,0,"Pring__",-19.627,-39.916,0,"하랑님_",-12.311,-59.42,0,"소솨소솨",20.736,-45.318,0,"ByeolBam",15.083,-61.423,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
7,1,1,0,0,1,2,1,1,0,0,4,255,255,6,280.972,"인생최패망자",R,3,74,101,-2.113,-0.426,0.909,1.367,0.027,1.375,-36.743,74.663,0,100,0,2,0,-459.091,0,8.999,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,3,73,W,Y,281.948,122,121,97,104,63,138,102,62.788,-47.502,-0.03,0,0.129,189.732,-120.54,-70.576,0.19,-36.693,0,"Slaris",0.032,-17.119,0,"Pring__",-19.292,-41.379,0,"하랑님_",-13.01,-60.836,0,"소솨소솨",19.868,-44.862,0,"ByeolBam",14.981,-61.629,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,288.877,6,"AI",52.683,-63.881,0,0,,,,,2,2
8,1,1,0,0,1,2,1,1,0,0,4,255,255,7,303.036,"인생최패망자",R,32,91,140,-2.095,0.748,0.633,1.582,-1.24,1.93,-36.743,34.993,0,93,7,2,0,221.024,-177.138,13.775,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,3,74,W,Y,303.876,102,83,91,49,25,135,84,49.723,-46.392,-0.83,0,0.053,200.233,-323.015,82.117,0.07,-36.625,0,"Slaris",0.03,-17.268,0,"Pring__",-19.439,-40.669,0,"하랑님_",-14.919,-61.104,0,"소솨소솨",20.127,-44.904,0,"ByeolBam",15.599,-62.525,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,308.827,48.369,-59.397,0,0,"",0,0,0,0,,,,,2,3
9,1,1,0,0,1,2,1,1,0,0,4,255,255,8,318.277,"인생최패망자",R,32,95,140,-2.9,0.625,0.564,1.562,-1.561,1.866,-36.743,27.816,0,96,4,1,0,201.15,-162.694,17.086,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,0,74,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,-37.257,0,"Slaris",-0.328,-17.674,0,"Pring__",-18.931,-42.211,0,"하랑님_",-10.999,-63.207,0,"소솨소솨",19.553,-44.396,0,"ByeolBam",16.673,-62.496,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,319.436,,,,0,0
10,1,1,0,0,2,2,1,1,0,0,4,255,255,9,336.002,"인생최패망자",R,13,79,104,-1.394,-1.137,0.92,1.387,0.064,1.416,-36.743,67.573,0,100,0,2,0,-341.419,345.825,-19.43,0,0,0,2,1,L,"Kr_Luna",190,95.256,0.499,3,74,W,Y,336.96,107,103,105,77,41,137,130,-30,-8.103,0.5,0,0.049,-576.505,-74.74,29.33,0.414,-36.751,0,"Slaris",0,-17.308,0,"Pring__",-19.604,-40.13,0,"하랑님_",-11.577,-61.854,0,"소솨소솨",19.677,-45.251,0,"ByeolBam",16.646,-62.783,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,336.651,-0.218,-20.55,343.177,7,"AI",13.997,-134.142,1,0,,341.87,346.932,,34,2
