id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,265.192,"소솨소솨",R,32,81,131,2.536,-0.63,0.9,1.61,0.83,1.193,-36.549,49.43,0,100,0,1,0,168.672,-30.765,0,0,0,0,0,3,R,"하랑님_",180.2,90,0.452,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147,-38.078,0,"Azuner",0,-18.062,0,"_Gosomi",-20.765,-47.067,0,"하루（Haru）",-13.445,-64.583,0,"Roslynn",20.637,-47.421,0,"CoalCat",10.172,-64.182,0,"YukihiroD",38.483,-88.529,0,"うよすま",-4.45,-117.912,0,"인생최패망자",-38.973,-87.306,0,0,0,0,0,0,"",0,0,0,0,266.442,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,275.615,"소솨소솨",R,33,85,138,-0.475,-0.797,0.679,1.596,-0.396,1.105,-36.549,31.181,0,100,0,0,0,122.127,-21.388,0,0,0,0,0,3,R,"하랑님_",180.2,90,0.452,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.79,0,"Azuner",-0.19,-18.052,0,"_Gosomi",-20.654,-47.079,0,"하루（Haru）",-13.462,-64.628,0,"Roslynn",20.414,-47.588,0,"CoalCat",10.202,-64.203,0,"YukihiroD",38.476,-88.492,0,"うよすま",-3.349,-119.705,0,"인생최패망자",-38.955,-87.324,0,0,0,0,0,0,"",0,0,0,0,276.808,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,285.973,"소솨소솨",R,32,84,136,2.956,-0.914,0.915,1.585,1.033,1.053,-36.549,52.384,16,84,0,4,0,161.462,-2.511,0,0,0,1,0,3,R,"하랑님_",180.2,90,0.452,0,72,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254,-37.668,0,"Azuner",0.062,-18.068,0,"_Gosomi",-20.615,-47.049,0,"하루（Haru）",-13.385,-64.701,0,"Roslynn",21.34,-48.103,0,"CoalCat",10.212,-64.193,0,"YukihiroD",37.353,-89.257,0,"うよすま",-3.694,-117.539,0,"인생최패망자",-38.971,-87.285,0,0,0,0,0,0,"",0,0,0,0,287.25,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,296.094,"소솨소솨",R,32,86,140,-0.802,-0.196,0.64,1.684,-0.596,1.423,-36.549,30.124,30,70,0,2,0,167.389,-66.573,0,0,0,1,0,3,R,"하랑님_",180.2,90,0.452,3,72,W,Y,297.192,165,89,45,0,0,57,63,-30,5.53,0.9,0,0.324,-536.611,-248.751,-100.856,0.233,-37.393,120,"Azuner",-0.238,-18.103,0,"_Gosomi",-20.6,-47.032,84,"하루（Haru）",-13.402,-64.687,0,"Roslynn",21.716,-48.279,0,"CoalCat",10.225,-64.201,0,"YukihiroD",37.495,-89.184,0,"うよすま",-4.177,-118.949,0,"인생최패망자",-39.023,-87.276,0,297.158,-0.338,-19.434,298.55,0,"소솨소솨",0.276,-34.233,0,0,,,,,136,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,320.014,"소솨소솨",R,33,79,129,1.329,-0.547,0.846,1.623,0.404,1.299,-36.549,50.076,0,100,0,2,0,114.684,13.752,0,0,0,0,1,8,R,"Po_cari",170,90,0.45,3,69,W,Y,321.168,100,62,77,44,13,132,100,-30,-2.56,0.92,0,0.287,-572.55,44.044,173.915,0.27,-37.591,91,"Azuner",0.112,-18.187,0,"_Gosomi",-22.391,-47.956,85,"하루（Haru）",-13.222,-64.518,0,"Roslynn",21.163,-48.859,0,"CoalCat",10.731,-65.527,0,"YukihiroD",36.377,-89.634,0,"うよすま",-4.142,-109.731,0,"인생최패망자",-40.703,-85.325,0,321.042,0.245,-19.909,322.133,0,"소솨소솨",0.949,-35.564,0,0,,,,,136,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,345.222,"소솨소솨",R,33,82,134,-0.72,-0.524,0.68,1.631,-0.48,1.262,-36.549,35.842,0,100,0,2,0,117.155,-14.464,0,0,0,1,2,4,L,"눈꽃",190,85,0.5,3,69,W,Y,346.484,255,143,109,104,49,145,130,36.925,-34.309,0.6,0,0.509,389.82,454.658,-36.429,0.011,-37.698,0,"Azuner",-0.137,-18.313,0,"_Gosomi",-20.786,-46.892,0,"하루（Haru）",-12.117,-65.406,0,"Roslynn",21.408,-49.007,0,"CoalCat",13.802,-63.41,0,"YukihiroD",43.637,-106.232,0,"うよすま",-7.281,-124.762,0,"인생최패망자",-50.234,-101.391,0,352.358,57.368,-124.744,0,0,"",0,0,0,0,,356.682,361.906,,128,4
7,1,1,1,0,0,0,2,0,0,0,255,255,255,6,383.414,"소솨소솨",R,4,74,120,-0.971,-0.671,0.792,1.579,-0.148,1.184,-36.549,46.361,0,100,0,0,0,-212.406,0,0,0,0,0,3,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044,-37.753,0,"Azuner",-0.186,-18.115,0,"_Gosomi",-20.192,-45.996,0,"하루（Haru）",-7.852,-67.089,0,"Roslynn",21.139,-47.828,0,"CoalCat",13.035,-63.599,0,"YukihiroD",43.263,-97.835,0,"うよすま",8.122,-122.432,0,"인생최패망자",-49.128,-100.866,0,0,0,0,0,0,"",0,0,0,0,384.575,,,,0,0
8,1,1,1,0,0,1,2,0,0,0,255,255,255,7,397.435,"소솨소솨",R,13,76,114,-3.782,-0.974,0.543,1.595,-0.953,1.372,-36.549,18.543,47,53,0,4,0,-358.826,348.201,0,0.116,-20.865,1,3,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092,-38.057,0,"Azuner",0.137,-18.946,0,"_Gosomi",-19.93,-46.245,0,"하루（Haru）",-7.692,-67.144,0,"Roslynn",21.155,-47.838,0,"CoalCat",13.019,-63.537,0,"YukihiroD",41.005,-95.908,0,"うよすま",9.231,-122.841,0,"인생최패망자",-49.107,-100.869,0,0,0,0,0,0,"",0,0,0,0,400.2,,,,0,0
9,1,1,1,0,0,2,2,0,0,0,255,255,255,8,411.778,"소솨소솨",R,33,89,140,4.546,0.754,0.866,1.776,1.785,2.065,-36.549,59.619,82,18,0,1,0,125.468,-18.546,0,0.949,-15.61,0,3,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,-37.976,0,"Azuner",0.919,-17.674,0,"_Gosomi",-20.533,-46.146,0,"하루（Haru）",-7.413,-67.105,0,"Roslynn",20.905,-48.09,0,"CoalCat",13.04,-63.496,0,"YukihiroD",40.802,-95.218,0,"うよすま",7.074,-120.354,0,"인생최패망자",-49.101,-100.829,0,0,0,0,0,0,"",0,0,0,0,417.117,,,,0,0
10,1,1,1,0,1,2,2,0,0,0,255,255,255,9,427.828,"소솨소솨",R,33,77,128,3.679,0.256,0.874,1.722,1.374,1.746,-36.549,63.926,72,28,0,1,0,133.642,-18.28,0,0,0,0,3,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279,-37.788,0,"Azuner",0.222,-17.843,0,"_Gosomi",-20.161,-45.204,0,"하루（Haru）",-8.865,-66.43,0,"Roslynn",21.374,-49.42,0,"CoalCat",13.032,-63.578,0,"YukihiroD",40.236,-96.897,0,"うよすま",8.129,-121.047,0,"인생최패망자",-49.026,-101.015,0,0,0,0,0,0,"",0,0,0,0,428.975,,,,0,0
11,1,1,1,0,2,2,2,0,0,0,255,255,255,10,440.463,"소솨소솨",R,32,83,135,-0.869,-0.315,0.616,1.592,-0.614,1.364,-36.549,26.364,23,77,0,0,0,152.736,-51.147,0,0,0,1,3,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,-37.807,0,"Azuner",-0.226,-18.063,0,"_Gosomi",-20.135,-45.274,0,"하루（Haru）",-8.724,-66.492,0,"Roslynn",21.227,-49.418,0,"CoalCat",13.043,-63.566,0,"YukihiroD",42.136,-97.678,0,"うよすま",7.323,-121.579,0,"인생최패망자",-49.047,-100.872,0,0,0,0,0,0,"",0,0,0,0,441.492,,,,0,0
12,1,0,1,0,0,0,0,0,0,0,255,255,255,0,550.918,"Floră",R,32,81,131,2.558,-0.154,0.488,1.633,0.876,1.484,-36.341,14.519,0,100,0,2,0,156.178,-28.556,5.488,0,0,1,0,8,R,"인생최패망자",190,80,0.346,3,67,W,Y,551.918,255,128,163,122,59,145,103,-4.984,-38.914,-0.18,0,0.412,-106.406,231.019,-543.423,0.386,-37.231,0,"Kr_Luna",0.004,-17.726,0,"Pring__",-22.867,-48.516,104,"하랑님_",-15.436,-63.235,0,"눈꽃",20.551,-46.156,120,"神々廻しば",12.679,-64.098,0,"ddil_ddil69",39.248,-97.141,0,"Yaksok~",1.553,-110.724,0,"Po_cari",-45.585,-95.655,0,552.067,6.353,-28.172,553.217,4,"눈꽃",18.882,-42.834,0,0,,,,,268,2
