id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,270.585,"encounter v",R,32,105,140,0.16,-0.637,0.543,2.153,-0.264,1.34,-36.682,57.156,71,29,0,0,0,250,173.452,-41.5,0,0,0,0,9,R,"ByeolBam",190,90,0.4,0,77,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,-37.379,0,"Muna_328",0.004,-17.094,0,"_Gosomi",-20.853,-47.502,0,"하랑님_",-16.197,-62.619,0,"인생최패망자",17.019,-46.799,0,"schmoneymikey",9.216,-66.784,0,"Sabo_10",42.316,-98.042,0,"うよすま",-7.177,-125.293,0,"소솨소솨",-46.109,-92.404,0,0,0,0,0,0,"",0,0,0,0,271.582,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,287.299,"encounter v",R,32,109,140,1.186,-0.032,0.654,2.293,0.169,1.747,-36.682,78.033,72,28,0,2,0,250,200,-32.742,0,0,1,0,9,R,"ByeolBam",190,90,0.4,3,77,W,Y,288.208,255,67,92,69,19,145,94,-3.36,-19.008,-0.62,0,0.315,-549.963,33.39,237.542,0.127,-37.068,0,"Muna_328",0.002,-17.216,0,"_Gosomi",-20.609,-47.15,85,"하랑님_",-16.185,-62.647,0,"인생최패망자",16.844,-46.816,0,"schmoneymikey",9.141,-66.708,96,"Sabo_10",42.774,-98.127,0,"うよすま",-7.171,-124.723,0,"소솨소솨",-45.169,-93.176,0,288.366,3.361,-29.6,290.441,5,"schmoneymikey",12.51,-61.251,0,0,,,,,18,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,311.585,"encounter v",R,32,112,140,-1.01,-0.083,0.418,2.23,-0.563,1.605,-36.682,59.577,67,33,0,2,0,212.674,198.243,-117.987,0,0,0,1,3,L,"Kr_Luna",169.793,92.297,0.498,3,77,W,Y,312.403,158,150,98,68,26,145,116,25.48,-34.82,0.22,0,0.052,103.173,-578.852,119.522,-0.082,-37.079,0,"Muna_328",-0.012,-17.26,0,"_Gosomi",-20.009,-47.587,0,"하랑님_",-13.478,-64.478,85,"인생최패망자",20.317,-46.178,0,"schmoneymikey",14.752,-63.127,0,"Sabo_10",46.487,-99.861,115,"うよすま",7.31,-118.371,0,"소솨소솨",-44.738,-92.263,0,316.932,69.456,-95.758,318.057,6,"Sabo_10",67.759,-95.862,1,0,,322.281,,,257,2
4,1,1,0,0,0,0,1,0,1,0,255,3,255,3,342.9,"encounter v",R,10,51,99,3.13,1.905,0.446,2.302,1.35,3.27,-36.682,82.269,100,0,0,1,0,0,400,-34.44,0,0,0,2,2,L,"NABIMan",190,84.87,0.48,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,-37.323,0,"Muna_328",-0.087,-17.19,0,"_Gosomi",-20.762,-47.665,0,"하랑님_",-8.154,-61.166,0,"인생최패망자",19.244,-40.066,0,"schmoneymikey",14.659,-62.585,0,"Sabo_10",51.475,-98.368,0,"うよすま",7.631,-122.338,0,"소솨소솨",-40.317,-92.913,0,0,0,0,0,0,"",0,0,0,0,344.166,347.07,,,0,0
5,1,1,0,0,1,0,1,0,1,0,255,3,255,4,360.661,"encounter v",R,32,93,140,0.108,0.959,0.534,2.363,-0.307,2.019,-36.682,69.725,80,20,0,0,0,250,-200,-23.707,0,0,0,2,2,L,"NABIMan",190,84.87,0.48,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,-37.344,0,"Muna_328",-0.115,-17.422,0,"_Gosomi",-20.581,-48.809,0,"하랑님_",-7.249,-60.549,0,"인생최패망자",18.881,-41.456,0,"schmoneymikey",14.638,-62.5,0,"Sabo_10",51.398,-98.397,0,"うよすま",6.37,-118.325,0,"소솨소솨",-44.862,-91.01,0,0,0,0,0,0,"",0,0,0,0,361.724,363.727,,,0,0
6,1,1,0,0,1,1,1,0,1,0,255,3,255,5,377.422,"encounter v",R,10,57,91,0.315,-2.281,0.639,1.883,0.121,0.862,-36.682,60.795,100,0,0,4,0,0,400,-15.724,0.043,-20.003,1,2,2,L,"NABIMan",190,84.87,0.48,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188,-37.302,0,"Muna_328",-0.012,-17.064,0,"_Gosomi",-20.729,-47.524,0,"하랑님_",-6.773,-61.054,0,"인생최패망자",19.186,-40.814,0,"schmoneymikey",14.628,-62.53,0,"Sabo_10",51.475,-98.457,0,"うよすま",6.289,-117.851,0,"소솨소솨",-41.491,-94.214,0,0,0,0,0,0,"",0,0,0,0,378.774,380.182,,,0,0
7,1,1,0,0,1,2,1,0,1,0,255,3,255,6,396.054,"encounter v",R,10,101,128,-0.085,-0.789,0.59,2.206,-0.047,1.512,-36.682,65.679,85,15,0,0,0,-4.225,400,-29.006,0,0,0,2,2,L,"NABIMan",190,84.87,0.48,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,-37.31,0,"Muna_328",0.07,-17.688,0,"_Gosomi",-20.532,-47.593,0,"하랑님_",-6.041,-60.606,0,"인생최패망자",17.272,-39.48,0,"schmoneymikey",14.676,-62.577,0,"Sabo_10",50.674,-98.234,0,"うよすま",6.597,-116.187,0,"소솨소솨",-36.43,-85.552,0,0,0,0,0,0,"",0,0,0,0,397.116,399.415,,,0,0
8,1,1,0,0,0,0,2,0,1,0,255,3,255,7,417.606,"encounter v",R,13,83,121,-0.066,0.073,0.704,2.346,0.482,1.963,-36.682,74.299,77,23,0,2,0,-371.286,334.883,-17.014,0,0,1,3,5,R,"CoalCat",190,83,0.397,3,81,W,Y,418.707,255,98,145,114,53,145,128,-30,3.145,0.26,0,0.446,81.492,-584.923,-105.946,-0.023,-37.053,0,"Muna_328",-0.013,-17.233,125,"_Gosomi",-21.733,-48.508,0,"하랑님_",-15.702,-63.142,0,"인생최패망자",16.929,-45.172,0,"schmoneymikey",7.537,-64.01,0,"Sabo_10",47.93,-95.851,0,"うよすま",-9.399,-119.826,115,"소솨소솨",-47.598,-93.037,0,418.491,-0.12,-21.751,422.324,7,"うよすま",-4.104,-103.231,1,0,426.557,,423.676,428.493,96,2
9,1,1,1,0,0,0,2,1,0,0,5,255,255,8,453.343,"encounter v",R,26,86,139,-1.724,-0.263,0.402,2.123,-0.919,1.244,-36.682,39.252,75,25,0,1,0,127.916,-200,-14.859,0,0,0,4,4,L,"Fresh825",190,80,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,-37.273,0,"Muna_328",-0.137,-16.78,0,"_Gosomi",-20.395,-44.635,0,"하랑님_",-13.502,-63.483,0,"인생최패망자",18.928,-43.267,0,"schmoneymikey",14.631,-63.667,0,"Sabo_10",47.719,-97.581,0,"うよすま",3.585,-122.808,0,"소솨소솨",-41.88,-88.731,0,0,0,0,0,0,"",0,0,0,0,454.416,,,,0,0
10,1,1,1,0,1,0,2,1,0,0,5,255,255,9,466.742,"encounter v",R,26,88,140,-1.014,-0.2,0.447,2.136,-0.714,1.285,-36.682,40.93,78,22,0,2,0,187,-200,-10.124,0,0,1,4,4,L,"Fresh825",190,80,0.2,3,80,W,Y,467.778,184,147,139,148,0,145,104,94.742,84.407,-0.17,0,0.154,337.208,-493.003,56.912,0.28,-37.148,0,"Muna_328",-0.086,-17.1,0,"_Gosomi",-19.336,-45.314,0,"하랑님_",-12.625,-62.954,0,"인생최패망자",19.672,-45.233,0,"schmoneymikey",14.627,-63.613,0,"Sabo_10",48.126,-97.804,0,"うよすま",1.633,-117.589,0,"소솨소솨",-40.826,-88.193,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
