id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,239.835,"Floră",R,3,73,101,0.961,-1.292,0.652,1.462,1.092,1.015,-36.341,36.228,0,100,0,1,0,-410.592,144.226,14.718,0,0,0,0,5,R,"_Gosomi",185.1,85,0.31,0,51,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.424,0,"muyang_",0.002,-17.648,0,"Yaksok~",-20.227,-49.264,0,"_앰프_",-13.406,-61.428,0,"Slaris",20.912,-49.487,0,"CoalCat",9.49,-65.169,0,"하랑님_",46.62,-93.176,0,"아침땅_",-5.399,-111.39,0,"ByeolBam",-40.446,-90.189,0,0,0,0,0,0,"",0,0,0,0,240.238,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,253.847,"Floră",R,33,83,134,0.105,-0.318,0.265,1.47,-0.164,1.388,-36.341,14.764,0,100,0,2,0,145.443,-30.362,4.683,0,0,1,0,5,R,"_Gosomi",185.1,85,0.31,3,51,W,Y,254.901,255,124,94,75,0,145,103,-40.45,-9.189,-0.12,0,0.452,548.498,150.431,191.103,-0.18,-37.357,0,"muyang_",-0.111,-17.122,0,"Yaksok~",-19.905,-49.32,0,"_앰프_",-13.342,-61.206,0,"Slaris",20.34,-49.771,0,"CoalCat",9.558,-65.085,94,"하랑님_",46.643,-93.268,0,"아침땅_",-5.2,-112.077,0,"ByeolBam",-44.183,-96.486,0,253.611,0.017,-20.227,256.305,5,"CoalCat",8.81,-56.024,0,0,,,,,266,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,282.522,"Floră",R,0,82,133,1.915,-0.35,0.465,1.673,0.769,1.384,-36.341,39.297,0,100,0,1,0,42.129,-9.435,1.955,0,0,0,1,6,R,"즉석카레",175.1,84.749,0.402,0,49,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006,-37.476,0,"muyang_",-0.01,-16.976,0,"Yaksok~",-18.595,-48.495,0,"_앰프_",-12.392,-62.934,0,"Slaris",19.142,-48.381,0,"CoalCat",9.778,-64.955,0,"하랑님_",49.268,-89.243,0,"아침땅_",-5.462,-108.1,0,"ByeolBam",-43.018,-94.641,0,0,0,0,0,0,"",0,0,0,0,282.798,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,298.844,"Floră",R,33,89,140,-7.746,0.876,-0.216,1.637,-3.544,2.106,-36.341,13.401,0,100,0,1,0,132.325,-7.03,8.215,0,0,0,1,6,R,"즉석카레",175.1,84.749,0.402,0,49,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339,-37.414,0,"muyang_",-0.732,-16.506,0,"Yaksok~",-19.29,-48.321,0,"_앰프_",-13.41,-62.08,0,"Slaris",18.999,-48.51,0,"CoalCat",9.818,-64.955,0,"하랑님_",49.296,-89.238,0,"아침땅_",-6.427,-107.2,0,"ByeolBam",-43.813,-95.248,0,0,0,0,0,0,"",0,0,0,0,299.078,,,,0,0
5,1,1,0,0,2,0,1,0,0,0,255,255,255,4,316.751,"Floră",R,33,81,131,0.077,-1.084,0.263,1.553,-0.171,0.962,-36.341,32.597,0,100,0,1,0,137.331,-5.647,0.334,0,0,0,1,6,R,"즉석카레",175.1,84.749,0.402,0,49,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218,-37.449,0,"muyang_",-0.086,-18.098,0,"Yaksok~",-19.337,-48.389,0,"_앰프_",-12.93,-62.545,0,"Slaris",19.052,-48.454,0,"CoalCat",9.81,-65.04,0,"하랑님_",49.532,-89.396,0,"아침땅_",-7.509,-107.934,0,"ByeolBam",-45.232,-96.95,0,0,0,0,0,0,"",0,0,0,0,316.958,,,,0,0
6,1,1,0,0,3,0,1,0,0,0,255,255,255,5,331.428,"Floră",R,3,69,98,-0.146,-0.627,0.566,1.443,0.824,1.272,-36.341,19.761,0,100,0,0,0,-434.332,0,6.892,0,0,0,1,6,R,"즉석카레",175.1,84.749,0.402,0,49,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.361,-37.649,0,"muyang_",0.016,-17.138,0,"Yaksok~",-19.345,-48.396,0,"_앰프_",-12.699,-62.6,0,"Slaris",19.147,-48.421,0,"CoalCat",9.774,-65.002,0,"하랑님_",48.327,-90.724,0,"아침땅_",-7.515,-107.944,0,"ByeolBam",-45.205,-98.347,0,0,0,0,0,0,"",0,0,0,0,331.878,,,,0,0
7,1,1,0,0,3,1,1,0,0,0,255,255,255,6,345.801,"Floră",R,3,77,105,0.958,-0.432,0.563,1.432,1.126,1.377,-36.341,17.451,0,100,0,2,0,-381.786,0,17.281,0,0,1,1,6,R,"즉석카레",175.1,84.749,0.402,3,49,W,Y,346.975,120,162,53,67,26,134,127,7.941,-20.043,0.47,0,0.202,-497.857,-244.438,-228.885,0.077,-37.1,0,"muyang_",0.04,-17.277,0,"Yaksok~",-19.349,-48.395,0,"_앰프_",-12.817,-62.686,85,"Slaris",19.147,-48.42,0,"CoalCat",9.839,-64.98,0,"하랑님_",47.058,-91.782,91,"아침땅_",-6.397,-108.036,0,"ByeolBam",-45.698,-98.509,0,347.185,17.294,-64.653,353.905,6,"하랑님_",39.591,-119.472,1,0,,356.849,,,336,2
8,1,1,0,0,0,0,1,0,1,0,255,6,255,7,379.156,"Floră",R,33,85,138,-0.69,-0.33,0.197,1.67,-0.477,1.382,-36.341,28.832,0,100,0,2,0,148.291,-24.154,3.674,0,0,1,2,8,L,"-Alta-",180.1,86.283,0.478,3,46,W,Y,379.994,255,123,133,56,3,145,88,25.224,-18.804,-0.76,0,0.433,-72.38,-594.511,36.303,-0.267,-37.042,0,"muyang_",-0.075,-17.085,0,"Yaksok~",-17.205,-45.997,0,"_앰프_",-9.315,-61.493,67,"Slaris",21.497,-48.129,0,"CoalCat",13.796,-62.895,0,"하랑님_",45.981,-83.865,88,"아침땅_",3.055,-114.024,0,"ByeolBam",-41.189,-98.991,0,382.891,30.784,-81.596,383.331,6,"하랑님_",29.929,-80.302,0,0,,385.826,,,336,1
9,1,1,0,0,0,0,2,0,1,0,255,6,255,8,405.384,"Floră",R,13,74,101,-1.33,-1.408,0.193,1.519,-0.023,1.156,-36.341,36.48,0,100,0,4,0,-332.418,344.858,8.505,0,0,1,3,2,L,"Pring__",190,92.818,0.485,0,45,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.467,-37.553,117,"muyang_",-0.161,-17.197,0,"Yaksok~",-18.431,-47.819,0,"_앰프_",-7.102,-62.31,0,"Slaris",21.565,-47.264,0,"CoalCat",14.33,-61.047,0,"하랑님_",50.364,-90.254,0,"아침땅_",7.471,-117.41,0,"ByeolBam",-40.991,-99.39,0,0,0,0,0,0,"",0,0,0,0,405.531,408.046,,,0,0
10,1,1,0,0,0,1,2,0,1,0,255,6,255,9,438.004,"Floră",R,3,73,104,0.781,-0.162,0.504,1.681,0.933,1.523,-36.341,32.457,0,100,0,2,0,-316.072,0,-12.788,0,0,1,3,2,L,"Pring__",190,92.818,0.485,3,45,W,Y,438.979,157,115,66,91,81,138,129,26.655,1.498,0.33,0,0.483,161.955,-576.451,-38.4,0.009,-37.173,0,"muyang_",0.095,-17.057,0,"Yaksok~",-18.404,-47.701,0,"_앰프_",-10.426,-62.36,71,"Slaris",20.766,-47.81,0,"CoalCat",14.366,-60.945,0,"하랑님_",51.746,-91.911,0,"아침땅_",5.114,-116.954,101,"ByeolBam",-41.141,-99.097,0,443.038,13.588,-134.24,444.838,7,"아침땅_",15.868,-126.931,1,0,,449.391,443.817,448.725,352,2
11,1,1,1,0,0,0,2,0,1,0,255,2,255,10,472.554,"Floră",R,33,86,140,2.592,-0.295,0.504,1.492,0.947,1.444,-36.341,31.398,0,100,0,1,0,147.812,6.839,1.646,0,0,0,4,3,R,"장덕춘_",170,94.074,0.319,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.201,-37.513,0,"muyang_",0.335,-18.703,0,"Yaksok~",-18.603,-48.243,0,"_앰프_",-11.973,-61.199,0,"Slaris",19.214,-46.599,0,"CoalCat",11.384,-64.088,0,"하랑님_",45.86,-92.082,0,"아침땅_",-5.999,-110.389,0,"ByeolBam",-45.643,-95.752,0,0,0,0,0,0,"",0,0,0,0,472.491,475.171,,,0,0
