id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,220.801,"Yes_Man_",R,32,69,129,2.956,0.43,0.674,1.758,0.963,1.769,-36.737,69.894,0,100,0,1,0,228.835,-109.275,-2.798,0,0,0,0,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.541,0,"TaeGeuk_",0.088,-17.965,0,"CAT tourniquet",-18.667,-47.021,0,"_앰프_",-12.135,-62.568,0,"_Gosomi",22.072,-49.951,0,"ddil_ddil69",15.52,-61.301,0,"AI",40.903,-90.652,0,"AI",0,-109.843,0,"紅さかな",-47.412,-100.676,0,0,0,0,0,0,"",0,0,0,0,222.258,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,233.882,"Yes_Man_",R,32,94,130,-2.891,0.05,0.206,1.706,-1.624,1.504,-36.737,13.88,0,100,0,1,0,237.541,-136.612,22.217,0,0,0,0,2,L,"Pring__",190,92.818,0.485,0,67,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-37.22,0,"TaeGeuk_",0.104,-17.859,0,"CAT tourniquet",-18.492,-46.851,0,"_앰프_",-11.59,-63.494,0,"_Gosomi",22.072,-49.854,0,"ddil_ddil69",15.994,-62.417,0,"AI",40.903,-90.653,0,"AI",0,-109.843,0,"紅さかな",-49.598,-98.072,0,0,0,0,0,0,"",0,0,0,0,235.016,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,248.006,"Yes_Man_",R,0,71,129,-1.606,-0.108,0.476,1.755,-0.365,1.662,-36.737,38.154,0,90,10,2,0,-27.628,0,2.639,0,0,1,0,2,L,"Pring__",190,92.818,0.485,3,67,W,Y,249.016,182,134,92,121,81,145,130,27.525,-35.739,0.68,0,0.383,118.663,-563.703,167.804,0.05,-37.018,0,"TaeGeuk_",0.117,-17.954,0,"CAT tourniquet",-18.503,-46.838,0,"_앰프_",-11.573,-63.389,0,"_Gosomi",22.162,-49.869,0,"ddil_ddil69",15.925,-62.34,0,"AI",40.904,-90.653,0,"AI",0,-109.844,0,"紅さかな",-49.179,-98.47,0,254.033,80.035,-105.396,0,0,"",0,0,0,0,,261.046,266.364,,1,4
4,1,1,1,0,0,0,0,0,0,0,255,255,255,3,284.024,"Yes_Man_",R,32,91,130,-1.95,0.155,0.324,1.741,-1.073,1.614,-36.737,18.567,0,100,0,1,0,161.578,-66.59,9.511,0,0,0,1,5,R,"CoalCat",174.9,83,0.397,0,65,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.374,0,"TaeGeuk_",0.017,-17.966,0,"CAT tourniquet",-19.29,-46.514,0,"_앰프_",-12.824,-63.067,0,"_Gosomi",22.555,-50.764,0,"ddil_ddil69",16.031,-61.405,0,"AI",40.903,-90.652,0,"AI",0,-109.843,0,"紅さかな",-49.474,-97.047,0,0,0,0,0,0,"",0,0,0,0,285.474,,,,0,0
5,1,1,1,0,1,0,0,0,0,0,255,255,255,4,297.294,"Yes_Man_",R,32,82,130,0.016,0.454,0.478,1.791,-0.357,1.792,-36.737,31.402,0,96,4,2,0,229.79,-61.421,12.241,0,0,1,1,5,R,"CoalCat",174.9,83,0.397,3,65,W,Y,298.404,255,98,100,91,54,160,126,25.433,0.181,0.63,0,0.494,159.96,252.11,520.436,0.051,-37.24,0,"TaeGeuk_",0.066,-18.009,0,"CAT tourniquet",-19.304,-46.594,0,"_앰프_",-12.797,-62.963,84,"_Gosomi",22.42,-50.858,0,"ddil_ddil69",11.481,-65.034,0,"AI",40.904,-90.653,0,"AI",0,-109.844,0,"紅さかな",-50.025,-96.533,0,303.358,-9.622,-133.504,304.163,7,"AI",-10.333,-131.399,1,0,,308.046,,,3,2
6,1,1,1,0,0,0,0,0,1,0,255,5,255,5,325.369,"Yes_Man_",R,32,89,130,-0.614,0.244,0.448,1.761,-0.495,1.682,-36.737,26.149,0,87,13,0,0,161.38,-77.978,13.002,0,0,0,2,4,R,"소솨소솨",190,80,0.501,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,-37.537,0,"TaeGeuk_",0.095,-18.023,0,"CAT tourniquet",-18.607,-45.914,0,"_앰프_",-13.095,-60.661,0,"_Gosomi",19.836,-44.96,0,"ddil_ddil69",12.748,-64.434,0,"AI",40.903,-90.652,0,"AI",0,-109.843,0,"紅さかな",-51.297,-98.36,0,0,0,0,0,0,"",0,0,0,0,326.549,327.703,,,0,0
7,1,1,1,0,0,1,0,0,1,0,255,5,255,6,337.737,"Yes_Man_",R,10,77,119,-0.995,-0.599,0.459,1.768,-0.446,1.704,-36.737,29.745,40,60,0,2,0,0,400,27.543,0,0,1,2,4,R,"소솨소솨",190,80,0.501,3,64,W,Y,338.761,255,147,70,90,72,159,130,-30,2.834,0.61,0,0.532,-598.342,44.547,1.551,0.112,-36.985,0,"TaeGeuk_",0.009,-18.114,0,"CAT tourniquet",-18.61,-46.217,0,"_앰프_",-12.948,-61.277,0,"_Gosomi",20.045,-46.926,0,"ddil_ddil69",11.65,-64.07,87,"AI",40.904,-90.653,0,"AI",0,-109.844,0,"紅さかな",-51.569,-98.204,0,338.691,-0.253,-21.813,342.538,7,"AI",-4.367,-93.456,1,0,,,343.934,,9,2
8,1,1,1,0,0,0,0,1,0,1,4,255,5,7,363.319,"Yes_Man_",R,32,82,130,-1.471,0.614,0.374,1.795,-0.842,1.818,-36.737,27.058,0,86,14,2,0,172.032,-80.139,31.737,0,0,1,3,3,L,"encounter v",160,107,0.45,3,63,W,Y,364.11,7,4,12,22,5,2,38,-0.904,8.522,-1,0.762,0.583,512.885,-310.255,-26.284,-0.139,-36.899,120,"TaeGeuk_",-0.021,-17.813,115,"CAT tourniquet",-18.579,-46.026,89,"_앰프_",-9.745,-61.97,102,"_Gosomi",20.578,-47.797,0,"ddil_ddil69",15.089,-62.294,107,"AI",40.903,-90.653,0,"AI",0,-109.843,0,"紅さかな",-47.655,-96.236,0,364.708,-1.234,-27.824,365.824,0,"Yes_Man_",-2.387,-33.711,0,4,384.924,,,370.067,47,2
9,1,1,2,0,0,0,2,0,0,0,255,255,255,8,405.009,"Yes_Man_",R,33,70,130,4.943,0.551,0.685,1.649,1.941,1.963,-36.737,74.438,0,67,33,3,0,125.48,-14.421,8.055,0.709,-21.741,0,4,1,R,"SUGUN",190,82,0.5,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.562,0,"TaeGeuk_",0.598,-18.104,0,"CAT tourniquet",-19.591,-44.831,0,"_앰프_",-12.981,-60.367,0,"_Gosomi",20.997,-49.783,0,"ddil_ddil69",13.04,-64.207,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"紅さかな",-51.791,-96.522,0,0,0,0,0,0,"",0,0,0,0,410.066,,,,0,6
10,1,1,2,0,2,0,2,0,0,0,255,255,255,9,424.508,"Yes_Man_",R,33,79,130,-1.3,-0.01,0.472,1.765,-0.803,1.521,-36.737,42.595,0,82,18,2,0,145.694,-77.27,10.266,0,0,1,4,1,R,"SUGUN",190,82,0.5,3,62,W,Y,425.547,177,47,83,34,2,151,87,30.608,62.114,1,0,0.321,29.346,591.95,-93.457,-0.136,-37.317,0,"TaeGeuk_",-0.094,-18.196,0,"CAT tourniquet",-19.77,-45.184,0,"_앰프_",-12.2,-60.344,0,"_Gosomi",20.808,-50.166,0,"ddil_ddil69",13.13,-63.43,0,"AI",40.903,-90.653,0,"AI",0,-109.844,0,"紅さかな",-51.263,-96.982,0,428.508,-53.491,-41.861,0,0,"",0,0,0,0,,,,,1,3
