id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,289.372,"가앤슬_",L,10,63,95,-0.387,-0.583,-0.607,1.933,-0.221,1.854,-36.488,64.769,95,5,0,0,0,37.349,400,-7.072,0,0,0,0,5,R,"CoalCat",174.9,83,0.397,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,-38.221,0,"하랑님_",0.115,-17.274,0,"Pring__",-20.681,-46.193,0,"Fresh825",-15.016,-64.376,0,"_Gosomi",20.129,-48.351,0,"ByeolBam",15.018,-63.081,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,291.125,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,300.749,"가앤슬_",L,13,65,94,0.677,-0.289,-0.648,1.801,-0.397,2.036,-36.488,61.662,96,4,0,2,0,316.684,335.656,-0.119,0,0,1,0,5,R,"CoalCat",174.9,83,0.397,3,79,W,Y,302.046,255,147,80,68,54,145,104,16.467,27.271,0.9,0,0.591,158.78,-83.824,572.505,0.199,-37.903,0,"하랑님_",-0.132,-17.306,0,"Pring__",-20.753,-46.248,86,"Fresh825",-14.401,-64.648,0,"_Gosomi",20.161,-48.35,0,"ByeolBam",14.434,-63.4,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,305.017,-31.501,-83.544,305.592,8,"AI",-32.92,-86.523,1,0,,,,,3,2
3,1,1,0,0,0,0,0,1,0,0,5,255,255,2,325.948,"가앤슬_",L,10,68,99,-0.09,-0.005,-0.579,1.956,-0.023,2.155,-36.488,54.346,98,2,0,0,0,0,400,-7.734,0,0,0,1,3,R,"Gonyong",175.4,85.334,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205,-38.392,0,"하랑님_",0.077,-17.137,0,"Pring__",-19.385,-40.699,0,"Fresh825",-13.489,-59.661,0,"_Gosomi",19.291,-50.674,0,"ByeolBam",14.516,-63.883,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,327.934,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,5,255,255,3,339.869,"가앤슬_",L,14,79,116,-0.37,-2.189,-0.345,1.431,0.512,0.739,-36.488,40.682,70,30,0,1,0,-390.434,312.348,-3.627,-0.089,-19.36,0,1,3,R,"Gonyong",175.4,85.334,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.312,-39.04,0,"하랑님_",-0.051,-17.425,0,"Pring__",-18.701,-40.979,0,"Fresh825",-13.441,-59.595,0,"_Gosomi",21.616,-50.646,0,"ByeolBam",11.998,-64.061,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,341.584,,,,0,0
5,1,1,0,0,1,1,0,1,0,0,5,255,255,4,356.337,"가앤슬_",L,34,61,115,-2.193,1.488,-0.545,1.724,-0.805,2.389,-36.488,78.081,90,10,0,1,0,-78.151,-74.321,0.676,0,0,0,1,3,R,"Gonyong",175.4,85.334,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518,-38.452,0,"하랑님_",-0.135,-17.162,0,"Pring__",-18.336,-41.27,0,"Fresh825",-13.49,-59.717,0,"_Gosomi",20.519,-49.022,0,"ByeolBam",9.54,-63.283,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,357.9,,,,0,0
6,1,1,0,0,2,1,0,1,0,0,5,255,255,5,374.274,"가앤슬_",L,32,75,126,-2.371,1.306,-0.578,1.663,-0.76,2.21,-36.488,67.839,87,13,0,4,0,-167.47,-145.355,2.449,0,0,1,1,3,R,"Gonyong",175.4,85.334,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.501,-38.646,0,"하랑님_",-0.138,-17.375,0,"Pring__",-18.285,-41.368,0,"Fresh825",-13.443,-59.735,0,"_Gosomi",22.418,-51.618,0,"ByeolBam",10.457,-63.083,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,375.834,,,,0,0
7,1,1,0,0,3,1,0,1,0,0,5,255,255,6,390.351,"가앤슬_",L,26,82,133,1.174,0.226,-0.388,1.595,0.697,1.542,-36.488,40.521,92,8,0,0,0,-121.041,-195.84,-3.967,0,0,1,1,3,R,"Gonyong",175.4,85.334,0.2,0,80,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163,-38.908,0,"하랑님_",0.23,-17.483,0,"Pring__",-18.415,-40.605,0,"Fresh825",-13.485,-59.742,0,"_Gosomi",21.142,-49.75,0,"ByeolBam",9.483,-63.634,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,391.967,,,,0,0
8,1,1,0,0,3,2,0,1,0,0,5,255,255,7,411.914,"가앤슬_",L,10,70,100,0.089,0.527,-0.575,2.074,0.055,2.548,-36.488,51.145,94,6,0,2,0,0,400,-17.758,0,0,1,1,3,R,"Gonyong",175.4,85.334,0.2,3,79,W,Y,413.218,252,127,105,54,0,145,94,49.91,-3.9,-0.38,0,0.323,151.583,555.954,167.145,-0.179,-37.747,0,"하랑님_",-0.001,-17.445,0,"Pring__",-17.633,-42.121,0,"Fresh825",-13.408,-59.622,0,"_Gosomi",23.167,-52.296,68,"ByeolBam",11.026,-63.669,86,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,418.825,-6.513,-83.226,419.567,7,"AI",-6.941,-85.185,1,0,,423.014,,,25,2
9,1,1,0,0,0,0,0,1,1,0,3,5,255,8,447.794,"가앤슬_",L,13,75,103,2.298,-1.183,-0.466,1.608,0.692,1.34,-36.488,31.9,98,2,0,4,0,189.324,383.22,-4.691,0,0,0,2,4,L,"Kr_Luna",190,95,0.498,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-38.434,0,"하랑님_",0.189,-17.471,0,"Pring__",-18.759,-40.781,0,"Fresh825",-9.699,-66.935,0,"_Gosomi",22.035,-49.067,0,"ByeolBam",14.438,-62.434,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,449.209,449.886,,,0,0
10,1,1,0,0,0,1,0,1,1,0,3,5,255,9,464.426,"가앤슬_",L,32,76,127,1.674,0.137,-0.346,1.577,0.973,1.564,-36.488,46.694,89,11,0,4,0,-153.157,-139.795,2.048,0,0,0,2,4,L,"Kr_Luna",190,95,0.498,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122,-38.617,0,"하랑님_",0.104,-17.36,0,"Pring__",-19.202,-40.854,0,"Fresh825",-9.701,-66.959,0,"_Gosomi",20.723,-44.663,0,"ByeolBam",12.433,-59.889,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,465.692,467.049,,,0,0
