id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,254.941,"mungjungh",R,13,80,117,0.673,0.422,0.999,1.624,0.806,2.186,-36.589,59.505,0,100,0,2,0,-390.434,312.348,23.523,0,0,1,0,4,L,"encounter v",190,88,0.453,3,62,W,Y,256.141,222,72,105,73,28,145,126,-15.004,-42.113,0.25,0,0.391,-125.174,-529.11,54.73,0.465,-36.983,0,"HANA_ARASHI",-0.046,-17.641,0,"Pring__",-21.907,-48.278,85,"Kr_Luna",-10.56,-63.145,0,"_이누_",22.711,-49.114,110,"_Gosomi",14.92,-59.042,0,"ByeolBam",42.767,-95.378,0,"うよすま",8.744,-117.928,0,"k@ster",-46.951,-96.745,0,255.918,3.435,-22.862,257.318,4,"_이누_",22.511,-45.836,0,0,,,,,10,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,322.326,"mungjungh",R,32,84,136,-29.842,1.055,0.876,1.595,-0.196,1.742,-36.589,52.827,0,100,0,2,0,221.54,-200,6.984,0,0,1,1,3,R,"Penguin_iDOL",175,80,0.404,3,62,W,Y,323.386,215,77,91,79,38,145,101,40.315,-0.738,-0.01,0,0.213,221.99,287.92,-3.955,0.357,-37.092,0,"HANA_ARASHI",-0.071,-17.378,0,"Pring__",-22.157,-47.45,0,"Kr_Luna",-11.786,-62.649,0,"_이누_",20.555,-50.425,0,"_Gosomi",15.417,-62.728,0,"Yes_Man_",49.102,-90.131,0,"うよすま",-5.79,-114.204,115,"k@ster",-45.451,-101.136,0,328.659,-4.33,-99.716,328.868,7,"うよすま",-4.098,-97.749,0,0,,,,,1,1
3,1,1,0,0,0,0,2,0,0,0,255,255,255,2,346.43,"mungjungh",R,4,80,124,-0.318,0.065,0.916,1.576,0.073,1.737,-36.589,45.783,0,100,0,0,0,-174.955,93.458,8.887,0,0,0,2,8,R,"-KYU-",180.7,83,0.425,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,-37.545,0,"HANA_ARASHI",-0.092,-17.498,0,"Pring__",-22.221,-48.554,0,"Kr_Luna",-11.056,-64.094,0,"_이누_",22.384,-49.456,0,"_Gosomi",11.049,-62.467,0,"Yes_Man_",46.904,-87.363,0,"うよすま",-3.509,-117.913,0,"k@ster",-48.27,-100.433,0,0,0,0,0,0,"",0,0,0,0,347.634,,,,0,0
4,1,1,0,0,0,1,2,0,0,0,255,255,255,3,358.218,"mungjungh",R,26,78,128,4.392,1.558,1.123,1.658,1.567,2.401,-36.589,68.716,0,100,0,3,0,196.909,-200,5.574,0.557,-21.501,0,2,8,R,"-KYU-",180.7,83,0.425,0,62,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.713,-37.035,0,"HANA_ARASHI",0.008,-17.901,0,"Pring__",-22.262,-48.543,0,"Kr_Luna",-10.953,-64.144,0,"_이누_",22.512,-49.398,0,"_Gosomi",11.069,-62.555,0,"Yes_Man_",46.762,-87.505,0,"うよすま",-4.35,-119.022,0,"k@ster",-44.683,-102.473,0,0,0,0,0,0,"",0,0,0,0,361.251,,,,0,6
5,1,1,0,0,2,1,2,0,0,0,255,255,255,4,377.748,"mungjungh",R,13,94,126,-1.56,-0.002,0.876,1.646,-0.114,1.974,-36.589,45.24,0,100,0,2,0,-380.1,324.845,14,0,0,1,2,8,R,"-KYU-",180.7,83,0.425,3,62,W,Y,378.876,255,99,129,112,20,145,88,25.407,42.405,0.98,0,0.751,286.021,-47.4,36.914,0.32,-37.106,120,"HANA_ARASHI",-0.092,-17.866,0,"Pring__",-22.178,-48.257,0,"Kr_Luna",-12.344,-63.523,85,"_이누_",22.262,-49.35,0,"_Gosomi",11.101,-62.73,0,"Yes_Man_",46.888,-87.373,0,"うよすま",-4.11,-117.753,0,"k@ster",-44.709,-102.506,76,382.401,-45.813,-69.069,386.501,8,"k@ster",-63.553,-83.541,1,4,446.809,410.183,,,196,2
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,551.701,"인생최패망자",R,32,89,140,0.129,0.524,0.755,1.568,-0.211,1.878,-36.743,38.308,0,100,0,2,0,174.527,-75.26,11.234,0,0,1,0,0,R,"mungjungh",190,89.74,0.401,3,64,W,Y,552.763,151,106,37,28,16,106,104,103.405,-58.362,0.6,0,0.283,359.913,445.05,64.928,0.329,-37.09,0,"Muna_328",-0.056,-17.082,0,"레이나2",-20.536,-46.858,0,"Penguin_iDOL",-15.339,-61.575,0,"encounter v",19.31,-45.638,0,"YukihiroD",8.75,-64.867,0,"「론구」",39.12,-92.838,0,"가앤슬_",-4.475,-123.186,0,"-KYU-",-54.212,-95.56,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
7,1,0,0,0,0,1,0,0,0,0,255,255,255,1,564.94,"인생최패망자",R,3,75,104,-3.087,0.377,0.715,1.599,-0.575,1.869,-36.743,49.357,0,100,0,1,0,-388.589,0,13.793,0,0,0,0,0,R,"mungjungh",190,89.74,0.401,0,64,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306,-37.478,0,"Muna_328",-0.241,-16.93,0,"레이나2",-21.038,-46.946,0,"Penguin_iDOL",-15.441,-62.045,0,"encounter v",19.309,-45.962,0,"YukihiroD",8.601,-65.606,0,"「론구」",38.517,-93.2,0,"가앤슬_",-7.248,-120.316,0,"-KYU-",-55.009,-96.404,0,0,0,0,0,0,"",0,0,0,0,566.409,,,,0,0
8,1,0,0,0,0,2,0,0,0,0,255,255,255,2,581.885,"인생최패망자",R,32,84,136,23.058,-2.529,0.873,1.55,0.338,1.819,-36.743,49.589,0,100,0,2,0,234.953,-132.437,14.702,0,0,1,0,0,R,"mungjungh",190,89.74,0.401,3,64,W,Y,583.073,163,78,29,32,15,92,68,113.243,-4.409,0.02,0,0.204,409.438,350.86,-98.215,0.546,-37.065,0,"Muna_328",-0.017,-17.037,0,"레이나2",-20.867,-47.012,0,"Penguin_iDOL",-15.521,-61.883,0,"encounter v",19.263,-45.943,0,"YukihiroD",8.81,-65.683,0,"「론구」",38.352,-93.037,0,"가앤슬_",-7.306,-120.994,0,"-KYU-",-54.714,-96.344,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
9,1,0,0,0,0,2,0,0,0,0,255,255,255,3,595.253,"인생최패망자",R,5,77,113,-0.717,0.456,0.851,1.616,-0.151,1.906,-36.743,65.442,0,100,0,2,0,-102.927,0,6.954,0,0,1,0,0,R,"mungjungh",190,89.74,0.401,3,64,W,Y,596.397,130,151,107,85,44,140,130,-30,32.687,0.65,0,0.255,25.266,82.387,17.722,0.155,-36.793,0,"Muna_328",-0.069,-17.091,0,"레이나2",-20.606,-46.811,85,"Penguin_iDOL",-15.726,-60.134,0,"encounter v",20.357,-45.86,0,"YukihiroD",8.757,-65.875,0,"「론구」",39.451,-93.28,0,"가앤슬_",-8.233,-119.96,0,"-KYU-",-53.452,-94.642,0,596.159,-1.385,-22.678,597.493,2,"레이나2",-16.628,-46.388,0,0,,,,,128,2
10,1,0,0,0,0,0,1,0,0,0,255,255,255,4,612.578,"인생최패망자",R,32,83,135,2.474,0.583,0.981,1.551,0.842,1.852,-36.743,63.263,0,100,0,1,0,163.221,-49.722,4.782,0,0,0,1,8,R,"k@ster",160,80,0.646,0,63,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,-37.12,0,"Muna_328",-0.016,-16.853,0,"레이나2",-20.788,-46.722,0,"Penguin_iDOL",-16.292,-59.292,0,"encounter v",19.96,-46.07,0,"YukihiroD",10.601,-65.582,0,"「론구」",37.831,-93.722,0,"가앤슬_",0.041,-110.455,0,"-KYU-",-50.2,-88.233,0,0,0,0,0,0,"",0,0,0,0,613.318,,,,0,0
