id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,184.952,"encounter v",R,32,94,140,-1.699,0.16,0.572,1.553,-1.059,1.66,-36.681,17.8,17,66,17,1,0,250,-34.507,16.09,0,0,0,0,3,R,"Ѕeyeon",170.6,85,0.4,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215,-37.392,0,"_이누_",-0.033,-17.143,0,"Muna_328",-24.085,-47.933,0,"하랑님_",-16.685,-62.986,0,"하루（Haru）",19.123,-49.016,0,"ByeolBam",12.699,-65.017,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.471,-92.936,0,0,0,0,0,0,"",0,0,0,0,185.369,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,197.305,"encounter v",R,32,88,140,3.483,-0.671,1.025,1.442,1.044,1.26,-36.681,64.863,18,63,19,4,0,250,-44.673,19.463,-0.451,-20.766,1,0,3,R,"Ѕeyeon",170.6,85,0.4,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,-37.567,0,"_이누_",0.236,-17.419,0,"Muna_328",-23.774,-47.228,0,"하랑님_",-16.703,-62.951,0,"하루（Haru）",19.165,-49.529,0,"ByeolBam",12.555,-64.083,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.418,-92.849,0,0,0,0,0,0,"",0,0,0,0,201.076,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,213.864,"encounter v",R,32,93,140,-1.582,0.111,0.574,1.571,-1.052,1.725,-36.681,24.21,14,69,17,4,0,250,55.638,9.699,0,0,1,0,3,R,"Ѕeyeon",170.6,85,0.4,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327,-37.091,0,"_이누_",0.028,-16.926,0,"Muna_328",-23.655,-47.329,0,"하랑님_",-16.758,-62.709,0,"하루（Haru）",19.577,-48.42,0,"ByeolBam",11.812,-65.472,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.532,-93.385,0,0,0,0,0,0,"",0,0,0,0,214.342,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,228.934,"encounter v",R,32,96,140,3.01,-0.398,1.001,1.471,0.937,1.363,-36.681,61.959,21,65,14,1,0,250,-17.229,7.818,0.129,-19.195,0,0,3,R,"Ѕeyeon",170.6,85,0.4,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246,-37.088,0,"_이누_",0.305,-17.794,0,"Muna_328",-23.624,-48.153,0,"하랑님_",-16.731,-62.675,0,"하루（Haru）",19.59,-48.418,0,"ByeolBam",11.823,-65.465,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.563,-93.386,0,0,0,0,0,0,"",0,0,0,0,230.742,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,243.104,"encounter v",R,35,96,140,0.091,-0.033,0.785,1.582,-0.071,1.766,-36.681,39.1,14,58,28,0,0,74.309,200,-56.14,0,0,1,0,3,R,"Ѕeyeon",170.6,85,0.4,0,44,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451,-37.528,0,"_이누_",0.006,-17.362,0,"Muna_328",-23.66,-47.648,0,"하랑님_",-16.775,-62.717,0,"하루（Haru）",19.264,-49.186,0,"ByeolBam",11.617,-65.511,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.633,-93.387,0,0,0,0,0,0,"",0,0,0,0,243.542,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,259.543,"encounter v",R,32,92,140,3.517,-0.637,1.058,1.445,1.2,1.246,-36.681,64.25,22,53,24,1,0,250,-15.745,18.327,0,0,0,1,5,L,"Amellaid",160,86.447,0.439,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,-37.478,0,"_이누_",0.121,-17.043,0,"Muna_328",-18.508,-48.949,0,"하랑님_",-13.121,-64.799,0,"하루（Haru）",19.924,-46.507,0,"ByeolBam",14.464,-64.12,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-53.141,-94.04,0,0,0,0,0,0,"",0,0,0,0,260.209,,,,0,0
7,1,1,0,0,1,0,1,0,0,0,255,255,255,6,271.359,"encounter v",R,3,84,123,-0.367,0.625,0.934,1.621,0.622,1.922,-36.681,43.185,12,71,17,0,0,-500,0,8.821,0,0,0,1,5,L,"Amellaid",160,86.447,0.439,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255,-37.553,0,"_이누_",0.106,-16.981,0,"Muna_328",-18.564,-48.912,0,"하랑님_",-13.324,-64.588,0,"하루（Haru）",20.253,-46.509,0,"ByeolBam",14.422,-64.036,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-52.018,-94.795,0,0,0,0,0,0,"",0,0,0,0,271.756,,,,0,0
8,1,1,0,0,1,1,1,0,0,0,255,255,255,7,282.528,"encounter v",R,32,94,140,1.542,-0.389,0.868,1.5,0.315,1.459,-36.681,48.815,17,60,23,4,0,250,61.335,30.379,0,0,1,1,5,L,"Amellaid",160,86.447,0.439,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207,-37.256,0,"_이누_",0.082,-17.157,0,"Muna_328",-18.585,-48.921,0,"하랑님_",-12.981,-64.736,0,"하루（Haru）",20.566,-46.875,0,"ByeolBam",13.618,-64.311,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-48.178,-98.565,0,0,0,0,0,0,"",0,0,0,0,282.836,,,,0,0
9,1,1,0,0,1,2,1,0,0,0,255,255,255,8,294.712,"encounter v",R,3,102,126,-0.849,-0.061,0.884,1.527,0.389,1.562,-36.681,50.859,23,77,0,2,0,-500,0,-7.871,0,0,1,1,5,L,"Amellaid",160,86.447,0.439,3,41,W,Y,295.81,255,140,110,44,37,145,81,-89.78,89.436,-0.75,0,0.381,-422.369,395.451,-13.004,0.302,-37.049,0,"_이누_",0.034,-17.072,0,"Muna_328",-18.43,-48.913,85,"하랑님_",-12.908,-64.664,0,"하루（Haru）",20.491,-47.148,0,"ByeolBam",13.622,-64.351,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-48.599,-98.322,0,294.982,-0.527,-19.519,299.702,2,"Muna_328",-19.964,-37.172,0,0,,,,,130,2
10,1,1,0,0,1,2,1,0,0,0,255,255,255,9,317.3,"encounter v",R,32,98,140,0.182,0.484,0.738,1.576,-0.288,1.751,-36.681,37.193,14,60,26,0,0,250,-99.014,8.321,0,0,1,1,5,L,"Amellaid",160,86.447,0.439,0,40,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369,-37.549,0,"_이누_",0.047,-17.102,0,"Muna_328",-19.776,-47.899,0,"하랑님_",-12.441,-65.226,0,"하루（Haru）",20.584,-46.895,0,"ByeolBam",13.151,-64.287,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"yumi2012",-45.742,-96.762,0,0,0,0,0,0,"",0,0,0,0,317.702,,,,0,0
