id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,227.347,"Penguin_iDOL",R,27,88,140,1.087,-0.408,0.322,1.885,0.376,1.229,-36.493,29.369,76,20,4,0,0,83.047,-128.149,24.487,0,0,0,0,1,R,"하랑님_",190,87.891,0.22,0,42,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.711,0,"Retona",0.059,-17.663,0,"Pring__",-19.861,-45.756,0,"Rite_",-15.369,-61.685,0,"_Gosomi",20.241,-47.614,0,"Yaksok~",13.6,-66.576,0,"magimari",51.542,-93.814,0,"아침땅_",-4.861,-113.339,0,"Yes_Man_",-46.024,-104.446,0,0,0,0,0,0,"",0,0,0,0,227.846,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,243.231,"Penguin_iDOL",R,26,89,140,-1.204,-0.625,0.069,1.771,-0.609,1.06,-36.493,28.563,70,28,2,0,0,61.621,-171.636,21.611,0,0,1,0,1,R,"하랑님_",190,87.891,0.22,0,42,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,-37.575,0,"Retona",-0.248,-17.828,0,"Pring__",-20.159,-45.437,0,"Rite_",-15.836,-61.322,0,"_Gosomi",20.108,-48.524,0,"Yaksok~",11.611,-66.192,0,"magimari",50.169,-93.405,0,"아침땅_",-9.174,-112.181,0,"Yes_Man_",-46.067,-104.45,0,0,0,0,0,0,"",0,0,0,0,243.766,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,258.778,"Penguin_iDOL",R,27,91,140,0.996,0.711,0.267,1.84,0.31,1.932,-36.493,29.361,75,20,5,2,0,87.221,-140.033,21.641,0,0,1,0,1,R,"하랑님_",190,87.891,0.22,3,42,W,Y,259.833,254,46,87,83,30,145,91,35.316,30.445,-0.8,0,0.248,477.971,138.464,-227.852,-0.306,-37.283,0,"Retona",0.109,-17.892,0,"Pring__",-20.004,-45.469,0,"Rite_",-15.878,-61.565,0,"_Gosomi",21.947,-51.104,0,"Yaksok~",12.036,-64.886,96,"magimari",50.053,-93.529,0,"아침땅_",-4.114,-112.442,0,"Yes_Man_",-45.878,-104.579,100,264.139,-40.099,-83.266,268.273,8,"Yes_Man_",-52.16,-100.341,1,0,,,,,69,2
4,1,1,0,0,0,0,0,1,0,0,1,255,255,3,291.551,"Penguin_iDOL",R,27,84,137,-1.193,0.792,0.084,1.848,-0.541,1.964,-36.493,29.203,80,17,3,2,0,15.52,-136.273,19.527,0,0,1,1,6,L,"HOGGYS 호기스",185.3,95,0.5,3,40,W,Y,292.656,66,33,82,6,0,72,66,107.772,16.072,-0.78,0,0.328,469.777,-165.221,55.695,-0.209,-37.087,0,"Retona",-0.267,-17.798,0,"Pring__",-18.013,-43.115,0,"Rite_",-13.217,-63.465,0,"_Gosomi",22.167,-49.047,0,"Yaksok~",10.304,-58.344,0,"magimari",43.167,-90.264,0,"아침땅_",3.42,-111.682,0,"Yes_Man_",-47.109,-94.96,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
5,1,1,0,0,0,1,0,1,0,0,1,255,255,4,311.625,"Penguin_iDOL",R,27,80,131,0.201,0.65,0.214,1.865,0.063,2.023,-36.493,34.297,64,30,6,2,0,37.73,-101.883,17.359,0,0,1,1,6,L,"HOGGYS 호기스",185.3,95,0.5,3,40,W,Y,312.706,206,100,60,96,48,138,102,28.909,16.397,0.05,0,0.374,-90.88,44.59,-33.2,-0.122,-37.179,0,"Retona",-0.013,-17.823,0,"Pring__",-17.319,-42.691,0,"Rite_",-13.219,-63.068,71,"_Gosomi",21.656,-48.383,0,"Yaksok~",11.652,-60.58,0,"magimari",44.427,-90.224,0,"아침땅_",3.709,-112.857,100,"Yes_Man_",-47.351,-96.891,0,316.472,-24.207,-100.624,320.486,7,"아침땅_",-32.446,-127.993,1,0,,319.259,324.381,,265,2
6,1,1,0,0,0,0,0,0,1,1,255,6,1,5,344.359,"Penguin_iDOL",R,14,85,109,-1.969,0.252,-0.243,2.159,-1.491,2.079,-36.493,40.922,88,12,0,1,0,407.151,284.908,18.846,0,0,0,2,2,R,"레이나2",180.3,85.118,0.403,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.506,0,"Retona",-0.116,-17.923,0,"Pring__",-22.28,-47.596,0,"Rite_",-16.14,-62.911,0,"_Gosomi",19.4,-49.197,0,"Yaksok~",5.595,-57.024,0,"magimari",42.726,-88.911,0,"아침땅_",-5.624,-110.866,0,"Yes_Man_",-45.529,-97.214,0,0,0,0,0,0,"",0,0,0,0,344.832,346.97,,,0,0
7,1,1,0,0,1,0,0,0,1,1,255,6,1,6,357.972,"Penguin_iDOL",R,14,88,111,-0.875,-1.134,-0.145,1.823,-1.07,1.355,-36.493,18.136,91,9,0,1,0,384.113,320.09,21.172,-1.204,-18.145,0,2,2,R,"레이나2",180.3,85.118,0.403,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.837,0,"Retona",-0.203,-17.999,0,"Pring__",-20.949,-47.095,0,"Rite_",-15.406,-63.125,0,"_Gosomi",17.428,-49.539,0,"Yaksok~",6.042,-56.599,0,"magimari",42.763,-88.951,0,"아침땅_",-6.789,-112.419,0,"Yes_Man_",-48.116,-98.812,0,0,0,0,0,0,"",0,0,0,0,364.779,359.999,359.892,,0,0
8,1,1,0,0,2,0,0,0,1,1,255,6,1,7,384.383,"Penguin_iDOL",R,26,92,140,-0.426,-1.048,0.149,1.701,-0.239,0.79,-36.493,18.42,78,19,3,1,0,37.824,-199.362,32.95,0,0,0,2,2,R,"레이나2",180.3,85.118,0.403,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.819,0,"Retona",-0.057,-17.657,0,"Pring__",-20.919,-46.441,0,"Rite_",-17.058,-60.985,0,"_Gosomi",17.985,-47.623,0,"Yaksok~",2.792,-60.408,0,"magimari",43.491,-88.03,0,"아침땅_",-3.718,-113.525,0,"Yes_Man_",-48.587,-100.986,0,0,0,0,0,0,"",0,0,0,0,384.766,386.526,386.323,,0,0
9,1,1,0,0,3,0,0,0,1,1,255,6,1,8,402.65,"Penguin_iDOL",R,14,95,126,0.09,-0.842,0.097,1.907,-0.479,1.494,-36.493,26.473,82,15,3,0,0,341.263,365.431,28.832,0,0,0,2,2,R,"레이나2",180.3,85.118,0.403,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,-37.562,0,"Retona",-0.029,-17.769,0,"Pring__",-20.945,-46.26,0,"Rite_",-16.177,-60.64,0,"_Gosomi",18.566,-50.253,0,"Yaksok~",4.321,-59.694,0,"magimari",43.488,-88.031,0,"아침땅_",-4.485,-111.818,0,"Yes_Man_",-49.365,-99.152,0,0,0,0,0,0,"",0,0,0,0,402.926,404.896,,,0,0
10,1,1,0,0,3,1,0,0,1,1,255,6,1,9,418.727,"Penguin_iDOL",R,27,89,140,-0.175,-0.443,0.179,1.821,-0.098,1.2,-36.493,24.962,85,15,0,2,0,11.817,-143.691,20.578,0,0,1,2,2,R,"레이나2",180.3,85.118,0.403,3,39,W,Y,419.503,92,123,114,65,24,134,88,-63.468,-48.996,-0.41,0,0.108,380.214,230.692,-402.763,0.082,-37.427,0,"Retona",0.021,-17.981,0,"Pring__",-20.55,-46.066,0,"Rite_",-16.489,-60.495,0,"_Gosomi",19.646,-51.373,0,"Yaksok~",6.645,-58.681,0,"magimari",42.976,-89.189,0,"아침땅_",-4.144,-111.841,0,"Yes_Man_",-49.306,-99.288,0,418.686,0.387,-20.573,0,0,"",0,0,0,0,,423.151,427.93,,1,0
