id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,268.747,"mungjungh",R,32,78,128,0.958,0.224,0.824,1.45,0.139,1.627,-36.51,48.924,4,96,0,0,0,195.404,-137.192,3.349,0,0,1,0,2,L,"encounter v",190,83,0.45,0,45,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.327,0,"Kr_Luna",0.016,-17.482,0,"SUGUN",-19.776,-45.768,0,"ddil_ddil69",-11.441,-63.85,0,"Yes_Man_",23.968,-51.527,0,"TaeGeuk_",15.832,-60.366,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,269.805,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,281.279,"mungjungh",R,32,69,121,-1.712,-0.448,0.562,1.348,-1.105,1.336,-36.51,32.233,4,96,0,2,0,210.265,3.545,-19.276,0,0,1,0,2,L,"encounter v",190,83,0.45,5,45,W,Y,282.295,223,237,136,133,64,145,105,35.847,48.206,-0.1,0,0.597,23.498,-491.579,-343.218,0.343,-37.044,0,"Kr_Luna",0.016,-17.484,0,"SUGUN",-19.585,-45.735,0,"ddil_ddil69",-13.116,-65.089,0,"Yes_Man_",24.976,-52.553,0,"TaeGeuk_",16.323,-60.926,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,287.714,-56.915,-87.18,0,0,"",0,0,0,0,,,,,2,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,312.877,"mungjungh",R,13,72,111,-4.09,-0.704,0.523,1.447,-1.287,1.658,-36.51,23.149,0,100,0,1,0,-328.32,377.102,19.219,0,0,0,1,5,R,"CoalCat",174.9,83,0.397,0,70,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,-37.58,0,"Kr_Luna",-0.001,-17.597,0,"SUGUN",-19.423,-45.799,0,"ddil_ddil69",-14.955,-63.932,0,"Yes_Man_",25.171,-52.622,0,"TaeGeuk_",11.864,-62.427,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,314.122,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,322.886,"mungjungh",R,13,73,112,-2.633,-1.311,0.682,1.363,-0.55,1.362,-36.51,35.982,0,100,0,2,0,-342.933,363.864,20.895,0,0,1,1,5,R,"CoalCat",174.9,83,0.397,3,70,W,Y,324.045,255,244,57,90,64,137,36,-31.04,38.583,0.7,0,0.66,413.629,-298.714,315.722,0.138,-37.052,0,"Kr_Luna",0,-17.614,0,"SUGUN",-19.465,-45.681,85,"ddil_ddil69",-15.05,-64.003,0,"Yes_Man_",25.122,-52.672,0,"TaeGeuk_",12.407,-61.614,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,324.047,-1.077,-21.589,329.43,2,"SUGUN",-14.047,-32.298,0,0,,,,,3,2
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,340.574,"mungjungh",R,6,36,86,0.836,0.311,0.669,1.493,-0.608,1.822,-36.51,37.947,0,100,0,2,0,387.924,0,4.989,0,0,1,1,5,R,"CoalCat",174.9,83,0.397,3,69,W,Y,342.181,185,175,79,76,68,145,104,25.279,12.536,0.9,0,0.572,-109.535,-11.446,589.806,0.402,-37.204,0,"Kr_Luna",0.012,-17.604,0,"SUGUN",-19.344,-45.775,0,"ddil_ddil69",-12.392,-57.251,0,"Yes_Man_",25.042,-52.151,0,"TaeGeuk_",12.194,-60.321,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.803,-90.553,0,346.647,-20.671,-107.495,350.355,7,"AI",-25.748,-130.436,1,0,,351.739,,,2,2
6,1,1,0,0,0,0,1,0,1,0,255,5,255,5,390.666,"mungjungh",R,3,70,114,0.75,1.072,0.963,1.631,0.793,2.346,-36.51,64.783,0,100,0,2,0,-331.592,48.164,3.986,0,0,1,2,4,L,"눈꽃",190,85,0.605,3,68,W,Y,391.98,255,51,71,68,21,144,115,112.175,-21.086,0.15,0,0.29,283.973,525.921,-52.6,0.524,-36.876,0,"Kr_Luna",0.059,-17.617,0,"SUGUN",-19.605,-45.08,0,"ddil_ddil69",-7.43,-61.928,0,"Yes_Man_",22.165,-47.731,0,"TaeGeuk_",9.51,-63.177,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,395.895,,,2,3
7,1,1,0,0,0,1,1,0,1,0,255,5,255,6,405.21,"mungjungh",R,32,79,129,0.46,0.277,0.781,1.448,-0.088,1.662,-36.51,37.365,3,97,0,2,0,177.182,-137.555,14.225,0,0,1,2,4,L,"눈꽃",190,85,0.605,3,67,W,Y,406.191,227,108,92,63,31,145,112,102.129,70.419,0.1,0,0.326,527.872,195.843,-207.358,0.62,-36.988,0,"Kr_Luna",0.019,-17.478,0,"SUGUN",-19.448,-45.435,0,"ddil_ddil69",-7.084,-61.468,0,"Yes_Man_",22.287,-48.289,0,"TaeGeuk_",11.981,-62.118,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,409.62,,,2,3
8,1,1,0,0,0,2,1,0,1,0,255,5,255,7,418.72,"mungjungh",R,13,76,114,-0.722,-0.708,0.846,1.447,0.212,1.657,-36.51,44.916,3,97,0,2,0,-314.263,388.895,17.823,0,0,1,2,4,L,"눈꽃",190,85,0.605,3,67,W,Y,419.858,255,99,96,88,29,145,97,32.884,29.027,-0.47,0,0.382,-312.268,-505.957,80.599,0.461,-36.994,0,"Kr_Luna",0.022,-17.49,0,"SUGUN",-19.417,-45.346,0,"ddil_ddil69",-6.86,-61.98,0,"Yes_Man_",21.255,-47.295,0,"TaeGeuk_",14.667,-62.629,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,424.23,-29.642,-93.197,428.339,5,"TaeGeuk_",-1.46,-60.764,0,0,,424.399,438.398,,6,1
9,1,1,0,0,0,0,2,0,0,1,255,255,5,8,453.599,"mungjungh",R,3,97,129,-3.22,-0.794,0.584,1.281,-1.004,1.119,-36.51,7.807,6,94,0,1,0,-382.319,0,30.022,0,0,0,3,1,R,"하랑님_",190,87.91,0.221,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,-37.731,0,"Kr_Luna",-0.036,-17.737,0,"SUGUN",-19.494,-45.423,0,"ddil_ddil69",-14.775,-64.439,0,"Yes_Man_",19.493,-44.91,0,"TaeGeuk_",9.419,-60.061,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,454.639,,,,0,0
10,1,1,0,0,1,0,2,0,0,1,255,255,5,9,464.157,"mungjungh",R,3,91,127,-2.042,-0.017,0.754,1.436,-0.213,1.622,-36.51,29.318,6,94,0,1,0,-458.646,16.621,11.593,0,0,0,3,1,R,"하랑님_",190,87.91,0.221,0,66,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-38.305,0,"Kr_Luna",-0.008,-17.737,0,"SUGUN",-19.582,-45.491,0,"ddil_ddil69",-13.656,-64.734,0,"Yes_Man_",19.475,-44.903,0,"TaeGeuk_",9.522,-61.361,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,465.23,,,,0,0
