id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,211.805,"인생최패망자",R,32,90,140,-1.129,0.504,0.651,1.548,-0.695,1.825,-36.743,34.51,0,100,0,0,0,150.133,-79.851,13.128,0,0,0,0,8,R,"Po_cari",175.6,85,0.45,0,75,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197,-37.248,0,"_Chun",0.028,-17.115,0,"Yes_Man_",-21.297,-47.254,0,"_송글_",-15.132,-63.953,0,"_Gosomi",20.97,-51.149,0,"CoalCat",8.796,-65.306,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,212.844,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,222.098,"인생최패망자",R,33,79,129,2.517,0.509,0.986,1.557,0.864,1.856,-36.743,65.729,0,100,0,2,0,132.244,-41.949,4.827,0,0,1,0,8,R,"Po_cari",175.6,85,0.45,3,75,W,Y,222.948,182,95,33,29,0,106,104,28.509,-1.58,0.55,0,0.371,208.598,134.673,-138.908,0.392,-36.672,0,"_Chun",0.015,-17.038,0,"Yes_Man_",-21.518,-47.059,0,"_송글_",-15.151,-63.966,88,"_Gosomi",21.352,-50.628,0,"CoalCat",8.85,-65.247,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,227.794,1.007,-106.782,232.044,3,"_송글_",0.039,-61.261,0,0,,,,,18,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,247.748,"인생최패망자",R,3,74,103,-2.42,0.356,0.783,1.585,-0.363,1.846,-36.743,68.396,0,100,0,1,0,-401.745,0,6.177,0,0,0,1,1,R,"-yeoro-",182.6,95,0.521,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,-37.267,0,"_Chun",-0.004,-17.087,0,"Yes_Man_",-21.66,-47.657,0,"_송글_",-13.945,-64.567,0,"_Gosomi",22.463,-51.973,0,"CoalCat",7.22,-65.132,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,249.303,,,,0,0
4,1,1,0,0,1,0,1,0,0,0,255,255,255,3,259.188,"인생최패망자",R,32,92,140,-1.298,0.36,0.624,1.526,-0.82,1.745,-36.743,29.463,0,100,0,0,0,170.117,-90.901,16.297,0,0,0,1,1,R,"-yeoro-",182.6,95,0.521,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,-37.482,0,"_Chun",-0.085,-17.084,0,"Yes_Man_",-21.73,-47.702,0,"_송글_",-13.955,-64.532,0,"_Gosomi",22.435,-51.96,0,"CoalCat",6.668,-64.108,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,260.503,,,,0,0
5,1,1,0,0,1,1,1,0,0,0,255,255,255,4,273.358,"인생최패망자",R,28,87,140,-1.745,0.004,0.617,1.469,-0.852,1.554,-36.743,28.294,0,100,0,1,0,52.041,-65.714,12.48,0,0,0,1,1,R,"-yeoro-",182.6,95,0.521,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,-37.285,0,"_Chun",0.007,-16.991,0,"Yes_Man_",-21.858,-47.528,0,"_송글_",-13.966,-64.562,0,"_Gosomi",22.913,-52.803,0,"CoalCat",7.359,-64.092,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,274.661,,,,0,0
6,1,1,0,0,1,2,1,0,0,0,255,255,255,5,284.454,"인생최패망자",R,32,87,140,0.239,0.586,0.765,1.566,-0.162,1.878,-36.743,46.189,0,99,1,0,0,175.833,-94.041,4.226,0,0,0,1,1,R,"-yeoro-",182.6,95,0.521,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,-37.496,0,"_Chun",-0.008,-17.043,0,"Yes_Man_",-21.326,-47.031,0,"_송글_",-13.972,-64.503,0,"_Gosomi",23.496,-51.559,0,"CoalCat",7.374,-64.045,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,285.753,,,,0,0
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,302.738,"인생최패망자",R,3,80,118,-0.257,-0.105,0.919,1.47,0.555,1.549,-36.743,56.904,0,100,0,0,0,-465.406,0,8.802,0,0,0,2,3,R,"SUGUN",167.1,82.092,0.496,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038,-37.798,0,"_Chun",-0.023,-17.096,0,"Yes_Man_",-21.308,-47.068,0,"_송글_",-14.025,-64.54,0,"_Gosomi",21.075,-49.655,0,"CoalCat",8.494,-65.513,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,304.436,,,,0,0
8,1,1,0,0,0,1,2,0,0,0,255,255,255,7,316.41,"인생최패망자",R,32,90,140,-0.144,0.871,0.708,1.571,-0.426,1.918,-36.743,39.746,0,100,0,0,0,245.894,-167.509,14.462,0,0,1,2,3,R,"SUGUN",167.1,82.092,0.496,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,-37.602,0,"_Chun",-0.045,-17.112,0,"Yes_Man_",-21.279,-47.15,0,"_송글_",-14.026,-64.536,0,"_Gosomi",21.055,-49.65,0,"CoalCat",8.522,-65.536,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,317.686,,,,0,0
9,1,1,0,0,0,2,2,0,0,0,255,255,255,8,330.729,"인생최패망자",R,3,80,107,-2.458,-0.539,0.709,1.366,-0.283,1.329,-36.743,64.441,0,100,0,4,0,-412.656,0,6.826,0,0,1,2,3,R,"SUGUN",167.1,82.092,0.496,0,69,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.939,0,"_Chun",-0.043,-17.053,0,"Yes_Man_",-21.341,-47.095,0,"_송글_",-14.8,-64.015,0,"_Gosomi",19.838,-49.644,0,"CoalCat",8.505,-65.563,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,332.686,,,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,438.084,"Sabo_10",L,26,87,140,2.404,-0.074,-0.175,1.764,1.048,1.384,-36.536,35.434,82,18,0,2,0,4.114,-200,-25.062,0,0,1,0,4,R,"_Gosomi",190,80,0.303,3,66,W,Y,439.182,129,28,93,63,60,138,130,12.885,23.175,0.4,0,0.331,2.488,48.397,-3.758,0.224,-37.151,0,"-yeoro-",0.054,-17.821,0,"눈꽃",-20.447,-48.111,0,"SUGUN",-14.618,-62.584,0,"Retona",19.165,-44.996,0,"Kr_Luna",9.827,-61.546,86,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Po_cari",-38.122,-86.418,90,0,0,0,442.136,8,"Po_cari",-30.348,-89.488,0,0,,,,,73,1
