id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,bOutSec,r1OutSec,r2OutSec,r3OutSec,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PGetSec,CGetSec,1BGetSec,2BGetSec,3BGetSec,SSGetSec,LFGetSec,CFGetSec,RFGetSec,PThrSec,CThrSec,1BThrSec,2BThrSec,3BThrSec,SSThrSec,LFThrSec,CFThrSec,RFThrSec,result,cPlr,sb2Sec,sb3Sec,sbhSec,ass
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,263.727,"Ainy4／あいにゃ",R,3,78,104,0.28,-0.196,0.612,1.85,0.974,1.577,-36.897,46.19,92,8,0,2,0,-472.727,0,-15.595,0,0,1,0,7,R,"_송글_",174.9,91.844,0.315,3,38,W,Y,264.816,129,87,67,51,44,137,117,27.768,29.601,-0.047,0.984,-20.488,0.73,0,0.356,350.83,460.452,157.803,0.091,-37.412,0,"Yaksok~",-0.08,-17.266,0,"encounter v",-19.727,-45.391,0,"_Gosomi",-13.586,-61.071,0,"_이누_",20.321,-52.479,0,"Kr_Luna",11.124,-63.657,85,"MODECO",45.881,-95.857,0,"AI",0,-109.84,0,"kneesohime",-41.652,-105.45,96,269.177,-60.982,-103.054,270.297,8,-61.304,0.687,-104.911,1,0,,270.16,274.64,,,,,,,,,,,,,,,,,,,,,,,,279.123,,,,,275.417,,,270.297,,,,,,277.963,,,271.497,2,"kneesohime",274.64,,,162
2,1,1,0,0,0,0,0,0,1,0,255,7,255,1,294.439,"Ainy4／あいにゃ",R,34,83,134,1.103,0.341,0.277,1.754,0.343,1.687,-36.897,23.567,52,41,7,0,0,98.953,-93.115,-1.908,0,0,0,1,3,R,"하랑님_",170,87.91,0.221,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,-38.021,0,"Yaksok~",0.055,-17.436,0,"encounter v",-18.998,-44.342,0,"_Gosomi",-14.161,-61.934,0,"_이누_",19.464,-48.96,0,"Kr_Luna",7.541,-60.544,0,"MODECO",42.178,-98.271,0,"AI",0,-109.84,0,"kneesohime",-46.265,-100.832,0,0,0,0,0,0,0,0,0,0,0,295.23,,,,,,,,,,,,294.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",296.501,,,0
3,1,1,0,0,0,1,0,0,1,0,255,7,255,2,310.526,"Ainy4／あいにゃ",R,14,73,100,1.613,0.039,0.177,1.961,-0.082,2.173,-36.897,24.929,95,5,0,2,0,354.94,312.348,22.201,0,0,1,1,3,R,"하랑님_",170,87.91,0.221,3,38,W,Y,311.61,255,195,129,135,95,145,126,1.372,-15.104,0.427,1.062,-21.864,0.51,0,0.372,-280.028,445.708,-287.974,0.139,-37.33,0,"Yaksok~",-0.038,-17.529,0,"encounter v",-18.913,-44.223,64,"_Gosomi",-15.09,-61.192,0,"_이누_",20.226,-49.207,0,"Kr_Luna",5.913,-63.893,99,"MODECO",41.011,-97.364,0,"AI",0,-109.84,0,"kneesohime",-46.773,-104.347,0,311.71,6.304,-45.768,312.737,5,10.27,0.061,-61.383,0,0,,316.656,,,,,,,,,,,338.634,,,,,,,,,,,,,,320.857,,315.443,,,312.737,,,,,,319.777,,,313.95,,,,2,"Kr_Luna",314.581,,,131
4,1,1,0,0,0,0,1,0,1,0,255,7,255,3,339.049,"Ainy4／あいにゃ",R,3,74,102,-1.684,0.226,0.201,1.797,-0.008,1.765,-36.897,33.896,57,43,0,4,0,-421.518,0,-26.045,0,0,1,2,1,R,"인생최패망자",190,80,0.296,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-37.928,0,"Yaksok~",-0.462,-19.302,0,"encounter v",-19.436,-45.094,0,"_Gosomi",-11.302,-60.005,0,"_이누_",20.402,-48.54,0,"Kr_Luna",5.198,-61.254,0,"MODECO",53.165,-107.485,0,"AI",0,-109.84,0,"kneesohime",-51.846,-105.837,0,0,0,0,0,0,0,0,0,0,0,340.057,,,,,,,,,,,,356.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",341.534,,,0
5,1,1,0,0,0,1,1,0,1,0,255,7,255,4,356.336,"Ainy4／あいにゃ",R,26,73,124,2.872,1.345,0.393,2.072,1.502,2.237,-36.897,51.205,84,16,0,2,0,-160.207,-200,-10.995,0,0,1,2,1,R,"인생최패망자",190,80,0.296,3,37,W,Y,357.433,255,58,191,97,56,145,87,-30,-14.47,0.533,1.577,-21.179,1,0,0.452,-227.294,79.159,-549.61,0.163,-37.6,92,"Yaksok~",-0.091,-17.451,0,"encounter v",-19.23,-44.859,62,"_Gosomi",-13.429,-58.958,0,"_이누_",20.389,-49.23,0,"Kr_Luna",12.034,-61.762,0,"MODECO",53.24,-107.58,0,"AI",0,-109.84,0,"kneesohime",-51.904,-105.908,0,356.923,1.218,-23.87,358.057,0,2.013,1.439,-36.49,0,0,,,,,,,,,,,,,361.85,,,,,,,,,,,,,,358.057,,360.883,,,,,,,359.723,,364.19,,,,,,,2,"Ainy4／あいにゃ",360.421,,,3
6,1,1,0,0,0,0,2,0,1,0,255,7,255,5,385.929,"Ainy4／あいにゃ",R,29,82,134,1.176,1.127,0.367,1.89,0.764,2.124,-36.897,37.718,95,5,0,1,0,-201.986,-200,-0.896,0,0,0,3,4,R,"하루（Haru）",190,90,0.397,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-37.801,0,"Yaksok~",0.067,-17.461,0,"encounter v",-19.749,-45.435,0,"_Gosomi",-13.901,-61.662,0,"_이누_",19.936,-48.045,0,"Kr_Luna",10.614,-63.104,0,"MODECO",49.804,-111.331,0,"AI",0,-109.84,0,"kneesohime",-53.559,-106.69,0,0,0,0,0,0,0,0,0,0,0,386.723,,,,,,,,,,,,405.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",388.879,,,0
7,1,1,0,0,0,1,2,0,1,0,255,7,255,6,406.272,"Ainy4／あいにゃ",R,4,82,114,-0.866,-0.136,0.195,1.686,-0.026,1.526,-36.897,23.689,48,52,0,0,0,-195.281,0,-16.148,0,0,0,3,4,R,"하루（Haru）",190,90,0.397,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054,-37.789,0,"Yaksok~",-0.228,-17.38,0,"encounter v",-19.78,-45.433,0,"_Gosomi",-14.716,-62.297,0,"_이누_",20.438,-47.62,0,"Kr_Luna",7.329,-62.544,0,"MODECO",49.82,-111.4,0,"AI",0,-109.84,0,"kneesohime",-53.578,-106.709,0,0,0,0,0,0,0,0,0,0,0,407.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",409.195,,,0
8,1,1,0,0,0,2,2,0,1,0,255,7,255,7,425.232,"Ainy4／あいにゃ",R,32,78,128,1.4,0.451,0.248,1.801,0.21,1.834,-36.897,33.457,87,10,4,2,0,250,-51.983,-21.833,0,0,1,3,4,R,"하루（Haru）",190,90,0.397,3,37,W,Y,426.373,175,110,91,64,43,145,87,22.801,-5.806,0.291,1.283,-20.41,-1,0,0.288,401.289,266.417,357.756,0.066,-37.386,0,"Yaksok~",-0.367,-17.488,0,"encounter v",-19.684,-45.357,0,"_Gosomi",-14.197,-61.396,0,"_이누_",20.099,-50.478,0,"Kr_Luna",11.473,-61.916,0,"MODECO",47.892,-112.828,0,"AI",0,-109.84,0,"kneesohime",-53.786,-105.875,0,430.483,2.974,-95.283,0,0,0,0,0,0,0,473.323,,,,,,,,430.917,,,,425.482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"",,430.917,,325
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,547.886,"うよすま",R,3,78,104,0.546,-0.196,0.571,1.17,0.921,1.523,-36.785,45.401,27,73,0,2,0,-472.727,0,-38.547,0,0,1,0,1,R,"Yaksok~",190,80,0.328,3,65,W,Y,548.834,255,112,112,118,91,145,108,-30,43.575,0.159,0.987,-21.112,0.03,0,0.181,-87.561,311.015,-505.572,-0.209,-37.868,0,"인생최패망자",-0.015,-17.685,0,"Pring__",-20.423,-46.056,86,"하랑님_",-16.668,-62.269,0,"하루（Haru）",19.06,-50.227,0,"CoalCat",8.715,-64.973,0,"펜케이크",47.94,-103.848,0,"_송글_",-0.891,-110.024,0,"Megarafa",-50.759,-97.592,0,548.19,-1.36,-22.699,549.537,2,-19.145,1.255,-41.175,0,0,,,,,,,,,,,,,,,,,,,550.802,2,,,,,,,552.603,,549.537,,,,,,,,,551.563,,,,,,,2,"Pring__",,,,288
10,1,0,0,0,0,0,1,0,0,0,255,255,255,1,566.589,"うよすま",R,17,59,99,-1.963,-0.505,0.078,1.105,-0.857,1.243,-36.785,40.402,0,100,0,2,0,0,-73.192,0.302,0,0,1,1,8,R,"kneesohime",190,85,0.497,3,35,W,Y,567.922,255,155,189,108,72,145,87,39.669,35.98,-0.362,0.832,-20.476,-1,0,0.446,208.044,-537.325,167.33,-0.234,-38.097,0,"인생최패망자",-0.153,-17.645,0,"Pring__",-21.073,-46.833,0,"하랑님_",-17.057,-61.829,0,"하루（Haru）",19.203,-49.788,0,"CoalCat",9.079,-65.227,85,"펜케이크",45.389,-102.366,0,"_송글_",-0.954,-107.877,0,"Megarafa",-49.729,-90.551,86,571.923,-34.237,-79.642,576.497,8,-42.775,0.059,-98.068,1,0,,573.912,580.777,,,,,,,,,,,,,,,,,,,,,,,,584.843,,,,,581.11,,,576.497,,,,,,583.59,,,578.377,2,"Megarafa",580.777,,,336
