id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,bOutSec,r1OutSec,r2OutSec,r3OutSec,bOutCode,r1OutCode,r2OutCode,r3OutCode,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,cPlr,sb2Sec,sb3Sec,sbhSec,ass
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,469.331,"まととまと",R,38,49,92,24.567,0.516,0.216,2.04,-0.334,1.553,-36.394,62.468,93,7,0,2,0,7.454,-47.87,1.836,0,0,1,0,2,R,"시즈카_Shizuka",190,84.746,0.5,3,55,W,Y,470.657,208,84,82,76,49,145,101,3.051,-3.205,-0.283,0.983,-20.195,-0.3,0,0.363,52.49,570.694,-177.633,-0.628,-37.335,0,"눈꽃",-0.108,-17.925,0,"_송글_",-22.25,-47.585,0,"Ѕeyeon",-14.668,-66.983,0,"하루（Haru）",19.71,-49.975,0,"muyang_",13.846,-64.744,0,"AI",40.9,-90.65,0,"うよすま",-7.906,-121.625,0,"AI",-40.8,-90.55,0,471.567,0.154,-48.966,475.05,6,27.678,0.06,-74.917,1,0,,478.185,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"AI",,,,0
2,1,1,0,0,0,0,0,1,0,0,2,255,255,1,509.892,"まととまと",R,10,81,121,-1.433,-1.652,0.066,1.875,-0.626,1.039,-36.394,27.151,89,11,0,4,0,0,400,10.22,0,0,1,1,3,R,"Yes_Man_",175.3,85.072,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.605,-37.08,0,"눈꽃",-0.061,-17.867,0,"_송글_",-20.778,-45.536,0,"Ѕeyeon",-11.601,-60.54,0,"하루（Haru）",18.969,-50.24,0,"muyang_",9.22,-60.921,0,"AI",40.9,-90.65,0,"うよすま",-5.605,-112.079,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,521.84,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
3,1,1,0,0,0,1,0,1,0,0,2,255,255,2,525.637,"まととまと",R,13,71,99,-2.364,-1.607,0.168,1.89,-0.345,1.217,-36.394,50.688,91,9,0,4,0,-331.812,337.75,-11.359,0,0,1,1,3,R,"Yes_Man_",175.3,85.072,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034,-37.241,0,"눈꽃",-0.104,-18.01,0,"_송글_",-20.117,-44.959,0,"Ѕeyeon",-10.543,-58.463,0,"하루（Haru）",19.038,-50.253,0,"muyang_",7.463,-61.375,0,"AI",40.9,-90.65,0,"うよすま",-5.366,-113.385,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,535.118,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
4,1,1,0,0,0,2,0,1,0,0,2,255,255,3,544.306,"まととまと",R,3,73,106,-2.173,-0.571,0.129,1.912,-0.477,1.271,-36.394,46.046,92,8,0,1,0,-250.675,0,-4.755,0,0,0,1,3,R,"Yes_Man_",175.3,85.072,0.5,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127,-37.206,0,"눈꽃",-0.049,-18.04,0,"_송글_",-18.89,-41.423,0,"Ѕeyeon",-11.483,-59.429,0,"하루（Haru）",19.034,-50.249,0,"muyang_",10.109,-60.869,0,"AI",40.9,-90.65,0,"うよすま",-7.163,-113.288,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,556.406,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
5,1,1,0,0,1,2,0,1,0,0,2,255,255,4,559.551,"まととまと",R,26,92,140,1.293,-0.173,0.312,1.95,0.519,1.302,-36.394,41.374,90,10,0,2,0,26.164,-200,8.765,0,0,1,1,3,R,"Yes_Man_",175.3,85.072,0.5,3,55,W,Y,560.626,132,55,75,42,0,137,127,-30,27.834,0.192,0.687,-18.881,0.58,0,0.345,-515.702,306.35,-14.17,-0.417,-36.892,0,"눈꽃",-0.007,-18.131,0,"_송글_",-19.911,-44.796,0,"Ѕeyeon",-11.375,-59.385,0,"하루（Haru）",19.047,-50.269,0,"muyang_",9.284,-61.383,0,"AI",40.9,-90.65,0,"うよすま",-5.437,-114.574,0,"AI",-40.8,-90.55,0,560.384,-0.46,-20.109,561.95,2,-16.695,2.474,-42.165,0,0,,,,,,,,,,,,561.603,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"_송글_",,,,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,585.421,"まととまと",R,6,78,107,-0.756,0.122,-0.091,2.013,-0.904,1.654,-36.394,40.701,87,13,0,2,0,364.678,0,9.541,0,0,0,2,5,L,"Pugeuk",160,86,0.36,3,55,W,Y,586.672,51,16,23,31,15,32,34,111.721,57.639,-0.123,0.938,-20.583,0.51,0,0.479,-371.662,470.417,-23.976,-0.067,-36.893,0,"눈꽃",0.202,-19.881,0,"_송글_",-22.413,-48.766,0,"Ѕeyeon",-12.86,-64.282,0,"하루（Haru）",20.587,-46.776,0,"muyang_",14.339,-63.935,0,"AI",40.9,-90.65,0,"うよすま",4.412,-105.992,0,"AI",-40.8,-90.55,0,589.934,13.346,-13.153,0,0,0,0,0,0,0,,591.23,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"",,,,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,609.096,"まととまと",R,6,78,106,-0.987,0.403,-0.162,2.06,-1.212,1.803,-36.394,38.552,85,15,0,0,0,416.108,0,21.319,0,0,0,2,5,L,"Pugeuk",160,86,0.36,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053,-37.277,0,"눈꽃",1.158,-20.091,0,"_송글_",-21.739,-47.982,0,"Ѕeyeon",-12.629,-63.621,0,"하루（Haru）",19.932,-44.749,0,"muyang_",13.809,-64.656,0,"AI",40.9,-90.65,0,"うよすま",4.923,-102.346,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,610.935,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
8,1,1,0,0,0,2,2,0,0,0,255,255,255,7,627.025,"まととまと",R,10,76,116,1.008,-1.505,0.352,2,0.429,1.343,-36.394,48.155,88,12,0,2,0,0,400,0.808,0,0,1,2,5,L,"Pugeuk",160,86,0.36,3,55,W,Y,628.192,255,85,46,72,27,135,117,90.263,89.511,0.357,0.545,-20.535,0.64,0,0.463,508.293,-28.751,-317.508,-0.118,-36.658,0,"눈꽃",-0.011,-18.134,0,"_송글_",-21.422,-46.346,0,"Ѕeyeon",-12.642,-64.01,0,"하루（Haru）",21.127,-46.524,0,"muyang_",14.306,-64.296,0,"AI",40.9,-90.65,0,"うよすま",4.001,-102.451,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"",,,,0
9,1,1,0,0,0,2,2,0,0,0,255,255,255,8,644.135,"まととまと",R,26,81,131,0.584,0.654,0.246,2.082,0.363,1.73,-36.394,51.352,89,11,0,0,0,-81.141,-171.658,-10.693,0,0,0,2,5,L,"Pugeuk",160,86,0.36,0,55,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054,-36.988,0,"눈꽃",-0.089,-17.971,0,"_송글_",-21.959,-46.549,0,"Ѕeyeon",-12.241,-63.007,0,"하루（Haru）",21.09,-46.483,0,"muyang_",14.215,-64.335,0,"AI",40.9,-90.65,0,"うよすま",3.643,-111.846,0,"AI",-40.8,-90.55,0,0,0,0,801.9,0,0.15,1.145,-38.227,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"ddil_ddil69",,,,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,809.95,"ddil_ddil69",R,26,71,123,-1.089,1.526,0.145,2.27,-0.411,2.345,-36.693,43.049,100,0,0,1,0,-42.564,-200,10.526,0,0,0,0,4,L,"하루（Haru）",190,95,0.4,0,54,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,-38.065,0,"Kr_Luna",0.036,-17.439,0,"시즈카_Shizuka",-19.069,-44.193,0,"Yes_Man_",-12.547,-59.593,0,"Penguin_iDOL",22.583,-50.062,0,"Pugeuk",16.241,-59.947,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
