id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,198.349,"encounter v",R,26,88,140,0.19,1.052,0.567,2.354,-0.154,2.017,-36.681,63.62,74,26,0,0,0,182.895,-200,-15.103,0,0,1,0,6,R,"うよすま",175.4,85,0.496,0,41,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,-37.567,0,"kneesohime",-0.013,-17.664,0,"P0TA0",-20.501,-45.429,0,"わだ、、",-15.62,-60.799,0,"Penguin_iDOL",21.078,-47.969,0,"TaeGeuk_",18.8,-59.124,0,"「론구」",36.23,-92.726,0,"Yaksok~",-1.869,-102.205,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,198.629,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,239.765,"encounter v",R,13,86,125,-1.307,-0.471,0.602,2.263,0.011,1.699,-36.681,60.29,72,28,0,0,0,-375.266,330.417,0,0,0,1,0,6,R,"うよすま",175.4,85,0.496,0,40,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,-37.504,0,"kneesohime",-0.186,-17.628,0,"P0TA0",-20.633,-45.365,0,"わだ、、",-16.369,-62.209,0,"Penguin_iDOL",20.821,-48.444,0,"TaeGeuk_",12.156,-61.838,0,"「론구」",36.74,-92.101,0,"Yaksok~",-0.715,-103.693,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,240.189,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,256.757,"encounter v",R,32,85,138,1.295,1.9,0.651,2.289,0.238,2.491,-36.681,74.689,68,32,0,2,0,219.539,-200,0,0,0,1,0,6,R,"うよすま",175.4,85,0.496,3,40,W,Y,257.792,123,69,47,22,0,99,95,36.681,26.701,0.64,0,0.211,-32.43,297.734,-519.906,0.381,-37.202,0,"kneesohime",-0.04,-17.619,0,"P0TA0",-20.564,-45.355,0,"わだ、、",-14.762,-63.065,88,"Penguin_iDOL",20.619,-48.439,0,"TaeGeuk_",14.566,-59.157,0,"「론구」",36.848,-92.18,0,"Yaksok~",-0.399,-104.292,0,"AI",-40.8,-90.55,0,261.909,-37.144,-86.883,265.589,3,"わだ、、",-9.049,-65.795,0,0,,,,,160,1
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,283.015,"encounter v",R,13,86,125,-1.553,1.302,0.56,2.358,-0.188,2.699,-36.681,66.922,83,17,0,1,0,-367.791,338.718,0,0,0,0,1,3,L,"ゆっち一",180.9,83.623,0.399,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366,-37.603,0,"kneesohime",-0.128,-17.521,0,"P0TA0",-20.216,-45.215,0,"わだ、、",-13.258,-64.023,0,"Penguin_iDOL",21.17,-50.368,0,"TaeGeuk_",12.222,-61.358,0,"「론구」",45.675,-98.851,0,"Yaksok~",0.198,-105.311,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,283.429,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,297.135,"encounter v",R,32,89,140,-1.386,-0.264,0.477,2.159,-0.571,1.343,-36.681,49.475,73,27,0,2,0,216.54,-200,0,0,0,1,1,3,L,"ゆっち一",180.9,83.623,0.399,3,38,W,Y,298.193,255,113,117,93,43,145,95,39.887,-25.438,-0.44,0,0.255,232.535,-52.041,-215.616,0.419,-37.193,0,"kneesohime",-0.279,-17.607,0,"P0TA0",-20.181,-45.224,0,"わだ、、",-13.387,-64.364,0,"Penguin_iDOL",21.307,-50.345,0,"TaeGeuk_",16.255,-61.298,0,"「론구」",45.612,-98.79,0,"Yaksok~",1.344,-105.25,0,"AI",-40.8,-90.55,0,302.296,34.332,-86.181,302.483,6,"「론구」",33.228,-84.003,0,0,,,,,44,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,322.125,"encounter v",R,32,90,140,0.446,1.052,0.574,2.358,-0.123,2.033,-36.681,60.815,63,37,0,0,0,249.604,-200,0,0,0,1,2,7,R,"ByeolBam",175.4,90,0.5,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323,-37.509,0,"kneesohime",-0.081,-17.603,0,"P0TA0",-20.067,-45.047,0,"わだ、、",-15.082,-62.629,0,"Penguin_iDOL",20.241,-47.425,0,"TaeGeuk_",11.072,-58.112,0,"「론구」",36.501,-91.592,0,"Yaksok~",-3.056,-105.62,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,322.349,,,,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,336.436,"encounter v",R,32,83,135,1.987,-0.387,0.704,2.124,0.485,1.212,-36.681,87.03,63,37,0,1,0,249.442,-140.382,0,0,0,0,2,7,R,"ByeolBam",175.4,90,0.5,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,-37.304,0,"kneesohime",0.011,-17.613,0,"P0TA0",-20.174,-44.928,0,"わだ、、",-14.916,-62.625,0,"Penguin_iDOL",20.094,-47.811,0,"TaeGeuk_",11.605,-59.509,0,"「론구」",36.092,-93.768,0,"Yaksok~",-2.73,-106.065,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,336.923,,,,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,352.267,"encounter v",R,32,85,137,-0.125,0.503,0.509,2.255,-0.424,1.672,-36.681,56.601,74,26,0,0,0,250,-200,0,0,0,1,2,7,R,"ByeolBam",175.4,90,0.5,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233,-37.339,0,"kneesohime",-0.117,-17.662,0,"P0TA0",-20.344,-44.584,0,"わだ、、",-15.077,-62.523,0,"Penguin_iDOL",20.209,-47.628,0,"TaeGeuk_",11.427,-58.915,0,"「론구」",36.092,-93.778,0,"Yaksok~",-2.358,-106.105,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,352.616,,,,0,0
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,367.211,"encounter v",R,32,96,140,0.632,2.084,0.582,2.392,-0.085,2.597,-36.681,69.734,66,34,0,4,0,248.649,-200,0,0,0,1,2,7,R,"ByeolBam",175.4,90,0.5,0,37,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,-37.429,0,"kneesohime",-0.003,-17.682,0,"P0TA0",-20.358,-44.886,0,"わだ、、",-14.724,-62.155,0,"Penguin_iDOL",20.397,-47.59,0,"TaeGeuk_",8.775,-59.568,0,"「론구」",36.013,-93.788,0,"Yaksok~",-2.744,-105.763,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,367.683,,,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,507.213,"눈꽃",R,27,101,140,-1.425,-1.682,-0.038,1.545,-0.696,0.505,-36.64,19.918,52,48,0,1,0,64.227,-132.489,0,0,0,0,0,7,R,"Yaksok~",173.3,80,0.332,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,-37.466,0,"HalF_HearteD",-0.136,-16.899,0,"Pring__",-21.535,-46.497,0,"ゆっち一",-14.973,-63.795,0,"Yes_Man_",20.983,-47.307,0,"_Gosomi",12.075,-63.08,0,"うよすま",41.262,-98.567,0,"ByeolBam",-1.86,-111.324,0,"소솨소솨",-45.032,-96.255,0,0,0,0,0,0,"",0,0,0,0,507.443,,,,0,0
