id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out3Sec,out3BatterIndex,out3PrevBase,out3Code,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,cPlr,sb2Sec,sb3Sec,sbhSec,ass
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,218.239,"_Chun",L,32,86,139,-1.599,-0.578,-0.804,0.897,-0.458,1.393,-36.794,59.482,7,11,82,1,0,-174.466,103.191,-4.209,0,0,0,5,L,"ddil_ddil69",175.8,89.974,0.401,0,57,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,-0.147,-37.294,0,"소솨소솨",-0.071,-17.171,0,"Azuner",-19.757,-47.078,0,"_앰프_",-9.216,-60.94,0,"Yes_Man_",22.014,-47.833,0,"ByeolBam",15.274,-63.457,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,234.196,"_Chun",L,9,77,117,-0.56,1.155,-0.688,1.056,0.058,1.85,-36.794,29.725,2,56,42,2,0,-160.608,-400,19.008,0,0,0,5,L,"ddil_ddil69",175.8,89.974,0.401,3,56,W,Y,1,235.408,255,93,76,94,92,145,92,25.078,-58.275,-0.118,1.325,-21.06,1,0,0.24,-76.511,566.658,-181.782,237.867,41.66,-52.53,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,-0.667,-37.178,0,"소솨소솨",-0.067,-17.231,0,"Azuner",-19.814,-47.245,0,"_앰프_",-9.219,-60.935,0,"Yes_Man_",22.208,-48.262,0,"ByeolBam",15.228,-63.314,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"",,,,0
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,253.667,"_Chun",L,3,89,126,4.998,1.127,-0.393,1.144,1.426,2.159,-36.794,14.216,3,53,44,4,0,475.847,-115.431,-11.243,0,0,0,5,L,"ddil_ddil69",175.8,89.974,0.401,0,55,W,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,-0.196,-37.243,0,"소솨소솨",0.457,-17.134,0,"Azuner",-19.276,-46.068,0,"_앰프_",-9.368,-63.694,0,"Yes_Man_",22.717,-48.145,0,"ByeolBam",15.252,-63.486,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,272.691,"_Chun",L,33,83,135,-0.423,0.473,-0.698,1.086,0.007,1.954,-36.794,34.366,0,15,85,2,0,-116.909,46.621,-6.467,0,0,0,5,L,"ddil_ddil69",175.8,89.974,0.401,3,51,W,Y,1,273.797,255,109,83,82,60,145,127,28.103,-38.396,-0.092,1.111,-20.864,0.42,0,0.162,-31.15,-284.105,-527.555,277.627,70.753,-97.313,279.801,6,65.26,0.054,-90.796,1,0,,279.101,283.433,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,-0.105,-37.405,0,"소솨소솨",-0.124,-17.299,0,"Azuner",-18.621,-46.899,0,"_앰프_",-9.496,-62.495,0,"Yes_Man_",22.85,-48.178,0,"ByeolBam",15.18,-63.423,91,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,287.644,-0.052,-37.932,,,,,,,,,,,,,284.311,11.588,-64.646,,,,,,,,,,,,,,,,,,,,,,,,,286.273,9.642,-61.444,,,,,,,,,,2,"AI",283.433,,,34
5,,1,1,0,0,0,0,0,0,1,0,255,5,255,4,305.181,"_Chun",L,2,80,118,2.176,0.607,-0.645,0.901,0.445,1.584,-36.794,50.283,2,14,84,1,0,345.978,-360.97,-4.534,0,0,1,3,R,"Megarafa",175.4,90,0.498,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,318.302,,,,312.69,,,,,0,,,,0,,,,0,,,,,,,,,0.064,-37.993,0,"소솨소솨",0.344,-17.719,0,"Azuner",-22.512,-47.823,0,"_앰프_",-12.186,-58.829,0,"Yes_Man_",19.434,-48.849,0,"ByeolBam",9.06,-62.75,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,323.106,5.042,-34.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"",310.534,318.302,,0
6,,1,1,0,0,1,0,0,0,0,1,255,255,5,5,337.045,"_Chun",L,33,82,134,0.745,-0.319,-0.654,0.935,0.524,1.528,-36.794,46.042,1,14,85,0,0,-121.573,73.487,-3.438,0,0,1,3,R,"Megarafa",175.4,90,0.498,0,53,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,339.846,,,,0,,,,0,,,,0,,,,,,,,,-0.061,-37.295,0,"소솨소솨",0.012,-17.136,0,"Azuner",-21.06,-45.936,0,"_앰프_",-12.273,-58.15,0,"Yes_Man_",19.807,-48.199,0,"ByeolBam",12.924,-64.721,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,341.829,0.173,-37.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,339.698,,0
7,,1,1,0,0,1,1,0,0,0,1,255,255,5,6,353.293,"_Chun",L,15,82,122,0.682,-0.517,-0.692,0.777,0.318,0.899,-36.794,51.846,6,8,86,0,0,0,-396.895,14.28,0,0,1,3,R,"Megarafa",175.4,90,0.498,0,53,W,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,359.262,,,,0,,,,0,,,,0,,,,,,,,,0.165,-37.983,0,"소솨소솨",0.114,-17.3,0,"Azuner",-21.251,-46.311,0,"_앰프_",-12.582,-59.25,0,"Yes_Man_",19.782,-48.3,0,"ByeolBam",12.231,-63.992,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,358.377,-0.164,-37.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,359.193,,0
8,,1,1,0,0,1,2,0,0,0,1,255,255,5,7,373.642,"_Chun",L,15,71,113,-1.536,1.086,-0.838,1.042,-0.644,1.8,-36.794,40.694,0,9,91,2,0,0,-400,15.769,0,0,1,3,R,"Megarafa",175.4,90,0.498,3,53,W,Y,1,374.914,176,140,68,103,52,140,98,59.158,-12.407,-0.279,1.293,-20.293,-0.03,0,0.229,459.604,-384.69,-27.896,381.147,18.071,-71.943,381.347,5,17.681,2.442,-71.026,0,1,385.906,380.518,,,,,,,,,386.892,,,382.268,,,,0,,,,0,,,,0,,,,,,,,,-0.328,-37.415,0,"소솨소솨",-0.127,-17.191,109,"Azuner",-21.252,-46.233,0,"_앰프_",-11.09,-56.381,0,"Yes_Man_",19.354,-47.396,0,"ByeolBam",12.216,-63.958,107,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,390.861,0.168,-37.663,385.906,0.223,-21.285,,,,,,,,,,381.77,17.674,-71.357,,,,,,,,,,,,,390.134,3.402,-25.462,,,,,,,,,,384.006,15.323,-61.136,,,,,,,,,,1,"ByeolBam",,379.315,386.892,38
9,,1,1,0,0,0,0,2,0,0,0,255,255,255,8,407.039,"_Chun",L,3,90,127,0.003,0.17,-0.823,1.026,-0.574,1.739,-36.794,38.743,3,9,87,2,0,436.61,0,-6.025,0,0,2,4,R,"하루（Haru）",190,95,0.397,3,50,W,Y,1,408.198,139,87,78,100,25,140,102,24.037,33.765,0.053,1.071,-19.516,-0.07,0.048,0.245,52.146,413.157,-431.952,412.734,-57.055,-92.073,412.867,8,-54.927,1.991,-89.842,0,0,,414.487,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,-0.788,-37.158,0,"소솨소솨",-0.147,-17.247,0,"Azuner",-23.587,-48.725,0,"_앰프_",-14.974,-63.699,0,"Yes_Man_",19.953,-48.814,0,"ByeolBam",13.069,-64.328,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"AI",,,,0
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,539.329,"NABIMan",R,17,58,111,2.189,1.61,0.581,1.283,0.935,2.569,-36.475,9.429,0,45,55,1,0,0.561,-80.319,-32.811,0,0,0,4,R,"Yes_Man_",190,85.251,0.499,0,47,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,,,,,,0.029,-37.785,0,"눈꽃",-0.059,-17.794,0,"Floră",-19.325,-45.624,0,"Megarafa",-12.938,-57.038,0,"하루（Haru）",19.687,-50.16,0,"ddil_ddil69",11.661,-64.458,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"",,,,0
