id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,312.269,"눈꽃",R,26,91,140,-0.628,-0.347,0.094,1.844,-0.344,1.236,-36.64,17.787,44,56,0,0,56.971,-161.242,6.155,0,0,0,5,R,"시즈카_Shizuka",175.4,85,0.497,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.108,-37.615,0,"Slaris",-0.086,-17.269,0,"ʚEveɞ",-20.597,-47.64,0,"Amellaid",-14.404,-62.296,0,"Yaksok~",17.842,-49.776,0,"Pugeuk",9.664,-63.232,0,"「론구」",36.351,-91.86,0,"AI",0,-109.84,0,"소솨소솨",-41.961,-91.038,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,333.572,"눈꽃",R,27,92,140,0.747,-1.111,0.21,1.893,0.286,0.829,-36.64,9.813,54,46,0,1,24.445,-115.874,8.401,0.189,-18.606,0,5,R,"시즈카_Shizuka",175.4,85,0.497,0,89,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.237,-37.666,0,"Slaris",0.087,-17.454,0,"ʚEveɞ",-20.536,-47.715,0,"Amellaid",-13.648,-62.66,0,"Yaksok~",17.852,-49.773,0,"Pugeuk",7.717,-63.53,0,"「론구」",36.359,-91.875,0,"AI",0,-109.84,0,"소솨소솨",-40.928,-89.417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,348.48,"눈꽃",R,27,84,137,0.441,0.124,0.186,1.858,0.163,1.55,-36.64,17.73,53,47,0,0,17.015,-116.728,5.568,0,0,0,5,R,"시즈카_Shizuka",175.4,85,0.497,0,89,W,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.284,-37.672,0,"Slaris",-0.106,-17.424,0,"ʚEveɞ",-20.521,-47.684,0,"Amellaid",-14.034,-62.38,0,"Yaksok~",17.84,-49.765,0,"Pugeuk",7.694,-63.827,0,"「론구」",36.338,-91.864,0,"AI",0,-109.84,0,"소솨소솨",-38.235,-88.648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,360.463,"눈꽃",R,27,93,140,0.686,0.846,0.234,2.005,0.221,1.972,-36.64,17.437,57,43,0,0,51.714,-113.29,5.368,0,0,0,5,R,"시즈카_Shizuka",175.4,85,0.497,0,89,W,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,-0.11,-37.81,0,"Slaris",-0.001,-17.163,0,"ʚEveɞ",-20.523,-47.698,0,"Amellaid",-14.075,-62.352,0,"Yaksok~",18.031,-49.972,0,"Pugeuk",7.647,-63.823,0,"「론구」",36.351,-91.842,0,"AI",0,-109.84,0,"소솨소솨",-38.371,-88.522,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,386.675,"눈꽃",R,28,86,139,-1.623,-0.667,0.18,2.17,-0.452,2.142,-36.64,36.943,83,17,0,2,32.18,-57.319,2.498,0,0,1,8,L,"HOGGYS 호기스",179.1,92.075,0.44,3,88,W,Y,1,387.773,94,49,76,40,8,129,77,52.179,16.504,-0.116,1.578,-19.871,-0.81,0,0.288,588.07,-113.508,35.905,393.22,-13.616,-65.657,393.465,3,-13.273,2.563,-64.259,0,0,,393.205,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.04,-37.394,0,"Slaris",-0.019,-17.288,0,"ʚEveɞ",-19.718,-48.51,0,"Amellaid",-8.307,-66.025,88,"Yaksok~",18.015,-49.977,0,"Pugeuk",12.284,-62.878,0,"「론구」",47.549,-96.33,0,"AI",0,-109.84,0,"소솨소솨",-28.951,-83.393,0,396.782,0.078,-38.701,,,,,,,393.424,-13.519,-64.535,,,,,,,,,,,,,,,,,,,,,,,,,395.245,-13.043,-63.08,,,,,,,,,,,,,,,,1,0,"Amellaid",,,,136
6,,1,1,0,0,0,0,2,0,0,0,255,255,255,5,417.341,"눈꽃",R,26,90,140,-1.769,0.407,-0.008,1.908,-0.855,1.72,-36.64,5.244,52,48,0,1,71.025,-155.736,8.552,0,0,2,6,L,"하루（Haru）",190,95,0.397,0,34,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.279,-37.688,0,"Slaris",-0.049,-17.296,0,"ʚEveɞ",-20.657,-48.036,0,"Amellaid",-5.811,-66.031,0,"Yaksok~",19.297,-50.372,0,"Pugeuk",12.279,-61.865,0,"「론구」",51.99,-95.878,0,"AI",0,-109.84,0,"소솨소솨",-29.864,-82.984,0,422.726,-0.419,-37.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
7,,1,1,0,0,1,0,2,0,0,0,255,255,255,6,431.11,"눈꽃",R,26,97,140,-0.96,0.143,0.066,1.89,-0.452,1.556,-36.64,12.758,43,57,0,2,23.313,-152.349,8.593,0,0,2,6,L,"하루（Haru）",190,95,0.397,3,34,W,Y,1,432.188,255,102,50,57,45,136,130,-30,-16.079,-0.195,0.982,-19.134,0.53,0,0.227,586.136,-125.067,-28.326,432.242,0.266,-20.73,440.187,7,31.285,0.056,-127.49,1,0,,437.73,442.206,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,-0.166,-37.133,0,"Slaris",-0.002,-17.346,0,"ʚEveɞ",-20.517,-48.047,0,"Amellaid",-6.08,-66.134,0,"Yaksok~",19.363,-50.355,0,"Pugeuk",12.358,-62.059,88,"「론구」",52.527,-95.112,93,"AI",0,-109.84,0,"소솨소솨",-31.234,-82.816,0,449.626,0.014,-38.802,,,,,,,,,,,,,445.796,8.027,-66.126,440.227,31.449,-126.375,,,,,,,,,,,,,,,,,,,,,,448.176,7.245,-63.77,443.109,28.629,-112.899,,,,,,,2,0,"AI",442.206,,,145
8,,1,1,0,0,0,0,2,0,1,0,255,6,255,7,467.581,"눈꽃",R,26,93,140,1.023,0.136,0.268,1.858,0.436,1.438,-36.64,20.678,58,42,0,2,86.788,-199.39,8.422,0,0,3,3,R,"_Gosomi",175.4,85.368,0.494,3,88,W,Y,1,468.618,255,62,79,107,44,145,85,19.587,-8.168,-0.101,1.144,-20.315,-0.83,0,0.376,-426.864,-145.266,-395.834,0,0,0,471.587,5,8.082,1.905,-67.629,0,0,,,,,,,,,473.616,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.368,-37.26,0,"Slaris",0,-17.297,0,"ʚEveɞ",-20.762,-47.01,0,"Amellaid",-12.22,-64.114,0,"Yaksok~",18.373,-49.4,0,"Pugeuk",10.895,-62.221,0,"「론구」",36.317,-91.831,0,"AI",0,-109.84,0,"소솨소솨",-37.671,-88.206,0,,,,,,,,,,,,,,,,471.568,8.116,-67.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,"Pugeuk",,473.616,,16
9,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,581.355,"ddil_ddil69",R,26,71,123,-0.16,0.804,0.146,2.128,-0.345,1.853,-36.544,25.292,93,7,0,2,197.748,-200,13.033,0,0,0,6,R,"「론구」",179.9,80,0.2,3,86,W,Y,1,582.601,255,90,102,84,55,145,101,28.242,43.477,-0.021,1.067,-18.35,0.94,0,0.306,419.328,-428.389,-25.425,587.687,-57.839,-90.581,587.831,8,-56.04,2.288,-87.817,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,-0.031,-37.214,0,"하랑님_",-0.356,-17.439,0,"Po_cari",-20.043,-43.317,0,"_Gosomi",-14.857,-62.668,0,"Yes_Man_",20.886,-50.54,0,"시즈카_Shizuka",8.882,-64.859,0,"하루（Haru）",44.376,-102.019,0,"AI",0,-109.843,0,"HOGGYS 호기스",-48.125,-102.837,83,598.637,-2.238,-36.46,,,,,,,,,,,,,,,,,,,,,,587.805,-56.264,-88.534,,,,,,,,,,,,,,,,,,,,,,,,,591.492,-53.989,-84.71,1,0,"HOGGYS 호기스",,,,130
10,,1,0,0,0,0,0,1,0,0,0,255,255,255,1,614.43,"ddil_ddil69",R,26,68,121,0.672,0.959,0.262,2.297,0.362,2.013,-36.544,35.013,91,9,0,0,-55.698,-200,-0.912,0,0,1,8,R,"소솨소솨",190,80,0.501,0,85,W,Y,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,,0,0,,,,,,,,,0.19,-37.498,0,"하랑님_",0.128,-17.369,0,"Po_cari",-20.332,-42.883,0,"_Gosomi",-16.67,-61.628,0,"Yes_Man_",19.367,-49.069,0,"시즈카_Shizuka",8.717,-65.621,0,"하루（Haru）",42.135,-103.794,0,"AI",0,-109.842,0,"HOGGYS 호기스",-49.426,-97.209,0,618.814,-0.011,-37.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0
