id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,213.676,"Riyaj",R,28,61,102,1.692,1.28,0.416,2.233,0.668,2.21,-36.789,49.451,92,8,0,1,31.302,-78.688,-4.898,0,0,0,5,R,"하랑님_",170,84.268,0.247,,98,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,224.606,"Riyaj",R,4,66,102,0.354,0.074,0.438,2.01,0.541,1.738,-36.789,36.558,88,12,0,0,-191.705,56.622,0.124,0,0,0,5,R,"하랑님_",170,84.268,0.247,,98,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,236.136,"Riyaj",R,10,62,94,-1.182,-0.534,0.102,2.185,-0.517,2.04,-36.789,39.656,92,8,0,2,0,400,0.37,0,0,0,5,R,"하랑님_",170,84.268,0.247,3,98,W,Y,1,237.751,255,91,112,66,35,145,108,-30,47.216,-0.232,0.616,-19.755,0.91,0,0.242,180.165,-524.779,-228.358,237.603,-1.267,-20.717,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183,-37.33,,"Kr_Luna",0.023,-17.734,,"소솨소솨",-19.281,-46.539,,"Amellaid",-11.8,-61.414,,"Gonyong",21.203,-46.775,,"CoalCat",8.617,-64.885,,"",0,0,,"ddil_ddil69",0.566,-110.986,,"Po_cari",-41.421,-87.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,279.612,"Riyaj",R,10,66,97,-0.884,-0.387,0.163,2.171,-0.389,2.092,-36.789,44.297,92,8,0,0,0,400,2.977,0,0,0,5,R,"하랑님_",170,84.268,0.247,,95,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,282.43,0,,578,0,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
5,,1,1,0,0,0,0,1,0,0,0,255,255,255,4,302.543,"Riyaj",R,10,63,96,1.579,-0.338,0.47,2.108,0.674,1.907,-36.789,44.085,96,4,0,1,0,330.787,-0.836,0,0,1,4,R,"_Gosomi",174.7,85.368,0.494,,94,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
6,,1,1,0,0,1,0,1,0,0,0,255,255,255,5,315.349,"Riyaj",R,10,63,95,-1.037,-0.109,0.054,2.177,-0.453,2.251,-36.789,41.16,100,0,0,0,0,400,0.499,0,0,1,4,R,"_Gosomi",174.7,85.368,0.494,,94,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
7,,1,1,0,0,1,1,1,0,0,0,255,255,255,6,329.737,"Riyaj",R,0,63,103,0.652,-1.15,0.287,1.638,0.27,0.986,-36.789,18.722,54,46,0,2,0,0,-2.006,0,0,1,4,R,"_Gosomi",174.7,85.368,0.494,3,94,W,Y,1,331.04,112,61,85,78,55,137,121,-30,-7.649,0.122,0.632,-20.829,0.26,0,0.396,-543.924,-56.581,-246.871,330.995,0.284,-22.036,333.195,5,2.199,1.72,-60.442,0,0,,336.374,,,,,,,,,,,,,336.104,1,,147,64,,,,,,,,,,,,,,,,,,,0.187,-37.274,,"Kr_Luna",0.042,-17.733,,"소솨소솨",-19.526,-45.172,81,"Amellaid",-12.4,-62.906,,"Gonyong",19.193,-50.682,,"CoalCat",8.219,-64.593,92,"AI",40.9,-90.65,,"ddil_ddil69",7.753,-117.638,,"Po_cari",-43.281,-85.803,,338.902,-0.779,-39.24,,,,335.526,-18.749,-40.139,,,,,,,333.216,2.136,-61.718,,,,,,,,,,,,,,,,337.85,-17.846,-39.723,,,,,,,334.179,-2.518,-59.023,,,,,,,,,,2,0,"CoalCat",,,,69,""
8,,1,1,0,0,0,0,2,0,0,0,255,255,255,7,352.406,"Riyaj",R,0,63,103,0.26,-0.165,0.252,1.936,0.16,1.683,-36.789,27.82,100,0,0,2,0,0,-0.655,0,0,2,8,R,"Yes_Man_",190,85.251,0.499,3,93,W,Y,1,353.692,238,48,92,84,51,145,91,48.61,-13.326,0.087,1.142,-20.557,-0.79,0,0.48,575.351,160.235,57.411,359.512,12.832,-82.195,359.645,5,12.522,2.994,-80.319,0,0,,359.807,,,,,,,,,,,,,359.736,2,,454,0,,,,,,,,,,,,,,,,,,,0.028,-37.306,,"Kr_Luna",0.051,-17.74,,"소솨소솨",-19.327,-45.112,,"Amellaid",-15.556,-61.651,,"Gonyong",18.505,-50.678,,"CoalCat",8.535,-62.835,,"AI",40.9,-90.65,,"ddil_ddil69",0.564,-114.611,,"Po_cari",-40.833,-86.216,,,,,,,,,,,,,,,,,359.745,12.699,-80.737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,"CoalCat",,,,64,""
9,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,362.277,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,413.525,"encounter v",R,32,83,135,3.247,-0.738,1.11,1.343,0.975,1.139,-36.676,82.594,25,61,13,4,239.354,13.3,-1.92,0.16,-21.978,0,0,R,"Riyaj",190,80,0.24,,92,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
