id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,4,0,1,4,0,0,0,1,0,0,15,255,255,54,2184.301,"Yaksok~",R,33,87,140,-2.187,-0.904,0.164,1.527,-1.1,0.963,-36.437,16.706,40,60,0,2,106.009,-91.012,0.976,0,0,5,0,L,"Pugeuk",190,85.842,0.349,3,74,W,Y,1,2185.242,255,13,112,59,31,145,106,-19.281,-26.861,-0.412,0.655,-20.152,-0.08,0,0.484,396.778,-267.06,-118.608,2185.156,0.431,-21.814,2186.561,4,15.67,0.126,-46.026,0,0,,2190.501,,,2195.641,2189.904,,,,,,,,,2190.064,5,,147,4,,,,,,,,,,,,,2191.844,3,,,,,-0.045,-37.5,-0.156,-17.285,-18.441,-39.307,-11.563,-64.417,20.326,-48.417,18.379,-56.711,40.922,-90.671,0,-109.86,-40.822,-90.571,0.151,-37.453,,"HANA_ARASHI",-0.079,-17.501,,"encounter v",-16.133,-41.933,120,"_Gosomi",-11.532,-64.415,71,"Yes_Man_",20.267,-49.809,100,"NABIMan",18.254,-57.242,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,2196.112,0.112,-38.597,,,,2189.43,-18.439,-39.506,2191.103,-0.431,-58.428,2186.931,16.647,-47.387,,,,,,,,,,,,,,,,,,,2190.053,-16.868,-41.333,2194.75,-2.883,-57.75,2187.942,12.112,-45.507,,,,,,,,,,,,,2,0,"Yes_Man_",2189.904,,2195.641,45,""
2,,4,0,1,4,0,0,1,0,1,0,255,15,255,55,2212.484,"Yaksok~",R,33,89,140,0.426,-0.045,0.368,1.652,0.03,1.512,-36.437,20.551,42,58,0,0,108.821,-64.524,-1.784,0,0,0,3,R,"_앰프_",172.2,85,0.4,,73,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,2216.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,-37.47,-0.075,-17.21,-19.367,-44.673,-16.739,-61.096,19.326,-50.523,5.927,-61.978,40.922,-90.67,0,-109.86,-40.822,-90.57,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2223.4,-0.308,-37.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,2216.55,,0,""
3,,4,0,1,4,0,1,1,0,0,1,255,255,15,56,2236.302,"Yaksok~",R,32,93,140,-1.362,-0.442,0.21,1.567,-0.869,1.277,-36.437,8.797,15,85,0,0,201.976,-75.179,5.222,0,0,0,3,R,"_앰프_",172.2,85,0.4,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,-37.492,-0.027,-17.071,-19.257,-44.472,-16.86,-60.743,19.915,-46.417,6.019,-62.936,40.915,-90.664,0,-109.86,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2240.327,0.1,-37.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
4,,4,0,1,4,0,2,1,0,0,1,255,255,15,57,2250.697,"Yaksok~",R,32,90,140,-0.655,-0.364,0.278,1.582,-0.534,1.362,-36.437,8.181,0,100,0,0,179.996,-32.592,-1.239,0,0,0,3,R,"_앰프_",172.2,85,0.4,,73,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,2269.939,2253.366,0,,578,0,,,,,,,,,,,,,,,,,,,0.283,-37.579,-0.024,-17.093,-19.12,-44.45,-16.89,-60.665,19.957,-46.093,4.946,-62.392,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2255.522,0.11,-36.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
5,,4,0,1,4,0,0,2,0,0,1,255,255,15,58,2270.187,"Yaksok~",R,33,89,140,-3.071,-0.603,0.15,1.552,-1.508,1.197,-36.437,9.61,0,100,0,1,124.082,-38.054,1.483,0,0,1,2,R,"인생최패망자",190,80,0.396,,72,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,2276.42,,,,,,,,,,,,,,,,,,,,,,,,0.09,-37.459,-0.045,-17.232,-19.123,-44.447,-17.23,-61.294,20.438,-46.743,8.711,-65.139,40.922,-90.67,0,-109.86,-40.822,-90.57,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2274.972,-0.4,-37.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,2272.675,,0,""
6,,4,0,1,4,1,0,2,0,0,1,255,255,15,59,2284.622,"Yaksok~",R,33,85,138,-3.676,-0.765,0.152,1.563,-1.807,1.061,-36.437,10.491,23,77,0,1,147.108,-75.934,1.07,0,0,1,2,R,"인생최패망자",190,80,0.396,,72,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,2292.501,,,,,,,,,,,,,,,,,,,,,,,,0.101,-37.44,-0.05,-17.322,-19.125,-44.449,-17.329,-61.25,20.538,-46.631,7.515,-63.641,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2291.476,-0.362,-37.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,2287.24,,0,""
7,,4,0,1,4,2,0,2,0,0,1,255,255,15,60,2303.336,"Yaksok~",R,33,86,139,-0.328,-0.592,0.34,1.567,-0.321,1.183,-36.437,17.049,41,59,0,2,124.335,-61.726,3.088,0,0,1,2,R,"인생최패망자",190,80,0.396,3,72,W,Y,1,2304.364,255,158,135,146,90,145,118,16.172,37.609,-0.07,0.754,-19.86,0.18,0,0.393,251.781,-309.47,38.108,2307.834,-51.114,-93.766,2308.066,8,-49.074,1.368,-90.437,0,0,,,,,,,,,,,2309.313,,,,2308.203,1,,456,0,,,,,,,,,,,,,,,,,,,0.144,-37.507,-0.049,-17.272,-19.1,-44.391,-17.679,-61.349,20.439,-46.834,7.347,-63.918,40.915,-90.664,0,-109.86,-40.815,-90.564,0.336,-37.37,,"HANA_ARASHI",-0.077,-17.36,,"encounter v",-18.943,-44.325,,"_Gosomi",-17.67,-61.321,,"Yes_Man_",20.219,-46.466,,"NABIMan",7.359,-63.964,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,"AI",,,2309.313,0,""
8,SIDE,4,0,1,4,0,0,2,0,0,1,255,255,15,,2310.849,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
9,,5,1,1,4,0,0,0,0,0,0,255,255,255,39,2345.06,"Pugeuk",R,14,85,124,0.493,-0.523,0.363,1.741,-0.424,1.624,-36.737,20.584,54,46,0,2,390.434,312.348,15.795,0,0,3,2,L,"encounter v",190,86.037,0.42,3,72,W,Y,1,2345.978,255,146,60,130,0,138,113,11.538,-2.166,0.092,0.811,-20.34,0.81,0,0.524,-514.189,110.22,262.95,2347.889,1.284,-75.587,2349.166,7,1.401,0.061,-97.526,1,0,,2351.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-37.788,-0.022,-17.473,-17.15,-45.91,-8.438,-62.902,21.672,-49.352,14.763,-64.339,40.9,-90.65,0,-109.84,-40.8,-90.55,0.179,-37.446,,"하랑님_",-0.132,-17.462,,"인생최패망자",-17.146,-45.893,94,"_앰프_",-8.448,-62.836,,"Slaris",21.574,-49.201,,"「론구」",14.742,-64.332,,"AI",40.902,-90.652,,"AI",0,-109.843,,"AI",-40.802,-90.552,,2357.049,-0.19,-39.13,,,,2353.935,-18.764,-40.13,,,,,,,,,,,,,,,,,,,,,,,,,2356.129,-17.136,-39.796,,,,,,,,,,,,,,,,,,,2,0,"AI",,,,34,""
10,,5,1,1,4,0,0,0,1,0,0,2,255,255,40,2373.28,"Pugeuk",R,29,89,140,0.692,0.151,0.589,1.711,0.627,1.527,-36.737,27.675,50,50,0,0,-250,-200,21.148,0,0,4,1,R,"HANA_ARASHI",190,90,0.25,,71,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2373.305,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,-37.696,-0.032,-17.475,-18.084,-39.621,-12.947,-60.7,20.002,-49.931,5.365,-61.809,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,2377.703,-0.078,-37.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
