id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,194.044,"Sabo_10",L,26,99,140,1.662,-0.792,-0.249,1.926,0.606,0.929,-36.535,33.447,89,10,1,2,93.23,-193.754,-18.675,0,0,0,4,R,"?fredo?",190.4,83.372,0.424,3,47,W,Y,1,195.131,255,190,102,101,50,145,96,-1.36,-10.56,0.3,0.736,-20.611,-0.55,0,0.198,-6.413,53.854,88.328,195.055,2.359,-31.743,196.735,5,6.436,0.056,-59.274,0,0,,201.124,,,,,,,,,,,,,200.107,0,,147,1,,,,,,,,,,,,,,,,,,,-0.02,-37.615,-0.045,-17.44,-22.775,-49.003,-12.622,-56.961,13.413,-55.615,10.632,-61.637,40.922,-90.67,0,-109.87,-40.822,-90.57,0.15,-37.009,,"encounter v",-0.055,-17.454,,"_Gosomi",-22.835,-48.965,88,"Megarafa",-12.806,-56.451,,"인생최패망자",16.295,-49.35,,"CoalCat",9.707,-64.358,107,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,203.539,-0.108,-38.117,,,,199.43,-18.846,-39.442,,,,,,,197.34,6.481,-60.055,,,,,,,,,,,,,,,,202.469,-17.859,-39.762,,,,,,,198.083,3.737,-57.341,,,,,,,,,,2,0,"CoalCat",,,,35,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,219.731,"Sabo_10",L,26,94,140,0.682,-0.168,-0.249,1.926,0.606,0.929,-36.535,33.447,85,13,2,0,-15.631,-183.381,-12.668,0.354,-11.318,1,2,R,"SUGUN",190,82,0.5,,47,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112,-37.641,-0.025,-17.434,-23.104,-48.707,-12.877,-58.095,16.025,-44.631,8.464,-61.888,40.922,-90.671,0,-109.86,-40.822,-90.571,,,,"",,,120,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,220.471,0.152,-18.119,,,,,,,,,,,,,,,,,,,,,,,,,222.037,0.154,-18.995,,,,,,,,,,,,,,,,,,,,,,0,0,"",,,,0,""
3,,1,1,0,0,0,1,1,0,0,0,255,255,255,1,235.779,"Sabo_10",L,27,91,140,7.778,-0.959,-0.358,2.173,0.101,1.73,-36.535,55.854,86,11,3,2,-24.044,-104.382,-2.845,0,0,1,2,R,"SUGUN",190,82,0.5,3,65,W,Y,1,237.019,193,25,73,33,1,137,130,9.558,13.284,0.035,1.126,-20.008,0.36,0,0.258,417.863,-35.949,-107.496,240.042,-22.418,-117.647,242.842,7,-22.083,0.058,-125.853,1,0,,242.658,247.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,-37.673,-0.051,-17.56,-23.112,-48.638,-12.592,-58.245,16.248,-44.213,8.693,-62.008,40.915,-90.664,0,-109.86,-40.815,-90.564,0.104,-36.85,,"encounter v",-0.08,-17.531,,"_Gosomi",-23.07,-48.606,,"Megarafa",-12.612,-57.792,,"인생최패망자",16.23,-44.22,,"CoalCat",8.674,-61.954,77,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,251.936,-0.107,-38.828,,,,,,,,,,,,,248.069,-0.006,-60.094,,,,,,,,,,,,,,,,,,,,,,,,,250.665,2.436,-58.616,,,,,,,,,,2,0,"AI",247.057,,,3,""
4,,1,1,0,0,0,0,1,0,1,0,255,2,255,2,260.594,"Sabo_10",L,10,94,128,1.763,-1.555,-0.213,1.941,0.775,0.976,-36.535,32.63,88,12,0,4,-0.82,400,-14.481,0.407,-18.028,2,1,L,"눈꽃",190,85,0.505,,45,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,273.709,,,,,,,,,,,,,,,,,,,,,,,,,-0.013,-37.53,-0.008,-17.478,-21.925,-48.846,-12.226,-59.3,17.581,-43.082,11.246,-58.698,40.907,-90.657,0,-109.85,-40.808,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,265.518,0.461,-37.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",263.331,,,0,""
5,,1,1,0,0,0,1,1,0,1,0,255,2,255,3,275.681,"Sabo_10",L,10,90,128,2.235,-1.41,-0.169,1.987,0.977,1.126,-36.535,37.249,91,9,0,4,0,400,-12.405,0.514,-17.672,2,1,L,"눈꽃",190,85,0.505,,45,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,287.913,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-37.517,-0.017,-17.565,-22.361,-48.435,-5.654,-59.778,17.905,-43.401,11.21,-58.631,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,279.455,0.137,-37.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",278.361,,,0,""
6,,1,1,0,0,0,2,1,0,1,0,255,2,255,4,292.24,"Sabo_10",L,26,86,139,-0.889,1.197,-0.384,2.243,-0.34,2.169,-36.535,66.055,82,15,3,2,-26.068,-200,-1.094,0,0,2,1,L,"눈꽃",190,85,0.505,3,45,W,Y,1,293.181,240,167,90,112,31,145,117,25.411,-1.608,-0.154,1.418,-19.552,0.17,0,0.445,29.144,345.885,4.161,297.322,-5.574,-119.971,297.575,7,-5.239,1.743,-117.467,0,0,,298.81,,,,,,,,,,,316.843,,298.154,2,,456,0,,,,,,,,,,,,,,,,,,,-0.043,-37.73,-0.018,-17.551,-22.38,-48.156,-9.978,-58.076,17.978,-43.56,11.285,-58.651,40.915,-90.664,0,-109.86,-40.815,-90.564,0.282,-36.725,,"encounter v",-0.115,-17.486,,"_Gosomi",-22.37,-48.088,,"Megarafa",-9.976,-56.749,,"인생최패망자",17.827,-43.262,85,"CoalCat",11.414,-58.492,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,307.239,0.65,-38.254,,,,,,,,,,304.076,18.371,-43.016,,,,,,,,,,,,,,,,,,,,,,,,,306.219,16.869,-42.476,,,,,,,,,,,,,1,0,"AI",299.901,,,10,""
7,,1,1,0,0,0,0,2,0,1,0,255,2,255,5,319.826,"Sabo_10",L,26,88,140,0.731,-0.305,-0.329,2.032,0.234,1.239,-36.535,41.037,88,10,1,0,81.332,-177.2,-9.427,0,0,3,5,R,"ByeolBam",175,90,0.5,,44,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,322.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062,-37.581,-0.022,-17.521,-23.676,-50.007,-5.974,-59.368,16.884,-43.556,6.579,-59.322,40.915,-90.664,0,-109.86,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,327.093,0.724,-37.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",,322.431,,0,""
8,,1,1,0,0,0,1,2,0,0,1,255,255,2,6,337.807,"Sabo_10",L,0,77,115,-0.256,0.578,-0.467,2.198,-0.104,1.917,-36.535,79.239,86,11,3,2,4.328,0,-0.988,0,0,3,5,R,"ByeolBam",175,90,0.5,3,44,W,Y,1,338.842,255,153,116,65,32,145,127,37.75,29.553,-0.05,1.136,-20.516,0.38,0,0.322,186.204,-214.395,161.393,344.042,-50.714,-118.231,344.922,8,-49.958,0.641,-115.697,1,0,,344.609,349.187,,,,,,,,349.765,,,344.643,,,,,,,,,,,,,,,,,,,,,,,,-0.085,-37.81,-0.056,-17.504,-23.449,-49.694,-10.63,-56.874,17.861,-40.189,10.038,-63.838,40.915,-90.664,0,-109.85,-40.815,-90.564,0.097,-36.629,,"encounter v",-0.142,-17.471,,"_Gosomi",-23.403,-49.693,,"Megarafa",-11.286,-57.355,,"인생최패망자",15.647,-45.2,,"CoalCat",9.915,-63.712,81,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,354.481,-0.125,-38.77,,,,,,,,,,,,,350.538,-0.097,-59.652,,,,,,,,,,,,,,,,,,,,,,,,,353.217,2.418,-59.13,,,,,,,,,,2,0,"AI",349.187,340.651,349.765,3,""
9,,1,1,1,0,0,0,2,0,1,0,255,5,255,7,369.794,"Sabo_10",L,26,89,140,0.632,0.535,-0.332,2.114,0.222,1.702,-36.535,51.581,90,10,1,0,54.786,-200,-19.085,0,0,4,3,R,"YukihiroD",174.3,80,0.398,,43,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,381.822,,,,,,,,,,,,,,,,,,,,,,,,,0.006,-37.569,-0.059,-17.498,-22.277,-47.75,-12.117,-57.248,17.122,-44.988,7.35,-61.26,40.922,-90.671,0,-109.86,-40.822,-90.571,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,373.519,0.183,-37.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,"",372.7,,,0,""
10,,1,1,1,0,0,1,2,0,1,0,255,5,255,8,384.444,"Sabo_10",L,26,88,140,0.525,-0.051,-0.351,2.028,0.132,1.401,-36.535,43.293,87,12,1,2,80.072,-162.298,-11.953,0,0,4,3,R,"YukihiroD",174.3,80,0.398,3,43,W,Y,1,385.468,255,74,82,40,0,140,126,-30,-11.642,0.023,0.552,-19.5,0.32,0,0.448,-465.943,-167.661,-135.149,384.855,0.198,-20.351,386.668,5,7.799,2.715,-57.068,0,0,,390.92,,,,,,,390.087,,,,,,390.404,4,,147,1,,,,,,,,,,,,,,,,,,,-0.079,-37.687,-0.062,-17.504,-22.386,-47.801,-12.019,-56.826,17.019,-45.137,4.43,-60.846,40.915,-90.664,0,-109.85,-40.815,-90.564,0.233,-36.853,,"encounter v",-0.061,-17.513,,"_Gosomi",-22.361,-47.798,,"Megarafa",-11.555,-56.313,,"인생최패망자",16.663,-44.985,,"CoalCat",7.411,-61.16,101,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,389.739,-18.999,-40.463,,,,,,,387.237,8.24,-58.32,,,,,,,,,,,,,,,,,,,,,,,,,388.395,4.207,-56.203,,,,,,,,,,2,0,"CoalCat",,390.087,,33,""
