id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,255.502,"_Chun",L,26,87,140,-0.124,1.408,-0.46,2.208,-0.073,2.205,-36.623,56.038,70,30,0,4,0,28.359,-200,-10.238,0,0,1,0,5,R,"YukihiroD",174.3,80,0.4,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.43,-37.126,0,"ゆっち一",-0.112,-17.498,0,"encounter v",-18.716,-44.168,0,"눈꽃",-14.102,-64.797,0,"인생최패망자",15.937,-46.806,0,"ke ro",10.461,-64.886,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-40.478,-92.552,0,0,0,0,0,0,"",0,0,0,0,256.769,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,267.816,"_Chun",L,26,79,129,-0.251,1.372,-0.5,2.178,-0.124,2.165,-36.623,61.091,73,27,0,4,0,20.596,-200,-12.832,0,0,1,0,5,R,"YukihiroD",174.3,80,0.4,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.443,-37.085,0,"ゆっち一",-0.107,-17.565,0,"encounter v",-18.778,-44.209,0,"눈꽃",-14.08,-64.79,0,"인생최패망자",16.398,-46.51,0,"ke ro",11.094,-64.352,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-40.501,-92.552,0,0,0,0,0,0,"",0,0,0,0,269.102,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,280.094,"_Chun",L,26,93,140,2.278,0.338,-0.23,2.025,0.933,1.59,-36.623,31.718,82,18,0,4,0,51.016,-200,-31.244,0,0,1,0,5,R,"YukihiroD",174.3,80,0.4,0,81,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038,-36.928,0,"ゆっち一",-0.012,-17.555,0,"encounter v",-18.726,-44.129,0,"눈꽃",-14.475,-64.331,0,"인생최패망자",16.363,-46.477,0,"ke ro",11.861,-64.836,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-40.492,-92.593,0,0,0,0,0,0,"",0,0,0,0,281.285,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,298.883,"_Chun",L,26,91,140,1.505,0.555,-0.295,2.056,0.631,1.701,-36.623,33.155,81,19,0,2,0,29.198,-200,-20.056,0,0,1,1,3,R,"Ѕeyeon",170.5,85,0.35,3,79,W,Y,299.82,199,49,82,20,0,137,80,11.163,20.041,-0.74,0,0.497,474.379,138.271,-340.361,-0.073,-37.031,0,"ゆっち一",-0.026,-17.568,0,"encounter v",-18.676,-44.116,0,"눈꽃",-14.05,-64.175,105,"인생최패망자",16.235,-46.323,0,"ke ro",10.628,-64.255,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-40.36,-92.553,0,0,0,0,302.185,3,"눈꽃",-14,-57.444,0,0,,,,,48,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,318.897,"_Chun",L,0,77,115,0,0.551,-0.4,2.199,0.012,1.939,-36.623,48.93,83,17,0,0,0,0,23.152,-3.093,0,0,0,2,8,R,"SUGUN",179.9,82.092,0.496,0,78,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197,-37.253,0,"ゆっち一",-0.03,-16.906,0,"encounter v",-18.298,-43.675,0,"눈꽃",-16.037,-63.286,0,"인생최패망자",15.379,-43.569,0,"ke ro",10.276,-63.154,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-42.317,-89.827,0,0,0,0,0,0,"",0,0,0,0,320.452,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,337.263,"_Chun",L,0,75,113,-1.016,1.022,-0.393,2.173,0.301,1.92,-36.623,52.137,86,14,0,2,0,0,0,-0.901,0,0,1,2,8,R,"SUGUN",179.9,82.092,0.496,3,78,W,Y,338.606,179,46,115,40,10,145,87,27.921,14.849,-0.83,0,0.298,510.265,134.999,93.275,-0.364,-36.936,0,"ゆっち一",0.011,-17.301,0,"encounter v",-18.118,-43.853,0,"눈꽃",-15.704,-63.624,0,"인생최패망자",16.889,-47.178,0,"ke ro",11.595,-65.384,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"소솨소솨",-42.323,-90.568,98,343.427,-21.531,-90.846,343.91,4,"にゃんこ65K",-21.734,-91.786,0,0,377.485,,,,112,1
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,453.624,"Penguin_iDOL",R,14,78,104,-1.162,-0.64,-0.221,2.007,-1.224,1.748,-36.493,30.532,93,7,0,0,0,369.138,312.348,12.7,0,0,0,0,5,R,"ke ro",164.5,80,0.398,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093,-37.635,0,"Kr_Luna",0.037,-17.67,0,"Yaksok~",-19.942,-53.153,0,"Ѕeyeon",-16.209,-65.527,0,"にゃんこ65K",20.951,-48.447,0,"YukihiroD",8.68,-63.378,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"SUGUN",-38.297,-88.676,0,0,0,0,0,0,"",0,0,0,0,454.66,,,,0,0
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,470.756,"Penguin_iDOL",R,4,76,109,-1.396,-0.919,0.135,1.73,-0.202,1.1,-36.493,21.533,100,0,0,0,0,-222.553,0,3.353,0,0,1,0,5,R,"ke ro",164.5,80,0.398,0,79,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,-37.54,0,"Kr_Luna",0.013,-17.663,0,"Yaksok~",-19.94,-53.149,0,"Ѕeyeon",-15.767,-65.167,0,"にゃんこ65K",21.436,-50.569,0,"YukihiroD",8.517,-63.442,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"SUGUN",-41.504,-90.508,0,0,0,0,0,0,"",0,0,0,0,471.819,,,,0,0
9,1,0,0,0,0,2,0,0,0,0,255,255,255,2,485.691,"Penguin_iDOL",R,29,88,140,-0.09,1.565,0.261,1.911,0.282,2.244,-36.493,34.873,85,15,0,2,0,-246.054,-200,19.613,0,0,0,0,5,R,"ke ro",164.5,80,0.398,3,79,W,Y,486.625,131,36,57,40,16,133,122,25.737,43.557,0.41,0,0.461,135.172,584.565,3.488,-0.254,-37.031,0,"Kr_Luna",0.067,-17.654,0,"Yaksok~",-19.909,-52.918,0,"Ѕeyeon",-15.011,-66.351,0,"にゃんこ65K",21.103,-50.767,0,"YukihiroD",8.594,-63.421,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"SUGUN",-41.448,-90.54,0,491.327,-86.474,-87.305,0,0,"",0,0,0,0,,,,,64,3
10,1,0,0,0,0,2,0,0,0,0,255,255,255,3,507.71,"Penguin_iDOL",R,14,83,108,2.474,-2.246,0.265,1.653,0.35,0.867,-36.493,17.234,52,48,0,2,0,380.997,315.303,25.491,0,0,1,0,5,R,"ke ro",164.5,80,0.398,3,83,W,Y,508.738,196,100,48,62,64,135,124,-20.007,-6.286,0.61,0,0.575,67.975,-195.094,-60.603,0.351,-37.132,0,"Kr_Luna",0.038,-17.651,0,"Yaksok~",-20.394,-51.805,0,"Ѕeyeon",-16.848,-65.258,85,"にゃんこ65K",21.173,-49.685,0,"YukihiroD",11.17,-63.357,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"SUGUN",-44.242,-89.706,0,508.585,0.517,-20.217,512.952,7,"AI",11.984,-110.022,1,0,,,,,66,2
