id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,246.375,"Yaksok~",R,32,77,127,-2.615,0.141,0.224,1.42,-1.349,1.612,-36.444,27.729,0,100,0,2,156.173,-76.249,7.846,0,0,0,3,L,"Sabo_10",174.9,88,0.452,0,67,W,Y,1,247.303,163,124,116,92,43,145,86,61.341,-26.681,-0.496,1.176,-20.537,-1,0,0.494,583.402,-25.665,137.781,253.45,21.327,-60.769,253.541,5,20.838,2.531,-59.825,0,0,,253.192,,,,,,,,,,,,,253.6,0,,454,0,,,,,,,,,,,,,,,,,,,-0.011,-37.536,-0.084,-17.632,-19.992,-45.196,-9.181,-65.481,17.285,-44.562,12.948,-63.504,40.951,-90.698,0,-109.89,-40.852,-90.598,0.095,-37.094,,"HANA_ARASHI",-0.204,-17.663,,"Riyaj",-19.854,-45.292,,"mungjungh",-9.185,-65.487,,"인생최패망자",17.08,-44.443,,"P0TA0",13.187,-63.303,88,"AI",40.902,-90.651,,"AI",0,-109.84,,"AI",-40.801,-90.551,,256.544,0.199,-38.536,,,,,,,,,,,,,253.606,20.949,-60.134,,,,,,,,,,,,,,,,,,,,,,,,,254.987,19.931,-59.4,,,,,,,,,,"",1,0,"P0TA0",,,,34,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,269.892,"Yaksok~",R,32,87,140,-3.181,0.147,0.224,1.417,-1.595,1.666,-36.444,22.879,0,100,0,1,174.853,-54.417,1.192,0,0,1,4,L,"Kr_Luna",190,92.218,0.504,,68,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,-37.361,-0.059,-17.361,-19.819,-45.003,-12.133,-65.732,17.955,-44.875,14.388,-63.471,40.915,-90.664,0,-109.86,-40.816,-90.565,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,273.934,0.196,-38.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,1,0,1,0,0,0,255,255,255,2,282.7,"Yaksok~",R,32,79,129,-2.05,-0.642,0.295,1.302,-1.146,1.191,-36.444,25.239,12,88,0,1,164.571,-23.191,7.852,0,0,1,4,L,"Kr_Luna",190,92.218,0.504,,68,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118,-37.398,-0.057,-17.482,-20.237,-45.406,-11.707,-64.995,17.601,-44.848,12.376,-64.646,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,286.6,-0.026,-37.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
4,,1,1,0,0,2,0,1,0,0,0,255,255,255,3,294.55,"Yaksok~",R,3,76,116,-10.704,-0.833,-0.02,1.268,-4.147,0.94,-36.444,28.962,0,70,30,1,-412.67,0,1.001,-3.088,-14.788,1,4,L,"Kr_Luna",190,92.218,0.504,,68,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,-37.277,-0.051,-17.381,-20.349,-45.39,-11.7,-65.022,17.368,-44.666,12.131,-64.527,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,3,0,1,0,0,0,255,255,255,4,309.66,"Yaksok~",R,33,84,137,-0.665,-0.347,0.418,1.326,-0.474,1.399,-36.444,30.789,0,100,0,2,124.783,-2.784,-4.141,0,0,1,4,L,"Kr_Luna",190,92.218,0.504,5,68,W,Y,0,310.501,159,95,133,82,41,145,132,97.249,-42.238,-0.128,0.879,-20.24,0.38,0,0.08,423.697,-389.339,169.987,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,-37.283,-0.085,-16.98,-19.576,-44.762,-10.825,-64.913,17.441,-44.714,12.54,-64.675,40.915,-90.664,0,-109.86,-40.815,-90.564,0.115,-36.687,,"HANA_ARASHI",-0.091,-16.958,,"Riyaj",-19.347,-44.787,,"mungjungh",-10.822,-64.901,,"인생최패망자",17.252,-44.49,,"P0TA0",12.799,-64.698,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
6,,1,1,0,0,3,1,1,0,0,0,255,255,255,5,324.961,"Yaksok~",R,33,80,130,1.496,-0.227,0.619,1.386,0.467,1.488,-36.444,47.015,6,94,0,2,113.496,14.632,-3.778,0,0,1,4,L,"Kr_Luna",190,92.218,0.504,3,68,W,Y,0,325.802,181,97,97,78,41,145,87,113.282,75.984,0.273,0.92,-20.174,1,0,0.096,504.29,-324.288,23.001,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,-37.645,0.001,-17.404,-19.696,-43.991,-11.287,-65.612,17.288,-45.012,12.26,-63.627,40.907,-90.657,0,-109.85,-40.807,-90.557,0.086,-36.842,,"HANA_ARASHI",-0.06,-17.339,,"Riyaj",-19.731,-43.989,,"mungjungh",-11.288,-65.601,,"인생최패망자",17.297,-45.009,,"P0TA0",11.575,-64.032,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
7,,1,1,0,0,3,2,1,0,0,0,255,255,255,6,338.33,"Yaksok~",R,3,77,116,-2.439,-0.236,0.469,1.397,-0.324,1.508,-36.444,38.46,24,76,0,2,-435.725,0,3.337,0,0,1,4,L,"Kr_Luna",190,92.218,0.504,5,68,W,Y,0,339.233,149,116,149,104,63,145,116,12.988,19.998,-0.374,1.1,-20.805,0.13,0,0.109,338.506,-479.477,-124.561,343.208,-24.984,-114.106,346.408,7,-23.418,0.06,-127.606,1,0,,344.927,349.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,-37.313,-0.046,-17.526,-19.805,-45.272,-11.367,-64.989,17.314,-45.128,10.992,-65.647,40.907,-90.657,0,-109.85,-40.807,-90.557,-0.11,-36.834,,"HANA_ARASHI",-0.116,-17.515,,"Riyaj",-19.676,-45.319,,"mungjungh",-11.361,-64.988,100,"인생최패망자",17.366,-45.243,,"P0TA0",11.093,-65.615,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,354.699,-0.009,-38.94,,,,,,,350.017,-6.145,-82.433,,,,,,,,,,,,,,,,,,,,,,,,,353.168,-3.802,-69.995,,,,,,,,,,,,,,,,"",2,0,"AI",349.507,,,10,""
8,,1,1,0,0,0,0,1,0,1,0,255,4,255,7,369.163,"Yaksok~",R,33,85,138,-3.274,-0.366,0.19,1.328,-1.569,1.406,-36.444,21.567,12,88,0,2,116.171,19.775,-2.117,0,0,2,2,L,"Fresh825",190,80,0.2,3,80,W,Y,1,370.266,178,115,94,111,86,145,87,38.061,32.845,-0.624,0.857,-19.99,-1,0,0.159,514.381,275.513,139.661,375.133,-42.815,-74.651,375.291,8,-41.404,2.22,-72.941,0,0,,375.504,,,,,,,,,,,395.713,,375.303,2,,456,0,,,,,,,,,,,,,,,,,,,0.032,-37.229,0.582,-17.268,-19.134,-44.763,-1.356,-63.458,17.44,-44.738,11.249,-59.703,40.915,-90.664,0,-109.86,-40.815,-90.564,-0.942,-38,,"HANA_ARASHI",-0.135,-17.285,,"Riyaj",-19.156,-44.599,,"mungjungh",-1.544,-65.566,,"인생최패망자",17.422,-44.556,,"P0TA0",11.505,-59.728,68,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,383.187,-0.12,-39.31,,,,,,,,,,,,,379.3,-0.953,-59.488,,,,,,,,,,,,,,,,,,,,,,,,,381.835,-0.684,-58.487,,,,,,,,,,"",1,0,"AI",376.839,,,34,""
9,,1,1,0,0,0,0,2,0,1,0,255,4,255,8,396.737,"Yaksok~",R,14,63,105,1.078,-1.484,0.372,1.43,-0.062,1.125,-36.444,34.257,54,46,0,4,317.971,372.876,16.893,0,0,3,1,L,"NABIMan",190,83.228,0.48,,80,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022,-37.26,-0.067,-17.044,-20.677,-45.693,-7.308,-57.459,17.352,-44.169,12.948,-63.352,40.922,-90.67,0,-109.86,-40.822,-90.57,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,401.578,-0.063,-37.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",399.469,,,0,""
10,,1,1,0,0,0,1,2,0,1,0,255,4,255,9,411.852,"Yaksok~",R,33,75,126,-1.417,-0.511,0.492,1.415,-0.064,1.604,-36.444,52.139,12,88,0,2,132.916,6.508,-0.755,0,0,3,1,L,"NABIMan",190,83.228,0.48,3,80,W,Y,1,412.829,255,38,54,125,101,137,129,25.133,-28.948,0.061,0.997,-20.191,0.32,0,0.355,270.695,-527.748,-90.59,417.8,68.756,-113.163,,,,,,0,0,,418.608,423.496,428.655,433.744,,,,419.324,424.517,,,413.93,,,,,,,,,,,,,,,,,,,,,,,,,0.026,-37.4,-0.034,-17.266,-20.483,-45.718,-4.688,-59.198,17.513,-44.386,13.017,-63.498,40.915,-90.664,0,-109.85,-40.815,-90.564,0.241,-36.992,,"HANA_ARASHI",-0.065,-17.295,,"Riyaj",-20.323,-45.775,,"mungjungh",-1.875,-59.207,,"인생최패망자",17.328,-44.114,,"P0TA0",13.024,-63.473,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,"",423.496,419.324,424.517,0,""
