id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,287.218,"가앤슬_",L,26,91,140,0.769,-0.604,-0.416,1.469,0.389,1.066,-36.394,27.538,43,57,0,0,-31.229,-200,-23.326,0,0,0,"Kr_Luna","encounter v","ke ro","인생최패망자","ByeolBam","_Chun","Floră","うよすま","ddil_ddil69",9,L,"Kr_Luna",190,95.218,0.504,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,-37.266,-0.025,-18.052,-21.318,-48.105,-11.385,-62.469,21.161,-46.057,15.325,-63.932,41.293,-93.147,0.98,-116.477,-52.604,-90.417,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,301.199,"가앤슬_",L,26,88,140,0.247,-0.58,-0.419,1.473,0.376,1.08,-36.394,22.699,58,42,0,0,-195.055,-200,-22.244,-0.064,-18.993,0,"=","=","=","=","=","=","=","=","=",9,L,"Kr_Luna",190,95.218,0.504,,76,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.083,-38.139,-0.01,-18.052,-21.517,-48.392,-11.24,-62.341,22.892,-47.216,16.328,-62.785,41.728,-93.713,0.955,-116.869,-52.604,-90.417,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,323.569,"가앤슬_",L,10,77,105,0.334,-1.272,-0.44,1.697,0.158,1.361,-36.394,33.635,94,6,0,2,0,400,-6.749,0,0,0,"=","=","=","=","=","=","=","=","=",9,L,"Kr_Luna",190,95.218,0.504,3,80,W,Y,0,324.514,153,106,108,95,49,145,87,-25.319,-59.518,0.045,0.617,-20.961,1,0,0.133,-4.166,-549.105,176.069,324.266,1.992,-22.096,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,-37.237,0.02,-17.998,-22.268,-49.537,-11.269,-62.359,22.171,-46.434,15.083,-62.587,41.828,-93.681,5.127,-118.363,-44.562,-86.756,0.34,-36.815,,"시즈카_Shizuka",-0.022,-18.002,,"Sabo_10",-22.218,-49.5,,"CoalCat",-11.24,-62.337,,"-라후이-",21.856,-46.682,,"Pring__",15.076,-62.541,,"_송글_",41.671,-93.764,,"SUGUN",5.13,-118.369,,"HOGGYS 호기스",-44.565,-86.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
4,,1,1,0,0,0,2,0,0,0,0,255,255,255,3,341.719,"가앤슬_",L,26,95,140,-0.071,0.135,-0.46,1.607,0.187,1.528,-36.394,28.796,45,55,0,2,-153.175,-200,-14.104,0,0,0,"=","=","=","=","=","=","=","=","=",9,L,"Kr_Luna",190,95.218,0.504,5,80,W,Y,0,342.537,109,145,159,80,35,137,131,100.807,20.66,-0.007,1.054,-20.082,0.43,0,0.122,413.36,-260.064,180.916,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,-37.452,-0.021,-18.136,-23.361,-50.41,-11.526,-63.887,19.484,-43.947,15.75,-62.977,41.92,-92.844,1.672,-114.118,-44.051,-87.266,0.362,-36.867,,"시즈카_Shizuka",-0.019,-18.134,,"Sabo_10",-22.957,-50.475,,"CoalCat",-11.546,-63.878,,"-라후이-",19.406,-43.965,,"Pring__",15.865,-63.248,,"_송글_",41.779,-92.956,,"SUGUN",1.748,-114.205,,"HOGGYS 호기스",-44.051,-87.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
5,,1,1,0,0,0,2,0,0,0,0,255,255,255,4,356.348,"가앤슬_",L,13,81,107,1.801,-1.725,-0.389,1.575,0.384,1.065,-36.394,27.411,50,50,0,2,219.22,400,2.724,0,0,0,"=","=","=","=","=","=","=","=","=",9,L,"Kr_Luna",190,95.218,0.504,5,80,W,Y,0,357.343,159,83,121,119,105,145,89,-30,14.476,0.298,0.447,-20.978,1,0,0.039,-191.617,-102.365,313.026,357.024,0.13,-21.627,359.574,3,-9.009,0.187,-56.258,0,0,,362.959,,,,,,,,,,,,,362.547,0,,147,4,,,,,,,,,,,,,,,,,,,-0.055,-38.17,-0.013,-18.256,-21.221,-48.934,-11.938,-63.56,20.14,-45.871,15.733,-62.875,40.396,-91.467,1.514,-113.788,-47.025,-86.626,0.274,-36.802,,"시즈카_Shizuka",-0.013,-18.326,,"Sabo_10",-21.349,-48.644,101,"CoalCat",-11.665,-63.576,85,"-라후이-",20.141,-45.877,,"Pring__",15.676,-62.772,,"_송글_",40.434,-91.433,,"SUGUN",1.523,-113.786,,"HOGGYS 호기스",-47.026,-86.63,,365.362,-0.705,-38.895,,,,361.945,-19.053,-40.958,359.739,-9.218,-57.222,,,,,,,,,,,,,,,,,,,,,,364.471,-16.988,-40.429,360.894,-10.119,-55.348,,,,,,,,,,,,,,,,"",2,0,"CoalCat",,,,132,""
6,,1,1,0,0,0,0,1,0,0,0,255,255,255,5,382.38,"가앤슬_",L,3,41,79,4.289,0.827,-0.082,1.742,1.089,2.023,-36.394,28.066,100,0,0,1,352.209,-97.416,18.278,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"encounter v",190,83.068,0.46,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158,-37.975,-0.004,-18.269,-20.738,-48.042,-12.779,-62.152,18.716,-41.402,15.782,-62.862,40.782,-90.912,0.544,-110.748,-45.381,-85.978,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,387.082,0.005,-37.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,1,1,0,0,1,0,1,0,0,0,255,255,255,6,398.727,"가앤슬_",L,14,80,105,-0.369,-1.233,-0.277,1.421,0.491,1.333,-36.394,28.328,51,49,0,1,-336.253,354.837,-17.079,0,0,1,"=","=","=","=","=","=","=","=","=",2,L,"encounter v",190,83.068,0.46,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,-37.523,-0.029,-18.25,-21.215,-48.701,-12.781,-62.134,22.079,-44.423,15.705,-62.868,39.721,-90.097,0.271,-110.699,-45.392,-85.999,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,403.088,-0.042,-37.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,1,1,0,0,2,0,1,0,0,0,255,255,255,7,411.26,"가앤슬_",L,0,66,119,-3.576,1.363,-0.768,1.793,-1.469,2.37,-36.394,69.125,79,21,0,3,-34.858,-18.114,0.14,-0.593,-20.997,1,"=","=","=","=","=","=","=","=","=",2,L,"encounter v",190,83.068,0.46,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-38.387,-0.018,-18.246,-20.983,-48.415,-12.779,-62.204,21.65,-45.051,15.736,-62.921,39.872,-90.017,0.667,-110.73,-45.389,-86.001,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",6,0,"",,,,0,""
9,,1,1,0,0,0,0,1,1,0,0,2,255,255,8,447.022,"가앤슬_",L,34,74,125,-1.527,1.587,-0.644,1.8,-0.561,2.409,-36.394,58.364,85,15,0,2,-64.787,-42.415,4.896,0,0,2,"=","=","=","=","=","=","=","=","=",5,R,"ke ro",164.8,80.196,0.397,5,82,W,Y,1,448.107,255,120,83,63,31,145,112,0,-15.223,-0.282,1.339,-20.408,0.87,0,0.59,-556.81,195.889,-107.658,448.466,4.466,-38.441,449.516,5,8.587,0.062,-55.711,1,0,,453.398,,,,,,,,,,447.582,,,452.713,1,1,164,32,,,,,,,,,,,,,452.061,3,,,,,0.096,-38.228,-0.041,-18.126,-19.616,-41.629,-14.853,-59.25,20.961,-46.81,10.718,-61.298,39.987,-90.036,0.47,-110.701,-45.403,-86.003,0.454,-36.951,,"시즈카_Shizuka",-0.082,-18.167,,"Sabo_10",-20.579,-45.385,92,"CoalCat",-14.763,-59.142,102,"-라후이-",20.537,-47.545,,"Pring__",10.642,-61.118,61,"_송글_",40.029,-90.091,,"SUGUN",0.626,-110.746,,"HOGGYS 호기스",-45.397,-85.999,,457.97,-0.708,-38.196,,,,453.88,-19.042,-40.699,451.347,-3.595,-59.585,,,,449.679,9.022,-57.384,,,,,,,,,,,,,,,,457.013,-17.682,-40.085,452.75,-2.854,-56.332,,,,450.496,4.902,-57.966,,,,,,,,,,"",2,0,"Pring__",,,,164,""
10,,1,1,0,0,0,0,2,1,0,0,5,255,255,9,476.633,"가앤슬_",L,14,60,91,1.4,-0.167,-0.114,1.678,1.197,1.929,-36.394,31.763,100,0,0,0,-322.996,312.348,-25.818,0.088,-15.442,3,"=","=","=","=","=","=","=","=","=",4,R,"인생최패망자",190,80,0.401,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,479.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,-38.116,-0.036,-18.156,-19.541,-40.886,-10.499,-61.223,20.122,-45.069,12.336,-62.177,36.347,-88.273,1.221,-108.732,-46.411,-88.785,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,481.723,0.22,-37.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",479.448,,,0,""
