id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,272.706,"encounter v",R,32,85,137,-0.369,0.403,0.504,2.251,-0.448,1.657,-36.658,52.362,72,28,0,0,221.674,-200,-12.653,0,0,0,"펜케이크","Po_cari","Yes_Man_","ByeolBam","Floră","Muna_328","muyang_","","",4,L,"펜케이크",174,95.157,0.45,,54,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,-37.47,0.04,-17.103,-20.923,-47.502,-13.385,-65.029,23.731,-49.657,15.312,-59.012,40.908,-90.657,-2.402,-113.742,-40.808,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,287.221,"encounter v",R,32,92,140,-0.829,-1.71,0.445,1.842,-0.719,0.332,-36.658,24.688,26,74,0,2,250,-200,-6.219,0,0,0,"=","=","=","=","=","=","=","_Gosomi","",4,L,"펜케이크",174,95.157,0.45,3,54,W,Y,1,288.334,255,93,190,112,50,145,87,-52.201,4.967,-0.136,0.453,-21.206,-1,0,0.662,280.413,236.245,314.847,287.516,-0.162,-21.513,289.009,0,-1.354,3.292,-35.322,0,0,,,,,,,,,,,,,,,293.063,0,,147,16,,,,,,,,,,,,,,,,,,,0.074,-37.296,0.001,-17.144,-21.121,-47.793,-13.324,-64.858,23.738,-49.67,15.51,-58.662,40.907,-90.657,-2.403,-113.758,-40.807,-90.557,0.164,-37.033,85,"소솨소솨",-0.064,-17.273,,"Rite_",-21.099,-47.758,85,"장덕춘_",-13.28,-64.85,,"시즈카_Shizuka",23.802,-49.547,,"-Alta-",15.507,-58.658,,"AI",40.9,-90.65,,"HOGGYS 호기스",-2.407,-113.825,,"AI",-40.8,-90.55,,289.773,-1.388,-36.159,,,,292.474,-18.976,-39.299,,,,,,,,,,,,,,,,,,,291.65,-7.303,-35.636,,,,294.496,-18.266,-39.31,,,,,,,,,,,,,,,,,,,"",2,0,0,0,-2,0,"encounter v",,,,18,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,312.226,"encounter v",R,32,98,140,0.05,-0.924,0.549,2.022,-0.238,0.853,-36.658,47.432,77,23,0,0,250,-200,-31.823,-0.058,-18.357,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-37.297,-0.069,-17.145,-21.794,-49.293,-13.413,-65.138,23.649,-51.823,12.343,-61.455,40.915,-90.664,-1.831,-104.709,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,317.492,0.041,-37.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
4,,1,1,0,0,0,1,1,0,0,0,255,255,255,3,328.724,"encounter v",R,13,93,126,-2.018,-0.876,0.54,2.189,-0.281,1.44,-36.658,59.248,70,30,0,1,-390.434,312.348,-6.681,-0.721,-16.823,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.063,-37.379,-0.002,-17.183,-21.933,-48.969,-13.381,-64.994,24.277,-51.404,12.277,-61.479,40.907,-90.657,-1.839,-104.694,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,332.814,0.385,-37.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
5,,1,1,0,0,1,1,1,0,0,0,255,255,255,4,344.967,"encounter v",R,13,95,126,-1.112,-0.134,0.524,2.113,0.112,1.874,-36.658,45.849,75,25,0,0,-390.434,312.348,-9.754,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,-37.501,-0.061,-17.181,-21.905,-48.964,-13.23,-65.061,24.278,-51.425,12.392,-61.61,40.915,-90.664,-1.84,-104.695,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,349.325,0.107,-37.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
6,,1,1,0,0,1,2,1,0,0,0,255,255,255,5,360.241,"encounter v",R,32,95,140,0.695,1.893,0.488,2.288,-0.055,2.489,-36.658,62.752,74,26,0,1,250,-200,-9.939,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.082,-37.338,-0.006,-17.162,-21.691,-48.848,-13.212,-65.083,24.279,-51.421,12.307,-61.481,40.907,-90.657,-1.838,-104.695,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,371.225,-0.118,-37.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
7,,1,1,0,0,2,2,1,0,0,0,255,255,255,6,381.777,"encounter v",R,13,77,115,1.74,3.031,0.486,2.351,1.238,3.89,-36.658,62.477,82,18,0,1,-278.564,400,-32.978,-0.459,-10.654,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022,-37.47,-0.101,-17.016,-21.459,-48.494,-13.271,-64.907,24.256,-51.234,12.31,-61.481,40.907,-90.657,-1.79,-104.717,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,387.054,0.009,-37.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
8,,1,1,0,0,3,2,1,0,0,0,255,255,255,7,400.311,"encounter v",R,32,90,140,-0.155,0.008,0.508,2.175,-0.427,1.39,-36.658,48.43,76,24,0,0,250,-200,-7.702,0,0,1,"=","=","=","=","=","=","=","=","",8,R,"Po_cari",175.2,85,0.45,,52,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,403.028,1,,578,0,,,,,,,,,,,,,,,,,,,0.013,-37.416,-0.019,-17.108,-21.237,-48.258,-13.265,-64.996,23.789,-51.665,12.288,-61.499,40.915,-90.664,-1.784,-104.709,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,405.951,-0.035,-37.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
9,,1,1,0,0,0,0,2,0,0,0,255,255,255,8,421.228,"encounter v",R,13,75,114,-0.751,0.458,0.636,2.21,0.169,2.173,-36.658,69.95,73,27,0,0,-390.434,312.348,-31.957,0,0,2,"=","=","=","=","=","=","=","=","",1,R,"Yes_Man_",190,85.251,0.499,,48,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,-37.365,-0.072,-17.187,-21.577,-47.891,-13.265,-65.008,23.643,-52.432,12.406,-61.6,40.915,-90.664,-1.79,-104.659,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,425.368,0.154,-37.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
10,,1,1,0,0,0,1,2,0,0,0,255,255,255,9,437.634,"encounter v",R,32,90,140,0.291,-0.169,0.55,2.142,-0.233,1.305,-36.658,68.053,68,32,0,0,250,-200,-14.141,0,0,2,"=","=","=","=","=","=","=","=","",1,R,"Yes_Man_",190,85.251,0.499,,48,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054,-37.412,-0.034,-17.261,-21.369,-47.736,-13.294,-65.038,23.645,-52.44,12.401,-61.61,40.915,-90.664,-1.789,-104.629,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,441.805,-0.117,-37.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,0,"",,,,0,""
