id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,289.228,"ddil_ddil69",R,26,91,140,0.203,-0.878,0.464,1.9,0.103,0.884,-36.684,32.07,80,20,0,0,"",-25.071,-200,5.614,0,0,0,"CoalCat","YukihiroD","kneesohime","紅さかな","Kr_Luna","Fresh825","","","",5,R,"CoalCat",174,83,0.397,,85,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,-37.347,-0.02,-17.217,-20.927,-46.662,-13.865,-64.526,20.997,-49.546,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,302.664,"ddil_ddil69",R,13,74,113,-1.602,-2.299,0.452,1.833,-0.057,0.745,-36.684,35.683,100,0,0,2,"",-360.703,346.256,10.535,-0.36,-19.639,0,"=","=","=","=","=","=","","","",5,R,"CoalCat",174,83,0.397,5,85,W,Y,1,304.118,180,107,85,88,77,,145,84,-30,-37.481,-0.266,0.264,-20.83,1,0,0.417,-107.215,-187.555,-132.553,304.059,-0.048,-21.113,306.076,4,17.408,0.15,-43.825,0,0,,,,,,,,,,,,,,,309.158,0,,147,2,,,,,,,,,,,311.863,2,,,,,,,0.007,-37.234,-0.018,-17.207,-20.964,-46.657,-13.965,-64.725,19.917,-48.379,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,0.213,-37.031,,"소솨소솨",-0.069,-17.33,,"하루（Haru）",-20.968,-46.675,85,"うよすま",-13.912,-64.523,,"aura_5599",20.516,-49.128,113,"AI",12.899,-57.85,,"AI",40.904,-90.654,,"AI",0,-109.844,,"AI",-40.804,-90.554,,315.157,-0.595,-38.51,,,,308.535,-17.643,-40.171,,,,306.135,17.899,-44.63,,,,,,,,,,,,,,,,,,,313.983,-17.317,-39.557,,,,307.198,12.154,-43.665,,,,,,,,,,,,,"",2,0,"aura_5599",,,,19,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,331.207,"ddil_ddil69",R,10,71,113,-0.189,-0.591,0.478,2.111,-0.035,1.726,-36.684,37.069,89,11,0,2,"",-38.673,400,10.183,0,0,1,"=","=","=","=","=","=","","","",3,R,"YukihiroD",174.3,80,0.398,5,82,W,Y,1,332.448,193,150,93,86,26,,145,117,-16.457,-25.394,-0.016,0.832,-20.996,0.84,0,0.555,-430.275,-108.158,-170.04,332.401,1.076,-23.291,335.52,6,30.657,0.055,-86.475,1,0,,338.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,-37.331,-0.018,-17.206,-19.989,-46.214,-15.324,-63.499,21.935,-49.474,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,0.279,-36.946,,"소솨소솨",-0.039,-17.244,,"하루（Haru）",-19.983,-46.208,,"うよすま",-15.301,-63.357,67,"aura_5599",21.363,-49.332,,"AI",12.779,-57.465,,"AI",40.904,-90.653,,"AI",0,-109.844,,"AI",-40.804,-90.553,,344.743,0.218,-38.616,,,,,,,339.159,0.432,-59.692,,,,,,,,,,,,,,,,,,,,,,,,,343.405,-1.778,-56.271,,,,,,,,,,,,,,,,"",2,0,"AI",,,,5,""
4,,1,1,0,0,0,0,1,1,0,0,3,255,255,3,356.678,"ddil_ddil69",R,26,86,139,0.346,-0.97,0.49,1.831,0.121,0.809,-36.684,26.334,48,52,0,1,"",11.488,-200,-1.298,0,0,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,359.341,,,,,,,,,,,,,,,,,,,,,,,,,,0.113,-37.494,-0.012,-17.225,-19.718,-45.81,-7.472,-61.756,21.164,-49.305,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,361.12,-0.055,-37.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,1,0,1,1,0,0,3,255,255,4,370.596,"ddil_ddil69",R,0,53,109,-2.907,0.441,0.19,2.161,-1.272,1.877,-36.684,36.479,100,0,0,4,"",0,0,-7.78,0,0,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,371.995,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,-37.523,-0.019,-17.222,-19.284,-44.99,-9.318,-61.676,20.583,-49.133,10.974,-65.862,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,375.921,-0.269,-37.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
6,,1,1,0,0,1,1,1,1,0,0,3,255,255,5,385.497,"ddil_ddil69",R,8,63,114,-3.101,-0.009,0.126,2.072,-1.571,1.589,-36.684,23.057,94,6,0,1,"",120.806,0,14.032,0,0,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,399.956,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-37.324,-0.009,-17.217,-19.86,-41.66,-12.997,-60.205,20.751,-49.128,12.315,-64.97,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,389.929,0.005,-37.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,1,1,0,0,2,1,1,1,0,0,3,255,255,6,400.659,"ddil_ddil69",R,26,96,140,0.513,-0.185,0.496,1.969,0.226,1.302,-36.684,40.588,89,11,0,0,"",-13.669,-200,4.159,0,0,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,403.568,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,-37.484,-0.013,-17.213,-19.528,-41.568,-13.239,-59.892,19.929,-47.728,12.46,-62.871,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,405.196,-0.082,-37.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,1,1,0,0,2,2,1,1,0,0,3,255,255,7,414.678,"ddil_ddil69",R,13,85,124,-2.473,-1.314,0.365,1.926,-0.461,1.117,-36.684,27.025,43,57,0,1,"",-390.434,312.348,12.922,-0.721,-17.491,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,429.68,,,,,,,,,,,,,,,,,,,,,,,,,,0.062,-37.25,-0.02,-17.215,-19.784,-42.088,-13.882,-60.063,21.277,-48.406,12.423,-63.659,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,419.463,-0.106,-37.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
9,,1,1,0,0,3,2,1,1,0,0,3,255,255,8,430.214,"ddil_ddil69",R,10,61,106,3.072,0.88,0.576,2.377,1.321,2.706,-36.684,71.196,100,0,0,2,"",0,400,-2.294,0,0,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,0,87,W,Y,1,431.505,204,83,53,51,30,,137,87,61.04,54.258,0.568,1.268,-19.842,-1,0,0.234,40.16,-99.505,-255.289,436.884,-47.414,-56.892,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.058,-37.456,-0.025,-17.213,-20.012,-41.897,-13.21,-60.217,20.245,-48.287,11.424,-62.23,40.9,-90.65,0,-109.84,-40.8,-90.55,0.441,-36.916,,"소솨소솨",-0.006,-17.2,,"하루（Haru）",-20.04,-41.914,,"うよすま",-13.137,-60.093,,"aura_5599",20.22,-48.212,,"HANA_ARASHI",11.825,-61.832,,"AI",40.904,-90.653,,"AI",0,-109.844,,"AI",-40.804,-90.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
10,,1,1,0,0,3,2,1,1,0,0,3,255,255,9,453.621,"ddil_ddil69",R,26,82,133,-0.808,-0.792,0.375,1.863,-0.412,0.911,-36.684,20.122,56,44,0,0,"",32.378,-200,12.197,-0.332,-14.034,2,"=","=","=","=","=","=","","","",2,R,"kneesohime",190,85,0.497,,87,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,454.813,,,456.365,2,,578,0,,,,,,,,,,,,,,,,,,,0.06,-37.45,-0.02,-17.215,-20.403,-45.485,-13.675,-60.369,21.701,-50.377,12.37,-63.537,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
