id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,swPreDeg,swTargetDeg,swApproachDeg,swCorr,swSource,swProximity,swVRawDeg,swVAdjustedDeg,swVMotionDeg,swVClosestDeg,swVYShrink,swGeometryDeg,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,262.018,"-라후이-",R,26,95,140,0.316,1.087,0.15,1.717,0.15,2.074,-36.437,23.075,87,11,2,4,"",-14.88,-200,7.43,0,0,0,"SUGUN","k@ster","Kr_Luna","mungjungh","","Penguin_iDOL","","","",2,R,"SUGUN",179.9,82.092,0.496,,80,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,-37.676,-0.056,-17.681,-22.641,-50.244,-13.452,-65.031,21.092,-50.177,9.979,-60.985,40.922,-90.67,0,-109.86,-40.822,-90.57,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,273.275,"-라후이-",R,14,84,123,-0.319,0.125,0.026,1.787,-0.549,2.131,-36.437,27.065,82,15,3,2,"",263.602,400,25.913,0,0,0,"=","=","=","=","","=","","","",2,R,"SUGUN",179.9,82.092,0.496,3,80,W,Y,1,274.418,255,85,131,56,8,,145,83,-43.756,11.053,-0.05,0.958,-20.009,-1,0,0.284,-275.41,-247.889,-68.102,274.339,-0.229,-20.926,275.573,0,-1.396,2.398,-33.959,0,0,,,,,,,,,,,,,,,278.616,0,,147,2,,,,,,,,,,,,,,,,,,,-0.096,-37.513,-0.03,-17.756,-22.777,-50.201,-13.538,-65.084,21.83,-49.469,10.083,-60.669,40.907,-90.657,0,-109.84,-40.807,-90.557,-0.124,-36.515,111,"schmoneymikey",-0.062,-17.783,,"にゃんこ65K",-22.76,-50.157,85,"_송글_",-13.487,-64.936,,"YukihiroD",21.84,-49.507,,"Gonyong",9.91,-60.742,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,275.644,-1.292,-34.556,,,,278.012,-19.18,-39.511,,,,,,,,,,,,,,,,,,,277.261,-5.222,-34.622,,,,280.275,-17.816,-41.382,,,,,,,,,,,,,,,,,,,"",2,,,,,,,,,,,,,0,"-라후이-",,,,6,""
3,,1,1,0,0,0,0,1,0,0,0,255,255,255,2,293.934,"-라후이-",R,27,94,140,0.333,0.625,0.151,1.626,0.191,1.817,-36.437,9.298,62,38,0,0,"",-44.247,-137.09,12.322,0,0,1,"=","=","=","=","","=","","","",3,R,"k@ster",168,89.865,0.25,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009,-37.653,-0.02,-17.84,-22.727,-49.338,-12.635,-65.471,22.274,-49.876,9.457,-60.119,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,298.27,0.244,-37.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
4,,1,1,0,0,0,1,1,0,0,0,255,255,255,3,305.852,"-라후이-",R,26,97,140,-1.392,0.152,-0.075,1.341,-0.586,1.528,-36.437,3.292,63,35,2,0,"",-13.628,-177.161,14.901,0,0,1,"=","=","=","=","","=","","","",3,R,"k@ster",168,89.865,0.25,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.152,-37.475,0.007,-17.869,-22.662,-49.517,-12.547,-65.588,21.725,-50.391,11.41,-64.942,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,310.064,-0.477,-37.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
5,,1,1,0,0,0,2,1,0,0,0,255,255,255,4,318.116,"-라후이-",R,10,86,129,-0.044,1.754,0.174,1.967,-0.025,2.997,-36.437,43.656,80,12,8,2,"",0,369.794,13.64,0,0,1,"=","=","=","=","","=","","","",3,R,"k@ster",168,89.865,0.25,5,78,W,Y,1,319.034,128,56,60,44,22,,135,128,-30,59.819,-0.013,1.386,-20.002,0.57,0,0.144,-320.186,252.771,391.062,318.981,-2.07,-21.193,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,-37.881,-0.016,-17.859,-22.764,-49.501,-12.889,-65.236,21.094,-50.038,11.442,-64.803,40.907,-90.657,0,-109.85,-40.807,-90.557,0.028,-36.555,,"schmoneymikey",-0.009,-17.874,,"にゃんこ65K",-22.625,-49.604,,"_송글_",-12.715,-65.06,,"YukihiroD",21.092,-50.037,,"Gonyong",11.328,-64.707,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,64.24,56.546,18.863,0.49,1,0.474,-77.809,-68.962,-17.584,-88.732,0.051,117.224,0,"",,,,0,""
6,,1,1,0,0,0,2,1,0,0,0,255,255,255,5,333.099,"-라후이-",R,12,58,97,-0.006,2.309,0.216,2.145,-0.009,3.1,-36.437,73.617,95,5,0,2,"",0,119.709,0.211,0,0,1,"=","=","=","=","","=","","","",3,R,"k@ster",168,89.865,0.25,5,77,W,Y,1,334.458,148,89,60,67,43,,137,105,26.24,-21.941,0.011,1.679,-21.332,0.87,0,0.23,474.74,-130.928,137.451,339.473,36.942,-105.809,339.698,6,35.753,2.217,-103.246,0,0,,339.993,,,,,,,,,,,,,339.752,1,,456,0,,,,,,,,,,,,,345.267,3,,,,,0.018,-37.814,-0.034,-17.704,-22.937,-50.026,-15.169,-63.919,20.946,-48.898,12.161,-64.878,40.907,-90.657,0,-109.85,-40.807,-90.557,-0.14,-36.687,,"schmoneymikey",-0.018,-17.714,,"にゃんこ65K",-22.939,-49.753,,"_송글_",-15.113,-63.735,87,"YukihiroD",20.904,-48.957,,"Gonyong",11.741,-64.372,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,347.142,-0.218,-39.465,,,,,,,344.43,-0.233,-59.122,,,,,,,,,,,,,,,,,,,,,,,,,346.226,-0.357,-54.489,,,,,,,,,,,,,,,,"",1,-21.165,-21.165,-6.139,0,1,0.72,52.368,36.076,18.83,83.699,0.055,-31.037,0,"AI",,,,10,""
7,,1,1,0,0,0,0,2,0,0,0,255,255,255,6,361.185,"-라후이-",R,26,99,140,-1.303,0.847,-0.02,1.645,-0.55,1.948,-36.437,10.508,52,48,0,0,"",-14.934,-164.466,19.264,0,0,2,"=","=","=","=","","=","","","",4,L,"Kr_Luna",175.4,95.163,0.504,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,-38.225,-0.023,-17.553,-22.328,-48.604,-13.579,-64.755,24.082,-49.632,14.855,-62.752,40.915,-90.664,0,-109.85,-40.815,-90.564,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,365.809,0.364,-37.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
8,,1,1,0,0,0,1,2,0,0,0,255,255,255,7,376.452,"-라후이-",R,14,86,125,0.971,0.653,0.171,1.92,-0.015,2.436,-36.437,34.99,80,14,6,0,"",281.575,400,15.911,0,0,2,"=","=","=","=","","=","","","",4,L,"Kr_Luna",175.4,95.163,0.504,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.008,-37.554,-0.011,-17.578,-22.333,-48.811,-13.597,-64.734,24.178,-49.585,14.847,-62.703,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,380.579,0.181,-37.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
9,,1,1,0,0,0,2,2,0,0,0,255,255,255,8,388.696,"-라후이-",R,26,99,140,-0.054,0.823,0.036,1.517,0.007,1.934,-36.437,12.669,94,6,0,0,"",-23.521,-170.431,13.814,0,0,2,"=","=","=","=","","=","","","",4,L,"Kr_Luna",175.4,95.163,0.504,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,391.198,2,,578,0,,,,,,,,,,,,,,,,,392.53,1,0.054,-37.876,0.005,-17.785,-22.351,-49.327,-13.65,-64.882,24.233,-49.541,14.796,-62.721,40.907,-90.657,0,-109.85,-40.807,-90.557,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
10,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,393.355,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","","=","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,,,,,,,,,,,,,0,"",,,,0,""
