id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,spinValid,spinControlled,spinFallbackLegacy,spinLegacyMag,spinTargetMag,spinVOffset,spinHOffset,spinContactStrength,spinContactX,spinContactY,spinContactZ,spinSpeedStrength,spinBatDirMag,spinTangentMag,spinHitSpeedKmh,spinAppliedMag,phValid,phSource,phColMode,phFlags,phDt,phFixedDt,phTargetAge,phInstFps,phRawCpX,phRawCpY,phRawCpZ,phRawHPos,phRawNX,phRawNY,phRawNZ,phNDeltaDeg,phCpX,phCpY,phCpZ,phHPosAdj,phNX,phNY,phNZ,phNVDeg,phBallVX,phBallVY,phBallVZ,phBallSpd,phProxyPVX,phProxyPVY,phProxyPVZ,phProxyPSpd,phRenderPVX,phRenderPVY,phRenderPVZ,phRenderPSpd,phLastDX,phLastDY,phLastDZ,phBatSpd,phLagX,phLagY,phLagZ,phLagRotDeg,phProxyMoveX,phProxyMoveY,phProxyMoveZ,phProxyMoveRotDeg,phRenderMoveX,phRenderMoveY,phRenderMoveZ,phRenderMoveRotDeg,phBallMoveX,phBallMoveY,phBallMoveZ,phBallMoveSpd,phRawDirX,phRawDirY,phRawDirZ,phRawDirH,phProxyDirX,phProxyDirY,phProxyDirZ,phProxyDirH,phRenderDirX,phRenderDirY,phRenderDirZ,phRenderDirH,phProxyGeoX,phProxyGeoY,phProxyGeoZ,phProxyGeoH,phRenderGeoX,phRenderGeoY,phRenderGeoZ,phRenderGeoH,phFinalDirX,phFinalDirY,phFinalDirZ,phFinalDirH,phSweepSteps,phSweepT,phProxyMoveDist,phRenderMoveDist,phRawProxyPVX,phRawProxyPVY,phRawProxyPVZ,phRawProxyPSpd,phRawRenderPVX,phRawRenderPVY,phRawRenderPVZ,phRawRenderPSpd,phLegacyDirX,phLegacyDirY,phLegacyDirZ,phLegacyDirH,phRawRelVX,phRawRelVY,phRawRelVZ,phRawRelSpd,phImpulseX,phImpulseY,phImpulseZ,phImpulseMag,phProxyRbVX,phProxyRbVY,phProxyRbVZ,phProxyRbSpd,phProxyRbAVX,phProxyRbAVY,phProxyRbAVZ,phProxyRbAVMag,phSeparation,phContactCount,phCpDelta,phHPosDelta,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,330.431,"가앤슬_",L,0,43,89,2.216,0.545,-0.287,1.705,0.97,1.989,-36.439,29.266,100,0,0,2,"",0,0,0.54,0,0,0,"Yes_Man_","SUGUN","HOGGYS 호기스","ddil_ddil69","HANA_ARASHI","인생최패망자","","CVPileMaki","",1,R,"Yes_Man_",190,85.251,0.499,5,85,W,Y,1,331.835,255,53,191,49,51,,145,88,-57.105,-49.876,0.406,1.236,-20.415,-1,0,0.497,91.34,-132.013,-5.193,1,1,0,381.735,160.615,-0.944,0.325,1,-0.045,-0.032,0.014,0.446,1,0.631,88,160.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.717,0.985,-20.903,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,-37.722,,,-19.64,-45.718,-12.379,-65.139,21.606,-49.408,10.541,-66.075,36.437,-85.468,0,-109.84,-48.947,-102.989,-0.188,-37.565,,"",0,0,,"encounter v",-19.387,-45.539,,"ke ro",-12.375,-65.12,,"_Gosomi",21.638,-49.303,,"「론구」",10.547,-66.08,,"Kr_Luna",36.44,-85.474,,"AI",0,-109.84,,"하루（Haru）",-48.947,-102.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,"",,,,0,""
2,,1,1,0,0,0,1,0,0,0,0,255,255,255,1,349.744,"가앤슬_",L,26,91,140,1.882,-0.833,-0.302,1.497,0.921,0.917,-36.439,5.338,43,57,0,4,"",-69.083,-200,-22.237,0,0,0,"=","=","=","=","=","=","","=","",1,R,"Yes_Man_",190,85.251,0.499,,85,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-37.868,,,-20.339,-46.429,-13.526,-63.305,22.438,-49.674,11.241,-65.961,33.914,-82.178,0,-109.85,-49.014,-102.977,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
3,,1,1,0,0,0,2,0,0,0,0,255,255,255,2,364.736,"가앤슬_",L,10,86,112,-0.171,-1.111,-0.519,1.639,-0.06,1.415,-36.439,24.74,97,3,0,2,"",0,400,-7.13,0,0,0,"=","=","=","=","=","=","","=","",1,R,"Yes_Man_",190,85.251,0.499,5,85,W,Y,1,365.918,200,100,119,91,55,,145,107,2.826,9.999,-0.041,0.64,-20.736,-0.04,0,0.638,1.719,0.613,-0.096,1,1,0,164.054,1.828,-0.038,0.087,0.008,0.005,-0.005,0.057,0.599,1,0.271,107.886,1.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.717,-4.664,-46.954,367.692,3,-7.111,0.055,-60.822,0,0,,,,,,,,,,,,,,,370.567,0,,147,64,,,,,,,,,,,370.733,2,,,,,,,-0.014,-37.819,,,-20.373,-46.444,-13.487,-63.257,22.623,-49.666,11.246,-65.894,32.339,-83.541,0,-109.85,-48.113,-107.135,-0.195,-37.429,,"",0,0,,"encounter v",-20.185,-46.243,120,"ke ro",-13.48,-63.225,103,"_Gosomi",22.669,-49.499,,"「론구」",11.163,-65.724,,"Kr_Luna",32.322,-83.546,,"AI",0,-109.84,,"하루（Haru）",-47.833,-107.684,,372.863,-0.733,-38.236,,,,369.935,-18.487,-40.668,367.826,-7.801,-61.757,,,,,,,,,,,,,,,,,,,,,,372.059,-15.516,-39.871,369.026,-9.558,-56.083,,,,,,,,,,,,,,,,"",2,0,"ke ro",,,,193,""
4,,1,1,0,0,0,0,1,0,0,0,255,255,255,3,384.614,"가앤슬_",L,6,63,95,2.388,0.594,-0.057,1.792,1.685,2.206,-36.439,22.446,100,0,0,1,"",-346.25,163.571,2.209,0,0,1,"=","=","=","=","=","=","","=","",8,R,"SUGUN",179.9,82,0.5,,84,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285,-37.694,,,-19.974,-46.622,-13.736,-64.506,22.677,-50.716,9.066,-66.953,37.624,-84.598,0,-109.85,-47.424,-102.645,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,389.496,-0.114,-37.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
5,,1,1,0,0,1,0,1,0,0,0,255,255,255,4,399.851,"가앤슬_",L,26,82,133,1.437,-0.254,-0.346,1.594,0.718,1.263,-36.439,14.169,52,48,0,2,"",-56.791,-200,-13.912,0,0,1,"=","=","=","=","=","=","","=","",8,R,"SUGUN",179.9,82,0.5,5,84,W,Y,1,400.95,149,77,146,90,20,,145,87,34.162,18.394,0.265,0.88,-20.44,-0.86,0,0.348,136.147,47.782,-66.767,1,1,0,542.519,158.987,-0.872,-0.28,1,0.012,-0.054,-0.014,0.442,1,0.897,87.412,158.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.65,-21.928,-85.356,407.284,8,-25.342,0.473,-95.007,1,0,,406.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.334,5,,,,,0.038,-37.796,,,-19.969,-46.605,-13.698,-64.416,22.352,-50.95,8.99,-66.859,37.668,-84.604,0,-109.85,-47.457,-102.744,-0.316,-37.322,,"",0,0,,"encounter v",-19.799,-46.388,,"ke ro",-13.654,-64.327,,"_Gosomi",22.424,-50.782,,"「론구」",8.985,-66.837,85,"Kr_Luna",37.656,-84.596,,"AI",0,-109.84,,"하루（Haru）",-47.454,-102.752,106,415.898,0.06,-38.905,,,,,,,,,,,,,410.24,-1.109,-60.595,,,,,,,407.399,-26.017,-96.342,,,,,,,,,,,,,,,,414.706,0.43,-58.256,,,,,,,408.665,-21.498,-88.429,"",2,0,"하루（Haru）",,,,162,""
6,,1,1,0,0,0,0,1,1,0,0,8,255,255,5,431.096,"가앤슬_",L,10,80,108,1.084,-1.775,-0.39,1.5,0.455,1.029,-36.439,6.718,58,42,0,4,"",14.912,400,-10.898,0.948,-19.884,2,"=","=","=","=","=","=","","=","",3,L,"HOGGYS 호기스",190,87.075,0.35,,83,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,448.106,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,-38.031,,,-18.033,-39.301,-11.448,-64.794,22.323,-49.608,9.437,-61.304,43.234,-92.155,0,-109.86,-43.524,-103.792,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,440.601,0.231,-37.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
7,,1,1,0,0,0,1,1,1,0,0,8,255,255,6,449.782,"가앤슬_",L,5,72,108,0.481,-0.255,-0.587,1.681,0.069,1.458,-36.439,24.395,87,13,0,0,"",85.473,0,-11.696,0,0,2,"=","=","=","=","=","=","","=","",3,L,"HOGGYS 호기스",190,87.075,0.35,,83,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,465.523,,,,,,,,,,,,,,,,,,453.721,2,,,,,,,-0.14,-37.699,,,-17.989,-39.332,-13.019,-64.09,23.063,-49.713,9.285,-61.182,43.278,-92.178,0,-109.85,-43.562,-96.988,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,457.72,-0.86,-38.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
8,,1,1,0,0,0,2,1,1,0,0,8,255,255,7,465.667,"가앤슬_",L,26,86,140,-0.297,0.299,-0.489,1.702,0.049,1.626,-36.439,34.469,91,9,0,0,"",-122.809,-200,-14.129,0,0,2,"=","=","=","=","=","=","","=","",3,L,"HOGGYS 호기스",190,87.075,0.35,,83,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,485.738,,,468.443,2,,578,0,,,,,,,,,,,,,,,,,,,0.015,-37.818,,,-18.335,-39.151,-13.354,-64.482,22.977,-49.768,9.308,-61.284,43.268,-92.179,0,-109.85,-44.955,-93.322,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,473.687,-1.177,-38.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
9,,1,1,0,0,0,0,2,1,0,0,8,255,255,8,487.633,"가앤슬_",L,6,65,96,1.537,0.145,-0.173,1.672,1.324,1.937,-36.439,17.839,100,0,0,1,"",-354.503,162.244,-2.934,0,0,3,"=","=","=","=","=","=","","=","",6,R,"ddil_ddil69",176.4,89.974,0.546,,83,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,504.392,,,,,,,,,,,,,,,,,,,,,,,,,,0.276,-37.816,,,-18.045,-39.975,-15.076,-63.418,22.412,-50.525,10.13,-66.162,43.261,-92.142,0,-109.86,-45.247,-99.137,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,495.567,-0.851,-38.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
10,,1,1,0,0,1,0,2,1,0,0,8,255,255,9,504.645,"가앤슬_",L,26,88,140,0.555,0.056,-0.408,1.645,0.43,1.45,-36.439,19.056,87,13,0,0,"",-131.777,-200,-19.337,0.254,-18.548,3,"=","=","=","=","=","=","","=","",6,R,"ddil_ddil69",176.4,89.974,0.546,,83,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,518.356,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,-37.944,,,-18.36,-39.328,-15.131,-63.153,21.97,-50.857,10.003,-66.119,43.275,-92.144,0,-109.85,-44.108,-95.728,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,511.04,0.098,-37.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,"",,,,0,""
