id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,spinValid,spinControlled,spinDecision,spinLegacyMag,spinTargetMag,spinVOffset,spinHOffset,spinRawStrength,spinContactStrength,spinSpeedStrength,spinTangentMag,spinAppliedMag,phValid,phSource,phColMode,phFlags,phDt,phFixedDt,phRenderAge,phInstFps,phRawCpX,phRawCpY,phRawCpZ,phRawHPos,phRawNX,phRawNY,phRawNZ,phNDeltaDeg,phCpX,phCpY,phCpZ,phHPosAdj,phNX,phNY,phNZ,phNVDeg,phGeomNX,phGeomNY,phGeomNZ,phGeomNDeltaDeg,phBallVX,phBallVY,phBallVZ,phBallSpd,phProxyPVX,phProxyPVY,phProxyPVZ,phProxyPSpd,phRenderPVX,phRenderPVY,phRenderPVZ,phRenderPSpd,phLastDX,phLastDY,phLastDZ,phBatSpd,phRenderLagX,phRenderLagY,phRenderLagZ,phRenderLagRotDeg,phProxyMoveX,phProxyMoveY,phProxyMoveZ,phProxyMoveRotDeg,phRenderMoveX,phRenderMoveY,phRenderMoveZ,phRenderMoveRotDeg,phProxyGeoX,phProxyGeoY,phProxyGeoZ,phProxyGeoH,phRenderGeoX,phRenderGeoY,phRenderGeoZ,phRenderGeoH,phPreGuardDirX,phPreGuardDirY,phPreGuardDirZ,phPreGuardDirH,phFinalDirX,phFinalDirY,phFinalDirZ,phFinalDirH,phPreGuardH,phApproachH,phGuardTargetH,phGuardDelta,phSeparation,phContactCount,phCpDelta,phHPosDelta,phSweepSteps,phSweepT,phSweepFail,phSweepGap,phPointVSource,phNormalSource,phGuardFlags,phRenderSampleDt,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,infieldFly,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,317.07,"인생최패망자",R,26,93,140,0.393,0.569,0.475,2.186,0.109,1.772,-36.742,47.123,65,35,0,2,"",39,-200,6.092,0,0,0,"aura_5599","하루（Haru）","소솨소솨","임 재 천","Yaksok~","MODECO","Kr_Luna","Pugeuk","kneesohime",4,R,"aura_5599",190,89.523,0.398,3,81,W,Y,1,318.13,213,123,53,69,30,,137,92,-49.484,-27.247,0.073,1.238,-20.446,-0.46,0,0.238,364.755,-150.594,-367.351,1,0,0,539.14,0,0,0,0,0,0,0.891,539.14,1,3,3,2263,0.008,0.008,0.024,120,0.045,1.108,-19.283,-0.675,-0.026,-0.639,-0.769,88.742,-0.108,0.801,-20.446,-0.46,-0.335,0.716,-0.612,-49.484,0.373,-0.691,0.62,177.336,-0.835,-2.747,36.518,36.631,1.514,4.635,-41.991,42.273,-9.72,-4.986,-11.483,15.849,-0.387,0.652,-0.652,92.882,-0.045,-0.022,0.171,88.895,0.082,0.076,-0.107,88.895,0.008,0.018,-0.171,55.028,0.275,0,-0.961,-15.956,-0.719,0,-0.695,45.956,0,0,0,0,0.317,-0.721,-0.616,-27.247,-999,-999,-999,0,0.543,1,1.213,0.215,48,-1,2,0.251,1,1,0,0.028,317.825,0.588,-21.449,319.925,4,12.691,2.691,-45.137,0,0,,,,,,,,,,,,,,,322.745,0,,147,128,,,,,,,,,,,,,,,,,,,-0.044,-37.304,0.002,-17.12,-20.813,-47.49,-13.369,-63.335,19.543,-47.938,12.313,-64.971,40.9,-90.65,0.7,-111.435,-44.553,-87.433,0.047,-36.87,,"Yes_Man_",-0.009,-17.395,,"Sabo_10",-20.553,-47.508,94,"_Gosomi",-13.308,-63.319,,"눈꽃",19.524,-47.954,120,"아침땅_",12.516,-66.195,,"AI",40.903,-90.653,,"ddil_ddil69",1.233,-111.352,,"쟈가리코",-43.433,-86.464,,325.306,2.197,-35.245,,,,322.171,-18.927,-39.633,,,,320.3,13.126,-46.257,,,,,,,,,,,,,,,,,,,324.208,-17.619,-39.349,,,,320.979,8.897,-45.206,,,,,,,,,,,,,"",2,0,0,"눈꽃",,,,168,""
2,,1,1,0,0,0,0,1,0,0,0,255,255,255,1,344.516,"인생최패망자",R,26,87,140,-1.311,0.975,0.417,2.235,-0.626,1.953,-36.742,45.199,75,25,0,0,"",34.34,-200,16.143,0,0,1,"=","=","=","펜케이크","=","=","=","=","=",5,L,"하루（Haru）",175.2,85,0.397,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.069,-37.263,0.044,-17.116,-20.832,-48.375,-10.997,-64.868,20.397,-47.316,15.492,-63.238,40.9,-90.65,0.727,-111.589,-42.164,-88.979,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,353.798,-0.004,-37.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
3,,1,1,0,0,0,1,1,0,0,0,255,255,255,2,365.001,"인생최패망자",R,14,92,114,1.339,-2.165,0.547,1.909,-0.016,0.856,-36.742,43.186,82,18,0,4,"",324.995,379.972,-21.046,0.262,-19.435,1,"=","=","=","=","=","=","=","=","=",5,L,"하루（Haru）",175.2,85,0.397,,38,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,-37.419,0.023,-17.14,-21.022,-48.751,-10.916,-64.92,20.126,-47.263,15.532,-63.156,40.9,-90.65,0.674,-111.453,-40.402,-90.028,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,369.53,-0.173,-37.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
4,,1,1,0,0,0,2,1,0,0,0,255,255,255,3,383.217,"인생최패망자",R,26,92,140,-0.957,0.957,0.461,2.234,-0.422,1.943,-36.742,47.145,74,26,0,0,"",-7.08,-200,14.204,0,0,1,"=","=","=","=","=","=","=","=","=",5,L,"하루（Haru）",175.2,85,0.397,,38,W,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,385.969,1,,578,0,,,,,,,,,,,,,,,,,,,0.025,-37.408,0.017,-17.332,-20.436,-48.62,-11.457,-64.694,20.374,-47.199,15.354,-63.591,40.9,-90.65,3.294,-109.078,-38.898,-94.388,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,389.241,-0.144,-37.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
5,,1,1,0,0,0,0,2,0,0,0,255,255,255,4,405.33,"인생최패망자",R,26,96,140,0.667,1.116,0.512,2.293,0.279,2.113,-36.742,55.991,76,24,0,2,"",-3.967,-200,9.116,0,0,2,"=","=","=","임 재 천","=","=","=","=","=",2,R,"소솨소솨",190,90.013,0.501,5,78,W,Y,1,406.399,177,121,101,86,8,,145,114,31.594,54.338,-0.024,1.543,-20.489,0.11,0,0.629,567.139,92.218,-156.97,1,0,0,595.642,0,0,0,0,0,0,0.985,595.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.741,-84.152,-75.64,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026,-37.356,0.029,-17.366,-21.066,-48.71,-14.73,-63.285,20.428,-47.374,12.5,-64.743,49.005,-92.093,2.772,-114.975,-47.095,-94.532,0.267,-36.902,,"Yes_Man_",0.035,-17.537,,"Sabo_10",-20.955,-48.497,,"_Gosomi",-14.192,-63.386,,"눈꽃",20.368,-50.027,,"아침땅_",12.486,-65.294,,"펜케이크",48.8,-91.868,,"ddil_ddil69",2.818,-114.943,,"쟈가리코",-46.657,-95.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
6,,1,1,0,0,0,1,2,0,0,0,255,255,255,5,421.922,"인생최패망자",R,10,92,116,0.482,-0.886,0.515,2.192,0.196,1.528,-36.742,52.547,66,34,0,2,"",0,400,16.5,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"소솨소솨",190,90.013,0.501,3,78,W,Y,1,423.085,255,203,102,88,67,,145,38,104.684,-71.119,0.121,0.873,-21.635,1,0,0.738,168.561,343.051,319.914,1,0,0,498.439,0,0,0,0,0,0,0.824,498.439,1,3,3,2263,0.011,0.011,0.007,90,0.131,0.77,-21.248,0.292,0.351,-0.84,0.414,10.863,0.981,0.501,-21.691,1,0.371,-0.898,0.235,75.316,-0.371,0.898,-0.235,180,-0.781,-4.372,29.834,30.163,60.632,10.671,-58.536,84.95,31.005,5.457,-29.933,43.44,0.695,0.277,-0.663,33.5,0,0,0,0,0.482,0.112,-0.298,39.91,0.482,0.112,-0.298,39.91,0.762,0,0.647,49.668,0.762,0,0.647,49.668,0,0,0,0,-0.595,0.777,0.204,-71.119,-999,-999,-999,0,0.397,1,0.996,0.708,48,-1,2,0.491,1,1,0,0.022,426.175,-17.357,-14.887,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.041,-37.319,-0.027,-17.395,-22.041,-49.027,-15.518,-62.87,20.014,-49.341,12.814,-64.802,55.126,-94.284,5.449,-109.758,-47.515,-92.326,0.079,-36.998,,"Yes_Man_",-0.013,-17.639,,"Sabo_10",-21.989,-48.39,,"_Gosomi",-15.537,-62.773,,"눈꽃",19.832,-49.285,,"아침땅_",12.331,-65.475,,"펜케이크",55.126,-94.296,,"ddil_ddil69",4.562,-115.183,,"쟈가리코",-47.494,-92.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
7,,1,1,0,0,0,2,2,0,0,0,255,255,255,6,441.69,"인생최패망자",R,14,87,111,-1.598,-0.977,0.091,2.13,-1.429,1.394,-36.742,28.111,82,18,0,1,"",390.434,312.348,42.17,-0.044,-21.52,2,"=","=","=","=","=","=","=","=","=",2,R,"소솨소솨",190,90.013,0.501,,78,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.144,-37.381,-0.007,-17.134,-21.174,-49.204,-14.495,-63.765,20.915,-48.581,12.197,-65.188,54.273,-90.941,2.816,-113.662,-44.673,-92.85,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
8,,1,1,0,0,1,2,2,0,0,0,255,255,255,7,457.272,"인생최패망자",R,14,80,106,-0.569,0.036,0.164,2.402,-1.006,2.058,-36.742,54.19,74,18,9,2,"",376.237,312.348,25.706,0,0,2,"=","=","=","=","=","=","=","=","=",2,R,"소솨소솨",190,90.013,0.501,5,78,W,Y,1,458.492,206,125,96,83,86,,145,88,33.804,-39.134,-0.122,1.141,-21.089,1,0,0.638,347.42,334.132,289.627,1,0,0,562.342,0,0,0,0,0,0,0.93,562.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.2,40.251,-78.658,463.441,6,39.167,2.144,-76.881,0,0,,464.91,,,,,,,,,,,,,463.768,2,,455,0,,,,,,,,,,,,,,,,,,,-0.043,-37.604,0.013,-17.147,-20.368,-50.35,-14.507,-63.919,20.163,-48.021,12.136,-64.961,53.823,-90.033,2.909,-113.724,-44.393,-92.879,0.055,-36.759,,"Yes_Man_",-0.258,-17.532,,"Sabo_10",-20.419,-49.755,,"_Gosomi",-14.455,-63.837,,"눈꽃",20.153,-48.02,,"아침땅_",12.526,-66.599,,"펜케이크",53.821,-90.083,,"ddil_ddil69",2.735,-113.703,,"쟈가리코",-44.401,-92.881,,,,,,,,,,,,,,,,,,,,463.779,39.605,-77.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,0,"펜케이크",,,,1,""
9,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,465.762,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","=","=","=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
10,,1,0,0,0,0,0,0,0,0,0,255,255,255,0,620.455,"임 재 천",R,32,68,121,2.225,-0.005,0.922,1.378,0.704,1.699,-36.908,52.186,0,100,0,2,"",156.54,15.556,-0.417,0,0,0,"_송글_","쟈가리코","ddil_ddil69","Sabo_10","펜케이크","_Gosomi","아침땅_","눈꽃","Yes_Man_",9,R,"_송글_",175.4,91.844,0.315,5,75,W,Y,1,621.508,184,150,108,118,7,,145,97,35.835,-55.213,0.413,1.066,-20.764,-0.27,0,0.58,251.057,101.872,388.011,1,0,0,473.244,0,0,0,0,0,0,0.782,473.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.466,64.425,-67.45,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,-37.594,0.001,-17.626,-20.374,-45.57,-15.486,-63.665,18.676,-48.21,10.138,-65.787,38.049,-90.472,-1.918,-111.34,-42.095,-101.443,0.314,-36.854,,"Kr_Luna",0.032,-17.557,,"소솨소솨",-19.639,-45.427,,"Yaksok~",-16.231,-65.12,,"aura_5599",19.281,-49.17,,"하루（Haru）",10.155,-65.802,,"MODECO",37.871,-90.091,,"kneesohime",-2.836,-111.654,,"Pugeuk",-42.271,-101.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
