id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,epPreHPos,epDelta,epEvidenceType,epEvidenceValue,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,phValid,phSource,phNormalSource,phFlags,phDt,phRenderAge,phRenderSampleDt,phRenderLagDist,phRawHPos,phHPosAdj,phSeparationR,phReprojectConfidence,phSweepSteps,phSweepT,phSweepFail,phSweepGapR,phBallVX,phBallVY,phBallVZ,phOriginV,phPointVX,phPointVY,phPointVZ,phPointVSource,phProxyPSpd,phRenderPSpd,phPVDeltaDeg,phPVSpeedRatio,phNX,phNY,phNZ,phNDeltaDeg,phPreGuardH,phApproachH,phPostGuardH,phGuardDelta,phFinalDirX,phFinalDirY,phFinalDirZ,phFinalFieldH,phProxyMoveDist,phRenderMoveDist,phRenderLagAlongSwing,phReprojectMoveR,phProxyMoveRotDeg,phRenderMoveRotDeg,phRenderLagRotDeg,phConfidenceLimit,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,infieldFly,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,IBB,1,1,0,0,0,0,0,0,0,0,255,255,255,,216.406,,,,,,,,,,,,,,,,,,,,,,,,0,"pododang","schmoneymikey","べるちゃそ","まととまと","아침땅_","CVPileMaki","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
2,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,274.191,"Yes_Man_",R,32,85,137,1.732,0.479,0.915,1.722,0.533,1.886,-36.737,35.199,0,100,0,1,"",155.662,-24.168,5.581,0,0,0,"=","=","=","=","=","=","","","",4,R,"pododang",190,88.237,0.346,,40,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.344,-37.618,0.012,-17.133,-19.401,-45.283,-12.404,-61.514,18.957,-48.435,14.184,-61.99,34.745,-89.179,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
3,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,287.808,"Yes_Man_",R,32,85,138,-0.574,0.769,0.688,1.767,-0.521,2.034,-36.737,19.616,0,100,0,0,"",177.386,-61.866,15.066,0,0,0,"=","=","=","=","=","=","","","",4,R,"pododang",190,88.237,0.346,,40,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304,-37.445,0.005,-17.178,-19.451,-45.543,-11.922,-61.404,19.837,-49.088,14.174,-61.997,32.973,-91.156,0,-109.84,-40.801,-90.551,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
4,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,302.117,"Yes_Man_",R,32,84,136,1.745,0.668,0.893,1.733,0.435,1.923,-36.737,35.351,0,100,0,2,"",208.404,-37.355,7.983,0,0,0,"=","=","=","=","=","=","","","",4,R,"pododang",190,88.237,0.346,3,40,W,Y,1,303.138,197,42,91,71,45,,145,89,44.405,0.262,0.318,1.371,-20.195,-0.89,-0.888,0,0,0,0,0.498,139.931,93.726,-53.294,1,3,0,53371,0.014,0.002,0.028,0,-0.888,-0.89,3.159,0,48,0.31,2,2.99,-0.858,-1.844,35.478,44.405,-1.756,2.348,-13.425,1,13.742,9.266,10.212,0.674,-0.014,-0.7,0.714,0,1.647,3.602,1.647,0,-0.003,0.7,-0.714,1.647,0.178,0.213,0,3.087,63.545,63.545,0,1,307.806,-1.007,-84.496,308.513,7,-1.09,0.694,-86.307,1,0,,309.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,-37.551,0.004,-17.163,-19.662,-46.435,-11.904,-61.412,19.652,-49.327,14.381,-63.094,33.148,-91.112,0,-109.84,-40.801,-90.551,0.79,-36.769,,"Po_cari",0.044,-17.355,,"SUGUN",-19.55,-46.191,,"CoalCat",-11.86,-61.324,,"aura_5599",18.296,-49.252,89,"TaeGeuk_",14.384,-63.103,,"Kr_Luna",33.148,-91.107,,"AI",0,-109.84,,"AI",-40.801,-90.551,,315.187,0.993,-38.336,,,,,,,,,,312.131,-0.097,-58.493,,,,,,,,,,,,,,,,,,,,,,,,,314.459,3.173,-48.675,,,,,,,,,,,,,"",2,0,0,"AI",,,,40,""
5,,1,1,0,0,0,0,0,1,0,0,4,255,255,3,332.46,"Yes_Man_",R,32,82,133,0.84,0.582,0.826,1.714,0.122,1.879,-36.737,33.404,0,100,0,0,"",169.521,-54.864,12.636,0,0,1,"=","=","=","=","=","=","","","",3,L,"schmoneymikey",174.6,80,0.347,,38,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253,-37.66,-0.017,-17.173,-20.066,-41.118,-10.091,-59.052,19.681,-47.52,11.7,-63.371,32.578,-85.804,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,336.629,-0.072,-37.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
6,,1,1,0,0,0,1,0,1,0,0,4,255,255,4,348.524,"Yes_Man_",R,32,80,131,-1.143,-0.546,0.681,1.558,-0.747,1.266,-36.737,37.084,0,87,13,2,"",150.914,-17.16,6.684,0,0,1,"=","=","=","=","=","=","","","",3,L,"schmoneymikey",174.6,80,0.347,3,38,W,Y,1,349.652,236,100,74,39,0,,138,95,100.538,-24.235,-0.126,0.787,-19.572,-0.08,-0.083,0,0,0,0,0.284,146.049,-273.782,63.118,1,5,2,646139,0.007,0.018,0.02,0.098,-0.2,-0.08,0.908,0.309,36,0.068,2,0.882,-1.529,-2.554,33.965,79.462,21.61,-12.959,-56.451,1,61.819,21.188,25.493,0.343,-0.765,-0.634,0.118,2.924,-158.342,-7.923,-21.658,136.685,-0.075,0.983,0.167,158.342,0.006,0.205,-0.091,0.185,3.386,27.536,49.957,6,,,,,,,,,0,0,,,,,,,,,,,,363.303,,,,,,,,,,,,,,,,,,,,,,,,,,0.182,-37.602,-0.013,-17.198,-20.022,-40.833,-8.338,-58.771,20.793,-48.53,14.191,-63.311,34.697,-89.902,0,-109.84,-40.8,-90.55,0.537,-36.954,,"Po_cari",0.006,-17.406,,"SUGUN",-20.111,-45.316,,"CoalCat",-8.293,-58.738,,"aura_5599",20.047,-48.048,,"TaeGeuk_",14.213,-63.27,,"Kr_Luna",34.698,-89.897,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
7,,1,1,0,0,0,2,0,1,0,0,4,255,255,5,371.936,"Yes_Man_",R,6,50,84,2.521,-1.354,0.865,1.508,0.201,1.321,-36.737,44.876,0,100,0,2,"",337.039,234.948,14.334,0,0,1,"=","=","=","=","=","=","","","",3,L,"schmoneymikey",174.6,80,0.347,3,38,W,Y,1,373.334,181,190,69,105,71,,141,105,-30,0.6,0.462,0.54,-20.655,0.94,0.938,0,0,0,0,0.349,52.014,68.156,0.954,1,3,0,121467,0.007,0.015,0.019,0.091,0.938,0.94,2.477,0,30,0,2,2.206,0.219,-3.166,20.949,-67.857,-16.931,61.306,-64.662,1,90.698,20.675,25.089,0.228,-0.921,0.36,-0.146,0,180,6.856,0,180,-0.009,-0.5,-0.866,0,0.076,0.119,-0.082,6.66,44.602,17.031,44.602,1,372.646,0.453,-21.531,373.819,0,0.276,1.968,-36.32,0,1,,,,,,379.737,,,,,,374.319,,,376.937,1,,147,32,379.537,0,1,276,4,,,,,,,,,,,,,,0.277,-37.388,-0.015,-16.873,-19.883,-45.926,-8.269,-59.74,19.041,-48.267,10.732,-62.002,42.933,-92.939,0,-109.84,-40.8,-90.55,0.653,-37.399,120,"Po_cari",0.023,-17.117,,"SUGUN",-19.7,-45.899,120,"CoalCat",-8.191,-59.669,75,"aura_5599",19.353,-47.888,,"TaeGeuk_",11.886,-60.906,,"Kr_Luna",43.19,-93.488,,"AI",0,-109.84,,"AI",-40.8,-90.55,,374.567,0.196,-37.177,,,,376.3,-18.651,-39.804,378.856,-1.098,-58.382,,,,,,,,,,,,,,,,375.541,-2.134,-38.25,,,,378.022,-12.901,-46.552,381.871,-4.723,-51.97,,,,,,,,,,,,,,,,"",2,0,0,"Yes_Man_",379.737,,,38,""
8,,1,1,0,0,0,0,2,0,0,0,255,255,255,6,399.836,"Yes_Man_",R,26,82,119,-2.287,1.12,0.414,1.847,-1.198,2.101,-36.737,18.323,0,97,3,1,"",147.869,-154.646,30.464,0,0,2,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,,37,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,-37.48,0.028,-17.036,-19.84,-45.813,-9.625,-63.951,20.277,-47.423,12.636,-57.935,43.06,-97.115,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,404.336,-0.137,-37.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
9,,1,1,0,0,1,0,2,0,0,0,255,255,255,7,414.163,"Yes_Man_",R,32,83,134,-3.05,1.129,0.476,1.785,-1.507,2.112,-36.737,24.54,0,100,0,2,"",244.652,-143.781,21.169,0,0,2,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,5,37,W,Y,1,415.252,48,27,73,48,28,,57,64,-30,-2.998,-0.418,1.327,-20.303,0.14,0.144,0,0,0,0,0.255,-86.452,-170.511,-79.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.539,-0.304,-22.42,415.859,0,0.449,0.651,-36.095,0,0,,420.644,,,,,,,,,,,,,419.952,2,,147,32,,,,,,,,,,,,,,,,,,,0.076,-37.399,-0.032,-17.081,-20.133,-46.624,-9.607,-63.964,19.148,-48.134,12.699,-60.168,43.005,-97.224,0,-109.84,-40.8,-90.55,0.177,-37.137,94,"Po_cari",-0.101,-17.238,,"SUGUN",-20.153,-46.403,94,"CoalCat",-9.531,-63.907,,"aura_5599",19.101,-48.098,,"TaeGeuk_",13.107,-61.066,,"Kr_Luna",43.009,-97.222,,"AI",0,-109.84,,"AI",-40.8,-90.55,,416.695,0.334,-37.205,,,,419.31,-18.598,-39.636,,,,,,,,,,,,,,,,,,,418.367,-1.49,-38.016,,,,420.621,-16.151,-39.706,,,,,,,,,,,,,,,,,,,"",2,0,0,"Yes_Man_",,,,36,""
10,SIDE,1,1,0,0,0,0,2,0,0,0,255,255,255,,420.827,,,,,,,,,,,,,,,,,,,,,,,,3,"=","=","=","=","=","=","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
