id,type,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,pOver,pSide,pUnder,call,manual,sH,sV,gyro,plx,plz,bIdx,order1Name,order2Name,order3Name,order4Name,order5Name,order6Name,order7Name,order8Name,order9Name,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,bSwing,hSec,rotS,rotL,shS,lgS,prepS,gripPen,batSpd,ev,ldeg,sdeg,launchPosX,launchPosY,launchPosZ,hPos,epPreHPos,epDelta,epEvidenceType,epEvidenceValue,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,phSource,phNormalSource,phFlags,phDt,phRenderAge,phRenderSampleDt,phRenderLagDist,phRawHPos,phSeparationR,phReprojectConfidence,phSweepSteps,phSweepT,phSweepFail,phSweepGapR,phBallVX,phBallVY,phBallVZ,phOriginV,phPointVX,phPointVY,phPointVZ,phPointVSource,phProxyPSpd,phRenderPSpd,phPVDeltaDeg,phPVSpeedRatio,phNX,phNY,phNZ,phNDeltaDeg,phPreGuardH,phApproachH,phPostGuardH,phGuardDelta,phFinalFieldH,phProxyMoveDist,phRenderMoveDist,phRenderLagAlongSwing,phReprojectMoveR,phProxyMoveRotDeg,phRenderMoveRotDeg,phRenderLagRotDeg,phConfidenceLimit,ltSec,lx,lz,cSec,cPos,cx,cy,cz,1BSafe,tag,cpSec,bTo1Sec,bTo2Sec,bTo3Sec,bToHSec,r1To2Sec,r1To3Sec,r1ToHSec,r2To3Sec,r2ToHSec,r3ToHSec,r1LeaveSec,r2LeaveSec,r3LeaveSec,out1Sec,out1BatterIndex,out1PrevBase,out1Code,out1Ass,out2Sec,out2BatterIndex,out2PrevBase,out2Code,out2Ass,out3Sec,out3BatterIndex,out3PrevBase,out3Code,out3Ass,ball1Sec,ball1Pos,ball2Sec,ball2Pos,ball3Sec,ball3Pos,ballHSec,ballHPos,PitchPPosX,PitchPPosZ,PitchCPosX,PitchCPosZ,Pitch1BPosX,Pitch1BPosZ,Pitch2BPosX,Pitch2BPosZ,Pitch3BPosX,Pitch3BPosZ,PitchSSPosX,PitchSSPosZ,PitchLFPosX,PitchLFPosZ,PitchCFPosX,PitchCFPosZ,PitchRFPosX,PitchRFPosZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,PGetSec,PGetX,PGetZ,CGetSec,CGetX,CGetZ,1BGetSec,1BGetX,1BGetZ,2BGetSec,2BGetX,2BGetZ,3BGetSec,3BGetX,3BGetZ,SSGetSec,SSGetX,SSGetZ,LFGetSec,LFGetX,LFGetZ,CFGetSec,CFGetX,CFGetZ,RFGetSec,RFGetX,RFGetZ,PThrSec,PThrX,PThrZ,CThrSec,CThrX,CThrZ,1BThrSec,1BThrX,1BThrZ,2BThrSec,2BThrX,2BThrZ,3BThrSec,3BThrX,3BThrZ,SSThrSec,SSThrX,SSThrZ,LFThrSec,LFThrX,LFThrZ,CFThrSec,CFThrX,CFThrZ,RFThrSec,RFThrX,RFThrZ,errPosDelta,result,infieldFly,balk,cPlr,sb2Sec,sb3Sec,sbhSec,ass,remarks
1,,1,1,0,0,0,0,0,0,0,0,255,255,255,0,312.645,"소솨소솨",R,28,86,140,-1.853,-0.415,0.015,1.544,-0.86,1.276,-36.539,5.23,50,50,0,1,"",44.506,-92.158,0,0,0,0,"べるちゃそ","Fresh825","?fredo?","쟈가리코","kikoism","Kr_Luna","","","",2,L,"べるちゃそ",180.6,85.553,0.448,,96,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,-37.58,0.02,-17.759,-23.055,-48.138,-11.089,-63.552,21.391,-47.055,12.4,-58.2,40.901,-90.651,0,-109.84,-40.801,-90.551,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
2,,1,1,0,0,1,0,0,0,0,0,255,255,255,1,324.363,"소솨소솨",R,0,83,135,-1.216,-0.825,0.073,1.485,-0.589,1.073,-36.539,7.941,45,55,0,0,"",40.199,-42.068,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,,96,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,-37.655,0,-17.87,-23.425,-48.426,-10.234,-63.57,21.619,-47.032,12.4,-58.2,40.901,-90.651,0,-109.84,-40.801,-90.551,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
3,,1,1,0,0,1,1,0,0,0,0,255,255,255,2,336.222,"소솨소솨",R,28,81,132,-0.507,0.529,0.136,1.713,-0.298,1.852,-36.539,12.002,47,53,0,2,"",50.039,-69.55,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,5,96,W,Y,1,337.304,74,85,98,84,33,,120,107,8.62,-48.553,-0.095,1.148,-20.351,0.2,0.203,0,0,0,0,0.276,235.936,94.853,190.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.473,47.538,-63.396,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-37.674,0.022,-17.904,-23.289,-48.621,-10.295,-63.615,22.956,-48.56,12.4,-58.2,40.901,-90.651,0,-109.84,-40.801,-90.551,0.101,-37.504,,"schmoneymikey",0.022,-17.912,,"Yes_Man_",-23.594,-48.35,,"YukihiroD",-10.233,-63.551,,"하루（Haru）",22.943,-48.546,,"AI",12.4,-58.2,,"AI",40.901,-90.651,,"AI",0,-109.84,,"AI",-40.801,-90.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
4,,1,1,0,0,1,2,0,0,0,0,255,255,255,3,352.557,"소솨소솨",R,34,82,134,1.398,-0.59,0.264,1.551,0.3,1.298,-36.539,13.7,47,53,0,2,"",86.253,-56.861,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,3,109,W,Y,1,353.711,197,38,86,69,26,,145,128,-16.289,-47.948,0.401,0.67,-20.576,0.61,0.607,0,0,0,0,0.254,-72.761,-280.13,109.245,5,2,578043,0.008,0.008,0.011,0,0.537,1.772,0.152,41,0.725,2,0.607,0.004,-2.386,34.877,-21.62,-10.543,-17.731,-58.383,1,61.921,47.496,0,0.767,-0.416,0.335,0.846,6.671,-47.955,5.17,-47.955,0,-47.955,0.098,0.136,0,2.785,24.036,33.116,0,2,353.293,1.939,-21.959,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-37.518,0.021,-17.841,-22.569,-47.617,-11.13,-63.594,22.185,-47.578,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,0.133,-37.59,,"schmoneymikey",0.034,-17.965,,"Yes_Man_",-22.561,-47.629,,"YukihiroD",-10.243,-63.55,,"하루（Haru）",22.177,-47.566,,"AI",12.532,-57.733,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
5,,1,1,0,0,1,2,0,0,0,0,255,255,255,4,368.276,"소솨소솨",R,27,86,139,-2.318,-1.598,-0.024,1.323,-1.043,0.521,-36.539,21.156,53,47,0,1,"",24.343,-148.824,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,,109,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,-37.661,0.016,-17.809,-22.027,-46.889,-10.284,-64.452,20.773,-46.809,12.411,-58.205,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
6,,1,1,0,0,2,2,0,0,0,0,255,255,255,5,380.403,"소솨소솨",R,27,80,130,-1.657,-1.169,0.052,1.407,-0.69,0.81,-36.539,17.553,58,42,0,1,"",-22.86,-100.991,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,,109,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.104,-37.641,0.003,-17.826,-21.647,-46.585,-10.176,-64.482,21.186,-46.884,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
7,,1,1,0,0,3,2,0,0,0,0,255,255,255,6,393.078,"소솨소솨",R,34,90,140,0.055,-0.204,0.175,1.589,-0.114,1.428,-36.539,13.042,37,63,0,2,"",98.285,-61.967,0,0,0,0,"=","=","=","=","=","=","","","",2,L,"べるちゃそ",180.6,85.553,0.448,3,109,W,Y,1,394.164,255,74,95,77,43,,145,86,-44.908,3.705,0.01,0.888,-20.237,-0.87,-0.871,0,0,0,0,0.346,-148.942,236.334,49.296,3,0,252539,0.008,0.006,0.012,0,-0.871,2.286,0,48,0,2,2.286,-0.181,-2.31,36.574,-44.908,-30.776,2.269,-85.025,1,90.451,63.008,0,0.697,-0.425,0.639,-0.641,0,-180,7.977,3.988,176.012,3.988,0.234,0.234,0,9.246,63.548,63.548,0,1,393.695,-0.045,-21.062,395.112,0,-1.016,2.696,-35.692,0,0,,,,,,,,,,,,,,,398.784,0,,147,2,,,,,,,,,,,,,,,,,,,-0.01,-37.602,0.008,-17.769,-21.585,-46.661,-10.146,-64.488,21.274,-47.156,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,-0.087,-37.484,92,"schmoneymikey",0.008,-17.807,,"Yes_Man_",-21.531,-46.586,84,"YukihiroD",-10.41,-64.422,,"하루（Haru）",21.26,-47.141,,"AI",11.991,-57.379,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,395.473,-0.984,-36.624,,,,398.174,-18.897,-39.311,,,,,,,,,,,,,,,,,,,397.341,-5.658,-36.311,,,,401.118,-18.112,-40.037,,,,,,,,,,,,,,,,,,,"",2,0,0,"소솨소솨",,,,10,""
8,,1,1,0,0,0,0,1,0,0,0,255,255,255,7,413.456,"소솨소솨",R,28,93,140,-2.068,-0.873,-0.007,1.457,-0.963,1.013,-36.539,12.838,53,47,0,1,"",53.501,-58.197,0,0,0,1,"=","=","=","=","=","=","","","",4,L,"Fresh825",190,80,0.2,,91,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-37.577,0.028,-17.869,-21.574,-46.541,-9.624,-63.766,19.947,-45.824,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,417.714,-0.138,-37.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
9,,1,1,0,0,1,0,1,0,0,0,255,255,255,8,424.213,"소솨소솨",R,28,87,140,-0.943,-0.88,0.086,1.447,-0.53,0.98,-36.539,11.841,44,56,0,0,"",86.147,-92.489,0,0,0,1,"=","=","=","=","=","=","","","",4,L,"Fresh825",190,80,0.2,,91,W,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046,-37.568,0.019,-17.916,-21.683,-46.446,-9.007,-63.927,20.167,-46.111,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,428.531,-0.291,-37.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,"",,,,0,""
10,,1,1,0,0,1,1,1,0,0,0,255,255,255,9,436.028,"소솨소솨",R,27,88,140,-0.649,-0.036,0.119,1.606,-0.378,1.494,-36.539,4.501,54,46,0,2,"",67.945,-109.184,0,0,0,1,"=","=","=","=","=","=","","","",4,L,"Fresh825",190,80,0.2,0,91,W,Y,1,437.071,135,143,121,105,0,,142,99,35.132,-48.668,-0.128,0.959,-19.622,-0.46,,,,,0,0.169,58.795,-129.708,90.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.522,65.713,-74.472,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-37.744,0.038,-17.964,-21.863,-46.539,-8.879,-63.914,20.282,-46.373,12.4,-58.2,40.9,-90.65,0,-109.84,-40.8,-90.55,0.178,-37.517,,"schmoneymikey",0.045,-18.064,,"Yes_Man_",-21.766,-46.587,,"YukihiroD",-8.908,-63.96,,"하루（Haru）",20.143,-46.217,,"AI",12.4,-58.2,,"AI",40.9,-90.65,,"AI",0,-109.84,,"AI",-40.8,-90.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,"",,,,0,""
