id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,505.872,"Pring__",L,26,83,136,-0.021,0.29,-0.117,1.571,0.062,1.623,-36.288,26.518,0,0,-49.996,-150.486,-3.626,0,0,1,0,5,R,"coder_",170.1,87.525,0.341,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-37.447,0,"IbikiKai_JP",-0.025,-17.188,0,"ʚEveɞ",-22.405,-47.401,0,"장덕춘_",-15.572,-63.037,0,"-Alta-",19.727,-47.937,0,"Amellaid",12.4,-64.683,0,"のあさんだよ",42.37,-101.598,0,"ByeolBam",-2.614,-112.594,0,"눈꽃",-41.635,-94.078,0,0,0,0,0,0,"",0,0,0,0,506.494,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,555.564,"Pring__",L,26,94,140,2.148,-1.363,0.092,1.315,1.032,0.696,-36.241,10.392,1,0,-76.676,-157.274,-5.59,0,0,0,0,5,R,"coder_",170.1,87.525,0.341,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019,-37.593,0,"IbikiKai_JP",0.084,-17.214,0,"ʚEveɞ",-22.649,-48.152,0,"장덕춘_",-14.678,-63.902,0,"-Alta-",18.014,-45.577,0,"Amellaid",12.562,-65.136,0,"のあさんだよ",44.397,-102.119,0,"ByeolBam",-4.325,-110.071,0,"눈꽃",-45.285,-90.754,0,0,0,0,0,0,"",0,0,0,0,556.254,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,570.172,"Pring__",L,27,68,123,-2.983,2.152,-0.314,1.823,-1.184,2.686,-36.659,55.125,2,0,-65.457,-103.507,0.512,0,0,1,0,5,R,"coder_",170.1,87.525,0.341,3,40,571.29,242,92,187,115,35,145,95,1.902,23.145,-0.21,0,0.443,7.168,595.327,27.603,-0.337,-37.276,0,"IbikiKai_JP",-0.048,-17.203,0,"ʚEveɞ",-22.663,-48.249,85,"장덕춘_",-14.597,-63.781,99,"-Alta-",19.435,-46.904,0,"Amellaid",11.466,-64.853,0,"のあさんだよ",44.428,-102.152,0,"ByeolBam",-1.767,-109.48,0,"눈꽃",-45.126,-90.796,0,571.534,-12.304,-44.869,572.787,3,"장덕춘_",-20.206,-59.163,0,1,,,,,280,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,595.425,"Pring__",L,27,79,130,-1.97,0.904,-0.224,1.71,-0.768,2.033,-36.405,45.043,2,0,-67.262,-111.017,2.801,0,0,1,1,6,R,"소솨소솨",179.8,80,0.405,3,40,596.415,255,153,120,32,51,145,97,27.392,22.418,0.94,0,0.612,-129.007,-412.945,412.843,-0.132,-36.982,0,"IbikiKai_JP",-0.037,-17.076,0,"ʚEveɞ",-23.124,-48.202,0,"장덕춘_",-15.731,-63.037,0,"-Alta-",20.189,-49.129,0,"Amellaid",13.031,-64.149,85,"のあさんだよ",48.541,-104.404,0,"ByeolBam",-5.833,-115.455,0,"눈꽃",-48.114,-99.989,93,600.027,-24.758,-95.596,601.614,8,"눈꽃",-29.772,-107.172,1,0,,,,,52,2
5,1,1,0,0,0,0,1,1,0,0,6,255,255,4,626.6,"Pring__",L,27,72,125,-1.382,-0.519,-0.226,1.528,-0.47,1.188,-36.382,33.041,0,0,-95.601,-114.491,0.247,0,0,0,2,3,R,"낑깡__",164.8,80,0.398,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,-37.597,0,"IbikiKai_JP",-0.16,-17.127,120,"ʚEveɞ",-21.363,-44.975,0,"장덕춘_",-14.73,-63.664,0,"-Alta-",17.699,-45.815,0,"Amellaid",11.99,-65.146,0,"のあさんだよ",40.299,-99.054,0,"ByeolBam",-2.142,-106.419,0,"눈꽃",-43.589,-90.75,0,0,0,0,0,0,"",0,0,0,0,627.2,,,,0,0
6,1,1,0,0,0,1,1,1,0,0,6,255,255,5,645.54,"Pring__",L,33,56,114,-5.692,2.507,-0.453,1.822,-2.187,2.822,-36.871,77.047,1,0,-148.139,-120.343,0.541,0,0,0,2,3,R,"낑깡__",164.8,80,0.398,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,-37.475,0,"IbikiKai_JP",-0.538,-16.877,100,"ʚEveɞ",-21.09,-43.946,0,"장덕춘_",-14.314,-62.95,0,"-Alta-",20.527,-44.713,0,"Amellaid",12.156,-64.915,0,"のあさんだよ",36.927,-97.359,0,"ByeolBam",-1.687,-106.084,0,"눈꽃",-43.527,-90.637,0,0,0,0,0,0,"",0,0,0,0,646.214,,,,0,0
7,1,1,0,0,1,1,1,1,0,0,6,255,255,6,661.414,"Pring__",L,27,88,140,0.504,-1.043,-0.058,1.382,0.335,0.917,-36.225,16.893,2,0,-90.238,-125.291,-0.563,0,0,1,2,3,R,"낑깡__",164.8,80,0.398,3,39,662.384,255,164,87,115,51,145,107,106.26,-62.923,0.15,0.095,0.343,442.156,96.124,392.504,0.024,-36.807,0,"IbikiKai_JP",-0.013,-17.251,0,"ʚEveɞ",-20.841,-44.365,0,"장덕춘_",-14.616,-63.957,0,"-Alta-",20.142,-48.101,0,"Amellaid",11.657,-65.144,0,"のあさんだよ",36.93,-97.375,0,"ByeolBam",-2.423,-107.152,0,"눈꽃",-43.595,-90.734,0,0,0,0,0,0,"",0,0,0,0,,,,,16,3
8,1,1,0,0,1,2,1,1,0,0,6,255,255,7,681.533,"Pring__",L,10,81,109,-0.644,-1.181,-0.184,1.594,-0.275,1.557,-36.32,35.797,4,0,0,400,-1.244,0.106,-17.738,1,2,3,R,"낑깡__",164.8,80,0.398,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,-37.588,0,"IbikiKai_JP",-0.378,-17.82,0,"ʚEveɞ",-21.243,-44.383,0,"장덕춘_",-15.226,-62.078,0,"-Alta-",20.852,-47.907,0,"Amellaid",11.25,-65.056,0,"のあさんだよ",40.178,-97.422,0,"ByeolBam",-1.71,-106.039,0,"눈꽃",-44.527,-90.695,0,0,0,0,0,0,"",0,0,0,0,684.4,,,,0,0
9,1,1,0,0,0,0,2,1,0,0,6,255,255,8,710.274,"Pring__",L,28,91,140,1.299,-0.829,0.003,1.388,0.62,1.032,-36.214,11.842,0,0,-48.984,-77.34,-4.105,0,0,1,3,1,R,"Pugeuk",190,86.173,0.398,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-37.627,0,"IbikiKai_JP",-0.02,-17.266,0,"ʚEveɞ",-21.508,-43.671,0,"장덕춘_",-13.871,-63.477,0,"-Alta-",19.887,-49.944,0,"Amellaid",8.519,-66.375,0,"のあさんだよ",37.042,-98.248,0,"ByeolBam",-2.975,-111.488,0,"눈꽃",-42.006,-96.784,0,0,0,0,0,0,"",0,0,0,0,710.88,,,,0,0
10,1,1,0,0,0,1,2,1,0,0,6,255,255,9,727.143,"Pring__",L,27,84,137,-0.498,0.47,-0.153,1.628,-0.108,1.811,-36.304,29.254,2,0,-77.324,-114.889,-0.533,0,0,1,3,1,R,"Pugeuk",190,86.173,0.398,3,39,728.156,156,27,105,38,16,145,119,5.832,35.238,0.77,0,0.619,67.067,567.925,178.227,-0.14,-36.441,0,"IbikiKai_JP",-0.009,-17.17,0,"ʚEveɞ",-21.45,-46.091,90,"장덕춘_",-16.614,-62.335,0,"-Alta-",20.724,-49.982,0,"Amellaid",8.239,-66.749,0,"のあさんだよ",37.244,-98.137,0,"ByeolBam",-1.97,-113.833,0,"눈꽃",-42.003,-96.809,0,0,0,0,728.814,2,"ʚEveɞ",-20.854,-46.026,0,0,759.08,,,,312,1
